name;01;02;03;04;05
ZINC000139709268;-7.4466105;-7.025099;-7.1061172;-6.654485;-7.1704273
ZINC000003394639;-7.4464397;-7.848337;-6.545195;-6.293582;-6.9634857
ZINC000051473626;-6.714333;-6.984873;-7.464912;-7.070463;-7.4320216
ZINC000008147863;-6.932734;-6.812632;-6.606344;-6.501552;-6.2148256
ZINC000012812754;-6.5622215;-6.4502497;-6.665404;-6.3112493;-6.4250536
ZINC000001032993;-6.8028574;-7.0926323;-7.065649;-7.1023054;-6.568797
ZINC000096019450;-7.132934;-7.3120317;-6.5016384;-6.922105;-7.059896
ZINC000019634461;-8.152763;-7.9885626;-7.751499;-7.5354314;-7.8086243
ZINC000019635747;-8.188211;-8.421293;-8.364281;-8.188994;-7.929154
ZINC000004086764;-6.3556113;-7.081103;-6.792936;-7.057992;-6.6583133
ZINC000067885668;-7.5783014;-7.5534177;-7.810291;-7.460148;-7.479937
ZINC000014962309;-9.368081;-8.562494;-7.5726404;-8.175745;-8.608866
ZINC000005097753;-7.8770137;-7.0705976;-6.9945345;-7.8134775;-7.4339447
ZINC000005097942;-8.104595;-7.5753403;-7.436235;-7.812589;-7.687416
ZINC000015068693;-7.869896;-7.596579;-7.6188893;-7.695854;-7.921736
ZINC000015830400;-7.464408;-7.651928;-7.65193;-8.006472;-7.7777495
ZINC000008963351;-8.168716;-7.5257487;-7.6788244;-7.3954973;-7.697668
ZINC000008963304;-8.690323;-8.313291;-8.043659;-8.103422;-8.508651
ZINC000008963239;-8.445551;-8.204453;-8.221059;-8.240174;-8.397287
ZINC000016267077;-7.5506935;-7.598103;-7.1400385;-7.655789;-7.471877
ZINC000016838240;-8.57228;-8.638195;-8.69709;-8.699925;-8.540924
ZINC000017178366;-6.4365234;-6.6672635;-6.3624096;-6.523586;-6.634409
ZINC000017178364;-6.608624;-6.8510675;-6.6043863;-6.4053545;-6.6910458
ZINC000017307533;-7.218869;-7.322054;-6.639393;-7.000633;-7.02925
ZINC000084147784;-7.0263014;-7.1270943;-7.3158293;-7.4468765;-7.497937
ZINC000017307539;-6.9735484;-6.781795;-6.63803;-6.9748087;-7.048822
ZINC000299783732;-7.858641;-6.800326;-7.114272;-6.8367205;-6.9509006
ZINC000044911057;-8.100013;-8.38678;-8.179653;-7.923055;-7.7694774
ZINC000004961916;-8.5198765;-8.352415;-7.9642315;-8.807596;-8.586632
ZINC000010214466;-8.175007;-7.62317;-7.654895;-7.694967;-7.4215026
ZINC000010214582;-8.367617;-7.8604174;-7.475569;-7.9544535;-7.7574825
ZINC000010214462;-7.9465585;-7.8139386;-7.5055265;-7.9108458;-7.596309
ZINC000824678969;-7.528454;-7.8438168;-7.134869;-7.842047;-7.717274
ZINC000824678970;-7.981833;-7.9229393;-7.867877;-8.178694;-7.885676
ZINC000005006265;-6.7891784;-7.360753;-7.4554105;-7.6302977;-7.1230226
ZINC000005025863;-7.6585355;-7.6425776;-6.863041;-7.085498;-7.117058
ZINC000299786928;-8.059216;-8.031008;-8.150284;-7.9435863;-8.066239
ZINC000011027654;-8.501975;-7.6705465;-8.169974;-7.929928;-8.08449
ZINC000005097941;-7.807193;-7.870332;-7.9346437;-8.122173;-8.032077
ZINC000005093400;-8.278088;-8.211232;-7.387357;-7.8377323;-7.6516404
ZINC000005097765;-7.8757515;-7.529687;-7.4593906;-7.95072;-7.7221956
ZINC000022418413;-7.9031305;-7.7230544;-7.912431;-7.9602375;-7.887059
ZINC000022418411;-7.850612;-7.6378655;-7.7197027;-7.7748365;-7.71454
ZINC000065298193;-7.8624406;-7.486453;-7.613954;-7.281366;-7.285727
ZINC000065298173;-7.674202;-7.8146477;-7.764636;-7.3479257;-7.9574804
ZINC000065298304;-7.6362133;-7.9789295;-7.593282;-7.4702597;-7.8131485
ZINC000011753419;-8.332967;-8.859007;-8.108294;-7.654212;-8.457837
ZINC000011820868;-8.418565;-8.594879;-7.857166;-7.7133994;-7.945133
ZINC000014881129;-6.3943295;-7.0807924;-7.527323;-7.2951016;-7.018211
ZINC000014880528;-7.664833;-7.818491;-7.509283;-7.452212;-7.2471952
ZINC000011937590;-7.555476;-7.8260713;-7.447113;-8.053469;-7.285162
