name;01;02;03;04;05
ZINC000019551828;-8.021306;-7.6746445;-7.793935;-8.14962;-8.430206
ZINC000019551828;-7.85285;-7.89072;-8.107522;-8.146112;-8.375066
ZINC000223645145;-8.261206;-7.904913;-8.448954;-8.060033;-7.8612976
ZINC000223650783;-9.238953;-9.251862;-9.742146;-9.704046;-9.442082
ZINC000223644286;-8.650774;-8.96126;-8.791699;-9.532512;-9.181065
ZINC000019584973;-8.089215;-7.4308343;-7.839208;-8.56049;-8.768869
ZINC000019584973;-7.999464;-7.6043744;-8.117659;-7.932342;-8.443264
ZINC000019584971;-7.971337;-7.614342;-8.129125;-7.931385;-8.439221
ZINC000019584971;-8.041827;-7.4370627;-7.77482;-8.554812;-8.790658
ZINC000257288895;-8.111609;-7.8214254;-8.376549;-7.5214086;-7.6807237
ZINC000112121234;-7.472778;-6.939426;-7.107231;-6.9904294;-7.1000643
ZINC000111504728;-6.436963;-6.393588;-6.8139963;-6.092926;-6.716302
ZINC000514289615;-7.8438907;-8.317602;-7.642925;-7.97564;-7.624239
ZINC000514289615;-7.2315946;-7.625703;-7.5763483;-8.185435;-7.480675
ZINC000514289615;-7.7700553;-8.162856;-7.5263042;-7.846961;-7.532844
ZINC000514288919;-7.8833513;-8.715767;-7.9440985;-8.224104;-7.809096
ZINC000514288919;-7.5057197;-7.8103237;-7.830282;-8.649619;-7.788044
ZINC000514288919;-8.073653;-8.528632;-7.7655554;-8.146938;-7.9066234
ZINC000015013133;-7.001711;-7.568002;-6.877892;-7.232944;-7.105684
ZINC000015013876;-7.9415407;-8.6917095;-8.051725;-7.6126738;-8.194295
ZINC000223005112;-7.7926493;-7.949317;-7.1883764;-7.660791;-7.1018305
ZINC000222975868;-7.2373567;-7.517921;-6.983177;-7.454446;-7.2163377
ZINC000225394755;-7.8520217;-7.500138;-7.0651746;-7.6015077;-7.596768
ZINC000408553399;-7.144968;-7.5309134;-7.32863;-7.322751;-6.9267664
ZINC000408552412;-6.8933086;-7.1532955;-7.0804377;-7.006782;-6.847715
ZINC000002211533;-7.908853;-8.306151;-8.073546;-8.648854;-8.369667
ZINC000013546770;-7.559559;-7.725637;-7.513507;-7.491918;-7.733045
ZINC000006184411;-7.710057;-8.013173;-8.139352;-7.3160233;-7.635253
ZINC000009263200;-7.125158;-6.951714;-7.5640526;-7.002561;-7.343474
ZINC000226095680;-7.2818804;-7.702092;-6.9761157;-7.725943;-7.4881563
ZINC000033320005;-8.789435;-9.258767;-8.029417;-8.851693;-8.603342
ZINC000408723082;-6.4366198;-7.048885;-6.919033;-6.8838673;-6.9992695
ZINC000408722133;-6.480473;-7.5007915;-6.8461604;-7.031609;-6.843979
ZINC000408722374;-6.8755007;-7.3232026;-7.1533675;-7.159009;-7.1396055
ZINC000408722921;-6.633601;-7.487151;-7.112158;-7.231317;-7.1760793
ZINC000408723657;-7.3363314;-7.6135125;-7.7027907;-7.6535645;-7.4396467
ZINC000409246536;-7.050953;-7.166815;-7.0166745;-6.749268;-7.0037613
ZINC000002215319;-8.022611;-8.049206;-7.7830925;-8.31872;-8.288286
ZINC000408812965;-7.2085853;-7.647875;-7.8324203;-8.055587;-7.399573
ZINC000408818636;-7.376536;-7.4541426;-7.592181;-7.66252;-7.5686684
ZINC000408851273;-6.897504;-7.6969795;-7.436708;-7.505455;-7.355053
ZINC000408854685;-6.679809;-7.195232;-7.091477;-7.0913215;-7.039636
ZINC000408850786;-6.6851315;-7.245011;-7.260178;-7.133527;-7.1847005
ZINC000408859548;-6.4355383;-7.128175;-7.0316124;-6.863614;-6.908889
ZINC000408856475;-7.518625;-7.192132;-7.0413375;-7.090321;-7.551422
ZINC000408856228;-6.462323;-7.150481;-7.206663;-7.16756;-7.072049
ZINC000408867521;-7.6668525;-7.8191533;-7.8832297;-7.9076304;-7.5314918
ZINC000005394786;-7.5683694;-7.503445;-7.6401134;-7.639329;-7.9179015
ZINC000408919191;-7.1813016;-6.937729;-6.91564;-6.843392;-7.0915933
ZINC000408959845;-7.1844015;-7.2374115;-7.609988;-7.4054794;-7.639304
ZINC000408965584;-6.9531403;-7.043653;-7.123091;-7.127046;-7.2290616
ZINC000408968453;-7.086279;-7.2000165;-7.694887;-7.3312607;-7.030893
ZINC000408967434;-7.279171;-7.046077;-7.4678545;-7.1900373;-7.240105
ZINC000408967140;-7.0639505;-7.344758;-7.5336704;-7.4783044;-7.2570486
ZINC000015013870;-8.354438;-8.780418;-7.926883;-7.8362017;-8.180647
ZINC000408988705;-6.4521484;-7.539332;-7.2158318;-7.567134;-6.7698016
ZINC000015013135;-6.8851414;-7.4691267;-6.779013;-7.2896333;-7.032477
ZINC000408994334;-7.227585;-7.3743525;-7.430037;-7.451725;-7.3324647
ZINC000409000354;-7.5420475;-8.101163;-7.692216;-8.076421;-7.794469
ZINC000004994957;-6.5176244;-6.797801;-5.9864655;-6.383833;-6.184313
ZINC000409014032;-6.757336;-7.0830717;-7.4373064;-7.6749725;-6.8534956
ZINC000409013451;-7.934753;-7.9477553;-7.8744097;-8.165068;-7.737732
ZINC000409014345;-6.8902836;-7.556;-8.083849;-7.6714144;-7.106196
ZINC000408538402;-7.3092833;-7.609849;-6.6884475;-7.1183853;-7.2665644
ZINC000409021689;-6.477424;-6.8926697;-7.2445097;-7.2129855;-6.8665266
ZINC000408529842;-9.5261345;-10.087257;-9.902452;-9.870573;-9.336561
ZINC000408902120;-8.20517;-7.768591;-7.9476237;-7.856707;-7.925081
ZINC000408902121;-8.20517;-7.768591;-7.9476237;-7.856707;-7.925081
ZINC000409075069;-6.949671;-6.9616795;-7.077799;-7.4288297;-7.083049
ZINC000096330803;-8.656963;-8.075891;-7.7714357;-7.381192;-8.328269
ZINC000005907125;-6.928517;-6.769972;-7.0906177;-6.7624087;-6.8097224
ZINC000409095184;-6.399872;-7.025822;-6.808331;-7.1030326;-6.8594775
ZINC000409101697;-6.9161983;-7.298799;-7.3514495;-7.5807676;-7.137016
ZINC000409102450;-6.3392906;-6.959905;-6.863834;-7.0426645;-6.997506
ZINC000409108220;-6.6076117;-7.0664763;-7.1062346;-7.00763;-6.9969316
ZINC000409123948;-7.1186852;-7.573549;-7.064738;-7.400825;-7.3684173
ZINC000409124322;-6.9513245;-7.6084423;-7.304486;-6.863438;-7.1488976
ZINC000409134749;-6.8136053;-7.3838034;-7.861339;-7.3322515;-7.28594
ZINC000409138275;-7.0376477;-7.2789235;-7.3833737;-7.1930866;-6.9392023
ZINC000409139190;-6.7641373;-7.196495;-7.4152265;-7.231813;-7.3363895
ZINC000409137097;-7.1227207;-7.7580376;-8.135538;-7.4898605;-7.5056024
ZINC000409135257;-7.1216636;-7.7153764;-7.399476;-7.453945;-7.321149
ZINC000409137676;-7.052232;-7.598239;-7.7198987;-7.4268203;-7.465495
ZINC000409144532;-7.2608747;-7.610446;-7.4242525;-7.470198;-7.526254
ZINC000409146236;-6.6803784;-7.397339;-7.0260887;-6.884965;-7.1571636
ZINC000409148247;-7.360465;-7.8055696;-7.8309026;-7.556073;-7.547309
ZINC000409149851;-7.8663545;-7.8785014;-7.654632;-7.8074007;-8.015766
ZINC000409197680;-7.3508396;-6.6807065;-7.2896795;-7.133273;-7.403665
ZINC000257325507;-7.1103053;-6.829589;-7.075562;-6.993685;-6.979688
ZINC000409220597;-7.301817;-7.6274023;-7.9485197;-7.6383324;-7.5123796
ZINC000409226272;-6.7772617;-7.275072;-7.522997;-7.26357;-7.2431197
ZINC000409225077;-6.763921;-6.733136;-7.212227;-6.911417;-7.040272
ZINC000409233705;-6.668393;-7.440688;-6.7525434;-6.860875;-6.8582945
ZINC000409230152;-7.0052443;-7.2652826;-7.441805;-7.2747808;-7.098094
ZINC000409233100;-6.7476134;-7.3062844;-6.9898205;-6.8989553;-6.8948097
ZINC000409234686;-6.9359455;-7.5609064;-7.8185673;-7.303288;-7.3030586
ZINC000409239928;-6.540317;-6.58111;-6.9705524;-7.088232;-6.987498
ZINC000409238476;-6.865433;-7.3847084;-7.0589986;-6.8148212;-7.048227
ZINC000409235742;-6.183922;-6.686907;-6.8823566;-6.6894026;-6.6744776
ZINC000409242253;-6.521497;-6.811859;-7.0508122;-7.100129;-6.8903646
ZINC000409245362;-6.348943;-6.983884;-6.8215294;-7.066426;-6.768036
ZINC000409242132;-6.384372;-7.116734;-7.1381316;-7.0641665;-7.07549
ZINC000409244532;-6.752412;-7.1524005;-6.7460113;-7.0163774;-6.7774887
ZINC000409242198;-7.240648;-7.195618;-7.2197638;-7.199273;-7.138978
ZINC000016227140;-7.695563;-7.457444;-7.405191;-7.3625717;-7.3333683
ZINC000409247005;-6.676632;-6.915915;-7.012164;-6.8899894;-6.9700823
ZINC000409246594;-6.2608857;-6.7158327;-7.2121115;-7.188759;-7.0756702
ZINC000409249739;-6.5197253;-7.163436;-7.635751;-7.113127;-7.0457644
ZINC000100992481;-7.222767;-7.4344945;-7.3173504;-7.254659;-7.635984
ZINC000409329406;-7.3989263;-7.3803453;-7.45474;-7.283099;-7.512851
ZINC000409022287;-6.750629;-7.220822;-7.484115;-7.438427;-7.2898636
ZINC000409342473;-7.256879;-7.027232;-7.23624;-7.1937795;-7.3250175
ZINC000409348857;-8.021763;-7.577564;-7.8771276;-7.72711;-7.8140516
ZINC000409347675;-7.359233;-7.362054;-7.2008905;-7.1889453;-7.477846
ZINC000409347308;-7.3010993;-7.185937;-7.3604593;-7.3608136;-7.3497086
ZINC000409347332;-7.8990245;-7.75822;-7.776446;-8.076142;-7.7823615
ZINC000409409940;-6.783446;-7.0913625;-7.0775657;-7.455022;-7.4697776
ZINC000409409942;-6.760602;-7.1297035;-7.1127896;-7.4383044;-7.590575
ZINC000001197601;-6.361555;-6.5386996;-6.757407;-7.0559616;-6.690325
ZINC000001098505;-6.1877756;-6.06777;-6.4392395;-5.783745;-6.284876
ZINC000002263130;-6.2783957;-6.986131;-6.8892035;-6.718724;-6.724127
ZINC000409017274;-6.9564056;-7.737112;-6.983964;-7.562714;-7.2567787
ZINC000016448948;-7.931719;-7.999808;-8.131603;-7.9361153;-7.8434587
ZINC000216928742;-8.135984;-7.9488473;-7.685305;-7.626939;-7.4525576
ZINC000216927995;-7.8300295;-7.527201;-7.389912;-7.21921;-7.520193
ZINC000216930769;-7.7061186;-7.5496373;-7.087588;-7.56658;-7.360523
ZINC000216930791;-7.750805;-7.535753;-7.058868;-7.4403987;-7.4431534
ZINC000216943221;-7.808654;-7.5868516;-7.4993815;-7.2899747;-7.4184375
ZINC000219397384;-7.485303;-7.6577053;-7.0267653;-6.9274044;-7.1020017
ZINC000002210878;-8.313362;-8.441187;-8.178277;-8.799343;-8.315328
ZINC000012651840;-6.7259564;-6.884552;-6.778771;-6.877786;-7.0558915
ZINC000034890420;-8.216752;-8.34021;-7.97776;-8.071245;-8.461206
ZINC000112123343;-6.5422826;-6.6714;-6.5643888;-6.7101808;-6.8930235
ZINC000409068787;-6.974869;-7.2926745;-7.7519236;-7.273837;-7.2142177
ZINC000409249998;-6.8496943;-7.0859394;-7.4160175;-7.401547;-7.1419296
ZINC000072392826;-7.4081144;-8.147242;-8.228028;-8.528124;-8.447243
ZINC000001160757;-6.992966;-6.931924;-6.9933214;-7.237545;-6.7069473
ZINC000019551830;-8.167417;-8.121477;-8.492283;-8.24596;-8.239037
ZINC000019551830;-7.3159313;-7.3518147;-7.8043385;-8.161456;-8.412877
ZINC000059305951;-7.5087166;-8.280231;-7.6798587;-7.6265483;-7.346258
