name;01;02;03;04;05
ZINC000013941021;-7.9071846;-8.394721;-8.404405;-8.178883;-8.013455
ZINC000100305837;-7.468167;-7.521146;-7.759268;-7.528254;-7.155842
ZINC000097991415;-8.538106;-8.089074;-7.84241;-8.408857;-8.00575
ZINC000032664128;-7.424732;-6.5280952;-7.081496;-7.0381017;-7.1534724
ZINC000033392074;-6.763492;-7.0679064;-7.0358496;-7.1371245;-7.021369
ZINC000019682375;-7.6053553;-7.965265;-8.331272;-7.8396277;-8.011157
ZINC000225241753;-8.781341;-9.069613;-8.543565;-9.080944;-9.125988
ZINC000225872095;-6.9783688;-7.4927754;-7.575859;-7.4420357;-8.074328
ZINC000225872117;-6.7176623;-7.5514326;-7.198259;-7.616059;-7.7188582
ZINC000225872071;-6.7089276;-7.669475;-7.2924957;-7.2853003;-7.370906
ZINC000004952797;-10.332157;-10.182162;-9.536614;-10.1274185;-10.382563
ZINC000223091700;-7.4883013;-8.030543;-7.44217;-7.7994466;-7.9771066
ZINC000020478441;-8.83516;-8.690783;-8.25664;-8.930264;-8.715267
ZINC000004538092;-7.816665;-7.228977;-6.877143;-8.034863;-7.493335
ZINC000004538089;-7.816665;-7.228977;-6.877143;-8.034863;-7.493335
ZINC000004606967;-7.8475676;-7.6205983;-6.82897;-7.892037;-7.129876
ZINC000057124092;-7.149639;-6.990298;-6.7751617;-6.7215595;-6.662682
ZINC000408660451;-7.14983;-7.161925;-7.103073;-7.0355186;-7.373199
ZINC000408662378;-7.3298855;-6.915121;-6.7903833;-6.9456005;-7.3210087
ZINC000408692727;-7.2403216;-6.8900023;-6.844154;-7.158967;-7.5283594
ZINC000408692685;-7.0401583;-7.13109;-7.0825586;-7.2853045;-7.681448
ZINC000007343380;-7.4301796;-7.144346;-7.50325;-7.0778904;-7.5193844
ZINC000007343381;-7.2184844;-6.953518;-6.9968195;-6.9105024;-7.175062
ZINC000007343314;-8.011957;-7.1176977;-6.7241287;-7.2680545;-7.3572187
ZINC000008254588;-6.861676;-7.9578958;-7.165166;-7.43536;-7.8266077
ZINC000408740928;-6.940061;-7.2172766;-7.144147;-6.999493;-7.105563
ZINC000408740776;-7.398221;-7.4597626;-7.6045213;-7.3032;-7.3080254
ZINC000408740927;-6.940061;-7.2172766;-7.144147;-6.999493;-7.105563
ZINC000408740800;-6.8411293;-7.4083376;-6.9696155;-6.876598;-6.933798
ZINC000408741025;-6.8872375;-7.144791;-6.8442497;-6.8997555;-6.9722314
ZINC000408740798;-6.8411293;-7.4083376;-6.9696155;-6.876598;-6.933798
ZINC000408740771;-7.398221;-7.4597626;-7.6045213;-7.3032;-7.3080254
ZINC000408741024;-6.8872375;-7.144791;-6.8442497;-6.8997555;-6.9722314
ZINC000408743113;-7.088451;-7.244403;-7.2168107;-7.1134734;-7.086975
ZINC000408741762;-7.0822616;-7.576209;-7.468901;-7.317327;-7.328161
ZINC000408742877;-6.836338;-7.612251;-6.929758;-7.340661;-6.843348
ZINC000408741761;-7.0822616;-7.576209;-7.468901;-7.317327;-7.328161
ZINC000408743115;-7.088451;-7.244403;-7.2168107;-7.1134734;-7.086975
ZINC000408742024;-6.6153526;-7.1414557;-7.048356;-6.9159536;-7.0289936
ZINC000408741434;-6.868916;-7.351944;-7.0576406;-6.911867;-6.957802
ZINC000408741432;-6.868916;-7.351944;-7.0576406;-6.911867;-6.957802
ZINC000408742879;-6.836338;-7.612251;-6.929758;-7.340661;-6.843348
ZINC000408742022;-6.6153526;-7.1414557;-7.048356;-6.9159536;-7.0289936
ZINC000408765701;-7.2914133;-7.1220374;-7.201856;-7.133811;-7.1133165
ZINC000408765703;-7.2914133;-7.1220374;-7.201856;-7.133811;-7.1133165
ZINC000100072348;-7.4609456;-7.888571;-7.7128525;-7.650818;-7.538056
ZINC000408854184;-7.4730167;-7.8126397;-7.458049;-7.191486;-7.723898
ZINC000006057162;-7.218719;-7.9732695;-8.125483;-7.7447658;-7.811289
ZINC000015012700;-8.023008;-7.35742;-7.6737328;-7.927123;-7.6602697
ZINC000408904212;-6.984999;-7.33714;-7.352374;-7.4026356;-7.32617
ZINC000408911475;-7.484274;-8.183073;-7.470337;-8.324951;-7.876971
ZINC000408538968;-7.784554;-8.404299;-7.010235;-7.3398843;-7.665546
ZINC000408537452;-6.6895847;-7.3284855;-6.984732;-6.8069725;-7.348497
ZINC000005663567;-5.5574718;-5.772357;-5.8537292;-5.7229624;-5.981922
ZINC000022872253;-7.6543703;-7.8615065;-7.3801126;-7.4486723;-7.567465
ZINC000022872250;-7.63513;-7.9037485;-7.659912;-7.5021596;-7.296627
ZINC000095532730;-7.417249;-7.5119414;-7.04355;-7.373365;-7.1522365
ZINC000095532728;-7.230153;-7.3757277;-6.883681;-7.379074;-7.519058
ZINC000409022421;-8.21801;-7.927317;-7.774204;-8.089696;-7.746009
ZINC000008300630;-7.5783668;-7.7384953;-7.9951735;-7.724209;-7.810332
ZINC000409068643;-8.971744;-7.941011;-7.9645205;-8.559132;-8.290887
ZINC000036619646;-6.395813;-6.4455023;-6.5390053;-6.2293086;-6.288537
ZINC000013994535;-7.305669;-6.598097;-6.4100013;-7.111928;-7.160357
ZINC000013994538;-7.3235073;-7.168505;-6.2972546;-7.0730796;-6.875072
ZINC000409222170;-6.536248;-6.840377;-6.8289557;-6.4994473;-6.8227444
ZINC000002312724;-7.1464567;-7.7424803;-7.4508786;-7.276309;-7.273975
ZINC000409264853;-7.266507;-7.7077928;-7.298219;-7.3790674;-7.283669
ZINC000409271835;-7.5912075;-7.6642427;-7.371917;-7.221175;-7.585008
ZINC000409299028;-8.960295;-9.325332;-9.052195;-9.048222;-9.569775
ZINC000408966698;-7.5605955;-7.807054;-7.37842;-7.9256887;-8.145379
ZINC000006736682;-7.810854;-7.337657;-7.747934;-7.3302507;-7.570948
ZINC000409402439;-8.567238;-9.031319;-8.6190605;-8.878111;-9.402443
ZINC000034720026;-5.9203787;-5.908059;-5.5985003;-5.9032965;-5.902255
ZINC000033718884;-8.242443;-7.7701263;-8.275842;-7.51255;-7.3444476
ZINC000018088997;-7.584778;-7.6279416;-7.622713;-7.7554207;-7.443915
ZINC000329015356;-6.0290685;-5.5614395;-5.7002845;-6.3384237;-6.461426
ZINC000018088997;-7.754683;-8.11373;-7.7741375;-8.07032;-7.9906006
ZINC000001084218;-7.685416;-6.442816;-7.5399513;-7.222618;-7.3776608
ZINC000018045693;-6.8377805;-6.987122;-7.089054;-7.283135;-6.9061356
ZINC000085409875;-7.116434;-6.7694283;-7.0187945;-7.4923124;-7.025329
ZINC000100325095;-7.316025;-7.797085;-7.9372263;-7.5408483;-7.5057526
ZINC000409408846;-7.202333;-6.926069;-6.8748074;-6.981367;-7.1243863
ZINC000409053849;-8.0720625;-7.360068;-7.473229;-7.9139366;-7.990925
ZINC000409070195;-7.1602554;-7.106659;-6.999177;-7.0166144;-6.9862394
ZINC000409064465;-7.609114;-6.5931315;-6.7844152;-6.964249;-7.010768
ZINC000012221474;-6.3556614;-5.884779;-5.941139;-6.089488;-6.5028906
ZINC000012344870;-7.297241;-7.004096;-6.7461853;-6.796886;-7.094872
ZINC000012344702;-7.564164;-7.4205227;-6.4602146;-6.9131007;-7.1751676
ZINC000012329033;-7.432916;-7.1186223;-6.8504453;-7.181318;-7.751091
ZINC000012345654;-6.7928505;-7.1849895;-7.5556583;-7.0153713;-7.2325444
ZINC000012344198;-7.480469;-7.354754;-6.75514;-7.017642;-7.361617
ZINC000012344656;-6.7995863;-7.234122;-6.723328;-7.2888136;-7.54311
ZINC000006588368;-7.7118125;-7.66657;-7.700702;-8.132834;-7.7694592
ZINC000006588368;-7.9711328;-8.342472;-7.6696887;-8.466413;-8.002024
ZINC000020176807;-8.681713;-8.516611;-8.050581;-8.684655;-8.468599
ZINC000038855757;-8.167812;-8.108403;-8.399537;-7.865961;-7.7937894
ZINC000038855759;-8.305722;-8.415163;-8.451297;-8.035774;-7.864211
ZINC000247996181;-8.231593;-8.39135;-8.57748;-8.54089;-8.106822
ZINC000219820669;-7.500101;-7.8538313;-7.2212987;-7.456958;-7.483232
ZINC000001591351;-5.83301;-5.989772;-6.0163007;-6.0166783;-6.0362625
ZINC000585294616;-7.764325;-7.3044324;-7.189021;-7.4583254;-7.7189755
ZINC000018143987;-7.13246;-7.377514;-7.0787983;-7.0665064;-7.041708
ZINC000013994514;-6.8595057;-6.573023;-6.6039653;-6.910493;-6.546071
ZINC000013994511;-6.7048917;-6.2679324;-6.538614;-6.835594;-6.6536417
ZINC000073295737;-6.464548;-5.447729;-6.2879677;-6.0049367;-6.270072
ZINC000073295739;-6.6018634;-6.0725374;-6.123124;-6.063981;-6.3433914
ZINC000585295281;-7.2544355;-8.103184;-7.616666;-7.6788135;-7.623678
ZINC000020555668;-8.346618;-7.6154547;-7.4239063;-7.4998;-8.089478
ZINC000585295344;-7.538268;-7.688219;-7.658683;-7.743467;-7.614066
ZINC000035031563;-7.922953;-7.714669;-8.059876;-7.866904;-7.9315877
ZINC000026781464;-7.9720917;-7.572487;-7.960121;-7.7317057;-8.056814
ZINC000072396700;-7.470272;-7.0360346;-7.390828;-7.953673;-7.9429736
ZINC000072396701;-7.6686487;-7.072881;-7.5239058;-7.926641;-8.223602
ZINC000012428550;-9.712482;-9.602235;-9.086287;-8.710303;-8.720035
ZINC000003026203;-8.490437;-8.160393;-8.328412;-7.9754543;-8.39281
ZINC000003053334;-5.3132596;-5.983447;-5.6868925;-5.640856;-5.976265
ZINC000001440174;-8.133584;-7.846522;-7.326376;-7.9923763;-7.435008
ZINC000408963432;-8.019736;-8.287254;-7.9554734;-8.165191;-8.306179
ZINC000224006781;-6.4886994;-6.3271823;-6.8886313;-6.573173;-6.6459646
ZINC000108043330;-8.031423;-7.5699983;-8.071764;-7.8819165;-7.816885
ZINC000020611450;-8.046751;-7.6939087;-7.22108;-8.135707;-8.295013
ZINC000020611450;-7.6201944;-7.18367;-6.8042912;-7.161381;-7.489728
ZINC000224076520;-7.747468;-7.9688454;-7.967037;-8.134862;-8.266961
ZINC000224076463;-8.180811;-8.067428;-8.114807;-8.168184;-8.093517
