name;01;02;03;04;05
ZINC000408840003;-7.004537;-7.966587;-7.5347548;-7.791732;-8.068853
ZINC000054360830;-8.267062;-8.61715;-8.271987;-8.820555;-8.677389
ZINC000409331459;-7.76666;-8.059496;-7.6072483;-8.11965;-7.7420735
ZINC000036624780;-7.9198003;-7.743826;-7.6584754;-8.319915;-8.076366
ZINC000112120522;-7.8259754;-8.479026;-8.048112;-7.7429523;-7.7186937
ZINC000112120583;-7.4713974;-8.145634;-7.6509604;-8.052793;-8.147464
ZINC000113836694;-7.5424867;-7.301235;-7.418215;-7.986489;-7.407751
ZINC000008210679;-7.51117;-7.701697;-7.385851;-7.5607414;-7.561513
ZINC000004341271;-7.820737;-7.753127;-7.4572234;-7.668026;-7.648889
ZINC000004341274;-8.725521;-8.487645;-8.522535;-8.518222;-8.590774
ZINC000409350519;-8.126903;-7.353336;-7.8598876;-8.41233;-7.6866264
ZINC000409333763;-7.940639;-7.127094;-7.297941;-7.8570824;-7.5753646
ZINC000004523157;-7.809591;-7.3849015;-7.382423;-7.387823;-7.3683066
ZINC000408533954;-7.8273067;-8.079853;-8.158307;-7.8102365;-7.845895
ZINC000408535868;-7.56563;-7.8927264;-8.058618;-7.8824453;-7.8692093
ZINC000033370916;-7.51291;-7.498777;-7.542958;-7.4127264;-7.6842775
ZINC000033706551;-7.4634595;-7.3649154;-7.5194697;-7.1060004;-7.9330196
ZINC000033709373;-8.56929;-8.632849;-7.9662275;-8.4982815;-8.020685
ZINC000103918888;-7.206094;-7.2479815;-7.62812;-7.1325283;-7.627403
ZINC000112119913;-7.7650504;-8.225009;-7.8947077;-7.958157;-7.895057
ZINC000004718528;-7.7557054;-7.478597;-7.2393317;-8.3742285;-8.071827
ZINC000102570471;-9.834698;-9.34647;-9.125634;-9.714915;-9.480299
ZINC000016692925;-6.6229897;-6.6939483;-6.917451;-6.7935305;-6.969599
ZINC000009694737;-7.4879827;-8.0944805;-7.3525405;-8.099633;-7.6587534
ZINC000038173031;-7.060848;-7.280888;-7.1501155;-7.2599916;-7.3547
ZINC000038172390;-6.525543;-7.1412673;-7.225084;-7.428207;-6.85038
ZINC000038173097;-6.6316724;-7.402065;-7.272724;-7.4234705;-7.1464305
ZINC000038177984;-7.0907407;-7.7772417;-7.564617;-7.9302006;-7.1816854
ZINC000038181542;-6.619947;-7.302156;-7.0507493;-7.4914403;-7.310597
ZINC000038180535;-7.436547;-7.6447444;-7.6735835;-7.966835;-7.536086
ZINC000038172330;-7.0815506;-7.6791897;-7.4989085;-8.089043;-7.5990834
ZINC000038188246;-7.1566224;-7.445434;-7.4202485;-7.605163;-7.4270473
ZINC000038171002;-6.6636806;-7.2929974;-7.2102227;-7.4823985;-7.209579
ZINC000038172659;-7.325005;-7.5041647;-7.858774;-7.503657;-7.543359
ZINC000038182423;-6.845328;-7.5748987;-7.630457;-7.5528517;-7.2058606
ZINC000038177197;-6.913149;-7.404524;-7.287691;-7.470525;-7.4720182
ZINC000033313295;-6.30238;-7.0518684;-7.438417;-7.271838;-6.936702
ZINC000033319631;-8.174082;-8.434878;-8.487877;-8.5176;-8.483224
ZINC000033321314;-6.8601184;-7.0839276;-7.080303;-7.145776;-7.226816
ZINC000409231167;-7.568056;-7.318139;-7.7130995;-7.328232;-7.3946657
ZINC000408739624;-8.456259;-8.309794;-8.125501;-8.505332;-8.372317
ZINC000408740301;-7.6949396;-7.6899548;-7.8786063;-7.744233;-7.8236847
ZINC000408740753;-7.896837;-7.9277406;-7.968142;-8.230474;-8.042079
ZINC000408740184;-8.880955;-8.718165;-8.622446;-8.888464;-8.680282
ZINC000408753994;-8.198347;-8.178282;-8.336321;-8.442116;-8.353534
ZINC000408764746;-7.9871364;-7.790582;-7.892589;-7.802692;-8.171769
ZINC000408769668;-7.525489;-7.475237;-7.4750853;-7.7022386;-7.6641293
ZINC000054360790;-7.643186;-7.840049;-7.7054777;-7.6844587;-7.51917
ZINC000408784910;-7.391036;-7.495305;-8.127453;-7.8142347;-7.924522
ZINC000408789136;-7.518663;-7.8426623;-8.008682;-8.009761;-7.8190517
ZINC000408803086;-7.4328837;-8.127563;-8.06653;-7.788356;-7.762162
ZINC000408800580;-7.349212;-7.944854;-7.2635813;-8.1705065;-7.6439505
ZINC000408799634;-7.373474;-7.5609303;-8.019863;-7.71841;-7.5928144
ZINC000408803528;-7.259403;-7.683401;-7.747244;-7.505591;-7.6328864
ZINC000408804467;-7.223424;-7.7118654;-6.9511967;-7.900854;-7.5164666
ZINC000408809875;-7.3061686;-7.843561;-7.259369;-8.188033;-7.556248
ZINC000408810881;-7.657127;-7.739946;-7.6653633;-7.7839065;-7.5807304
ZINC000003622528;-8.013457;-8.560271;-7.971717;-8.041231;-8.069511
ZINC000408818153;-7.5728917;-8.167233;-6.860361;-7.51649;-7.56287
ZINC000408819320;-6.8386736;-7.6861672;-6.657737;-7.505782;-7.476422
ZINC000408837984;-7.632816;-7.538567;-7.848299;-7.466198;-7.658758
ZINC000408849809;-7.6572504;-7.8857036;-7.988707;-7.5754104;-7.7136784
ZINC000408736526;-6.206277;-6.3532114;-7.054442;-5.949051;-6.3508205
ZINC000408855897;-7.23454;-7.427881;-7.592613;-7.3325925;-7.3071394
ZINC000408876754;-7.8783646;-7.84237;-8.029408;-7.9380827;-7.990449
ZINC000408897323;-7.604411;-7.9296236;-8.1891985;-7.9219904;-7.680247
ZINC000408900123;-7.324867;-7.768581;-7.7583;-7.9318104;-7.8160963
ZINC000408899732;-6.2107615;-6.5026164;-6.700483;-6.56668;-6.476359
ZINC000408895888;-7.472133;-7.729005;-7.7725873;-8.443449;-7.855846
ZINC000408903044;-7.2012653;-7.4386444;-7.611562;-8.17612;-7.565858
ZINC000005371292;-7.782505;-8.211415;-7.767158;-7.9102554;-7.8069763
ZINC000005374282;-7.3274574;-7.0017323;-7.044407;-6.978927;-7.44079
ZINC000005373366;-8.246702;-8.1821575;-8.106956;-8.109694;-7.962787
ZINC000408912384;-7.429534;-7.8832946;-7.839462;-7.985832;-7.812991
ZINC000005373396;-7.9007673;-8.03845;-7.6374135;-7.8356166;-7.5916853
ZINC000005374279;-7.3100696;-7.043246;-7.0737085;-6.9539785;-7.415699
ZINC000005374191;-7.1743846;-6.9368753;-6.727791;-6.7329397;-7.1456404
ZINC000005372209;-7.160241;-6.499627;-7.286711;-6.573374;-7.138159
ZINC000005374335;-6.540468;-6.7794456;-6.5394235;-6.5737257;-6.7368913
ZINC000005374334;-6.3920927;-6.828868;-6.4457526;-6.6231413;-6.845235
ZINC000005372160;-7.3960066;-7.50137;-7.5551724;-7.7822847;-7.498433
ZINC000005373405;-7.696158;-7.22522;-7.045645;-7.300002;-7.016121
ZINC000008202297;-6.9553733;-6.835944;-7.1117563;-6.5840473;-6.973451
ZINC000408960783;-7.1482697;-7.777146;-7.71517;-7.880261;-7.5147734
ZINC000408961175;-7.7053013;-7.6209974;-7.5029063;-7.789811;-7.4532957
ZINC000408961195;-7.4520254;-7.625982;-7.170271;-7.7392607;-7.496936
ZINC000408963118;-6.689705;-7.0735426;-6.9339314;-7.6292143;-7.012804
ZINC000408961531;-8.205904;-7.817893;-8.086146;-8.438627;-8.114876
ZINC000408965742;-8.163983;-8.069633;-7.3773136;-7.6206293;-8.060389
ZINC000408967317;-6.620737;-7.0188026;-7.0947714;-7.372456;-7.081794
ZINC000408967960;-7.283469;-7.61829;-7.9032016;-8.074401;-7.4385695
ZINC000005549147;-7.243461;-7.132109;-7.1353216;-6.9587045;-7.352067
ZINC000408986559;-7.5537806;-7.8822665;-8.089202;-7.7628245;-7.7132654
ZINC000408984363;-7.3870754;-7.5250835;-7.359693;-7.4171553;-7.140669
ZINC000408781399;-7.2736874;-7.4116077;-7.415596;-7.727641;-7.4872723
ZINC000408989284;-7.257002;-7.8157935;-7.929043;-7.822106;-7.553506
ZINC000408989662;-7.665648;-7.5849533;-7.414506;-7.8314238;-7.571643
ZINC000012032581;-7.1729555;-7.0497217;-7.490588;-6.891418;-7.0650253
ZINC000408807890;-7.407049;-7.9160895;-7.615148;-7.673152;-7.691583
ZINC000409017208;-6.948412;-6.540344;-7.182246;-7.457885;-7.1225634
ZINC000408819657;-7.1162095;-7.607731;-8.002824;-7.6583986;-7.633112
ZINC000059105142;-6.6334734;-7.1558366;-7.124832;-7.279525;-7.399504
ZINC000059104852;-7.405422;-7.716572;-7.8758793;-7.557396;-7.810341
