name;01;02;03;04;05
ZINC000223650262;-7.5881166;-7.734049;-7.2195425;-8.003607;-8.200147
ZINC000223664238;-7.840808;-7.70072;-7.9025955;-7.898452;-7.8664036
ZINC000257216851;-9.212785;-8.915104;-9.022093;-9.341904;-9.329802
ZINC000223934422;-8.076582;-8.763707;-8.880699;-8.904154;-8.565704
ZINC000223934494;-7.969122;-8.499539;-8.373215;-8.525339;-8.344213
ZINC000223932653;-8.29753;-8.949884;-8.820856;-9.102821;-8.451709
ZINC000223946496;-8.579564;-8.689828;-8.9557085;-8.717575;-8.8378105
ZINC000223953720;-8.093569;-8.361441;-8.52298;-8.494648;-8.559086
ZINC000072378114;-9.057322;-8.495346;-8.524487;-8.454537;-8.497497
ZINC000257268114;-8.284294;-7.962963;-7.9135165;-7.807559;-8.504398
ZINC000224311653;-8.145855;-7.7867737;-7.989605;-8.34225;-7.821294
ZINC000036646436;-7.9985204;-8.650797;-7.95396;-8.088507;-8.336124
ZINC000224430363;-7.6812186;-7.8148947;-7.5875673;-7.9119234;-7.70958
ZINC000224895800;-6.46051;-6.624648;-6.2592564;-6.8002243;-6.7452674
ZINC000008291560;-8.01465;-8.367496;-8.519114;-8.311792;-8.570548
ZINC000225056250;-7.4648643;-7.919982;-8.162728;-8.131853;-7.7135644
ZINC000408563708;-7.7907777;-7.6195564;-7.8053904;-7.5035033;-7.2754297
ZINC000095116891;-8.205659;-8.12284;-8.414582;-8.107296;-8.092777
ZINC000408528713;-7.3974414;-7.546269;-7.022593;-7.2196574;-7.306825
ZINC000257204380;-9.239655;-9.076654;-9.137187;-9.323988;-9.46023
ZINC000257216852;-9.375642;-9.082255;-9.062102;-9.46436;-9.386972
ZINC000096296886;-7.2280803;-7.7127423;-7.838658;-7.9579763;-7.650137
ZINC000059399412;-7.382661;-7.492512;-7.4773917;-7.0404825;-7.70506
ZINC000078404114;-7.901969;-8.228758;-8.013559;-8.667454;-8.017606
ZINC000004692322;-5.904703;-5.985254;-6.0842857;-6.189892;-6.20033
ZINC000408605374;-8.25224;-8.692712;-8.461836;-8.225705;-8.135174
ZINC000016807641;-7.82658;-7.326327;-7.305836;-7.7541533;-7.6482105
ZINC000409380457;-8.554762;-8.674265;-8.488189;-8.935137;-8.28955
ZINC000409381785;-8.334947;-8.724811;-8.59862;-8.815918;-8.073999
ZINC000408603664;-8.405829;-8.570482;-8.488483;-8.343526;-7.8958015
ZINC000408628416;-7.1045694;-7.5872;-7.2570148;-7.075364;-7.2588325
ZINC000408628203;-7.280788;-7.543754;-7.1907964;-7.2390566;-7.2189574
ZINC000408693750;-7.792048;-7.4677877;-7.2310386;-7.760221;-7.696466
ZINC000010358910;-7.872633;-8.497103;-8.354439;-8.203867;-8.386598
ZINC000408624041;-7.1745853;-7.5480127;-7.31306;-7.276704;-7.3799562
ZINC000011613861;-7.208351;-7.557327;-7.2286797;-7.3170013;-7.4373055
ZINC000005234348;-7.3114185;-7.418359;-7.000044;-6.954771;-7.2128396
ZINC000408923237;-7.6716385;-7.5654426;-7.8134155;-7.5635595;-7.572914
ZINC000078403711;-8.04046;-8.1601515;-7.988326;-8.575915;-7.9321437
ZINC000036612531;-8.264073;-8.284154;-8.111387;-8.035875;-8.146465
ZINC000005945017;-6.5166144;-6.9969873;-6.6814947;-6.5552797;-6.847224
ZINC000257204381;-9.735242;-9.459801;-9.747433;-8.888901;-9.378874
ZINC000409134365;-7.998349;-8.755659;-8.219515;-8.730201;-8.521469
ZINC000409148784;-8.40641;-8.790192;-8.4789505;-8.964464;-8.533796
ZINC000019937306;-8.183179;-8.092382;-7.778029;-7.9249516;-8.044905
ZINC000107417995;-7.255028;-7.7213125;-7.615691;-7.66619;-7.5173225
ZINC000409105086;-6.7609353;-7.0229597;-6.3568172;-6.713188;-6.6355495
ZINC000409380267;-8.342802;-8.251951;-8.240795;-8.642794;-8.020374
ZINC000070462059;-6.811701;-7.2575674;-6.716344;-6.867797;-7.202682
ZINC000001465413;-6.4012923;-6.894164;-6.3988996;-6.5470357;-6.74189
ZINC000113936182;-7.630373;-7.977602;-8.248133;-8.147583;-8.01019
ZINC000113936608;-7.696703;-7.769772;-7.9198685;-7.883786;-7.8325214
ZINC000005204108;-8.014616;-7.9248743;-8.300502;-7.9963818;-7.931797
ZINC000020798003;-7.96037;-8.201178;-8.1891575;-7.9332237;-7.4890056
ZINC000019235696;-9.30842;-8.549673;-8.521025;-8.954797;-8.934088
ZINC000085400144;-6.5731316;-6.833225;-6.8994455;-6.969902;-7.0618
ZINC000001064029;-8.554541;-8.1114235;-8.296537;-8.371023;-8.384363
ZINC000007539437;-7.7461386;-7.7324996;-7.9134283;-7.8757515;-7.9814057
ZINC000072377993;-7.772477;-8.113422;-8.289881;-7.944536;-7.8935556
ZINC000072377992;-8.290006;-8.691448;-8.277357;-8.63377;-7.990941
ZINC000001508387;-8.865269;-8.821281;-8.831144;-9.160396;-8.504378
ZINC000072414173;-7.200262;-7.080272;-7.157938;-7.2430506;-6.721679
ZINC000001508700;-7.976344;-8.124382;-8.162872;-8.17144;-8.408159
ZINC000008180686;-8.419803;-8.361982;-8.538071;-8.572441;-8.523513
ZINC000008208088;-8.170765;-8.392846;-8.356346;-8.564;-8.389893
ZINC000005747606;-7.5382986;-8.031855;-7.623777;-7.817198;-7.53837
ZINC000020634030;-8.058919;-7.9930973;-8.272449;-7.7182016;-7.4452147
ZINC000020634033;-8.173451;-7.9428673;-8.362956;-7.7167206;-7.5614085
ZINC000020634021;-7.754034;-8.520159;-8.153497;-8.160838;-7.7390647
ZINC000005746133;-7.797535;-8.018045;-7.7125955;-7.72567;-7.9437256
ZINC000020673284;-7.9936876;-8.090358;-7.9824185;-8.501155;-7.9212756
ZINC000020797955;-8.171969;-8.776964;-8.499755;-8.77936;-7.8958635
ZINC000020797959;-8.100243;-8.346406;-8.243459;-8.594237;-7.999078
ZINC000020798215;-8.848534;-8.794365;-8.706059;-8.840467;-8.554746
ZINC000020797998;-7.79635;-8.772431;-7.949325;-8.449734;-7.6102552
ZINC000021004609;-7.563783;-7.7434754;-7.9629917;-7.8589053;-8.003612
ZINC000102956774;-8.210049;-8.255743;-7.983241;-8.0794115;-8.309109
ZINC000102956774;-7.9330654;-8.078756;-7.937087;-7.9708757;-8.189862
ZINC000085400146;-6.474155;-7.2213793;-6.943888;-6.7600174;-6.3998585
