name;01;02;03;04;05
ZINC000408516064;-7.168942;-7.1283426;-7.158784;-7.1889563;-7.3779106
ZINC000015011562;-7.0057464;-6.571497;-6.9872885;-7.339848;-6.9449625
ZINC000057089243;-8.478866;-8.285528;-7.875306;-8.512781;-8.670756
ZINC000014738883;-8.988463;-8.705536;-8.905972;-8.835419;-8.666376
ZINC000008645561;-8.100766;-7.300245;-7.702573;-6.8557625;-7.140906
ZINC000047757730;-7.9584866;-7.785043;-7.949605;-7.7310476;-7.923104
ZINC000071958652;-7.5175076;-7.538444;-7.739672;-7.670087;-7.64227
ZINC000003545927;-8.869109;-9.124543;-8.887465;-8.634867;-8.69259
ZINC000005177074;-8.048338;-7.4773564;-7.9644227;-7.7431936;-8.027251
ZINC000005619055;-7.4113927;-7.461998;-6.88902;-7.1454782;-7.6039386
ZINC000071982679;-7.9914107;-8.292248;-8.176088;-8.091785;-8.095225
ZINC000005641921;-7.5834923;-7.796053;-7.2188516;-7.6072702;-7.3237705
ZINC000072007798;-7.62159;-7.1072855;-7.0948567;-6.7619348;-6.9266295
ZINC000006319258;-7.768295;-7.489591;-7.3692465;-7.480435;-7.593214
ZINC000006231780;-8.798937;-8.079658;-8.068918;-8.274783;-7.8801236
ZINC000007205215;-8.351128;-7.3952627;-8.217738;-7.681344;-7.900797
ZINC000007724804;-9.117447;-8.5725975;-8.886766;-8.600464;-8.529636
ZINC000064573070;-7.9447603;-8.211789;-7.601807;-8.237581;-8.085264
ZINC000097175396;-7.879642;-8.033913;-8.303484;-8.026657;-7.6962295
ZINC000008931475;-7.0310636;-6.9277525;-6.884345;-6.6928263;-6.7312627
ZINC000006111237;-8.556763;-8.34867;-8.269216;-8.290499;-8.521022
ZINC000005511184;-6.899568;-6.9868817;-7.378914;-6.7904644;-7.210888
ZINC000005784434;-7.525655;-7.795651;-7.501939;-7.9037104;-7.9105873
ZINC000009687332;-7.2311354;-7.248501;-7.4304647;-7.3409657;-7.3240237
ZINC000045167383;-9.157615;-9.422079;-9.336369;-8.836367;-9.237682
ZINC000108262039;-8.518458;-8.522439;-8.528281;-8.424196;-8.518926
ZINC000008244051;-7.5147495;-7.628251;-7.620587;-8.002523;-7.608745
ZINC000011392904;-7.4100366;-7.8099165;-7.1760163;-7.86464;-7.7555256
ZINC000010428423;-7.3435373;-6.939254;-7.158716;-7.3824425;-7.2982335
ZINC000014723574;-9.119463;-8.856299;-9.044373;-8.4706545;-8.54116
ZINC000014723904;-7.834979;-7.45325;-7.8186493;-7.4236727;-7.403331
ZINC000014075364;-7.772573;-8.052335;-7.651389;-7.594022;-7.875705
ZINC000004288337;-8.6449585;-7.6913986;-8.280577;-7.9296165;-8.51774
ZINC000010422184;-7.037645;-7.5104866;-7.6449614;-7.429695;-7.2845345
ZINC000006587931;-8.427486;-7.7030134;-8.671036;-8.099163;-8.454116
ZINC000006586485;-8.426565;-7.704928;-8.67255;-8.107764;-8.46085
ZINC000328602111;-7.749372;-7.528475;-7.4733386;-8.073763;-7.650509
ZINC000021990316;-7.592414;-7.366292;-7.610876;-7.4176226;-8.106348
ZINC000021930253;-7.3375707;-7.092542;-7.552406;-7.005808;-7.0079956
ZINC000026297642;-7.7822733;-7.1055293;-7.200957;-7.2743664;-6.988306
ZINC000005089405;-6.920414;-6.951395;-7.072526;-6.6920967;-6.548746
ZINC000011253766;-7.810069;-7.1352186;-7.7219763;-7.6179624;-7.7851367
ZINC000004406816;-7.0442924;-7.4127765;-7.2864356;-7.336794;-7.493259
ZINC000003590586;-8.79349;-8.817671;-8.495824;-8.447514;-8.756062
ZINC000004361973;-8.209406;-7.447459;-8.0364895;-7.355152;-8.105879
ZINC000005177083;-8.113373;-7.507366;-7.9751606;-7.7925296;-8.01354
ZINC000005177077;-8.045398;-7.5096188;-7.923684;-7.7561755;-8.02189
ZINC000005629844;-6.5802994;-6.9952965;-6.2950897;-6.4769583;-7.236056
ZINC000006093930;-7.339321;-7.19808;-7.1991205;-6.8022804;-7.295432
ZINC000006586812;-8.655455;-8.201771;-8.64552;-8.03498;-8.632015
ZINC000007699818;-7.6190243;-6.8572803;-7.424615;-7.185215;-7.7191076
ZINC000007265467;-9.018592;-9.07106;-8.939119;-8.695631;-9.289231
ZINC000007802638;-8.6460705;-8.619908;-8.277862;-8.087574;-8.026619
ZINC000007815712;-7.2689123;-7.291364;-7.28582;-7.141542;-7.7092285
ZINC000008807850;-8.096223;-8.283019;-7.1610837;-8.105921;-7.631925
ZINC000008283235;-8.542649;-7.527453;-8.1525545;-7.667605;-8.300547
ZINC000006111708;-8.307866;-8.904616;-8.7413435;-8.302287;-8.900248
ZINC000005782690;-7.1231995;-7.675277;-6.853154;-7.6807995;-7.5420737
ZINC000005801989;-7.317938;-7.290242;-7.459752;-7.756788;-7.6924853
ZINC000005780843;-6.497679;-6.6457453;-6.391634;-6.9933243;-7.0992045
ZINC000010093553;-8.291584;-7.995073;-7.583927;-7.8962045;-7.6771064
ZINC000011392911;-7.3190675;-7.870185;-7.0792346;-7.950278;-7.693816
ZINC000104798727;-7.4403214;-7.830082;-7.310761;-7.687221;-7.3129163
ZINC000009942420;-7.5010834;-7.509542;-7.1227727;-6.719754;-6.9270897
ZINC000108281114;-7.089962;-7.390425;-7.3335686;-7.253966;-7.1306686
ZINC000014723892;-7.134496;-7.3253355;-7.4094276;-7.134544;-7.100958
ZINC000014723970;-8.643606;-8.389227;-8.458606;-8.315527;-8.179444
ZINC000018229539;-6.232224;-6.355644;-6.0274906;-6.261265;-6.1091948
ZINC000024034579;-7.480994;-7.5661182;-7.6258616;-7.1659193;-7.589867
ZINC000023867806;-7.1886096;-7.257201;-6.886349;-7.357833;-6.944195
ZINC000024172364;-7.631731;-7.613576;-7.4804707;-7.404247;-7.657652
ZINC000006541091;-6.402221;-7.0658417;-6.3018074;-6.586994;-7.1636558
ZINC000023922938;-7.589898;-7.409896;-7.589642;-7.1704574;-7.2480516
ZINC000071958653;-7.411436;-7.4172025;-7.6788735;-7.560362;-7.5875096
ZINC000071982735;-7.9751515;-7.9675937;-7.747901;-7.7047405;-7.410797
ZINC000071982736;-7.79639;-7.8594475;-7.6892548;-7.737996;-7.4466157
ZINC000071981331;-9.092307;-8.915242;-8.746024;-8.75442;-8.961611
ZINC000003556931;-7.7115836;-8.106847;-8.575205;-7.8841295;-7.667384
ZINC000004492765;-7.272445;-7.4405656;-6.75729;-6.67641;-6.67499
ZINC000004286129;-8.02606;-8.005815;-8.188587;-7.949312;-7.9398274
ZINC000004492909;-7.5479364;-7.7831573;-7.127638;-7.3976955;-7.1315594
ZINC000004997629;-8.402384;-8.237013;-7.9849443;-7.887897;-8.029449
ZINC000004800643;-7.464502;-7.651249;-6.8554163;-7.0687366;-7.134176
ZINC000005429042;-7.6360683;-7.6815615;-7.546881;-7.284257;-7.7018747
ZINC000005177024;-7.887113;-7.104927;-7.24049;-7.1573935;-7.699867
ZINC000005177079;-8.123476;-7.4783387;-7.990179;-7.7800803;-8.010514
ZINC000005869475;-8.012441;-7.3957863;-7.9677877;-7.685646;-7.667488
ZINC000006319253;-7.8593025;-7.44556;-7.4452105;-7.475893;-7.5405393
ZINC000006585232;-8.62524;-8.179262;-8.713398;-7.9961653;-8.644413
ZINC000007706524;-8.172824;-7.9648967;-7.5385;-7.7994137;-7.6783214
ZINC000007352654;-7.3699737;-7.406224;-6.7941074;-7.430333;-7.1774797
ZINC000097100676;-7.6056004;-7.8356857;-7.9828153;-7.78723;-7.4133034
ZINC000005782694;-7.0087047;-7.6856527;-6.800189;-7.743644;-7.535098
ZINC000005784393;-7.65163;-7.5272074;-7.6476903;-7.816629;-8.059318
ZINC000007122663;-7.736336;-7.783542;-8.19506;-7.913993;-8.150548
ZINC000007265388;-7.857452;-8.266409;-8.202575;-8.020188;-8.120422
ZINC000108281111;-6.778716;-7.464257;-7.488795;-7.471477;-7.5873914
ZINC000010322337;-6.8209853;-7.0036945;-7.1088367;-7.294341;-6.8140516
ZINC000011320737;-8.438475;-8.011264;-7.8508997;-7.640973;-8.192785
ZINC000016204703;-6.788463;-6.909768;-6.7510095;-6.7094584;-6.55387
ZINC000026883016;-5.9280167;-6.0833178;-6.209312;-6.2726865;-6.0082803
ZINC000095554048;-7.775221;-7.8580313;-7.74583;-8.063206;-8.199419
ZINC001164645065;-7.1022553;-7.321747;-7.0541687;-6.9324045;-6.6194553
ZINC000024355921;-7.7645826;-7.5436754;-7.0942707;-7.483331;-7.5497108
ZINC000071990203;-7.758042;-7.799;-7.7736044;-7.999575;-7.607062
ZINC000034097700;-8.533902;-8.213824;-8.50355;-8.518906;-8.567282
ZINC000026084020;-7.2651234;-7.1571503;-7.23023;-6.8459163;-7.405361
ZINC000014686205;-7.1382785;-6.0176506;-6.328327;-6.431319;-6.3459964
ZINC000014686051;-7.282721;-7.304419;-7.1439095;-7.140391;-7.213469
ZINC000009687335;-7.232155;-7.249247;-7.4315863;-7.3418627;-7.325009
ZINC000010188826;-8.206;-7.872384;-7.233156;-7.6882973;-7.915197
ZINC000010422185;-7.1435776;-7.569834;-7.6085057;-7.4040737;-7.304242
ZINC000010867935;-7.9809437;-7.9023623;-7.5734925;-7.7763925;-7.9522533
ZINC000010866594;-8.110253;-7.681622;-7.63097;-7.829829;-7.8900876
ZINC000001932443;-7.8614397;-8.010379;-7.7066636;-8.133343;-8.10167
ZINC000016101602;-6.0467644;-5.9284425;-6.3119626;-5.9759436;-6.083133
ZINC000097169140;-6.956326;-6.6154428;-6.9996247;-7.006571;-7.2391124
ZINC000022025030;-7.578083;-7.8742623;-7.79801;-8.143817;-8.453823
ZINC000022134255;-7.6116734;-7.483259;-7.4496183;-7.5911927;-7.8046455
ZINC000004371386;-7.361284;-7.0250163;-7.198111;-6.4352155;-6.7734523
ZINC000006097363;-8.061571;-7.945498;-7.994522;-8.126043;-8.244512
ZINC000004285398;-7.330844;-8.618598;-8.185525;-8.166464;-8.159477
ZINC000408516976;-7.5195336;-6.9647393;-7.4723315;-7.6020255;-7.3835845
ZINC000408516977;-7.622737;-7.1575637;-7.3337717;-7.968798;-7.5412726
ZINC000004492764;-6.852231;-7.526238;-6.603949;-6.8583903;-6.6423035
ZINC000007178611;-6.9050493;-7.909468;-6.624183;-7.156802;-6.7948785
ZINC000007701012;-7.645628;-7.613295;-7.719987;-7.8626194;-8.050723
ZINC000010917025;-6.8912463;-6.3389344;-6.734833;-6.930364;-6.667278
ZINC000063613639;-7.428966;-7.6252856;-7.3559422;-7.727696;-7.436662
ZINC001164391026;-7.297416;-7.837406;-7.466635;-7.207615;-7.3713093
ZINC001164391011;-7.1974087;-7.6809096;-7.033578;-7.3749475;-7.2227488
ZINC000010188829;-8.301017;-7.616501;-7.358012;-7.5003233;-7.944976
ZINC000010535975;-6.3715687;-6.8906565;-6.2219768;-6.7848873;-6.471778
ZINC001164699706;-6.7740726;-6.8128853;-7.428159;-7.4335876;-6.9672637
ZINC001164699708;-6.758516;-6.9261274;-6.6781654;-6.866307;-6.8124514
ZINC001164699705;-6.424807;-6.6200523;-7.068527;-6.6978464;-6.619326
ZINC001164699707;-6.6916366;-6.6011596;-7.3866887;-6.6504683;-6.8823595
ZINC001164697234;-6.64764;-6.7834835;-6.599435;-6.5394306;-6.762635
ZINC001164697232;-7.035861;-6.4876986;-6.7163177;-7.1303997;-7.037256
ZINC001164697226;-6.100728;-6.0984287;-6.8236313;-6.4260163;-6.0676537
ZINC001164697236;-6.9375105;-6.2575617;-6.628067;-6.899949;-7.223059
ZINC001164700172;-7.097522;-6.966652;-6.705743;-6.5516553;-6.7099667
ZINC001164700178;-6.7157607;-7.0064335;-6.877378;-6.759605;-6.68606
ZINC001164704560;-6.3778462;-6.9067793;-6.584167;-7.0663557;-6.8608055
ZINC001164700176;-6.718953;-6.8382087;-6.622756;-6.779255;-6.7614913
ZINC001164704559;-6.7121153;-6.988193;-7.390448;-7.343923;-7.3370256
ZINC001164700174;-6.84892;-6.764375;-7.3180046;-7.3255377;-7.2429895
ZINC001164704562;-6.777206;-6.7107954;-7.0151463;-6.7632546;-6.898353
ZINC001164704557;-7.0844097;-6.899398;-6.8639913;-6.738738;-6.6568127
ZINC001164700986;-6.8498964;-7.072342;-6.558634;-6.8014402;-6.856348
ZINC001164700980;-6.5086937;-6.565477;-6.908993;-6.784005;-6.680496
ZINC001164700983;-6.737896;-6.9259243;-6.8381023;-7.0513515;-7.269995
ZINC001164700989;-6.787075;-6.824326;-7.238132;-7.1319513;-7.0271854
ZINC001165017537;-6.5506206;-7.2361846;-6.796702;-7.426216;-6.778019
ZINC001165016193;-8.118911;-7.819876;-7.5321403;-7.8595667;-8.005256
ZINC001165017462;-6.6345105;-6.8936777;-7.1060057;-7.152365;-7.3036804
ZINC001165016592;-7.1928763;-7.268464;-7.0434375;-7.2666764;-7.439032
ZINC001165017387;-6.240832;-6.5751505;-6.725867;-6.753542;-6.486658
ZINC001165017297;-6.741129;-7.1635284;-7.3191395;-7.249442;-7.083828
ZINC001165017832;-7.842739;-7.2697983;-7.639742;-7.775928;-7.698104
ZINC001165016232;-7.3978934;-7.6478643;-7.301371;-7.4484057;-7.4633856
ZINC001165017766;-6.9414735;-6.865607;-7.0317693;-7.0200834;-7.326963
ZINC001165018352;-6.8803663;-7.371113;-7.1642075;-7.227196;-7.3307247
ZINC001165016621;-6.7140102;-6.985605;-7.1370792;-7.0672874;-7.4726515
ZINC001165017843;-7.64219;-7.493996;-7.527895;-7.783099;-7.4752417
ZINC001165016593;-7.490273;-7.1452127;-7.561864;-7.609355;-7.286533
ZINC001165018334;-6.533267;-6.685379;-6.711476;-6.907175;-6.8387423
ZINC001165017168;-7.1966686;-7.538597;-7.814019;-7.774452;-7.881463
ZINC001165017455;-5.6284432;-5.763328;-5.801158;-5.6482224;-5.988475
ZINC001165018399;-7.003192;-6.7370753;-7.158498;-7.1516385;-7.0714817
ZINC000010267196;-7.2225018;-7.173427;-6.947028;-7.0229206;-6.590202
ZINC000005449792;-7.6376767;-7.874221;-7.6247377;-7.5189233;-7.6940227
ZINC001164410419;-7.5277553;-7.4398155;-7.89199;-7.3797636;-7.726059
ZINC001164410933;-6.7487087;-6.996476;-6.9338446;-6.8805017;-6.8232946
ZINC001164410421;-7.5040965;-7.4564886;-7.574218;-7.4666324;-7.3720627
ZINC001164410930;-6.78661;-6.9510365;-6.8017035;-6.843272;-7.088368
ZINC001164410417;-7.514448;-7.330917;-7.309876;-7.3497458;-7.363848
ZINC001164410415;-7.677584;-7.5456505;-7.491939;-7.4608;-7.625979
ZINC001164410932;-6.727444;-6.976445;-7.1726265;-6.7881393;-7.1974425
ZINC001164410931;-6.789569;-6.8868146;-6.7266064;-6.74547;-6.830055
ZINC001164415855;-7.312306;-7.9158225;-7.2661033;-7.3083086;-7.4629145
ZINC001164422867;-7.259103;-7.072014;-6.8631396;-6.6561074;-7.220982
ZINC000006111707;-8.381263;-8.912052;-8.771353;-8.280616;-8.951057
ZINC000012766144;-8.84101;-8.608323;-8.252955;-8.912195;-8.570239
ZINC001165046414;-6.5940514;-6.651718;-6.594018;-6.591155;-6.6704793
ZINC001165046413;-6.735174;-6.6397266;-6.620947;-6.498497;-6.7772427
ZINC001164431075;-7.504968;-7.1668267;-7.513461;-7.1093388;-7.1600313
ZINC001164429169;-6.50606;-6.6684833;-6.93454;-6.641223;-6.6790237
ZINC001164431074;-7.265613;-7.1307783;-7.633503;-7.211314;-7.2166176
ZINC001164429172;-6.6775026;-6.675258;-6.9001827;-6.5790453;-6.6579914
ZINC001164430348;-6.7049913;-6.734526;-6.7312336;-6.664273;-6.8295527
ZINC001164430349;-6.6802597;-6.8408337;-6.688977;-6.6856027;-6.7620845
ZINC001165047916;-6.4601912;-6.8304825;-6.778584;-6.7698874;-6.9286566
ZINC001165049246;-6.1824417;-5.995798;-6.081585;-6.072335;-5.9279957
ZINC001165048105;-6.1853724;-6.12713;-6.1381907;-6.348137;-6.3162065
ZINC001165048602;-8.121511;-7.870649;-7.8786855;-7.635381;-7.877138
ZINC000007265577;-7.9548874;-8.166827;-8.079367;-7.9697657;-8.02116
ZINC001165052115;-7.001094;-6.951654;-7.630437;-7.208584;-7.1252747
ZINC001165052475;-6.2066283;-6.3556123;-6.8175473;-6.6235814;-6.6311193
ZINC001165052342;-8.130196;-7.717201;-7.880227;-7.4442883;-7.6895733
ZINC001165052341;-8.144394;-7.8123364;-7.9310274;-7.5691013;-7.751931
ZINC001165052343;-7.5330167;-7.8063955;-8.246194;-7.671276;-7.910281
ZINC001165052340;-7.914755;-7.486168;-7.923122;-7.429082;-7.6171203
