name;01;02;03;04;05
ZINC000102560624;-7.1168494;-6.784455;-7.1917763;-6.620025;-6.7989864
ZINC000100238808;-7.663084;-7.2600293;-6.8087378;-7.3890347;-6.9372044
ZINC000104338810;-5.0515094;-5.298796;-5.93581;-5.272938;-5.3214254
ZINC000100470955;-6.6912456;-6.5312753;-6.923557;-6.5203023;-6.3134327
ZINC000104038887;-6.6004663;-6.909811;-6.802708;-6.378307;-6.8088107
ZINC000100470947;-7.030488;-6.4154677;-7.12881;-6.6704273;-6.5917306
ZINC000104038894;-6.50109;-6.84346;-6.7281446;-6.3599105;-6.6400833
ZINC000100238805;-7.676374;-7.3033586;-6.827384;-7.3801346;-6.941427
ZINC000013940998;-8.262581;-8.1158085;-9.113902;-8.4783125;-7.9449134
ZINC000100076949;-7.0615582;-6.7562366;-6.5978413;-6.59523;-6.4964666
ZINC000100501145;-7.3122377;-7.283351;-6.828783;-6.9466476;-7.274644
ZINC000104347859;-7.705031;-7.8053837;-7.906357;-7.2924085;-7.483156
ZINC000100693341;-8.158419;-8.089796;-7.20292;-7.418763;-7.4539957
ZINC000104347865;-7.9922185;-7.9465394;-7.4113626;-7.2482944;-7.4571776
ZINC000100693338;-8.207343;-8.027489;-6.95671;-7.3574276;-7.425855
ZINC000002684345;-7.66056;-7.6104527;-7.443461;-7.478758;-7.2515335
ZINC000059042385;-7.027249;-6.5762534;-6.5967636;-6.191853;-6.648321
ZINC000106865934;-6.991495;-6.907261;-6.991805;-6.984598;-7.1971645
ZINC000122614530;-8.755197;-9.1629505;-9.13656;-9.164082;-9.142592
ZINC000122614333;-8.926793;-9.165888;-8.644714;-9.118884;-9.132384
ZINC000104063950;-7.1632876;-7.296085;-6.8411417;-7.258747;-7.0093646
ZINC000059042383;-7.036746;-6.3636913;-6.6940956;-6.3676662;-6.4235735
ZINC000100238907;-8.484971;-7.6467347;-7.624319;-8.152958;-7.6589513
ZINC000101663418;-7.639868;-6.5639415;-7.407311;-7.2003255;-7.8105817
ZINC000100238905;-8.505371;-7.7117143;-7.674742;-8.140101;-7.6744885
ZINC000100691147;-7.6760864;-6.6922903;-7.617144;-7.20742;-7.0943604
ZINC000100691150;-7.8186646;-7.4306717;-8.018182;-7.3078613;-7.0355287
ZINC000100312958;-7.550115;-6.862175;-7.655301;-6.8127894;-6.7438345
ZINC000100312956;-7.618557;-6.4253407;-7.2890387;-6.934505;-6.7581654
ZINC000102561823;-8.560639;-8.057393;-8.865459;-8.141977;-8.226183
ZINC000102561818;-8.301093;-7.948725;-8.500666;-7.64538;-7.853182
ZINC000102561857;-7.7605033;-7.5690236;-7.639472;-7.035432;-7.2427588
ZINC000102561868;-7.990344;-7.9089494;-7.8564887;-7.5432262;-7.6798563
ZINC000102561894;-8.328649;-7.9707656;-8.124324;-7.481292;-7.6356435
ZINC000102561787;-7.161582;-6.491242;-6.937816;-6.5509496;-6.915039
ZINC000102562056;-8.607792;-8.254612;-8.709212;-8.078191;-8.125849
ZINC000102561864;-8.436558;-8.057057;-8.2678385;-7.943119;-7.7843714
ZINC000095536658;-8.425982;-7.561129;-7.362639;-7.4666452;-7.523569
ZINC000102561961;-8.494395;-8.205804;-7.9197874;-8.019104;-8.103538
ZINC000102562064;-8.01268;-7.9676085;-7.842219;-7.9048357;-7.609057
ZINC000102562096;-7.9726667;-7.8372164;-7.5194917;-7.390855;-7.4661493
ZINC000102561706;-7.867162;-7.637767;-7.402785;-7.207927;-7.5129323
ZINC000102562102;-8.123813;-7.848076;-7.7832355;-7.6830516;-7.678336
ZINC000102561711;-8.233216;-8.039648;-7.940475;-7.76473;-7.9460974
ZINC000102562093;-7.9339304;-7.8422422;-7.8961296;-7.614807;-7.6996913
ZINC000102562067;-7.259679;-7.3953247;-7.7297897;-7.553495;-7.5059457
ZINC000102561853;-8.121418;-7.7305923;-8.077456;-7.648476;-7.5336847
ZINC000102562108;-8.21111;-7.9219832;-8.101266;-7.817259;-7.428521
ZINC000100724133;-6.1277847;-6.6543603;-6.6994505;-6.5430737;-6.826194
ZINC000100724135;-6.8399763;-7.029698;-6.863674;-6.638885;-6.948271
ZINC000004133145;-8.795984;-8.122661;-8.704945;-8.203169;-7.905261
ZINC000004311365;-8.27805;-8.20899;-8.002291;-8.043171;-8.34468
ZINC000004866073;-8.235306;-7.892273;-8.149016;-8.315284;-8.151346
ZINC000008497289;-8.537339;-7.314299;-7.9314904;-8.111711;-8.13705
ZINC000006857340;-6.7649636;-6.074648;-6.13031;-6.632204;-6.395445
ZINC000059641257;-5.9326916;-7.8337145;-6.1343;-5.973155;-5.4724813
ZINC000104840361;-6.4891396;-7.2060413;-7.601338;-7.317223;-7.0603848
ZINC000027525827;-7.968047;-7.9866943;-7.7913876;-8.3437;-8.312819
ZINC000095741722;-7.1567373;-7.5107927;-6.923993;-7.4026594;-7.1130795
ZINC000102568314;-8.883583;-8.152522;-8.912403;-8.49325;-8.252391
ZINC000102571091;-8.608542;-7.942858;-8.671178;-8.231659;-8.004749
ZINC000102568316;-8.402218;-8.105736;-8.473816;-8.1344185;-8.076218
ZINC000102568257;-7.9817333;-7.7551923;-7.79459;-7.4902534;-7.4347343
ZINC000102568158;-8.200348;-7.675084;-7.6281877;-7.405212;-7.41935
ZINC000102568172;-8.420584;-7.893779;-7.939793;-7.5533347;-7.6660924
ZINC000102570914;-7.084978;-6.776906;-6.712504;-6.751663;-6.6231556
ZINC000102571017;-8.336865;-7.7813435;-8.343313;-7.709366;-7.6823907
ZINC000102568156;-8.24745;-7.9370813;-7.756957;-7.4995866;-7.6163015
ZINC000102568192;-8.46467;-7.7358475;-7.9353576;-7.504284;-7.94549
ZINC000102568150;-7.9948387;-7.77814;-7.651495;-7.6031356;-7.5662003
ZINC000102565156;-7.9596944;-7.515005;-7.5698557;-7.5086923;-7.553459
ZINC000102568325;-7.2318506;-7.2797084;-7.4157395;-7.6266727;-7.30155
ZINC000102565140;-8.005873;-7.5473995;-7.2807226;-7.268625;-7.4954014
ZINC000102568270;-8.464274;-7.8332634;-7.7357473;-7.8857136;-8.12919
ZINC000102568272;-8.2422085;-7.8354073;-7.6872625;-7.6550903;-7.776657
ZINC000102568355;-8.177825;-7.7892923;-7.5947733;-7.720798;-7.6712933
ZINC000102568361;-8.276554;-7.895001;-7.938896;-7.923244;-7.3006597
ZINC000102568351;-8.107909;-7.7520986;-7.40124;-7.4495807;-7.4577937
ZINC000102565152;-8.140472;-7.71395;-7.4177628;-7.4654136;-7.348712
ZINC000102568323;-8.067708;-7.8329573;-7.5376663;-7.9335127;-7.427321
ZINC000102568229;-8.580723;-8.0912695;-7.691755;-8.087678;-8.070624
ZINC000102565146;-8.40077;-7.961565;-7.8299575;-7.815855;-7.9338226
ZINC000102568147;-8.498981;-7.985844;-8.097186;-8.05564;-7.647145
ZINC000102568349;-8.065477;-7.758895;-7.7831726;-7.6573777;-7.706417
ZINC000004530012;-7.4021573;-7.477678;-7.2918406;-7.6230874;-7.1251
ZINC000005588195;-6.953536;-7.096911;-7.145913;-6.5919847;-6.738869
ZINC000004774356;-7.7811937;-8.024958;-7.9390187;-8.0496235;-7.7951097
ZINC000004133153;-8.0773735;-7.504974;-8.402815;-8.167893;-7.9548807
ZINC000004133143;-7.8445687;-8.350677;-8.719343;-8.418715;-7.5631356
ZINC000016957350;-6.7639375;-7.4979157;-7.650712;-7.314866;-7.1860037
ZINC000006384814;-7.708058;-7.039501;-7.7210736;-7.186306;-7.567954
ZINC000007525114;-8.405277;-7.5885854;-7.900906;-7.493231;-7.6035423
ZINC000055008576;-7.681994;-7.759152;-7.9709435;-7.6990957;-8.112227
ZINC000095891001;-6.7019587;-6.5660067;-6.172946;-6.222499;-6.2964606
ZINC000013940938;-8.157768;-7.6767893;-8.674448;-8.181221;-8.081571
ZINC000008534848;-8.597941;-7.2264166;-7.8798227;-8.213498;-8.169037
ZINC000004963745;-9.207951;-8.952197;-8.785221;-9.051102;-8.659614
ZINC000004963744;-8.909484;-9.392404;-8.613199;-9.442438;-9.353335
ZINC000104377633;-7.229607;-7.252918;-7.338009;-7.2669916;-7.659068
ZINC000100923968;-6.606964;-6.6771135;-5.995348;-5.915699;-6.01143
ZINC000100934610;-6.054197;-6.7412453;-6.5014553;-6.207355;-5.9362984
ZINC000408526112;-7.56211;-7.441207;-7.6472015;-7.3113885;-7.7412496
ZINC000100932119;-8.761833;-7.608875;-8.330753;-7.018708;-7.064862
ZINC000100932117;-7.954194;-7.789892;-7.2935514;-7.3841076;-6.6564517
ZINC000006761234;-8.693495;-8.276529;-7.8571877;-8.237707;-8.263289
ZINC000105345725;-7.8896465;-7.638727;-7.754104;-7.0753474;-7.1992416
ZINC000217464902;-6.031007;-6.607933;-6.6402855;-6.5094614;-6.9915333
ZINC000105343370;-7.922224;-7.2563095;-7.604293;-7.1645284;-7.580797
ZINC000217464985;-6.505423;-7.162271;-6.8469234;-6.638882;-6.927191
ZINC000105246157;-7.984107;-7.5657845;-7.545136;-7.1578274;-7.2281313
ZINC000004683128;-7.259491;-7.0834317;-7.7324657;-6.7347846;-7.3443575
ZINC000004133149;-8.129268;-7.4652586;-8.002018;-7.8817;-7.808345
ZINC000003998737;-8.958825;-8.220877;-8.555984;-8.2196045;-8.271607
ZINC000013151753;-7.5249496;-6.650217;-7.169146;-7.6071973;-7.3508863
ZINC000002100938;-8.221863;-8.252497;-8.04619;-7.5125637;-8.038295
ZINC000017315505;-7.4226723;-7.549025;-7.3832016;-7.2065787;-6.9641986
ZINC000005586461;-8.318919;-8.571125;-8.058826;-8.041835;-8.16929
ZINC000005069877;-8.461984;-8.637999;-8.569593;-8.328611;-8.452597
ZINC000008470275;-8.447152;-7.949204;-7.5504293;-7.6502137;-7.5358143
ZINC000004029021;-8.114066;-7.783532;-7.9242697;-7.4491243;-8.162186
ZINC000004477938;-7.5885706;-7.539486;-7.7696185;-7.326804;-7.8997097
ZINC000004477937;-7.915248;-8.181156;-8.115824;-7.7330513;-7.745759
ZINC000004836803;-8.650585;-7.246881;-8.01579;-7.955315;-8.225563
ZINC000096305050;-9.70372;-8.455278;-8.705954;-8.900587;-9.172273
ZINC000004866071;-9.096907;-8.678807;-8.276146;-8.2880335;-8.305845
ZINC000085868031;-8.32294;-8.070613;-8.013272;-8.295286;-8.561338
ZINC000012222179;-7.7438197;-6.6671677;-7.1348658;-6.9763727;-7.3297644
ZINC000012222178;-7.649411;-7.0716724;-7.061781;-6.9693747;-6.6751966
ZINC000001867124;-7.1749835;-6.704834;-6.780805;-6.9996424;-6.718865
ZINC000001706400;-8.086933;-8.299224;-7.692793;-8.083496;-8.221344
ZINC000001668717;-8.167693;-7.671084;-7.5634804;-7.5635886;-7.50652
ZINC000001683098;-7.7913604;-7.6516886;-7.296897;-7.592116;-7.7368774
ZINC000096617448;-8.6714945;-8.901736;-8.239423;-7.9865522;-8.162811
ZINC000001881849;-7.933752;-7.7985334;-7.005098;-7.79217;-7.8740478
ZINC000001569712;-8.453815;-8.318088;-8.006912;-8.259327;-8.405405
ZINC000001673118;-7.2661724;-7.1582813;-6.7377057;-6.9896245;-6.9332147
ZINC000001668720;-8.138399;-7.6253114;-7.578112;-7.432845;-7.491443
ZINC000001732655;-5.1920786;-5.7342544;-6.0071297;-5.3938365;-5.759636
ZINC000073354880;-5.3129354;-5.147375;-4.7860117;-5.4755125;-5.6552978
ZINC000073387810;-5.229245;-5.758314;-5.2582073;-5.842615;-5.906815
ZINC000002075197;-7.2609234;-7.2916946;-7.2612386;-6.994608;-6.799213
ZINC000096194470;-7.976219;-8.751323;-7.517249;-8.141859;-8.653869
ZINC000006593348;-8.264929;-7.0999537;-7.730046;-7.7395716;-7.7270045
ZINC000100923554;-5.68429;-5.250507;-6.273774;-5.8070445;-5.530066
ZINC000100923605;-7.9504337;-7.779689;-7.5508204;-6.3425326;-6.1112366
ZINC000100923603;-8.159561;-8.310413;-7.656087;-5.930553;-6.4244804
ZINC000100934001;-6.6254625;-6.5834427;-6.30162;-6.3653016;-6.563816
ZINC000008665903;-8.766118;-9.1994295;-9.106304;-8.855475;-8.576336
ZINC000017127106;-8.103958;-7.866535;-7.9516125;-7.5772953;-8.210226
ZINC000104063955;-7.219955;-7.1131725;-6.841977;-7.3813457;-7.0327907
ZINC000104177318;-6.0434747;-6.496715;-6.3563547;-6.39474;-6.577155
ZINC000104167957;-7.71306;-7.565079;-6.7433324;-6.4568343;-7.073933
ZINC000104177315;-6.1327453;-6.514014;-6.512784;-6.43338;-6.5835104
ZINC000104177292;-6.466138;-6.7023563;-6.470465;-6.2910204;-6.326724
ZINC000104167962;-7.7661653;-7.5734205;-6.738246;-6.57574;-7.08227
ZINC000104177312;-6.34387;-6.41385;-6.7034636;-6.476201;-6.7203865
ZINC000104190410;-5.7903905;-5.490449;-5.3702025;-5.400056;-5.3425913
ZINC000104190405;-6.141451;-5.974572;-6.2584724;-5.5384054;-6.140128
ZINC000104183491;-6.4400373;-6.3998275;-6.091682;-6.098613;-6.3803864
