name;01;02;03;04;05
ZINC000252286817;-5.3372865;-6.0868387;-6.204275;-5.7190394;-6.235012
ZINC000252286815;-5.8455048;-6.306356;-5.7269816;-5.070409;-5.8352246
ZINC000575420252;-5.7926025;-6.465343;-6.232541;-5.843087;-6.0824003
ZINC000575420306;-6.804948;-5.981071;-6.8993206;-6.8705797;-7.100611
ZINC000575420304;-7.3113704;-5.5646715;-6.3439884;-6.448187;-6.6459312
ZINC000575420250;-6.0582647;-6.4650316;-6.065975;-6.2605796;-6.4584928
ZINC000575420305;-7.3658714;-7.1088014;-7.214102;-6.8201942;-7.424996
ZINC000575420303;-6.683323;-5.903591;-6.8653374;-6.887211;-7.0748334
ZINC000575420247;-5.5874615;-6.7253327;-5.725123;-6.2821403;-6.236047
ZINC000575420254;-6.212882;-6.148779;-6.1309566;-6.2685843;-5.914713
ZINC000575424700;-6.134944;-6.2042437;-6.3112984;-7.0672183;-6.3053017
ZINC000575424686;-6.6745048;-6.233504;-6.403045;-6.7397532;-8.011983
ZINC000575424591;-5.579732;-6.3078237;-5.6164436;-6.4260635;-6.088605
ZINC000575424593;-5.564847;-6.145998;-6.6657925;-6.194762;-6.095365
ZINC000575424701;-6.2904453;-6.4909315;-6.2224865;-7.3318534;-6.859667
ZINC000575424685;-6.4121284;-6.3447866;-6.4438095;-6.5557885;-7.6926904
ZINC000575424702;-5.9743342;-6.2171655;-5.6741104;-7.1867394;-6.247986
ZINC000575424699;-6.378815;-6.5826864;-5.76782;-7.268104;-6.7220654
ZINC000575424684;-6.337387;-6.5662427;-6.539446;-6.3917255;-7.2300267
ZINC000575424592;-5.708505;-5.538484;-6.127486;-6.5965176;-5.8207474
ZINC000575424585;-5.9283257;-5.760171;-6.340247;-6.0442247;-6.106161
ZINC000575425149;-6.912487;-6.604294;-6.9766245;-6.2567253;-7.174138
ZINC000575425087;-6.709368;-5.8851438;-6.7502623;-6.579419;-6.9525285
ZINC000575425084;-6.5734324;-5.8210974;-6.715833;-6.5966916;-6.92896
ZINC000575425124;-5.822563;-6.586955;-6.0369887;-6.285898;-6.344773
ZINC000575425150;-6.577499;-6.7905188;-6.61693;-7.018067;-6.6079683
ZINC000575425127;-5.8626404;-5.946593;-6.5007896;-6.359385;-6.018824
ZINC000575425085;-7.205716;-5.4997377;-6.0686564;-6.1640835;-6.473005
ZINC000575425151;-6.1654825;-6.3429203;-6.665589;-6.253852;-6.931621
ZINC000575425152;-5.938637;-6.276544;-6.01729;-6.1135826;-6.798814
ZINC000575425125;-5.8013353;-5.9632816;-5.877463;-6.2984786;-6.0824428
ZINC000575425126;-5.228617;-5.8021975;-6.0580544;-6.1894803;-6.119726
ZINC000575425086;-7.252202;-7.0008616;-7.0302854;-6.6326823;-7.251379
ZINC000575425436;-6.1603622;-6.142862;-6.182005;-6.648133;-6.9513497
ZINC000575425444;-6.3704395;-6.5889974;-6.2399287;-6.9062204;-7.3091707
ZINC000575425443;-5.955366;-6.169923;-5.618791;-6.8030386;-6.8470592
ZINC000575425442;-6.469886;-6.6493473;-5.7809606;-6.889661;-7.193273
ZINC000575425825;-5.9283485;-5.9128942;-5.7161427;-6.563394;-6.565153
ZINC000575425824;-6.221373;-6.5710554;-5.7086153;-6.5491924;-6.8087244
ZINC000575425826;-5.7671833;-6.0694213;-6.140359;-6.372831;-6.6064873
ZINC000575425823;-5.678833;-6.585767;-5.80224;-6.4862857;-6.7832594
ZINC000575426275;-5.9584103;-6.296344;-6.7831087;-6.6861415;-6.299768
ZINC000575426276;-5.927384;-5.7659483;-6.4701824;-6.4375067;-5.95926
ZINC000575426274;-5.220005;-6.097132;-6.676257;-6.477931;-6.115128
ZINC000575426277;-6.2690206;-6.176051;-6.632435;-6.710246;-6.5472474
ZINC000026267174;-7.148206;-6.962759;-6.5090613;-7.2263923;-7.342095
ZINC000514289867;-7.050215;-7.396579;-7.0305147;-6.587938;-7.042934
ZINC000514289863;-6.7248516;-7.3201385;-7.406318;-6.936593;-7.138686
ZINC000082027098;-7.2256465;-6.443127;-6.443285;-6.6350045;-6.4138885
ZINC000514287732;-6.2028475;-5.9385386;-5.504632;-5.498295;-5.1840916
ZINC000514287731;-6.314253;-5.941115;-5.456077;-5.5935802;-5.0175257
ZINC000032296163;-7.316764;-7.0161476;-6.676321;-7.207829;-7.68379
ZINC000254526809;-6.1829004;-6.6591196;-6.7431417;-6.788801;-6.3423815
ZINC000254526807;-6.3722625;-6.9146423;-6.58581;-6.262438;-6.2293463
ZINC000254526808;-5.753521;-6.9992223;-6.2401223;-6.4369993;-6.117834
ZINC000254526810;-5.920525;-6.9746313;-6.2450686;-6.9462805;-6.3469887
ZINC000584567098;-6.261485;-6.1357555;-5.9810023;-5.354567;-5.9659243
ZINC000584578933;-6.192305;-6.1136727;-5.532154;-5.9686174;-5.4593635
ZINC000584578934;-6.183328;-6.216509;-5.6295066;-6.2420654;-5.642682
ZINC000026892572;-6.833371;-6.987135;-6.659811;-6.820802;-6.228333
ZINC000004803312;-6.3268194;-5.909134;-6.2468157;-6.1426616;-6.22196
