name;01;02;03;04;05
ZINC000565325464;-7.429004;-6.945993;-7.2265596;-6.5198207;-8.2642975
ZINC000567906739;-7.933238;-7.4350395;-7.88672;-7.8868046;-7.287869
ZINC000435228434;-7.3562036;-7.7672653;-6.508444;-7.5256114;-7.250756
ZINC000569476636;-8.75406;-8.317826;-7.439459;-8.076443;-8.354569
ZINC000436460622;-7.5343666;-6.6913223;-6.596546;-7.3947906;-7.030651
ZINC000436460623;-7.506848;-6.5463066;-6.5217905;-7.362291;-6.909964
ZINC000506056912;-8.031087;-7.7365847;-8.220594;-8.08137;-7.5920405
ZINC000517692304;-7.240492;-7.256045;-6.817113;-7.457372;-7.034298
ZINC000438832409;-7.2063413;-6.381522;-6.512552;-7.1130514;-7.167548
ZINC000509585139;-7.960185;-8.341483;-7.683252;-8.249057;-7.607143
ZINC000438832406;-7.4690247;-6.8327765;-6.381447;-6.9908776;-7.044798
ZINC000579634346;-8.45115;-8.483364;-8.247295;-8.164315;-8.845393
ZINC000518682900;-8.876075;-8.639622;-7.6049685;-7.769151;-8.864437
ZINC000796276395;-8.252003;-8.190147;-7.744509;-7.98117;-7.908799
ZINC000546173762;-6.387516;-6.0909047;-6.0093493;-5.2516155;-6.369203
ZINC000426981297;-8.467292;-7.3263984;-7.838115;-7.6793394;-7.9599285
ZINC000116206486;-8.360421;-7.005432;-7.4619966;-8.047321;-7.704249
ZINC000748911509;-7.8170223;-8.039463;-8.061793;-8.0425205;-8.004777
ZINC000748916676;-7.649063;-7.7897515;-8.090252;-7.708316;-8.356919
ZINC000748912145;-6.707296;-7.006917;-7.090315;-6.4838634;-7.188493
ZINC000507766759;-8.187265;-7.8804693;-8.86945;-8.296888;-8.347019
ZINC000508164933;-7.8778515;-7.612096;-7.5903077;-7.733223;-7.7493014
ZINC000508164942;-7.6443934;-7.3406267;-7.569981;-8.104148;-7.9206343
ZINC000428079820;-7.0729866;-7.219215;-7.258251;-7.2129784;-7.8387327
ZINC000428079822;-7.0239277;-6.772254;-7.2450523;-7.452837;-8.026629
ZINC000521147474;-7.89573;-7.779661;-7.6020412;-7.8057003;-7.55679
ZINC001116342480;-8.835836;-8.384075;-8.532552;-8.037476;-8.333128
ZINC000015711874;-8.22082;-8.740123;-8.468255;-8.675395;-8.564415
ZINC000015712187;-8.994647;-9.180779;-9.05423;-9.45146;-9.145608
ZINC000012802605;-8.367142;-8.6283;-9.104821;-8.454474;-8.33347
ZINC000444038714;-6.816212;-5.828718;-5.9744606;-5.954804;-6.0896873
ZINC000444038712;-6.8792396;-5.8896766;-6.7798195;-6.6041927;-6.3872323
ZINC000444038710;-7.040842;-6.4404454;-6.64795;-6.7634153;-5.745357
ZINC000444038706;-6.6462774;-5.9975963;-6.980782;-6.8904915;-6.3107452
ZINC000522796005;-8.246563;-8.382477;-8.391917;-8.184592;-8.314284
ZINC000609873431;-8.447283;-8.557937;-8.516188;-8.365218;-8.212019
ZINC000444693686;-8.532562;-9.12041;-9.411484;-9.005512;-8.866643
ZINC000444693685;-8.77947;-9.474527;-9.020964;-9.024496;-8.631171
ZINC000444693687;-8.574323;-9.412503;-9.539906;-8.988329;-8.933955
ZINC000444698813;-7.923848;-8.525429;-8.725647;-8.325771;-8.264311
ZINC000523328883;-8.510902;-8.017908;-8.572309;-8.207697;-8.215936
ZINC000444698810;-8.233245;-8.765861;-8.280358;-8.343082;-8.048122
ZINC000524436852;-8.426878;-7.2410164;-8.096659;-7.6293106;-7.1882615
ZINC000525086357;-8.022899;-8.339703;-7.5466547;-7.941793;-8.71279
ZINC001158969418;-6.2311764;-6.0013914;-5.34517;-5.2508;-5.844236
ZINC001158969419;-6.276887;-6.4521055;-5.646151;-5.514555;-5.8975773
ZINC000441205204;-7.6737823;-6.569125;-6.8467245;-7.608803;-7.0663676
ZINC000441205205;-7.394265;-6.3262396;-7.0249066;-7.5671425;-7.0565805
ZINC000525831433;-6.728462;-6.284135;-5.3521023;-5.954016;-6.1375594
ZINC000525838728;-7.02714;-7.407605;-6.632237;-6.7009916;-7.425412
ZINC000526086248;-7.174279;-7.196342;-6.77146;-6.8984303;-7.0047274
ZINC000526085327;-7.7865906;-8.039612;-7.2486515;-7.7023168;-7.4618163
ZINC001160086372;-7.932849;-7.813128;-7.6079855;-7.6126523;-7.610401
ZINC001160087551;-8.211385;-8.063997;-8.241507;-8.006852;-8.051698
ZINC001160086350;-7.4227114;-7.18012;-7.1926007;-7.177554;-7.1459603
ZINC001160088175;-7.244547;-7.6975813;-6.99684;-7.0437236;-7.317212
ZINC001160088034;-8.007478;-7.509831;-7.84345;-6.9792786;-7.1559324
ZINC001160087858;-6.1236362;-6.202904;-6.918186;-5.7033916;-6.0153494
ZINC001160088400;-7.314337;-6.9825435;-7.5713205;-6.918213;-7.4121695
ZINC000532349654;-7.638126;-7.9345045;-6.6191134;-7.8065786;-7.261277
ZINC001160094798;-7.4275255;-7.054375;-6.524972;-6.5859804;-7.116396
ZINC000053827316;-6.336066;-7.563045;-7.544269;-6.9233694;-7.5197783
ZINC000533220940;-7.7134748;-7.67676;-7.546091;-7.908886;-7.5980616
ZINC000533174751;-7.676842;-8.528456;-7.1992745;-7.5679016;-7.7790327
ZINC000533314408;-8.814884;-8.585483;-7.9284105;-8.4085865;-7.92428
ZINC000533287637;-7.173371;-7.095618;-7.444564;-7.4803348;-7.246139
ZINC000533314407;-8.068921;-8.533913;-8.418008;-8.104709;-8.132812
ZINC000533424713;-7.7317786;-7.633427;-8.214181;-8.145173;-7.8472877
ZINC000537345017;-7.2765136;-7.0759125;-7.530727;-6.781309;-7.351909
ZINC000476079046;-8.303402;-7.8205876;-7.5918636;-7.6276236;-7.836654
ZINC000026542293;-8.999256;-8.839835;-8.512426;-8.926882;-8.999316
ZINC000476408764;-6.948967;-7.2807055;-7.140989;-7.2328696;-7.5526958
ZINC000476408761;-7.663031;-7.1565986;-6.921038;-7.1167274;-7.0439677
ZINC001162442507;-6.6115184;-5.8538837;-6.153963;-5.951622;-5.3421774
ZINC001162442512;-6.509524;-5.7421875;-6.0883656;-6.1048098;-4.8107715
ZINC001162442514;-7.409883;-6.230644;-6.3036385;-6.1473603;-5.7616754
ZINC001162442516;-6.5733895;-6.078721;-5.8468413;-6.2972326;-5.7551613
ZINC000477759656;-6.762669;-6.6731987;-7.3481765;-7.456645;-7.8414183
ZINC000477759653;-6.9965158;-7.060896;-7.380714;-7.239893;-7.6577883
ZINC000477818182;-7.9559917;-6.7684584;-6.226434;-7.1323676;-6.9709954
ZINC000477835624;-8.504684;-8.095138;-7.5337067;-8.042996;-7.8425937
ZINC000477818170;-7.973721;-6.8064127;-6.2126474;-7.11528;-6.95804
ZINC000477818180;-7.6374173;-6.687665;-6.128269;-7.361457;-6.9353433
ZINC000477818177;-7.70888;-6.7665434;-6.165955;-7.144185;-6.917121
ZINC000478219855;-8.43935;-7.744001;-8.200536;-7.862072;-7.671774
ZINC001224798777;-8.151713;-7.1039724;-7.601593;-6.9915943;-7.5393777
ZINC001224798791;-7.9413333;-7.0381956;-7.4516354;-6.903153;-7.3976326
ZINC001224799203;-8.687395;-8.274495;-6.6843767;-7.4572105;-8.069722
ZINC000555559289;-7.8976502;-7.181507;-7.457361;-6.8686304;-8.431387
ZINC001254585263;-8.302265;-8.018744;-7.673142;-7.1957474;-7.305697
ZINC001254543809;-6.958781;-7.495288;-7.437089;-7.186081;-6.7856913
ZINC001254585274;-8.44051;-7.586317;-8.10018;-7.104321;-7.43658
ZINC001254543804;-7.7070456;-7.9468126;-7.4468975;-7.248224;-6.576433
