name;01;02;03;04;05
ZINC000077304047;-8.006993;-8.496497;-7.5693393;-7.7787275;-7.724556
ZINC000077354214;-8.027624;-8.275594;-7.387717;-7.5831423;-7.7384415
ZINC000077357347;-9.390352;-8.882647;-8.180653;-8.52768;-8.689537
ZINC000077356037;-9.121174;-8.845335;-8.195873;-8.127445;-8.425121
ZINC000077356038;-8.551381;-8.805298;-8.052082;-8.376889;-7.922005
ZINC000077357350;-8.774408;-9.287998;-8.319449;-8.820187;-8.36044
ZINC000077386141;-7.1361957;-7.2844644;-6.865888;-6.984001;-7.1609254
ZINC000077428519;-8.074722;-7.241038;-6.3141003;-7.705761;-7.169863
ZINC000077428524;-8.1641;-7.5348;-6.5730424;-7.8646617;-7.350593
ZINC000077471808;-8.136545;-7.8540635;-7.814119;-7.484569;-7.7235694
ZINC000077535939;-7.861197;-8.228718;-7.846897;-7.9036164;-8.026543
ZINC000000625890;-7.75014;-7.8309345;-7.463343;-6.7597156;-7.118217
ZINC000000625893;-7.8015633;-8.222034;-7.4197702;-7.0426493;-7.2203155
ZINC000016026509;-7.467572;-7.132697;-7.2507915;-7.4879885;-7.2396307
ZINC000035422509;-7.2772155;-7.069799;-7.5890536;-7.6126695;-7.272182
ZINC000035481697;-8.745736;-9.01963;-8.476349;-8.724396;-9.09441
ZINC000035513466;-7.530452;-8.272004;-8.011343;-8.090471;-8.038644
ZINC000035513475;-7.7448378;-7.946543;-7.86391;-7.877058;-7.7020187
ZINC000035513462;-7.5015545;-8.260915;-7.833956;-8.190591;-7.88779
ZINC000035513473;-7.762458;-8.062407;-7.887101;-7.9264765;-7.755564
ZINC000006444862;-7.317872;-7.5179243;-7.7557096;-6.6443453;-7.263898
ZINC000006444861;-6.9737577;-7.391162;-7.2997084;-6.511304;-7.1180816
ZINC000239173647;-6.6608057;-5.600975;-6.136092;-6.2557454;-6.103549
ZINC000239173646;-6.172579;-5.2827206;-6.155201;-6.321493;-6.055564
ZINC000240321575;-6.8904657;-7.476435;-7.482198;-7.323099;-7.7855644
ZINC000240321574;-7.178071;-7.448449;-7.161873;-6.9866214;-7.7753973
ZINC000071789681;-6.711363;-5.4800515;-6.0116954;-6.4665394;-6.22128
ZINC000252438258;-6.736871;-6.427663;-6.239956;-6.4765654;-6.2409716
ZINC000252438257;-5.6511846;-5.4431963;-6.38583;-6.3664513;-6.1102147
ZINC000252438260;-5.9052334;-5.892936;-6.291687;-6.0072227;-5.415269
ZINC000252438259;-6.3684726;-6.069414;-6.1177206;-5.932085;-5.635089
ZINC000003982483;-7.11238;-6.391262;-6.2076745;-6.648559;-6.968422
ZINC000006597056;-7.510509;-7.0565476;-6.550604;-6.9426255;-7.268841
ZINC000006597054;-7.526619;-6.9144135;-6.6200256;-6.943588;-7.246533
ZINC000257196485;-8.559515;-8.358299;-7.677209;-8.108381;-8.391783
ZINC000006657478;-6.798822;-7.5343957;-6.8100944;-7.5673175;-7.6196947
ZINC000006657479;-7.0605364;-7.644592;-7.0138564;-7.8365974;-7.6364655
ZINC000095520400;-8.940119;-8.403059;-8.0428295;-7.87758;-8.644186
ZINC000096132755;-6.7685823;-7.2046347;-7.032163;-7.422429;-7.212485
ZINC000581803473;-8.209689;-7.985163;-8.371382;-7.127076;-7.336581
ZINC000581803481;-7.8625937;-7.7702746;-7.9148088;-7.220631;-7.3773937
ZINC000096162617;-7.003154;-7.205126;-6.801015;-7.230453;-7.143527
ZINC000096180556;-8.16635;-8.4109955;-8.123381;-7.9591627;-8.379315
ZINC000008684095;-7.6005864;-8.059633;-7.191051;-6.8380947;-7.951777
ZINC000008684094;-7.549308;-7.9063106;-6.432222;-6.950404;-7.6043234
ZINC000004159332;-6.1147165;-7.2051234;-6.844586;-6.9530277;-6.57068
ZINC000675011329;-7.822441;-7.913786;-7.118835;-7.3760824;-7.471362
ZINC000675011330;-7.705328;-7.545883;-7.4647193;-7.1059446;-7.462464
ZINC000004159330;-6.0857415;-6.906079;-6.9279947;-6.6035733;-6.422325
ZINC000008812170;-8.302796;-7.94872;-6.402171;-7.696572;-7.6671624
ZINC000097797449;-8.349803;-7.5228558;-7.42363;-7.096565;-7.9050922
ZINC000064925960;-7.5218554;-7.8223515;-7.581464;-8.100988;-7.584114
ZINC000036360024;-7.904314;-7.815176;-7.5278106;-8.007242;-7.8698153
ZINC000952856699;-7.676897;-7.609996;-9.078239;-7.6376467;-7.651167
ZINC000952876367;-7.0976095;-7.591515;-7.7636285;-6.9874687;-7.061457
ZINC000952876366;-6.8918953;-7.5466557;-7.8197017;-7.122182;-7.140989
ZINC000952975114;-7.956556;-7.304615;-8.217379;-7.438432;-7.8124065
ZINC000952979020;-8.061038;-7.7842956;-6.3632298;-8.310638;-7.4416475
ZINC000952984701;-7.729852;-7.161498;-7.151191;-7.652479;-7.647777
ZINC000952979041;-8.223455;-7.203191;-7.474639;-8.260876;-7.3899903
ZINC000952990794;-8.636572;-7.7002454;-8.306106;-7.5470824;-7.5091343
ZINC000255263106;-5.3420386;-6.27969;-5.9277806;-5.378382;-6.187436
ZINC000044075484;-6.708527;-5.853372;-6.0052805;-5.3208895;-5.534128
ZINC000004167731;-7.5903482;-7.1877236;-7.4378853;-6.762389;-6.891183
ZINC000069350988;-8.142562;-8.071055;-7.1203346;-7.716294;-7.9353733
