name;01;02;03;04;05
ZINC000585101996;-8.020906;-6.796388;-6.8870907;-7.537024;-6.9904
ZINC000585101995;-7.7184315;-7.368515;-6.5323834;-7.853734;-7.130687
ZINC000575420771;-6.986677;-6.80965;-6.411028;-7.351064;-7.4920173
ZINC000016025141;-7.7036686;-6.9324603;-6.8484225;-7.016854;-7.1748133
ZINC000575425249;-7.6374445;-7.369129;-6.478818;-7.432016;-8.015312
ZINC000575426185;-6.9078493;-7.133307;-6.7599244;-7.2254486;-7.7706985
ZINC000575426186;-7.7748976;-7.2405457;-6.64198;-7.2367244;-7.8613167
ZINC000585109980;-8.081593;-7.8601456;-8.126974;-7.8573837;-8.071514
ZINC000585109981;-8.088594;-7.86636;-8.124678;-7.8936844;-8.060298
ZINC000019369923;-7.5482554;-6.9889684;-7.4427624;-6.7931156;-7.1217313
ZINC000514288492;-7.371454;-7.6724763;-7.1244545;-6.998051;-7.769166
ZINC000224326537;-8.25496;-8.294576;-7.8429084;-7.940686;-7.863016
ZINC000224327022;-7.9221263;-8.216456;-8.685896;-8.331191;-7.5156164
ZINC000224324790;-7.684243;-7.1952763;-7.93826;-7.671134;-7.312332
ZINC000224330293;-8.45323;-8.450858;-8.093091;-8.1711445;-8.090771
ZINC000224327226;-7.975576;-7.72649;-8.25955;-8.079938;-7.616728
ZINC000224326119;-7.86607;-7.4518857;-8.244309;-8.046144;-7.511844
ZINC000224324370;-7.5171165;-6.6916175;-7.687746;-7.5893335;-7.215142
ZINC000224320968;-8.24867;-8.430833;-7.905287;-8.092446;-8.11839
ZINC000224326042;-7.8983755;-7.7564197;-8.184085;-7.8692083;-7.473117
ZINC000224334418;-8.326874;-8.002406;-8.981912;-8.193615;-7.5901856
ZINC000224333890;-8.223947;-7.3530273;-8.438626;-7.684917;-7.7081957
ZINC000224333829;-7.9339786;-7.7305636;-8.419855;-7.759839;-7.5626307
ZINC000224332633;-7.8296895;-6.641138;-7.9422092;-7.2282553;-7.367625
ZINC000224334577;-8.28095;-7.5968676;-8.404745;-7.655778;-7.8148723
ZINC000224332905;-7.9873276;-7.127215;-8.163685;-7.309844;-7.49651
ZINC000224334151;-8.433835;-8.327724;-8.092438;-7.893907;-7.932173
ZINC000224347409;-6.809817;-6.992408;-7.1352277;-7.0701685;-7.542638
ZINC000096059663;-7.922404;-8.33307;-7.2371273;-7.6055274;-7.6105075
ZINC000096088324;-6.889079;-6.6729956;-6.884364;-6.7916746;-6.6333213
ZINC000096143726;-8.304542;-7.8015428;-7.525966;-7.023635;-7.5397205
