name;01;02;03;04;05
ZINC000001630915;-5.681617;-6.327776;-5.178812;-6.095162;-6.4980636
ZINC000006136085;-7.687501;-6.7654676;-7.3137217;-7.2026434;-7.1280675
ZINC000006136086;-7.986132;-7.1259274;-7.9006033;-7.376095;-7.21216
ZINC000005735960;-5.9564943;-6.1000857;-5.766796;-6.101982;-6.0223975
ZINC000575403552;-8.078203;-7.700281;-7.6575184;-8.206833;-7.6738105
ZINC000575403553;-8.14749;-7.921051;-7.4997396;-7.5732665;-7.5194483
ZINC000575404631;-9.316391;-8.143231;-8.372392;-8.620306;-8.610479
ZINC000575406838;-9.08288;-8.219323;-8.180824;-8.689507;-8.530844
ZINC000575404634;-9.515135;-8.712542;-8.606057;-9.0482025;-8.968386
ZINC000575406837;-8.912876;-7.8823833;-8.120342;-8.371313;-8.265848
ZINC000575421415;-7.0381136;-6.3655043;-7.1110077;-7.8579626;-7.0484457
ZINC000575421412;-7.228932;-7.448974;-8.113289;-7.772998;-7.6475115
ZINC000575421413;-6.7985024;-6.6651525;-6.7454047;-7.3092556;-6.8743386
ZINC000575421414;-6.9054527;-6.186229;-7.0357704;-7.281039;-7.232431
ZINC000575420357;-6.5176964;-6.3995714;-6.736877;-7.0532413;-6.933222
ZINC000575420289;-6.522865;-7.157421;-6.5306883;-6.9902453;-6.920245
ZINC000575420288;-6.5565224;-6.510439;-6.9392753;-7.1909366;-6.774441
ZINC000575420358;-7.369227;-6.686247;-7.146663;-7.3749886;-7.376072
ZINC000575420360;-7.152081;-6.55057;-6.456968;-6.967629;-7.099532
ZINC000575420359;-6.2969036;-6.796491;-6.3826485;-6.8652024;-6.6986046
ZINC000514288810;-7.990237;-7.79274;-7.957077;-8.233788;-7.9775743
ZINC000252463668;-6.2194095;-6.296872;-5.829159;-5.59535;-6.2888126
ZINC000252463667;-5.5369983;-6.0282207;-5.828353;-5.872061;-6.01355
ZINC000252463666;-5.981332;-5.969027;-5.8228493;-5.54272;-6.0482087
ZINC000001489322;-8.225441;-8.607243;-8.4579525;-8.41357;-8.438161
ZINC000008740531;-5.7949834;-5.930181;-5.2420826;-5.9145627;-6.0681677
ZINC000008740533;-6.5561686;-6.332881;-5.5727057;-5.9369793;-6.650905
ZINC000008740500;-6.60224;-6.2098517;-6.583127;-6.19683;-7.3261952
ZINC000008740534;-6.029793;-6.3278456;-6.0153193;-6.091476;-6.3508224
ZINC000008740498;-6.0377107;-5.8875866;-5.777006;-6.100155;-6.6840324
ZINC000008740501;-5.919874;-6.6230083;-6.5600057;-6.220744;-6.7084184
ZINC000083253927;-2.7228112;-2.948395;-3.177143;-2.7578535;-3.1133204
ZINC000072321844;-8.629467;-8.046495;-8.05983;-7.657869;-8.095406
ZINC000072321834;-8.078525;-7.447481;-7.7196054;-7.212968;-7.543236
ZINC000015675320;-8.245781;-7.22796;-6.886563;-6.579371;-7.083845
ZINC000015708446;-7.34605;-7.499901;-7.0551147;-6.8789177;-6.612139
