name;01;02;03;04;05
ZINC000077380038;-7.537167;-8.261977;-8.438884;-8.169755;-7.8487825
ZINC000104405284;-8.191259;-8.262285;-8.414484;-8.347262;-8.866722
ZINC000077541004;-8.947969;-9.524169;-8.496921;-9.063398;-8.778138
ZINC000085875187;-6.8739157;-7.7979913;-7.8109026;-7.0523653;-7.891339
ZINC000085878922;-7.2009344;-8.0629225;-8.1102705;-7.235387;-8.199072
ZINC000045974519;-8.878832;-8.757681;-8.260831;-8.279714;-7.5116444
ZINC000045974735;-8.793926;-9.565917;-8.836231;-9.033708;-8.671726
ZINC000045974521;-8.885517;-8.7661295;-9.0763035;-8.857299;-7.9462585
ZINC000045944084;-8.605338;-9.27126;-9.281204;-8.894097;-8.930639
ZINC000045944190;-8.509865;-8.866955;-8.862892;-8.53312;-8.455482
ZINC000045974280;-7.8188076;-8.440952;-7.958675;-8.263541;-7.672431
ZINC000015862688;-9.067324;-9.268866;-9.582823;-8.990355;-8.590208
ZINC000015862689;-8.0150175;-8.111621;-8.916517;-9.081478;-8.410204
ZINC000015862664;-8.592462;-8.709858;-9.232874;-8.375643;-8.39426
ZINC000015864141;-9.01777;-8.823711;-8.522359;-8.562328;-7.855191
ZINC000015864134;-8.77402;-9.6170845;-8.657582;-8.211182;-7.898964
ZINC000015864140;-8.851566;-10.024696;-9.089551;-8.399776;-8.114606
ZINC000015864135;-8.488563;-8.255172;-8.319645;-8.044834;-7.1373863
ZINC000015864153;-7.9217916;-9.01058;-8.685869;-7.9386163;-8.399841
ZINC000015864281;-9.307544;-9.906185;-8.949388;-8.257906;-9.176541
ZINC000015864154;-8.036126;-8.813046;-8.253304;-8.002209;-8.093043
ZINC000035401499;-9.394406;-10.073068;-9.993694;-9.450719;-9.401027
ZINC000035401494;-9.284353;-9.417974;-9.571561;-8.888064;-8.71743
ZINC000035401354;-8.732337;-9.463079;-9.377983;-8.916365;-8.757082
ZINC000082098543;-9.292815;-8.919228;-8.112157;-8.724762;-8.62875
ZINC000082098544;-8.896329;-8.758476;-7.8751307;-8.429563;-8.965706
ZINC000082106829;-8.148913;-9.503283;-8.3795395;-8.126657;-8.7824335
ZINC000082106830;-8.901653;-9.345211;-8.915659;-8.772164;-8.652383
ZINC000082120270;-8.987968;-9.22633;-8.507675;-8.63945;-8.429054
ZINC000082120271;-8.378945;-9.307564;-8.337053;-8.02544;-8.558786
ZINC000082137183;-8.499739;-8.631408;-8.54616;-8.434431;-8.041352
ZINC000082136953;-8.378737;-8.815449;-8.5163765;-8.368082;-8.252419
ZINC000082137187;-7.6891475;-8.709972;-8.299927;-7.8870926;-8.31786
ZINC000082138572;-8.394172;-8.780721;-8.447398;-8.126451;-8.177497
ZINC000082161048;-8.252529;-9.309063;-8.700564;-8.529009;-8.942844
ZINC000082161050;-8.912917;-9.42516;-9.023367;-9.037153;-8.908496
ZINC000082167066;-8.916581;-9.275048;-8.670122;-8.873494;-9.1803
ZINC000082167060;-8.854661;-9.272105;-8.806478;-8.816457;-9.157385
ZINC000243957144;-9.107396;-8.334425;-8.137557;-8.114728;-7.843063
ZINC000243957143;-8.542132;-7.992019;-7.9153843;-8.048833;-7.6505904
ZINC000000688210;-8.006354;-7.427757;-7.206452;-7.4131193;-6.6725454
ZINC000091321310;-7.5826826;-9.100836;-8.453382;-7.483861;-8.300002
ZINC000091321313;-8.310797;-8.745183;-8.618234;-8.041799;-8.235076
ZINC000091536729;-8.748783;-8.555413;-8.6341715;-8.237303;-8.343704
ZINC000426369239;-9.41299;-9.431448;-8.749231;-9.192418;-8.824692
ZINC000426369234;-9.240471;-9.231252;-8.868627;-9.063003;-9.075387
ZINC000091636647;-8.3300705;-7.6423287;-8.45556;-8.394998;-8.655253
ZINC000091713997;-8.291077;-9.024769;-8.887678;-8.33473;-8.479282
ZINC000091713996;-8.263264;-9.449812;-8.780761;-8.346037;-8.469962
ZINC000091829575;-7.32802;-9.157538;-8.990782;-8.07206;-8.120206
ZINC000091829577;-7.9921637;-8.511902;-9.187275;-8.307819;-8.204047
ZINC000091951071;-7.70419;-8.920561;-8.633823;-7.676212;-8.422043
ZINC000091951080;-8.398094;-8.821515;-8.666455;-8.06675;-8.09502
ZINC000095365222;-7.4405527;-7.4897327;-7.4758973;-7.332678;-7.744458
ZINC000095483231;-8.12889;-7.221863;-7.4229465;-8.281344;-7.3316994
ZINC000095501438;-8.205341;-9.175567;-8.64353;-8.275515;-8.3152895
ZINC000095501437;-8.56411;-9.3505945;-8.655136;-8.688541;-8.404462
ZINC000095519616;-8.252884;-8.173244;-7.757309;-8.208809;-8.209733
ZINC000095519617;-8.251325;-8.234085;-8.083879;-8.124072;-8.324581
ZINC000095520582;-7.8340173;-7.9697027;-8.428319;-7.340316;-8.053347
ZINC000095521979;-9.052691;-9.39646;-8.413291;-8.664432;-8.997681
ZINC000095521978;-8.898439;-9.283635;-8.199449;-8.599119;-8.888355
ZINC000095527486;-9.48779;-9.445454;-8.504678;-8.828288;-8.782953
ZINC000095527487;-9.088417;-9.3837805;-8.646336;-8.467771;-8.7228365
ZINC000064835911;-9.236563;-9.388573;-8.959743;-8.904745;-8.51777
ZINC000045966913;-8.769293;-9.037516;-9.547381;-8.506077;-8.61424
ZINC000011661787;-9.387956;-8.632122;-8.53128;-8.351589;-8.276765
ZINC000011661788;-8.724712;-8.41273;-8.229647;-8.140532;-8.095449
ZINC000101596751;-7.813752;-7.5238786;-7.249364;-7.740632;-6.8894076
ZINC000100124011;-8.408728;-7.133218;-7.0904617;-7.833788;-7.14538
ZINC000023367223;-7.908191;-7.2714405;-7.2724266;-7.273385;-7.7263904
