name;01;02;03;04;05
ZINC000005783949;-6.079454;-5.893918;-5.6672883;-5.822287;-5.8770747
ZINC000575421466;-9.1923485;-8.670605;-8.510575;-8.600912;-8.266518
ZINC000575421465;-8.9943695;-8.674662;-8.327886;-8.673545;-8.246078
ZINC000575420702;-7.6970687;-7.068373;-7.2853174;-7.1346827;-7.506547
ZINC000575420705;-7.183754;-6.522556;-6.8481574;-6.639969;-6.7203813
ZINC000575420704;-6.7649546;-7.1250815;-7.0829277;-6.9872174;-7.4402294
ZINC000575420703;-7.2717023;-6.4445157;-7.2311306;-6.7960296;-7.4339314
ZINC000575424390;-8.045967;-8.202085;-7.8529058;-8.175502;-8.132476
ZINC000575424389;-7.8126965;-8.209471;-7.649911;-8.200229;-8.102176
ZINC000575425211;-8.370752;-8.385401;-8.068163;-8.5474205;-8.400362
ZINC000575425210;-8.172592;-8.401036;-7.8655367;-8.587531;-8.365314
ZINC000040390528;-8.727372;-8.533844;-8.352886;-8.224438;-8.442675
ZINC000514289734;-6.619686;-7.095124;-7.27652;-6.9935193;-6.8520613
ZINC000040390532;-8.658715;-8.417127;-8.35074;-8.295492;-8.43796
ZINC000514288663;-7.0452347;-7.6247854;-7.7492814;-8.231482;-7.2206306
ZINC000514288584;-7.373262;-7.5692873;-8.103211;-8.04562;-6.875752
ZINC000224304228;-6.9488697;-6.9473987;-7.3926597;-7.103443;-7.177138
ZINC000224303816;-6.882875;-7.273385;-7.6488695;-7.2094893;-6.8404408
ZINC000072321167;-7.323318;-7.4808836;-6.88801;-7.3874307;-7.5294013
ZINC000072321126;-8.107244;-7.5525813;-7.1879206;-7.1225595;-7.753207
ZINC000035425561;-7.6458426;-8.506196;-8.225089;-7.9147882;-7.8828325
ZINC000020462796;-7.945464;-7.4444056;-7.5738645;-7.7969294;-8.233655
ZINC000032089684;-8.856084;-8.641299;-7.9456735;-8.529331;-8.470936
ZINC000248255411;-7.23728;-6.7164297;-6.8910875;-6.487137;-7.2361894
ZINC000248265017;-6.1568227;-6.521911;-6.1450157;-6.497647;-6.8631134
ZINC000040390530;-8.793068;-8.335243;-8.296269;-8.3616905;-8.415832
ZINC000040390526;-8.782083;-8.419035;-8.240047;-8.206746;-8.35905
ZINC000040388831;-8.273066;-8.295301;-8.027376;-8.224163;-8.240764
ZINC000040389064;-8.344769;-7.9283037;-7.844158;-8.084929;-8.07137
ZINC000006362092;-7.3584003;-6.5515766;-6.5251184;-6.8590536;-6.6937985
ZINC000015675902;-7.708359;-7.7629447;-8.093139;-7.5977364;-8.056893
ZINC000015676116;-7.082552;-7.8924637;-7.7824225;-7.610214;-7.765567
ZINC000015676244;-7.884212;-7.9760733;-8.641392;-8.090791;-8.24818
ZINC000012481267;-6.9315667;-7.434196;-7.245966;-6.8443747;-7.2847824
ZINC000012420607;-6.086966;-6.0388823;-6.4587364;-6.4148116;-6.890533
ZINC000012420609;-6.200595;-6.160117;-6.5527325;-6.328557;-6.9934793
ZINC000008635394;-7.215231;-7.7561655;-7.5184927;-7.697918;-7.2077317
