name;01;02;03;04;05
ZINC000769214571;-7.682312;-7.8744082;-7.7770004;-8.3955965;-8.07062
ZINC000769214572;-7.3062954;-7.8593445;-7.8073697;-8.369504;-8.09381
ZINC000804284470;-6.5517864;-6.582382;-6.613401;-6.605487;-6.7190714
ZINC000743253118;-7.7430706;-7.7891912;-7.5732236;-7.7762966;-7.7953043
ZINC000769243555;-7.5844107;-7.3869333;-7.6205854;-7.392256;-7.9567714
ZINC000743259690;-7.862575;-7.5500865;-7.3866043;-7.56495;-7.3371215
ZINC000743259629;-8.431999;-7.7713847;-7.9192805;-8.208308;-7.8425245
ZINC000785492037;-7.3618045;-7.6177106;-7.0118384;-7.760863;-7.2359977
ZINC000743261762;-6.8062496;-7.246144;-6.658283;-7.041284;-7.265029
ZINC000743262980;-8.229225;-8.349129;-8.009718;-8.0576105;-8.195621
ZINC000743261207;-6.8356843;-6.494913;-6.676212;-6.8832436;-6.5586495
ZINC000743261489;-7.3029866;-6.889245;-7.187648;-7.360417;-7.0006785
ZINC000743263043;-7.7558246;-7.779496;-7.388748;-7.8532543;-7.6612844
ZINC000743262232;-6.7002554;-7.321612;-7.0494885;-6.9668446;-6.897508
ZINC000743263513;-7.813014;-8.067661;-7.517969;-8.242318;-7.8716583
ZINC000743264398;-7.8879833;-7.8429937;-7.901845;-8.244637;-8.087037
ZINC000743264253;-8.799138;-8.037071;-8.042796;-8.192841;-8.924066
ZINC000743267018;-7.4023986;-7.273008;-6.5875654;-7.473405;-6.8690925
ZINC000743267905;-7.982461;-7.40949;-7.55888;-7.875517;-8.007808
ZINC000743268022;-7.30892;-6.651719;-6.7866025;-7.149703;-6.676114
ZINC000743269065;-8.358757;-7.943823;-7.2515774;-7.8865056;-7.906686
ZINC000743268393;-8.228053;-7.674962;-7.670925;-8.337061;-8.616304
ZINC000743268265;-7.639572;-7.1317644;-7.018179;-7.7848816;-7.3288937
ZINC000743269314;-8.28035;-8.386538;-7.8709693;-8.36545;-8.19527
ZINC000785514108;-7.70133;-7.612775;-7.4297943;-7.459449;-7.4502196
ZINC000684746149;-6.8921537;-7.5028434;-7.4289804;-7.5463305;-7.086548
ZINC000684746218;-7.3854628;-7.854786;-7.5373564;-7.650789;-7.3041
ZINC000684746223;-7.441986;-7.863864;-7.6762094;-7.673024;-7.3894877
ZINC000684746151;-7.13004;-7.2632484;-7.22764;-7.568837;-7.304876
