name;01;02;03;04;05
ZINC000767602293;-8.630668;-7.603991;-7.460677;-8.4080715;-7.816943
ZINC000743263245;-8.090596;-8.328958;-8.503835;-8.543633;-8.721691
ZINC000743264965;-8.427701;-8.551346;-8.412555;-8.971646;-8.678743
ZINC000743264306;-8.598265;-8.333173;-8.062397;-8.54413;-8.519327
ZINC000743266435;-9.023537;-8.776357;-8.687747;-8.970474;-8.92533
ZINC000743266133;-8.095592;-7.5690284;-7.4992;-8.229725;-7.7993407
ZINC000746472507;-8.126814;-8.011332;-7.6346493;-7.8239174;-7.9386244
ZINC000746472509;-8.015859;-7.9169464;-7.8001437;-7.6827693;-7.929665
ZINC000785530979;-9.15809;-9.307582;-9.084673;-9.237806;-8.828514
ZINC000767717244;-7.42618;-7.738262;-7.0737906;-7.365962;-7.2490063
ZINC000739667773;-9.235632;-8.752785;-8.944583;-8.82089;-8.598342
ZINC000739667829;-9.055541;-8.522126;-8.85074;-8.864281;-8.622627
ZINC000739675216;-9.168875;-9.498037;-8.532144;-9.351372;-9.083215
ZINC000739675220;-9.037101;-9.23846;-8.768275;-9.301447;-8.985591
ZINC000746663825;-6.93558;-6.404298;-6.81824;-6.106027;-6.835175
ZINC000746663826;-6.9977775;-6.4836187;-6.7224298;-6.257252;-6.8181844
ZINC000739976017;-8.01016;-7.465873;-7.5007496;-7.747957;-8.307704
ZINC000739976012;-8.218641;-7.7520466;-8.062117;-7.967292;-8.391072
ZINC000739987058;-6.48004;-6.9103637;-6.741308;-6.7338014;-6.5063815
ZINC000739949464;-8.076405;-7.7169704;-8.323759;-7.7932596;-7.9223623
ZINC000739949409;-7.871191;-7.7622404;-8.284342;-7.7049284;-7.685515
ZINC000771002381;-8.622108;-9.172186;-8.780597;-9.053469;-8.17068
ZINC000771002383;-8.653143;-9.105393;-9.021371;-9.163069;-8.029986
ZINC000766568888;-8.871851;-8.853469;-7.625235;-7.921077;-8.738782
ZINC000766568889;-8.711153;-8.861929;-7.757707;-7.719054;-8.869707
ZINC000766579974;-7.820879;-8.081101;-6.908924;-7.9117713;-7.8117695
ZINC000769635883;-8.8892355;-8.186532;-8.765044;-8.805852;-8.823466
ZINC000769635881;-8.878023;-8.18717;-8.745205;-8.625513;-8.815986
ZINC000740390160;-8.496248;-7.7523994;-8.182844;-7.7987685;-7.4758153
ZINC000771148406;-7.1838293;-7.9552007;-7.2588468;-7.710925;-7.6182356
ZINC000785687029;-8.969633;-8.757727;-8.798032;-8.888235;-8.630003
ZINC000740409553;-8.295571;-8.047646;-8.051915;-7.748739;-7.9595284
ZINC000769602478;-6.898469;-6.711052;-6.993103;-6.844403;-7.201751
ZINC000767853788;-8.988712;-8.189897;-7.7749906;-8.804114;-9.010233
ZINC000785704153;-7.1033244;-8.255019;-7.285246;-7.304847;-7.760809
ZINC000771244900;-8.214209;-8.33961;-8.407958;-9.306686;-8.966272
ZINC000537364462;-8.888608;-9.297739;-8.90926;-9.0152025;-8.650742
ZINC000785849763;-8.058376;-7.7298794;-7.909117;-7.724095;-7.7103486
ZINC000740886224;-7.705032;-9.036084;-8.164939;-8.563056;-8.647207
ZINC000740895112;-7.063792;-7.633811;-7.509889;-7.481153;-7.6435113
ZINC000740895113;-7.0430126;-7.5520115;-7.5924654;-7.587525;-7.6932344
ZINC000740897310;-7.472371;-6.9920626;-7.9565353;-7.5781837;-7.7558985
ZINC000785953869;-7.553087;-7.7689753;-8.063933;-7.891715;-7.5395746
ZINC000771486500;-8.604974;-8.291273;-8.23502;-8.388294;-8.611704
ZINC000786009358;-8.548956;-7.4678526;-7.880789;-7.496413;-7.984097
ZINC000768156492;-7.6792784;-8.7075615;-7.9450283;-8.448664;-8.313919
