name;01;02;03;04;05
ZINC000014533992;-7.456877;-7.4863014;-7.7292643;-7.51422;-7.877846
ZINC000014533993;-7.4712243;-7.6327667;-7.608548;-7.421667;-8.200233
ZINC000015276057;-7.715646;-7.6148252;-7.876791;-8.037993;-8.542754
ZINC000015319857;-8.692159;-7.692839;-7.99293;-8.224963;-8.430019
ZINC000015972003;-6.636232;-6.289857;-6.9593697;-7.087459;-7.133832
ZINC000104411732;-7.945474;-7.784771;-7.6878934;-8.314052;-8.110191
ZINC000004861421;-7.5979443;-7.245759;-7.5176716;-7.5749702;-7.398576
ZINC000015859748;-7.4775944;-6.496496;-7.23858;-7.458782;-6.7738647
ZINC000006160436;-6.9052634;-6.727054;-7.1443486;-6.9742365;-6.898075
ZINC000006160438;-7.13269;-6.917706;-7.2124643;-7.230401;-6.8539376
ZINC000019798651;-7.892686;-8.2163;-7.8348513;-7.7938843;-8.044022
ZINC000020118855;-7.7590528;-7.8084903;-7.469686;-7.974573;-7.47116
ZINC000020109935;-8.2318325;-8.015045;-7.881592;-7.964326;-7.539214
ZINC000012916629;-7.7874637;-7.48896;-7.8018465;-7.510572;-7.8860292
ZINC000012920962;-7.689611;-7.0438743;-7.2866554;-7.2194257;-7.245018
ZINC000012920965;-7.6951056;-7.044965;-7.2855167;-7.212302;-7.242509
ZINC000019138811;-7.387089;-7.336508;-7.167293;-7.775483;-6.9524045
ZINC000035421847;-7.7011466;-7.83483;-8.182693;-7.896723;-7.874235
ZINC000006294702;-6.6521206;-6.3238754;-6.7880616;-6.228678;-6.3559537
ZINC000006294699;-6.372644;-6.6457367;-6.5356402;-6.2536182;-6.458583
ZINC000217610720;-6.9126062;-7.0189285;-7.346017;-7.0327454;-7.1409774
ZINC000090504342;-9.705244;-9.284523;-8.518452;-8.857871;-9.670982
ZINC000006424059;-7.6191835;-7.9009256;-8.143259;-8.350396;-8.035062
ZINC000006424064;-7.7550316;-7.911287;-7.5438595;-7.539485;-7.647471
ZINC000334158230;-7.6267276;-8.283511;-8.437914;-7.9312224;-8.016389
ZINC000006786590;-6.2160187;-5.909009;-6.0166936;-6.440747;-6.3839583
ZINC000006786531;-6.2418513;-6.0268583;-5.956092;-6.1281466;-5.8969426
ZINC000585158437;-8.427985;-8.269735;-7.785644;-8.1625805;-8.474772
ZINC000067286592;-6.456733;-7.1409264;-7.038371;-7.5247483;-7.569671
ZINC000067286595;-6.2421756;-6.8039265;-6.855003;-7.411132;-7.3198185
ZINC000004811590;-8.269491;-7.402474;-6.8395195;-7.6377997;-7.5542874
ZINC000004811589;-8.269491;-7.402474;-6.8395195;-7.6377997;-7.5542874
ZINC000020911199;-8.180541;-7.9728603;-7.9128237;-8.320893;-7.907756
ZINC000006606159;-7.1720643;-7.237001;-6.6819124;-6.9418783;-6.987074
ZINC000006606159;-7.1720366;-7.237016;-6.681897;-6.9418845;-6.987071
ZINC000006606156;-7.173664;-7.24564;-6.6691113;-6.9644637;-7.013279
ZINC000006606156;-7.1720366;-7.237016;-6.681897;-6.9418845;-6.987071
ZINC000006658867;-6.719693;-5.7141604;-6.8682775;-6.1773;-6.350504
ZINC000006658870;-6.7530727;-5.713279;-6.9002852;-6.2376037;-6.3306503
ZINC000006658869;-6.3109984;-6.0638146;-6.5774155;-6.1582623;-6.628105
ZINC000006658868;-6.5248694;-6.0302234;-6.846333;-6.0550814;-6.601943
ZINC000053991150;-6.562289;-6.802047;-7.4713364;-6.967385;-7.3039246
ZINC000008655028;-7.1986217;-7.1898317;-7.145605;-7.1887307;-7.7043223
ZINC000000905785;-7.536306;-6.9238267;-6.9123;-7.530012;-7.185395
ZINC000000905792;-7.582477;-7.513728;-7.1326265;-7.7296176;-7.30735
ZINC000004817894;-7.0619507;-7.431951;-6.6666555;-7.301897;-7.6081715
ZINC000008771411;-6.552846;-6.213658;-6.029444;-6.6793213;-6.7089305
ZINC000008771415;-6.415647;-5.9231906;-6.1371956;-6.5897865;-6.768613
ZINC000006781109;-7.24827;-7.3337593;-6.7461123;-7.5896196;-6.7165956
ZINC000006781112;-6.9941587;-6.5818496;-6.396987;-6.4386444;-6.065815
ZINC000008816619;-7.6011157;-7.850362;-7.1487455;-7.590457;-8.087525
ZINC000008868066;-7.3495884;-7.1125097;-6.833377;-7.467993;-7.750473
ZINC000006812711;-6.3163857;-6.323534;-6.460639;-5.771552;-6.207659
ZINC000006812692;-6.542864;-6.5740995;-6.764431;-5.8079114;-6.3188004
ZINC000006812715;-5.4139237;-5.9615097;-6.0527344;-6.04637;-6.285186
ZINC000006812696;-6.2862473;-5.8495507;-6.7743406;-5.9483185;-6.4021406
ZINC000169693122;-7.448484;-7.449478;-7.4022036;-7.582354;-7.7230983
ZINC000100118960;-6.6589923;-7.5612307;-7.52252;-7.3220944;-7.4151864
ZINC000328589874;-8.3605795;-8.041288;-7.9488726;-8.067468;-7.648685
ZINC000100162499;-7.46248;-7.5751157;-7.7330003;-7.9484086;-7.3282433
ZINC000020029285;-5.4139237;-5.9615097;-6.0527344;-6.04637;-6.285186
ZINC000023936772;-7.1779704;-6.5248556;-6.4802465;-6.6362863;-6.41118
ZINC000008964076;-8.055174;-7.948759;-8.010162;-7.9030285;-8.545346
ZINC000008964075;-8.471918;-7.8728776;-7.461438;-7.726839;-8.302386
ZINC000100450244;-7.5608506;-7.458007;-7.123164;-7.208481;-6.7163134
ZINC000100450250;-7.4446;-7.4862013;-7.0722723;-7.52182;-6.451936
ZINC000009009239;-7.049819;-6.4491158;-6.6064186;-6.946782;-6.680114
ZINC000004940405;-7.355514;-7.3796;-7.294589;-7.5885296;-7.6194706
ZINC000007111857;-8.196604;-8.48426;-8.287981;-8.134535;-8.509472
ZINC000020714062;-6.6899815;-6.9197426;-6.662711;-6.7250237;-6.0935025
ZINC000005045395;-7.531605;-6.8273535;-6.860021;-7.54614;-7.1669946
ZINC000005045394;-7.589979;-7.760895;-7.2820115;-7.691575;-7.526107
ZINC000009244085;-7.351757;-7.675857;-7.231995;-7.5023527;-7.472811
ZINC000009242494;-7.08203;-6.790979;-6.7637987;-6.5493336;-6.467208
ZINC000009244084;-7.1271005;-7.2919784;-7.4869013;-8.08127;-7.501727
ZINC000009328500;-7.3922415;-7.2336593;-6.72671;-7.22371;-7.594776
ZINC000002195384;-8.141578;-8.323065;-8.202104;-8.31969;-8.587026
ZINC000002195386;-8.141578;-8.323065;-8.202104;-8.31969;-8.587026
ZINC000009357406;-6.7405853;-7.10328;-7.581947;-6.620924;-6.9342575
ZINC000009357403;-6.7241383;-7.1007056;-7.502782;-6.934018;-7.00206
ZINC000009359600;-6.864645;-6.14636;-6.5707674;-6.661426;-6.524515
ZINC000009359601;-7.444556;-6.9694433;-7.0313077;-7.287796;-7.199031
ZINC000009380576;-7.433818;-7.1034718;-6.693935;-7.304471;-6.625378
ZINC000009380577;-7.696479;-6.9427876;-6.885776;-7.5052533;-6.258271
ZINC000100719362;-8.60901;-8.172037;-7.6811914;-7.77218;-8.037614
ZINC000100719362;-8.581003;-8.025305;-7.791061;-7.649856;-7.850078
ZINC000009450548;-6.9157495;-6.567262;-6.9090276;-6.7360506;-6.6858873
ZINC000009450544;-6.838814;-6.1063004;-6.677701;-6.6870785;-6.464134
ZINC000009450545;-7.154823;-6.8944893;-6.542941;-6.9106536;-6.583807
ZINC000009450550;-6.8410416;-6.0886464;-6.6531835;-6.714983;-6.552749
ZINC000009487200;-7.0712595;-6.2489986;-6.890869;-6.6993995;-6.738222
ZINC000020028364;-7.94255;-7.41446;-7.3754683;-7.4049454;-7.6857243
ZINC000009580584;-6.4748354;-6.4377627;-6.3186755;-6.3971486;-6.786216
ZINC000009580583;-6.638076;-6.481757;-6.725929;-6.088401;-6.677477
ZINC000225747830;-7.189585;-7.405887;-7.491335;-6.472465;-7.2360215
ZINC000225747860;-6.0693407;-6.7889276;-7.5404572;-6.1918263;-7.2708063
ZINC000225747782;-6.9603214;-6.984246;-7.414502;-6.647313;-7.2340107
ZINC000225747805;-7.5954266;-6.9228806;-7.2984962;-6.699535;-7.3252764
ZINC000009634389;-8.547068;-8.405553;-7.5631323;-7.8595843;-8.215027
ZINC000009634389;-8.536552;-8.380787;-7.591035;-7.8644295;-8.232358
ZINC000001869127;-8.718213;-8.671115;-7.587527;-8.190279;-8.308881
ZINC000010043174;-7.978387;-8.396935;-8.009085;-8.224837;-8.472251
ZINC000019883062;-5.896013;-5.9803996;-6.5004463;-6.1283526;-5.593148
ZINC000019883059;-5.9478893;-6.0514164;-6.4575057;-5.8325195;-5.716342
ZINC000002053016;-8.227606;-8.703372;-8.199763;-8.832977;-8.959488
ZINC000019884518;-7.218082;-7.3203015;-7.0049796;-7.318831;-7.0552096
ZINC000019884520;-7.3143935;-6.9046383;-6.8419523;-7.301545;-7.036737
ZINC000065975205;-8.864033;-8.104977;-7.891268;-8.983252;-7.837466
ZINC000252621756;-9.009901;-9.077935;-8.752727;-9.197744;-9.251918
ZINC000004469494;-7.449556;-7.7390184;-6.654306;-7.01457;-7.285641
ZINC000020591190;-7.5337315;-7.596582;-7.318504;-7.6665173;-7.6698093
ZINC000006755107;-7.069724;-7.640695;-7.4486146;-7.751523;-7.252974
ZINC000020590598;-7.980975;-7.8567333;-7.798895;-7.998633;-7.8706245
ZINC000020028363;-7.468883;-7.711663;-7.5259204;-7.702594;-7.535705
ZINC000020029286;-6.2862473;-5.8495507;-6.7743406;-5.9483185;-6.4021406
ZINC000002248793;-7.430934;-7.894871;-7.4992976;-7.6614604;-7.75447
ZINC000002248794;-7.430934;-7.894871;-7.4992976;-7.6614604;-7.75447
ZINC000002274217;-8.25375;-7.683364;-7.1138964;-7.5214105;-7.6975355
ZINC000002274216;-8.25375;-7.683364;-7.1138964;-7.5214105;-7.6975355
ZINC000002393473;-7.6426315;-7.873771;-8.218969;-8.675809;-8.050036
ZINC000020219251;-6.7405853;-7.10328;-7.581947;-6.620924;-6.9342575
ZINC000020219253;-6.7241383;-7.1007056;-7.502782;-6.934018;-7.00206
ZINC000020264397;-6.3163857;-6.323534;-6.460639;-5.771552;-6.207659
ZINC000020264400;-6.542864;-6.5740995;-6.764431;-5.8079114;-6.3188004
ZINC000002543466;-7.5938883;-8.221888;-8.126501;-8.330008;-7.903321
ZINC000021345426;-8.886558;-8.100368;-7.967663;-7.15188;-7.9405036
ZINC000019834839;-8.438927;-8.096464;-8.036741;-8.19078;-7.878149
ZINC000002284541;-9.447447;-10.16194;-8.368109;-9.31281;-9.271035
ZINC000002284540;-9.447447;-10.16194;-8.368109;-9.31281;-9.271035
ZINC000253412393;-6.1364627;-6.798723;-6.45637;-6.6819134;-6.490412
ZINC000040227670;-7.399267;-6.8178306;-7.689625;-7.234174;-7.1323133
ZINC000102711660;-7.089272;-6.6656437;-6.780953;-7.396143;-7.065946
ZINC000253531576;-8.014226;-8.136899;-7.4196544;-7.8951526;-7.9043283
ZINC000253532394;-8.04707;-8.308471;-7.4761;-7.89908;-8.130679
ZINC000020533585;-7.4703755;-7.31181;-7.339884;-7.432435;-7.083401
ZINC000020533586;-7.0613866;-6.7431993;-7.306811;-7.2429733;-7.0764813
ZINC000012343326;-9.009901;-9.077935;-8.752727;-9.197744;-9.251918
ZINC000020714058;-6.3451376;-6.796403;-6.4780645;-6.334534;-6.6008267
ZINC000009914750;-8.225408;-8.575896;-7.773711;-8.006717;-7.4812455
ZINC000009914750;-8.219083;-8.565912;-7.757418;-7.9927793;-7.4736447
ZINC000009914747;-8.220262;-8.569365;-7.756342;-7.9917035;-7.4720902
ZINC000009914747;-8.219083;-8.565912;-7.757418;-7.9927793;-7.4736447
ZINC000002415661;-8.063638;-8.610379;-7.839386;-7.9837904;-8.166126
ZINC000002415660;-8.063638;-8.610379;-7.839386;-7.9837904;-8.166126
ZINC000082051437;-7.9143744;-7.446219;-6.640783;-7.456363;-8.009847
ZINC000082051435;-7.913514;-7.6285686;-7.942352;-8.220008;-8.364963
ZINC000013063003;-8.536553;-8.380787;-7.5910344;-7.864429;-8.232358
ZINC000013063003;-8.536552;-8.380787;-7.591035;-7.8644295;-8.232358
ZINC000328591989;-7.4779744;-7.49082;-7.6770267;-7.7082233;-7.3739333
ZINC000328591990;-7.323486;-7.9680843;-7.461299;-7.4178467;-7.414228
ZINC000020590151;-7.7719784;-7.743976;-7.4649916;-7.868697;-7.599268
ZINC000055243886;-6.6719522;-6.801429;-6.8903565;-6.8160496;-6.037697
ZINC000055243890;-6.2984743;-6.997198;-6.8782616;-6.9119096;-6.1092644
ZINC000254417018;-6.917427;-7.0862947;-6.632969;-6.961543;-7.4579372
ZINC000009487198;-7.0981445;-6.4899783;-6.9388037;-6.680686;-6.874655
ZINC000040267319;-7.404586;-6.9357486;-6.6417046;-7.1601;-6.4562445
ZINC000003770907;-8.045365;-7.5143385;-7.0344014;-7.2506685;-8.217568
ZINC000013123261;-6.694893;-6.866507;-6.467546;-6.6226044;-6.8473554
ZINC000013123260;-6.625778;-7.0524235;-6.305786;-6.7542944;-6.5588994
ZINC000013127439;-6.3013844;-6.256858;-5.9447913;-6.7717495;-6.2993937
ZINC000013127438;-6.644436;-6.4927387;-6.2609434;-6.9340124;-6.633994
ZINC000013127548;-6.37075;-6.6919327;-6.2897115;-6.8024735;-6.3125887
ZINC000013127546;-6.3384395;-6.6847334;-6.220843;-6.998248;-6.53182
ZINC000004312505;-6.993639;-7.0501866;-7.1690807;-6.7988577;-7.499105
ZINC000013718686;-6.521862;-6.6668744;-6.4615226;-6.3395815;-6.3815417
ZINC000020219531;-6.4300632;-6.7571363;-6.3999825;-6.623043;-6.2085
ZINC000025177940;-7.2780104;-6.819131;-6.7352953;-7.436185;-7.031163
ZINC000025177932;-7.086376;-7.2000475;-6.9868064;-7.4472094;-7.2004094
ZINC000061999354;-7.0790205;-7.725229;-7.949716;-7.9891634;-8.394407
ZINC000061999356;-7.1648974;-7.9021616;-7.291939;-7.456416;-7.757027
ZINC000061999396;-7.3096747;-7.086281;-7.437989;-7.355011;-8.084835
ZINC000061999394;-7.8682446;-7.3428926;-7.7075405;-7.3272433;-8.277239
ZINC000004574619;-7.3999643;-7.3419824;-7.704644;-7.171026;-7.4586124
ZINC000024049805;-7.22909;-7.7555857;-7.5191493;-6.763077;-7.7878017
ZINC000020131547;-8.541216;-7.6914287;-7.629594;-7.3698816;-7.887368
ZINC000004457793;-6.576664;-7.3680716;-7.178743;-6.885317;-6.832496
ZINC000004741410;-8.166695;-7.8738003;-7.6241584;-7.846367;-7.8441553
ZINC000020219440;-6.6521206;-6.3238754;-6.7880616;-6.228678;-6.3559537
ZINC000020219532;-6.58356;-6.578433;-6.390611;-6.5058436;-6.5878787
ZINC000020219439;-6.372644;-6.6457367;-6.5356402;-6.2536182;-6.458583
ZINC000020229402;-6.98638;-7.1206098;-6.7587776;-6.8810625;-7.034897
ZINC000020229404;-6.115014;-6.977222;-6.7425113;-6.542992;-7.026335
ZINC000005489989;-6.790814;-7.2250824;-6.9592648;-7.228036;-7.4156084
ZINC000004870729;-7.78607;-7.330574;-7.218503;-7.4405193;-7.5293083
ZINC000004870730;-8.49618;-8.158033;-7.892502;-8.402899;-7.770115
ZINC000095453897;-8.247095;-8.359207;-7.4575086;-7.481757;-7.8328724
ZINC000095453896;-8.102497;-8.05373;-7.4682307;-7.4390955;-7.7110777
ZINC000005573573;-7.0727596;-7.633401;-6.918688;-6.624715;-7.474824
ZINC000005574980;-6.667736;-7.314063;-7.106068;-6.5440993;-7.226464
ZINC000005576845;-6.625778;-7.0524235;-6.305786;-6.7542944;-6.5588994
ZINC000005576895;-6.694893;-6.866507;-6.467546;-6.6226044;-6.8473554
ZINC000005135284;-6.6427727;-7.1322746;-6.6101966;-7.3968983;-7.30324
ZINC000005135281;-7.5202394;-7.727249;-7.318968;-7.8766026;-7.780132
ZINC000005562661;-8.716124;-8.374632;-8.154795;-8.595862;-8.124626
ZINC000005562659;-8.373136;-7.5910945;-7.423862;-7.622035;-7.58792
ZINC000002284749;-7.8567386;-7.6870704;-7.3576975;-7.5697937;-7.5605288
ZINC000002284748;-7.8567386;-7.6870704;-7.3576975;-7.5697937;-7.5605288
ZINC000006149669;-8.22031;-7.845367;-7.6923394;-7.8559337;-8.175558
ZINC000034677587;-7.907666;-7.725388;-7.3315573;-7.2424564;-7.280354
ZINC000034678411;-7.658779;-7.48744;-7.3204064;-7.0305715;-7.5517945
ZINC000034677485;-8.180725;-8.42628;-8.086299;-7.923934;-8.286891
ZINC000034677367;-7.7518806;-7.4991083;-7.1296964;-7.13021;-7.240051
ZINC000006812761;-6.805214;-6.606314;-7.2082543;-6.825695;-7.026147
ZINC000006812761;-7.4867945;-7.101851;-7.14448;-6.924315;-6.594716
ZINC000006812766;-6.9497957;-6.6148767;-6.9130077;-7.2645483;-6.387433
ZINC000006812766;-7.1975493;-7.032218;-7.153255;-7.216792;-6.3865066
ZINC000034677366;-7.4435854;-7.231971;-6.7077007;-7.1734796;-7.129403
ZINC000034677586;-7.668488;-7.471637;-6.902406;-7.2851515;-7.1657877
ZINC000034678412;-7.54301;-7.10241;-6.992678;-7.0895386;-7.3871765
ZINC000034677484;-8.066989;-8.111502;-7.676525;-7.842618;-8.170536
ZINC000096324955;-7.5964913;-7.6310554;-7.76419;-7.3474984;-7.457719
ZINC000025051443;-8.4303;-8.384948;-8.58794;-8.286048;-8.981697
ZINC000020676101;-7.3876247;-7.023569;-7.534775;-7.0091443;-6.29254
ZINC000025115368;-7.2740903;-7.1746492;-7.2328606;-7.183242;-7.474407
ZINC000024147392;-6.71665;-6.7971525;-7.28438;-6.6877947;-7.139761
ZINC000024147396;-6.5762744;-6.6817846;-7.095358;-6.739366;-7.0722327
ZINC000015919628;-8.217422;-8.165303;-7.5477233;-8.683734;-8.163769
ZINC000020589935;-8.125458;-8.342948;-7.711048;-8.194325;-7.715901
ZINC000032682223;-7.467815;-8.238744;-8.10805;-8.145979;-7.9961433
ZINC000032682225;-7.467815;-8.238744;-8.10805;-8.145979;-7.9961433
ZINC000225757859;-7.236684;-7.2356763;-7.5790515;-7.1939497;-7.43643
ZINC000004643115;-6.5124736;-7.394583;-7.26289;-7.3764677;-7.8334627
ZINC000028242355;-7.24836;-7.5455604;-7.466271;-7.768504;-7.478033
ZINC000581818785;-8.620547;-8.74909;-7.56798;-8.446703;-8.335205
ZINC000101351086;-7.8963146;-7.5501785;-7.4239593;-7.4088683;-7.412324
ZINC000101351084;-7.6177526;-7.1476803;-7.186503;-7.3625464;-7.021903
ZINC000101601653;-6.6116524;-6.320251;-6.5511055;-6.6438003;-6.2465177
ZINC000008740961;-6.9782076;-6.483425;-6.8024397;-6.9802694;-7.0690413
ZINC000008740962;-7.0734763;-7.0381813;-7.087346;-7.3734074;-6.661556
ZINC000020676097;-7.0282817;-6.6286755;-6.6838517;-6.2671866;-6.2914934
ZINC000016995452;-7.029342;-6.4428864;-6.3013525;-6.5291185;-6.1515727
ZINC000102484748;-7.4459743;-7.1127286;-7.365455;-6.9278965;-6.595008
ZINC000102484748;-7.3716;-6.8057036;-6.923765;-7.4092126;-7.2891226
ZINC000102484755;-7.214464;-7.1947527;-7.3781567;-7.0268555;-6.7232103
ZINC000102484755;-7.1152353;-7.246183;-6.9817533;-7.31308;-6.5974083
ZINC000102486958;-7.1328416;-6.7387877;-6.4547777;-6.5908732;-6.3302717
ZINC000102486947;-7.390633;-7.34479;-6.6777225;-7.4490566;-6.7195215
ZINC000028961002;-7.3954415;-7.495733;-7.4595566;-7.602266;-7.6395206
ZINC000102544741;-7.1271005;-7.2919784;-7.4869013;-8.08127;-7.501727
ZINC000102544747;-7.351757;-7.675857;-7.231995;-7.5023527;-7.472811
ZINC000102546482;-6.3992915;-6.241167;-6.234761;-6.4266315;-6.4577312
ZINC000102546474;-6.232832;-6.251341;-6.3791113;-6.876769;-6.1225476
ZINC000102611246;-7.0613866;-6.7431993;-7.306811;-7.2429733;-7.0764813
ZINC000102611251;-7.4703755;-7.31181;-7.339884;-7.432435;-7.083401
ZINC000102650568;-7.536306;-6.9238267;-6.9123;-7.530012;-7.185395
ZINC000102706657;-7.5202394;-7.727249;-7.318968;-7.8766026;-7.780132
ZINC000102706653;-6.6427727;-7.1322746;-6.6101966;-7.3968983;-7.30324
ZINC000102730458;-6.115014;-6.977222;-6.7425113;-6.542992;-7.026335
ZINC000102730457;-6.98638;-7.1206098;-6.7587776;-6.8810625;-7.034897
ZINC000102735687;-6.9550543;-6.620046;-6.729026;-7.0680046;-6.52242
ZINC000102735684;-6.533304;-6.5528584;-6.523304;-6.5452356;-6.4940233
ZINC000102711665;-7.245879;-7.266015;-7.3568687;-7.7343736;-7.3547473
ZINC000102742467;-7.3876247;-7.023569;-7.534775;-7.0091443;-6.29254
ZINC000102741812;-7.0366488;-7.1799674;-7.062501;-7.4063125;-6.783928
