name;01;02;03;04;05
ZINC000014535215;-9.00191;-8.661899;-8.275913;-8.633183;-8.679949
ZINC000014539023;-8.145996;-7.983233;-7.8711166;-8.127773;-8.510614
ZINC000014542155;-8.664249;-8.380814;-8.159096;-8.492252;-9.307253
ZINC000014543261;-8.52013;-8.4363985;-7.637563;-7.8730235;-8.511648
ZINC000014540660;-8.984041;-8.550564;-8.315582;-8.495107;-8.963038
ZINC000014542154;-8.606726;-8.363038;-8.329529;-8.47738;-9.018858
ZINC000014543262;-8.580807;-8.3670025;-7.7452755;-7.743554;-8.227713
ZINC000014540661;-9.064979;-8.691259;-8.121791;-8.501058;-9.277124
ZINC000014540952;-8.715699;-8.60169;-7.6761165;-7.96953;-8.881174
ZINC000014542375;-8.825306;-8.601001;-7.907203;-8.187462;-8.855739
ZINC000014540951;-8.714363;-8.477202;-7.8801355;-7.937375;-8.688696
ZINC000014533992;-8.041713;-7.9228253;-8.000236;-7.76836;-8.259361
ZINC000014533993;-8.104259;-7.93513;-7.932815;-7.901611;-8.564463
ZINC000014542374;-8.650432;-8.452475;-8.006626;-8.103212;-8.558251
ZINC000014536736;-8.609946;-8.245358;-8.115756;-8.603312;-8.839298
ZINC000014532527;-7.974161;-7.8948793;-7.7987623;-7.933197;-8.838554
ZINC000014539024;-8.12059;-8.032509;-7.730347;-8.221462;-8.788918
ZINC000014532528;-7.9111843;-7.885727;-7.686927;-8.055159;-9.030848
ZINC000014535214;-9.163607;-8.719236;-8.030969;-8.6373415;-9.148859
ZINC000014536735;-8.393752;-7.90756;-8.232552;-8.208232;-8.429051
ZINC000014745888;-9.1815405;-8.897046;-8.181289;-8.989252;-9.260847
ZINC000014741577;-8.280028;-8.019154;-7.859206;-8.166714;-8.864177
ZINC000014741576;-8.23703;-7.8831887;-8.026951;-7.960185;-8.498127
ZINC000014747535;-8.987022;-8.763542;-7.9445295;-8.377349;-8.932122
ZINC000014747727;-8.656168;-8.727183;-7.4943867;-7.974578;-8.855637
ZINC000014755278;-8.180889;-7.865269;-7.9521546;-7.9416747;-8.180389
ZINC000014742276;-8.96756;-8.800982;-8.238701;-8.636765;-9.149244
ZINC000014745887;-8.88607;-8.877235;-8.258766;-8.935436;-8.555176
ZINC000014733145;-8.252959;-7.861184;-7.914371;-7.819442;-8.454473
ZINC000014733146;-8.210217;-7.96622;-7.875048;-8.12244;-8.736433
ZINC000014747726;-8.863755;-8.719709;-7.88445;-8.085864;-8.565601
ZINC000014747534;-8.789776;-8.546994;-8.048476;-8.342894;-8.654233
ZINC000014742275;-8.785843;-8.606152;-8.330969;-8.593613;-8.8562
ZINC000015064446;-8.135225;-8.142618;-8.169874;-8.027983;-7.7589936
ZINC000015276057;-7.951422;-7.601695;-8.111153;-8.171077;-8.430616
ZINC000015319857;-8.702845;-7.7952185;-8.199632;-8.3253765;-8.40862
ZINC000015972003;-6.8092275;-6.1323752;-7.1593575;-7.200575;-7.0390596
ZINC000016236320;-8.867695;-8.76571;-8.674448;-8.5287;-8.568367
ZINC000012824141;-8.617279;-8.407701;-8.110798;-8.451609;-7.944786
ZINC000104411732;-7.8332167;-7.8273487;-7.935859;-8.134222;-7.788043
ZINC000005318495;-8.833247;-8.285877;-8.470774;-9.127242;-8.90695
ZINC000015859748;-7.9043765;-7.178561;-7.772137;-8.317046;-7.572975
ZINC000019798651;-7.582459;-8.240736;-7.596757;-7.769903;-8.145235
ZINC000020118855;-7.71742;-8.086393;-7.248505;-7.7194095;-7.351005
ZINC000020109935;-7.9682827;-8.296765;-7.6001616;-7.7117395;-7.347182
ZINC000020256263;-8.3412895;-8.269464;-8.079048;-8.672027;-8.503735
ZINC000020256265;-8.3522415;-8.356016;-7.982474;-8.775949;-8.785784
ZINC000012916629;-8.326036;-8.010382;-7.9494743;-7.767916;-7.974051
ZINC000035421847;-8.690891;-8.84068;-8.799928;-8.391039;-8.385922
ZINC000006275587;-7.092675;-7.3624215;-7.1601763;-7.32618;-7.251012
ZINC000006275589;-7.6358933;-7.5937324;-7.6739135;-7.484023;-7.304844
ZINC000006275590;-7.580603;-7.1999226;-7.626643;-7.3430433;-6.996189
ZINC000006275588;-7.086168;-7.2415915;-7.3364463;-7.419927;-7.362216
ZINC000006294702;-7.6743956;-6.6952453;-7.3086023;-6.8456364;-6.9269495
ZINC000006294699;-6.955235;-7.1283355;-7.2882767;-6.7746267;-7.007049
ZINC000217610720;-6.937238;-7.270461;-7.4139023;-7.194204;-7.1583166
ZINC000225400319;-7.736792;-7.32487;-7.116038;-7.3430867;-7.6481104
ZINC000299788408;-8.342341;-9.116501;-8.405575;-8.767453;-8.073598
ZINC000299788404;-8.228369;-8.855539;-8.498595;-9.009488;-7.9987354
ZINC000100426120;-7.742544;-7.8045835;-7.9373693;-7.498649;-7.662703
ZINC000024192890;-7.5916424;-7.645842;-7.871375;-7.4936748;-7.960809
ZINC000019880032;-7.5206666;-7.4192653;-7.201751;-7.3437653;-7.325542
ZINC000024192889;-7.691615;-7.778349;-8.23369;-7.38423;-7.932262
ZINC000004785872;-6.7549767;-6.1194296;-6.3987365;-6.951631;-6.1574535
ZINC000004785873;-6.5039606;-6.63551;-6.912825;-6.8225555;-7.0085187
ZINC000020911199;-7.8804765;-8.420439;-7.5356464;-7.928339;-7.5317874
ZINC000040049841;-7.8588257;-7.570575;-8.280057;-8.224602;-7.643861
ZINC000053991150;-6.989226;-7.184057;-7.4039125;-7.2109394;-7.6203747
ZINC000096572776;-9.437586;-9.899202;-9.913949;-9.425788;-10.120689
ZINC000006787112;-8.049397;-8.166869;-8.36365;-8.253825;-7.8859487
ZINC000006787117;-8.305888;-8.343389;-8.471546;-7.9916396;-7.817253
ZINC000169679294;-6.874363;-7.1113834;-6.475145;-7.2638183;-7.4416494
ZINC000006812681;-8.463435;-8.585701;-8.27643;-7.660908;-7.6854267
ZINC000006812711;-6.886368;-6.39776;-6.7617717;-6.1274457;-6.377608
ZINC000006812692;-6.9923205;-6.6387596;-7.281598;-6.191662;-6.43897
ZINC000006812715;-6.01474;-6.11966;-6.578004;-6.329221;-6.5265145
ZINC000006812696;-6.4595523;-6.1736984;-7.168887;-6.237638;-6.555567
ZINC000006812679;-8.438181;-8.373631;-8.379984;-7.85492;-7.631305
ZINC000169693122;-7.453785;-7.6013494;-7.3654885;-7.8790298;-7.7030783
ZINC000101011795;-4.0761585;-5.006139;-4.132635;-4.06545;-3.7696097
ZINC000040049354;-9.508432;-8.536018;-8.9230795;-9.364915;-9.096877
ZINC000100118960;-6.809518;-7.749137;-7.685486;-7.7793508;-7.4922934
ZINC000035561466;-7.7498;-7.4932265;-7.1733665;-7.5897093;-7.659869
ZINC000100162499;-7.4882426;-7.8122244;-8.057478;-8.12019;-7.5515165
ZINC000072318106;-7.0557303;-7.860854;-7.262739;-7.653389;-7.6588745
ZINC000020029285;-6.01474;-6.11966;-6.578004;-6.329221;-6.5265145
ZINC000040135642;-7.6611915;-7.5384746;-7.1232696;-7.4607453;-7.8554554
ZINC000040135644;-7.7058153;-7.7546387;-7.7641377;-7.96751;-8.068683
ZINC000040135643;-7.5645595;-7.7078557;-7.5372934;-7.7567782;-7.9367843
ZINC000008964076;-8.862274;-7.989588;-8.186312;-8.008346;-8.743418
ZINC000008964075;-8.776827;-8.106188;-7.875514;-8.080745;-8.575394
ZINC000100426114;-6.5770273;-6.6461325;-7.456785;-6.9915924;-7.9163113
ZINC000100450244;-8.391324;-7.418786;-7.6705394;-7.8413067;-7.3194084
ZINC000100450250;-7.9158697;-7.8769946;-7.5648203;-8.033831;-7.131715
ZINC000100478215;-9.437586;-9.899202;-9.913949;-9.425788;-10.120689
ZINC000004935066;-8.472015;-8.230264;-7.9336743;-8.434652;-8.589206
ZINC000009341260;-7.379642;-7.4191756;-7.5488586;-7.9294987;-7.668298
ZINC000036627732;-8.650134;-8.069841;-7.804779;-7.575926;-7.713838
ZINC000020714062;-7.337813;-7.3379445;-7.269703;-7.3343186;-6.778302
ZINC000022863702;-7.953394;-8.484816;-8.023124;-8.303147;-8.112105
ZINC000000579168;-9.401843;-9.222543;-8.893063;-8.850453;-9.171689
ZINC000009357406;-7.6839514;-7.151226;-8.267654;-7.2024655;-7.5318604
ZINC000009357403;-7.222146;-7.4594374;-8.10054;-7.3679113;-7.5211334
ZINC000009398427;-7.406355;-7.530249;-7.61942;-7.3642483;-7.500224
ZINC000047406035;-8.289602;-7.8622894;-7.718601;-8.1582365;-7.746338
ZINC000047406034;-7.7910123;-7.56635;-7.458817;-7.8963847;-7.2594285
ZINC000033106760;-7.742143;-8.477468;-7.9619017;-7.998971;-7.3487387
ZINC000021663083;-8.062491;-8.0974045;-7.991541;-8.154379;-8.298542
ZINC000025179916;-7.9066525;-8.134591;-7.366113;-8.136386;-7.3012385
ZINC000025179907;-7.9801316;-7.516782;-7.160254;-7.1641283;-6.811305
ZINC000225747830;-6.877376;-7.1195264;-7.315711;-6.266347;-7.290687
ZINC000225747860;-8.24058;-8.108234;-7.3456;-6.9290543;-8.023467
ZINC000225747782;-6.5790715;-7.3872733;-6.8941464;-6.536342;-7.264775
ZINC000225747805;-7.5795636;-7.5526166;-6.928876;-6.8090467;-7.478561
ZINC000011769454;-7.1099033;-7.756577;-7.5677757;-8.211444;-7.8565598
ZINC000252444540;-6.9539413;-6.943466;-6.8210526;-6.5446978;-7.4280195
ZINC000252444539;-7.254594;-6.403432;-6.316547;-6.49329;-7.3814735
ZINC000014755280;-8.24679;-8.021887;-7.902732;-8.194728;-8.575952
ZINC000023146127;-7.951647;-7.9845786;-7.267276;-7.680433;-7.088496
ZINC000023153590;-8.034112;-6.7805905;-7.2943306;-7.26179;-7.8030777
ZINC000023153589;-7.8585653;-6.8698406;-7.1108947;-7.3684983;-7.4839854
ZINC000023146125;-7.396788;-7.3317156;-7.599062;-7.335528;-6.4827433
ZINC000001869127;-8.387672;-8.323224;-8.142441;-8.141694;-8.29089
ZINC000010043174;-8.225512;-8.534489;-7.891603;-8.244104;-8.6392355
ZINC000019880030;-7.636878;-7.51385;-7.138642;-6.947973;-6.8766136
ZINC000019883062;-6.6207404;-6.341112;-6.9304943;-6.6214156;-6.1820397
ZINC000019883059;-6.878324;-6.045639;-6.9810853;-6.1841664;-6.227613
ZINC000065975205;-9.451959;-8.866916;-8.53973;-9.203941;-8.537388
ZINC000006755107;-7.6579885;-8.306837;-7.7290797;-8.359518;-7.823807
ZINC000006760610;-8.4845085;-8.330309;-7.673445;-8.428221;-7.845128
ZINC000006760123;-7.8429747;-7.8836594;-7.5156794;-8.010932;-7.9718423
ZINC000020029286;-6.4595523;-6.1736984;-7.168887;-6.237638;-6.555567
ZINC000020219346;-7.092675;-7.3624215;-7.1601763;-7.32618;-7.251012
ZINC000020219251;-7.6839514;-7.151226;-8.267654;-7.2024655;-7.5318604
ZINC000020219353;-7.580603;-7.1999226;-7.626643;-7.3430433;-6.996189
ZINC000020219354;-7.086168;-7.2415915;-7.3364463;-7.419927;-7.362216
ZINC000020219345;-7.6358933;-7.5937324;-7.6739135;-7.484023;-7.304844
ZINC000020219253;-7.222146;-7.4594374;-8.10054;-7.3679113;-7.5211334
ZINC000020264397;-6.886368;-6.39776;-6.7617717;-6.1274457;-6.377608
ZINC000020264400;-6.9923205;-6.6387596;-7.281598;-6.191662;-6.43897
ZINC000040227670;-7.5702076;-6.802405;-7.757799;-7.2042313;-7.1347713
ZINC000020533585;-8.020975;-7.6574726;-7.596218;-7.898953;-7.477209
ZINC000020533586;-7.7026086;-7.35135;-7.8494353;-7.7061324;-7.848154
ZINC000022863705;-8.169346;-8.072804;-8.066668;-8.074311;-8.218341
ZINC000020714058;-7.2489805;-6.8696365;-7.016462;-6.844451;-7.3220468
ZINC000082051437;-8.106336;-7.6916494;-6.9146786;-7.53633;-8.309539
ZINC000082051435;-8.072131;-7.896889;-8.110325;-8.294476;-8.463696
ZINC000082108001;-7.8860426;-8.6828575;-8.220473;-7.748063;-8.541301
ZINC000082108002;-8.7031555;-8.476165;-8.318777;-8.065071;-8.339291
ZINC000082120104;-7.721686;-8.384714;-8.002807;-7.2207685;-8.325276
ZINC000082121602;-8.635886;-8.55932;-8.292146;-8.256927;-8.457195
ZINC000082108612;-8.343659;-8.147945;-8.279148;-8.055406;-8.295307
ZINC000082108611;-7.713885;-8.33905;-8.268653;-7.6815677;-8.55522
ZINC000082115614;-7.8851433;-8.711123;-7.9187346;-7.305306;-8.355539
ZINC000082115618;-8.694386;-8.378657;-8.260629;-7.8474083;-8.177927
ZINC000082121603;-8.000673;-8.589961;-8.380016;-7.944458;-8.814933
ZINC000082120105;-8.3463955;-8.053883;-8.199959;-7.8370495;-8.036796
ZINC000082121810;-8.644946;-8.487904;-8.223894;-8.066249;-8.267109
ZINC000082121809;-8.048388;-8.661888;-8.112946;-7.526675;-8.641809
ZINC000012895909;-8.066445;-7.388851;-6.878989;-7.167358;-7.2554135
ZINC000012895913;-7.911444;-7.305388;-6.982339;-7.03518;-7.0119286
ZINC000013008591;-8.217771;-8.491622;-7.8183136;-8.203928;-8.585652
ZINC000013008596;-8.405911;-8.541653;-7.5999575;-8.252279;-8.557104
ZINC000013122002;-6.7137055;-6.5522456;-6.2167478;-7.1717844;-6.6281915
ZINC000013122003;-6.4118886;-6.445181;-5.745801;-6.6706676;-6.5329194
ZINC000328591989;-8.115525;-7.7951264;-7.7417192;-7.7583647;-7.529143
ZINC000328591990;-7.503859;-8.143619;-7.6259365;-7.744726;-7.5688066
ZINC000055243886;-6.7290406;-6.89583;-7.786165;-6.8553467;-6.705111
ZINC000055243890;-6.681041;-7.0802307;-7.3152947;-7.081067;-6.5431533
ZINC000216186029;-4.47667;-4.9992003;-4.892439;-4.643873;-4.11357
ZINC000216186073;-4.207107;-4.774493;-4.775005;-4.7075014;-3.8722064
ZINC000216186113;-4.1337285;-4.9206;-4.5895243;-4.555322;-3.6873965
ZINC000039978412;-6.6433244;-7.016114;-6.040715;-6.608713;-6.881115
ZINC000039978411;-7.1894207;-6.888214;-6.735666;-6.967344;-6.773481
ZINC000039978413;-6.944187;-6.9082355;-6.658889;-6.8335423;-7.021814
ZINC000039978414;-6.7422543;-7.3996716;-6.1328106;-6.560342;-7.122824
ZINC000095462699;-8.255519;-7.6919193;-7.7809167;-8.063843;-7.7373
ZINC000003770907;-7.9697337;-7.2027473;-7.649684;-7.439103;-8.501167
ZINC000024969308;-8.13995;-8.632046;-8.442661;-8.456402;-8.322612
ZINC000024969302;-8.358095;-8.484225;-8.370307;-8.777331;-8.556264
ZINC000013123261;-7.464787;-6.9982214;-7.2166386;-7.0879307;-7.1318865
ZINC000013123260;-7.3797226;-7.4325457;-7.117217;-7.2894716;-7.0112667
ZINC000013124746;-7.664439;-7.7213316;-7.74182;-7.241746;-7.5501695
ZINC000013124726;-7.6262827;-7.7308273;-7.1824245;-7.0057535;-7.303635
ZINC000013124747;-6.7244687;-6.9183292;-7.253049;-6.821379;-7.7586956
ZINC000013124727;-7.2080393;-7.468812;-7.129697;-7.2324567;-7.197448
ZINC000013127643;-7.742544;-7.8045835;-7.9373693;-7.498649;-7.662703
ZINC000013127645;-6.5770273;-6.6461325;-7.456785;-6.9915924;-7.9163113
ZINC000013596992;-8.662826;-7.6975813;-8.346715;-7.826723;-8.593639
ZINC000013718686;-6.882737;-6.948301;-6.922319;-6.7774115;-6.6814184
ZINC000020219531;-7.117762;-7.1969676;-7.130543;-7.1811967;-6.722354
ZINC000022859955;-8.100245;-7.8745866;-8.12343;-7.6017833;-8.005245
ZINC000022859957;-7.9080763;-8.1159725;-7.9034348;-7.8507504;-7.770003
ZINC000061999354;-7.9714737;-8.0452;-8.097146;-8.338216;-8.65727
ZINC000061999356;-7.481533;-8.127491;-7.3682365;-8.077903;-8.288527
ZINC000061999396;-7.580913;-7.5897846;-7.341969;-7.755515;-8.392434
ZINC000061999394;-8.428738;-7.975802;-8.011104;-7.8594685;-8.713559
ZINC000004574619;-7.4899864;-7.3136706;-7.8215294;-7.553591;-7.4673796
ZINC000024049805;-7.426146;-7.7783794;-7.6454744;-6.9069524;-7.7055697
ZINC000020219440;-7.6743956;-6.6952453;-7.3086023;-6.8456364;-6.9269495
ZINC000020219532;-7.5791407;-6.813062;-7.031739;-7.0377874;-7.056194
ZINC000020219439;-6.955235;-7.1283355;-7.2882767;-6.7746267;-7.007049
ZINC000020229402;-7.526792;-7.616602;-7.6845536;-7.304461;-7.4699583
ZINC000020229404;-7.280062;-7.0784044;-7.689888;-7.0604415;-7.3924665
ZINC000095364319;-7.810817;-7.3796954;-6.678064;-7.0023704;-7.544547
ZINC000020393022;-7.22793;-7.349473;-7.8268275;-7.438308;-7.6485806
ZINC000020393025;-7.7647867;-7.5616417;-7.607127;-7.358944;-7.2415214
ZINC000020414889;-7.8776293;-8.332313;-7.861623;-8.368436;-7.8692913
ZINC000095453897;-8.801816;-8.728016;-8.041532;-7.6690784;-8.322677
ZINC000095453896;-8.677441;-8.436847;-8.046612;-7.6234484;-8.169081
ZINC000095462698;-8.121454;-7.69856;-7.426749;-7.9357457;-7.8041263
ZINC000005576845;-7.3797226;-7.4325457;-7.117217;-7.2894716;-7.0112667
ZINC000005576895;-7.464787;-6.9982214;-7.2166386;-7.0879307;-7.1318865
ZINC000027026042;-8.151974;-8.142475;-8.152338;-7.6089005;-7.9789734
ZINC000027026037;-7.9010572;-8.269588;-8.06481;-7.671932;-7.8862348
ZINC000017208510;-7.8531857;-7.320754;-7.45522;-7.455998;-7.837942
