name;01;02;03;04;05
ZINC000772651614;-7.3660808;-6.9762774;-7.4063935;-7.3804607;-7.311437
ZINC000772651615;-7.4876847;-6.9236374;-7.490994;-7.3013144;-7.38812
ZINC000785488422;-7.3218837;-7.574631;-7.4673967;-7.15504;-7.468111
ZINC000785489489;-7.4415565;-7.165934;-7.260481;-7.220969;-7.6172366
ZINC000785490293;-7.575816;-7.4255896;-7.4892845;-7.209289;-7.6413755
ZINC000785491677;-7.199857;-7.061002;-6.9872117;-7.408098;-7.3186555
ZINC000743265062;-9.007921;-8.489721;-8.318798;-8.642043;-8.620206
ZINC000766474170;-7.945937;-8.453984;-7.847353;-8.167257;-8.154482
ZINC000766474566;-5.8468866;-6.31379;-5.9950027;-6.1215796;-6.138175
ZINC000766474541;-6.744525;-6.8801804;-7.145109;-7.2374873;-7.395499
ZINC000743292124;-7.6698427;-7.7094316;-7.3954167;-7.4458556;-7.2925696
ZINC000785510126;-7.7954326;-7.2791495;-7.3961797;-7.0202174;-7.4380593
ZINC000785510481;-7.926688;-7.167754;-7.094849;-6.9235044;-7.2417393
ZINC000785511966;-8.254165;-8.184566;-8.072942;-7.7340503;-7.705174
ZINC000785516086;-7.5397687;-7.580654;-7.3814335;-7.114547;-7.3488746
ZINC000785515809;-7.7405105;-7.4535236;-7.0965805;-7.0027447;-7.2217207
ZINC000770813890;-7.1632934;-7.710278;-7.453636;-7.4061728;-7.6543007
ZINC000785518907;-8.268068;-8.034227;-7.774932;-7.4415994;-7.402507
ZINC000766482237;-7.634395;-7.9873962;-7.6380877;-8.092636;-7.799613
ZINC000766482267;-6.084881;-6.49933;-6.321826;-6.2351985;-6.3518343
ZINC000766482557;-5.5992413;-5.910623;-5.7061625;-5.507905;-5.953479
ZINC000766482917;-7.7811966;-8.479583;-8.006785;-7.927148;-7.963214
ZINC000766482559;-7.195546;-7.3107033;-7.0186634;-7.1916065;-7.1983137
ZINC000766483142;-6.8785563;-7.251658;-7.0364904;-7.26162;-7.2681875
