name;01;02;03;04;05
ZINC000790349444;-7.2921844;-8.03603;-7.5741787;-6.9997053;-7.8663
ZINC000790349957;-7.887533;-8.864304;-8.55809;-8.473396;-8.695818
ZINC000790350874;-7.1864424;-7.510097;-7.1575546;-6.7544765;-7.52688
ZINC000790382551;-6.9953723;-7.0450616;-7.4040394;-6.935131;-6.8699965
ZINC000790383373;-7.898322;-8.198059;-8.081195;-7.7830763;-7.8758774
ZINC000790384757;-7.4070964;-7.4651585;-7.4662733;-7.6474;-7.6223626
ZINC000790386139;-7.559592;-7.936922;-7.7845592;-7.777236;-7.7688637
ZINC000790386386;-7.399622;-7.576314;-7.638514;-7.49152;-7.7175884
ZINC000790389162;-6.117628;-6.01519;-6.591837;-6.678643;-6.483995
ZINC000790389387;-7.898959;-8.182778;-7.8445435;-7.591486;-7.9513674
ZINC000790390900;-7.1733413;-7.44409;-7.5769467;-7.378241;-7.319371
ZINC000790391798;-6.278828;-6.0360365;-6.8250055;-6.753848;-6.8307796
ZINC000790393014;-6.4495344;-6.9692907;-6.8742666;-6.94701;-7.1530666
ZINC000790392705;-7.6717777;-7.3422637;-7.328491;-7.159217;-7.3144736
ZINC000790392709;-6.5344143;-5.9891124;-6.8102026;-6.5180283;-6.8004146
ZINC000790392259;-8.091853;-7.8911896;-7.7844157;-7.7363877;-8.101685
ZINC000790393945;-7.1226597;-6.995255;-7.4038534;-7.202836;-7.2638073
ZINC000790395921;-6.7147446;-6.2928977;-6.498431;-6.7268624;-6.8278203
ZINC000790405160;-7.01005;-7.0257764;-7.4916325;-7.0072517;-7.2311482
ZINC000790404836;-7.509715;-7.976178;-7.8695354;-7.6825433;-8.152597
ZINC000790404833;-7.50631;-7.989756;-7.8688364;-7.6767626;-8.151712
ZINC000790404442;-6.9251585;-7.114647;-7.255455;-7.20481;-7.2828765
ZINC000790406945;-7.4823174;-7.5529566;-7.0796356;-6.9461412;-7.2355094
ZINC000790425007;-7.7761407;-7.7519345;-7.2794013;-7.508463;-7.812005
ZINC000790397324;-6.777236;-6.588148;-6.631409;-6.960467;-6.982378
ZINC000790398649;-6.8050866;-7.079292;-7.583245;-6.962509;-7.3245277
ZINC000788061296;-7.6705637;-7.7301884;-7.3900867;-7.2474265;-7.6750975
ZINC000788060857;-7.419566;-7.708929;-7.3122272;-7.31758;-7.955032
ZINC000788083764;-7.407792;-7.7799964;-8.084677;-7.54066;-7.2099524
ZINC000788082896;-7.2447658;-7.6970344;-7.6368856;-7.859914;-7.4766326
ZINC000788084059;-5.743236;-6.450475;-6.357874;-6.34501;-6.396684
ZINC000788084061;-6.581279;-6.8980207;-6.982605;-6.319674;-6.7710457
ZINC000766945046;-7.519274;-7.5979676;-7.6783586;-7.5046997;-7.932521
ZINC000766945048;-7.5622454;-7.6757536;-7.7059565;-7.4864445;-7.991075
ZINC000790628192;-6.4199963;-5.927288;-6.3162746;-6.4138727;-6.347111
ZINC000776648861;-8.024021;-8.096075;-7.9734325;-7.5320716;-8.4459505
ZINC000776648862;-8.015835;-8.088535;-7.969935;-7.528613;-8.443291
ZINC000788292704;-6.919509;-7.2246513;-6.87347;-7.0645957;-7.5362043
ZINC000780521674;-7.4208703;-7.4270024;-7.4777207;-7.618778;-7.461387
ZINC000780521680;-7.3943257;-7.1599803;-7.2274966;-7.684761;-7.3278384
ZINC000780522484;-7.8305874;-7.8017497;-7.2545805;-8.219093;-7.4323516
ZINC000793344628;-7.556132;-7.1823254;-7.6086946;-8.146437;-7.982319
