name;01;02;03;04;05
ZINC000805257031;-8.180906;-8.158188;-7.9951496;-7.8208194;-7.5096674
ZINC000790348864;-7.7380247;-7.8921742;-7.713997;-7.2584496;-8.235638
ZINC000790347915;-7.5359325;-8.04629;-7.844422;-7.4977884;-8.18955
ZINC000805259925;-7.05656;-6.4919033;-6.9530287;-6.487087;-6.5064263
ZINC000790351472;-7.602285;-8.2282715;-7.7525854;-7.614021;-8.210383
ZINC000805261468;-7.205228;-6.968548;-6.8320837;-7.2988353;-6.711498
ZINC000790382693;-6.9347477;-7.47677;-7.5790834;-7.0989475;-7.174501
ZINC000790382291;-7.669562;-7.2729206;-7.6332245;-7.2779903;-7.4165072
ZINC000790382257;-7.392783;-7.8459344;-7.7287593;-7.222621;-7.56481
ZINC000790382289;-7.2413063;-7.4163337;-7.9358997;-7.351838;-7.8936563
ZINC000790382771;-7.961004;-7.7404833;-7.868549;-7.7862716;-8.023843
ZINC000790383991;-7.6530385;-7.4245024;-7.5256324;-7.3747773;-7.766986
ZINC000790384015;-7.562851;-7.795081;-7.814725;-7.856263;-7.359416
ZINC000790384003;-7.2930765;-7.34399;-7.322425;-7.406965;-7.5619926
ZINC000790383979;-8.253437;-8.184918;-8.141791;-8.00765;-8.07619
ZINC000790382251;-6.542022;-6.9073267;-7.297819;-6.846159;-6.8895106
ZINC000790383400;-7.131425;-7.6460767;-7.525639;-7.242362;-7.401312
ZINC000790383319;-8.023824;-8.38137;-8.238554;-8.420766;-7.842868
ZINC000790383352;-7.9961777;-7.9923677;-7.785212;-7.7536798;-7.964757
ZINC000790384671;-7.124548;-7.1331935;-7.598751;-7.571745;-7.9066415
ZINC000790384397;-7.6725492;-7.7183275;-7.7634654;-7.402394;-7.6227565
ZINC000790395303;-7.807987;-7.127836;-7.9108915;-7.3377857;-7.8153577
ZINC000790385483;-7.0785418;-6.5217667;-7.06917;-6.550153;-7.100504
ZINC000790385686;-7.714937;-7.916678;-7.941403;-7.4460187;-7.722308
ZINC000790385460;-7.8696957;-8.054321;-8.094405;-7.6666408;-8.093649
ZINC000790385545;-7.3092294;-7.343694;-7.524106;-7.0653677;-7.394917
ZINC000790387038;-7.8709946;-7.617532;-8.215579;-7.774169;-7.5309663
ZINC000790385549;-6.942604;-6.426195;-6.733869;-6.907947;-6.7872767
ZINC000790386562;-7.5069494;-7.69192;-7.7059197;-7.557357;-7.664716
ZINC000790386386;-7.029215;-6.616294;-7.00101;-7.000749;-7.3795385
ZINC000790387816;-7.8161287;-8.133162;-7.8875384;-7.9667034;-7.9419317
ZINC000790387988;-6.9242606;-6.86584;-7.456919;-6.91032;-7.3555346
ZINC000790387730;-8.053326;-8.007528;-7.913822;-8.030569;-8.198684
ZINC000790387613;-7.6559973;-7.666108;-7.6238623;-7.63216;-7.767106
ZINC000790389162;-7.1369247;-6.76245;-7.2515135;-7.0962224;-7.13591
ZINC000790388778;-6.6821146;-6.10243;-6.3784328;-6.022816;-6.4727664
ZINC000790388809;-7.955563;-8.089648;-7.699763;-7.9531794;-7.7956877
ZINC000790388828;-7.906364;-8.020509;-7.6009774;-7.765668;-7.6772623
ZINC000790388280;-7.2323675;-7.044601;-7.6344843;-7.3636193;-7.5254135
ZINC000790390015;-7.498377;-7.5471554;-7.4494433;-7.3117824;-7.599635
ZINC000790390063;-8.317424;-7.8865595;-7.919738;-8.008668;-8.365207
ZINC000790389330;-7.1481047;-7.1650743;-7.2934113;-7.3394766;-7.501478
ZINC000790390850;-6.3580885;-6.4568973;-6.958314;-6.977656;-6.957643
ZINC000790391162;-7.504115;-7.5732803;-7.5338902;-7.6356173;-7.9101424
ZINC000790390915;-7.546356;-7.2893367;-7.66124;-7.3178773;-7.5315113
ZINC000790390461;-7.8251996;-7.6734385;-8.109251;-7.763323;-8.016477
ZINC000790391798;-7.3108883;-7.18917;-7.5291905;-7.2122207;-7.469918
ZINC000790391747;-7.215839;-7.0614285;-6.9725304;-7.26706;-7.2065225
ZINC000790391205;-7.4671683;-7.6759796;-7.6145215;-7.509473;-7.842039
ZINC000790391202;-7.538053;-7.6226444;-7.6760287;-7.595889;-7.985807
ZINC000790393044;-7.5824614;-7.222904;-7.475643;-7.159784;-7.362974
ZINC000790392814;-7.8429384;-8.138235;-7.524561;-7.5564504;-7.8765254
ZINC000790392731;-7.0049844;-6.772427;-6.9972315;-6.7536793;-7.174423
ZINC000790392709;-7.257306;-7.495334;-7.6947513;-7.215696;-7.4143333
ZINC000790393966;-7.194653;-7.5078235;-7.4342465;-7.0775027;-7.449887
ZINC000790393945;-6.145153;-6.079604;-6.8027625;-6.85202;-6.697917
ZINC000790393941;-7.1931124;-7.515438;-7.213839;-7.469094;-7.642596
ZINC000790393394;-7.895733;-7.8990407;-7.593253;-7.924861;-7.8009853
ZINC000790393385;-7.9986267;-8.252731;-7.9880977;-7.8040924;-8.078276
ZINC000790394778;-7.135068;-6.7653594;-7.2801366;-6.8699775;-7.062414
ZINC000790394721;-7.3020506;-7.5553207;-7.568898;-7.5095434;-7.4358826
ZINC000790395044;-8.016493;-8.063022;-8.332968;-8.008181;-8.207062
ZINC000790394248;-7.453815;-7.979427;-7.450819;-7.0449867;-7.5138807
ZINC000790395921;-6.9843607;-7.0076127;-7.316761;-7.099341;-7.446313
ZINC000790395433;-6.095229;-6.3030367;-6.5644493;-6.8225417;-6.64859
ZINC000790394333;-7.626068;-8.111172;-7.5545487;-7.719713;-7.7901044
ZINC000790395421;-7.08899;-7.329091;-7.956722;-7.4007173;-7.6365213
ZINC000790404413;-6.749628;-6.2172275;-6.7418633;-5.902156;-6.6652627
ZINC000790406968;-7.7528067;-7.803618;-8.125069;-7.8122826;-7.9728303
ZINC000790406994;-7.8720856;-7.87131;-7.993816;-8.0743265;-8.165304
ZINC000790406541;-6.241897;-6.309942;-6.3053536;-5.975095;-6.2910857
ZINC000790406905;-6.7326136;-7.080732;-7.266359;-7.2508955;-7.3347754
ZINC000790406903;-6.824852;-7.109417;-7.1399984;-7.2774935;-7.3685064
ZINC000790410931;-7.788019;-7.2872324;-7.054524;-7.6015286;-7.7840004
ZINC000790410378;-7.474119;-7.4047995;-7.0284066;-7.5621743;-7.9265184
ZINC000790423357;-6.229037;-6.4021034;-6.379082;-6.506342;-6.677841
ZINC000790425029;-6.092469;-6.1044483;-6.243723;-6.3424153;-6.317749
ZINC000790425949;-7.8635983;-7.9349504;-7.4128823;-7.6503277;-8.187025
ZINC000790396642;-7.4955664;-7.4055643;-6.86208;-7.4310255;-7.242878
ZINC000790397933;-8.084814;-7.8315535;-7.9918756;-7.730178;-8.042345
ZINC000790397324;-7.032521;-7.139632;-7.382938;-7.229393;-7.5540495
ZINC000790398617;-6.1044316;-6.1454062;-6.690074;-6.326686;-6.704452
ZINC000790398619;-7.759596;-7.887796;-7.93284;-7.462116;-7.6870847
ZINC000790398649;-6.2232985;-5.914114;-6.5038853;-6.393904;-6.7078896
ZINC000790398570;-7.3817573;-7.1435184;-7.021038;-7.0299897;-7.425081
ZINC000790399566;-6.860552;-7.2829027;-7.498106;-7.0145636;-7.564968
ZINC000790400183;-7.368033;-7.2690544;-6.8940625;-6.8572264;-7.3704
ZINC000790399568;-6.947628;-7.1064925;-7.5722337;-7.354029;-7.6489897
ZINC000790399564;-6.61527;-6.479306;-6.6071196;-6.317336;-6.687333
ZINC000790399595;-7.6535897;-6.8092318;-6.8494387;-7.018421;-7.4915986
ZINC000790399393;-7.10019;-6.700174;-7.2996006;-7.059831;-7.400748
ZINC000790402996;-8.118481;-7.869952;-7.658789;-7.842261;-7.842637
ZINC000790403864;-7.3959394;-7.526049;-7.499867;-7.501254;-7.4744334
ZINC000788052506;-7.5447326;-7.9768467;-7.9044;-7.7978954;-7.4534216
ZINC000788053339;-7.1494823;-7.6702538;-7.6807585;-7.6462855;-7.482399
ZINC000788055242;-7.796287;-7.925644;-7.8103876;-7.927793;-7.7257075
ZINC000788055490;-7.127172;-7.5496006;-7.9045825;-7.4607434;-6.8610024
ZINC000788057738;-7.366319;-7.8829393;-8.152357;-7.8627524;-7.2281437
ZINC000788057063;-7.599894;-7.9103565;-8.0368805;-7.7974653;-7.497803
ZINC000788058442;-7.7639055;-8.089245;-7.902532;-7.906938;-7.7271357
ZINC000788058171;-7.432622;-7.8258014;-8.356551;-7.7993393;-7.4776206
ZINC000788061528;-7.7923594;-7.9442334;-7.3830853;-7.293705;-7.7228017
ZINC000788061011;-7.4920964;-7.981921;-7.9440575;-7.7961607;-7.4891586
ZINC000788060921;-7.5104227;-7.9473324;-7.360589;-7.3085876;-8.0859785
ZINC000788062219;-7.326037;-8.059724;-7.9061637;-7.7822833;-7.6900306
ZINC000788063073;-7.8147683;-7.86206;-7.3770733;-7.3516464;-7.9753118
ZINC000788082908;-7.470875;-8.094155;-7.979014;-8.107739;-7.408412
ZINC000788084063;-7.828799;-7.75846;-7.905076;-7.6501484;-7.275893
ZINC000788130175;-6.6623807;-7.0516243;-7.11175;-7.324515;-6.5533886
ZINC000788130783;-7.0955353;-7.424839;-6.9429774;-6.673871;-7.2815576
ZINC000788132569;-7.1037602;-8.026445;-7.241374;-7.046515;-7.186659
ZINC000788133464;-6.864323;-7.786829;-6.9894767;-6.681885;-7.186072
ZINC000766825928;-6.624214;-6.809658;-6.446143;-6.5179996;-6.5011873
ZINC000766943262;-6.9153485;-6.9749823;-6.197892;-6.853942;-6.6747775
ZINC000766943260;-6.883927;-6.9613957;-6.421658;-7.020791;-6.701641
ZINC000790627951;-7.2137046;-6.803421;-6.932393;-6.68011;-6.744709
ZINC000788220187;-7.3604136;-7.4632645;-7.226964;-7.1379833;-7.605864
ZINC000769480940;-8.605469;-8.405044;-8.163087;-7.914325;-8.326342
ZINC000793346592;-6.8641515;-7.7140794;-7.0520744;-7.570709;-7.299267
ZINC000793356202;-7.8113937;-7.3749895;-7.1953044;-7.46838;-7.529829
ZINC000788438051;-6.930726;-7.484778;-7.076953;-7.759198;-7.6141524
ZINC000788437685;-8.18604;-8.128448;-7.813456;-8.233964;-8.285203
ZINC000788439038;-7.6277046;-7.876503;-7.2685657;-7.8986645;-7.804061
ZINC000788438438;-6.8787575;-6.687422;-6.969565;-7.7266865;-7.4506226
ZINC000793360750;-6.244422;-6.2998056;-6.2394543;-6.295471;-6.4004884
ZINC000788439461;-7.183045;-7.1058893;-7.2287345;-7.725076;-7.6269736
