name;01;02;03;04;05
ZINC000100149960;-7.8825;-7.843393;-7.89687;-7.4789014;-8.040653
ZINC000016926219;-7.9955215;-7.876513;-8.277983;-8.09774;-8.209421
ZINC000016926215;-8.041646;-7.708099;-8.137796;-8.212802;-8.150438
ZINC000103569227;-7.9099402;-7.6990647;-7.6802197;-7.554786;-7.815333
ZINC000103569221;-8.305139;-7.9997;-7.9441977;-8.054947;-8.156462
ZINC000104094633;-7.746658;-8.408;-7.9300356;-8.4086075;-8.126247
ZINC000006907162;-6.7026825;-6.643128;-6.9549303;-7.034592;-7.215491
ZINC000006907192;-6.7358665;-6.747322;-6.8249393;-6.992292;-7.1853695
ZINC000001125089;-6.715484;-7.383802;-6.960771;-7.173131;-7.2450314
ZINC000001197405;-6.4054384;-6.7431974;-6.430992;-6.774277;-6.7554884
ZINC000001216184;-7.220038;-7.2867656;-7.364159;-6.9000106;-7.058631
ZINC000022608905;-6.9747534;-7.070126;-6.5076103;-6.856869;-6.0600753
ZINC000022608900;-6.8339696;-7.214391;-6.5846715;-6.960832;-6.04679
ZINC000408526164;-7.789507;-8.016695;-8.151875;-8.262229;-7.700451
ZINC000408526586;-8.284298;-8.932732;-8.361923;-8.487881;-7.758858
ZINC000408527510;-8.112334;-8.370015;-7.8919554;-8.150404;-8.329394
ZINC000408529013;-8.356356;-8.388214;-8.0137415;-8.176496;-8.299188
ZINC000035078474;-8.262827;-8.672274;-8.287093;-8.431239;-8.368573
ZINC000408529429;-7.8870173;-8.177065;-7.952612;-8.048064;-8.104137
ZINC000408528389;-7.872763;-8.749942;-8.264349;-8.208674;-8.037083
ZINC000006184533;-7.548939;-7.436131;-7.6835365;-7.605097;-7.8091574
ZINC000041077944;-7.3807316;-8.251488;-7.5207124;-7.388012;-7.923669
ZINC000408532074;-8.1784115;-8.092699;-7.8367805;-8.03006;-8.016717
ZINC000408535522;-8.118613;-7.9168854;-8.002032;-7.7095027;-7.7171783
ZINC000408536706;-8.358705;-8.554939;-8.219209;-8.402101;-8.429834
ZINC000009259371;-6.477297;-6.608984;-5.953176;-6.444576;-6.8068385
ZINC000106502904;-6.7237945;-7.077836;-6.714847;-7.2400894;-6.912183
ZINC000107879579;-6.4370003;-7.3893867;-7.4662356;-7.328021;-8.033395
ZINC000108078793;-6.776961;-7.3851705;-6.9285884;-6.943638;-6.7315617
ZINC000108935862;-6.8367357;-6.9938335;-7.1096373;-7.148446;-7.3490987
ZINC000109091032;-7.1194525;-7.308942;-6.8294086;-7.390418;-7.2244925
ZINC000408539673;-8.335013;-8.898453;-8.184994;-8.298101;-7.864669
ZINC000006735615;-6.8989496;-7.277888;-7.19243;-7.4855313;-6.8731914
ZINC000033562963;-7.2557225;-7.1728644;-6.84508;-7.12517;-7.1935296
ZINC000033633337;-6.629363;-7.327321;-7.182593;-7.284932;-7.1047144
ZINC000033562965;-7.057854;-7.0524006;-6.748014;-7.0370674;-7.086364
ZINC000033633340;-6.771427;-7.48522;-7.147588;-7.346341;-7.231098
ZINC000033667342;-7.6617923;-7.573538;-7.397943;-7.836767;-7.8308234
ZINC000033768013;-6.993624;-7.3480744;-6.7254715;-7.3701124;-7.218847
ZINC000033768011;-6.8910685;-7.382923;-6.651558;-7.3075104;-7.1585116
ZINC000035403177;-7.1463237;-7.66034;-6.861673;-7.6428657;-7.154276
ZINC000035112860;-6.833138;-7.046183;-6.8877707;-7.109621;-6.9038715
ZINC000107700203;-6.7673616;-7.129516;-6.9273276;-6.961298;-7.205952
ZINC000107723437;-7.7186685;-7.7735033;-7.2593136;-7.7480645;-7.858297
ZINC000107916875;-7.547468;-7.7527866;-7.4674964;-7.608707;-7.410995
ZINC000107935939;-6.8118086;-7.7233033;-7.2636585;-7.7455587;-7.323722
ZINC000107890043;-7.3724008;-7.2059617;-7.114103;-7.215719;-7.2110095
ZINC000108134365;-7.1731453;-7.517857;-6.641078;-7.2686124;-7.2777677
ZINC000108134360;-7.3513117;-7.5667367;-6.772561;-7.3065267;-7.3044147
ZINC000108099543;-7.002663;-7.6488132;-7.5211916;-7.410861;-7.227412
ZINC000408547050;-6.8109155;-7.2479887;-7.0333385;-7.2821503;-7.13068
ZINC000408547111;-7.2708926;-7.4442997;-7.031852;-7.498548;-7.05161
ZINC000408549830;-6.304772;-6.6828017;-7.076085;-6.682626;-6.6137776
ZINC000408548643;-6.155919;-6.6387706;-6.820925;-6.362746;-6.7002163
ZINC000408550352;-7.1641912;-7.3517513;-7.297925;-7.2550025;-7.0934124
ZINC000005427295;-8.031259;-7.9071264;-7.625597;-7.6004395;-7.974296
ZINC000005427281;-7.8825;-7.843393;-7.89687;-7.4789014;-8.040653
ZINC000005509423;-7.6503863;-7.112304;-7.56781;-7.3253055;-7.795623
ZINC000015219360;-6.7212386;-7.3680506;-6.9742355;-6.9568806;-7.078681
ZINC000216929224;-8.911135;-8.893377;-8.072711;-8.3330765;-8.073404
ZINC000216941274;-7.5622587;-7.7714534;-7.7849565;-7.4798117;-7.279895
ZINC000216948722;-7.1953006;-7.5159926;-7.819731;-7.563858;-7.5330276
ZINC000216950317;-7.1711082;-7.638635;-7.033086;-6.9005957;-7.0746374
ZINC000408588680;-7.3215184;-7.200492;-6.914132;-7.447002;-6.933135
ZINC000222736955;-7.8975716;-8.258752;-7.984647;-8.183912;-8.663081
ZINC000222737025;-8.013187;-8.786886;-8.046593;-8.042972;-8.332503
ZINC000013546652;-7.5287323;-7.3477297;-7.2319;-7.1522975;-7.355155
ZINC000013546768;-6.7452917;-6.9548383;-6.6208496;-6.8973956;-7.2707686
ZINC000223120343;-8.35139;-8.496902;-8.255205;-8.276;-8.6491165
ZINC000223120413;-8.808231;-8.804775;-8.415021;-8.189445;-8.435107
ZINC000223184456;-7.5897837;-8.589555;-8.202875;-8.687111;-8.399744
ZINC000223281073;-8.176523;-7.905838;-7.699686;-8.001089;-7.5497084
ZINC000223297035;-7.222723;-7.6335487;-7.800784;-7.5151815;-7.21481
ZINC000223420461;-8.002572;-8.326926;-8.251938;-8.639078;-8.405207
ZINC000223688311;-7.2314663;-7.2442093;-7.751753;-7.532637;-7.4248023
ZINC000223952907;-7.1242366;-7.4980564;-7.0661244;-6.7159066;-7.23813
ZINC000408631338;-8.216304;-8.584902;-7.787943;-8.70169;-8.574464
ZINC000224398593;-7.9285874;-8.434826;-8.137657;-8.251433;-8.20165
ZINC000224494615;-8.501764;-8.575217;-8.047073;-8.376542;-8.736499
ZINC000224494665;-8.677739;-8.956139;-8.091047;-8.187249;-8.379149
ZINC000020459165;-6.8181424;-6.8028154;-6.6395597;-6.537055;-6.5819182
ZINC000020459163;-6.8708687;-6.886842;-6.7211895;-6.6942773;-6.4694347
ZINC000006843862;-7.278832;-7.720131;-8.139928;-7.774238;-7.667802
ZINC000225473173;-7.4866323;-7.322873;-8.299214;-7.3824234;-7.06222
ZINC000408801191;-8.452891;-8.76181;-8.459768;-8.83343;-8.509251
ZINC000408801758;-9.549591;-10.4312725;-8.887788;-9.377986;-9.721431
ZINC000408805051;-7.7134614;-8.349478;-7.338259;-7.6590405;-7.8847313
ZINC000408808872;-7.3479834;-7.985646;-7.429777;-7.5891633;-7.8938875
ZINC000408816074;-7.6807184;-7.815789;-7.3444815;-7.7042527;-7.669547
ZINC000408855669;-6.045989;-6.9211893;-6.3438454;-6.311914;-6.412095
ZINC000408874321;-7.195633;-7.199986;-7.82838;-7.2452836;-7.492442
ZINC000408876043;-7.3201656;-7.5908647;-7.5943613;-7.491342;-7.8101482
ZINC000408876300;-7.3482404;-7.296527;-7.6870403;-7.2396607;-7.5170655
ZINC000408876876;-7.6169195;-7.7889385;-7.5159893;-7.8013325;-8.0876255
ZINC000408877903;-7.5605593;-7.801175;-7.52831;-7.556495;-7.902999
ZINC000408885991;-7.061233;-6.906069;-7.203896;-6.9148602;-7.2922106
ZINC000408883182;-7.7635365;-8.172263;-7.8355923;-7.9324627;-8.027861
ZINC000408889266;-8.9528675;-9.229139;-8.92528;-8.783849;-8.854605
ZINC000408889223;-7.7796893;-8.292972;-7.654606;-7.8237667;-8.085856
ZINC000408891609;-7.9281116;-8.663717;-7.744123;-7.970629;-8.106457
ZINC000408917155;-5.8478746;-6.247661;-6.071558;-6.172367;-6.1812305
ZINC000408916335;-6.334646;-6.211126;-6.3049645;-5.953755;-6.398782
ZINC000408918696;-7.3867984;-7.1460576;-8.028451;-7.3035116;-7.7620554
ZINC000408927030;-8.012174;-8.296227;-7.558242;-7.6919374;-7.8802853
ZINC000005881674;-6.0924864;-6.691988;-6.800282;-7.075348;-6.70951
ZINC000005513226;-8.147223;-8.78942;-8.263171;-8.732888;-8.3939
ZINC000004739010;-6.477185;-6.7082844;-6.78586;-6.646789;-6.513113
ZINC000225656014;-7.447817;-7.8185215;-7.629985;-7.199024;-7.013978
ZINC000408988122;-5.826883;-5.927228;-6.059663;-6.0654964;-6.2471433
ZINC000408988124;-5.966847;-6.5580254;-6.1113334;-6.2227106;-6.306716
ZINC000408991188;-7.4184146;-7.3634253;-7.0422864;-7.4095016;-7.415206
ZINC000408991724;-10.157572;-9.527567;-9.277964;-9.727152;-9.415366
ZINC000408993048;-7.240056;-6.9208126;-6.840832;-7.3211226;-6.9410844
ZINC000408993797;-7.0072765;-7.929737;-7.681796;-7.097122;-7.136285
ZINC000408994833;-7.2935724;-7.649599;-7.0979595;-7.676366;-7.532934
ZINC000408998205;-7.34363;-7.5791817;-7.3638906;-7.9113;-7.3082237
ZINC000409000382;-8.539563;-7.9249034;-7.7304406;-8.226079;-8.0814495
ZINC000409002598;-7.6288753;-7.4448967;-7.065624;-7.650337;-7.2965603
