name;01;02;03;04;05
ZINC000014239132;-7.0751424;-6.6391363;-7.7286115;-7.262498;-7.5434084
ZINC000014239132;-7.171849;-6.445465;-7.605091;-7.23316;-7.512221
ZINC000014242775;-7.6703377;-7.7601004;-7.530364;-7.966301;-7.2182846
ZINC000014539488;-8.782699;-9.0236225;-8.058544;-8.416805;-8.385719
ZINC000014541652;-8.469159;-7.471912;-7.5315514;-8.240098;-8.120632
ZINC000014539487;-8.651601;-8.449429;-8.059311;-8.152228;-8.615782
ZINC000014541653;-8.42798;-7.694824;-7.7462163;-7.9571695;-8.245174
ZINC000014751671;-8.273817;-8.599972;-8.028026;-8.43954;-8.47965
ZINC000014751673;-8.408494;-8.720701;-7.9146357;-8.47225;-8.751371
ZINC000015022771;-6.609026;-6.928866;-8.167355;-7.589427;-7.7094083
ZINC000015069363;-8.155123;-7.576315;-8.430319;-8.08495;-7.480784
ZINC000104371187;-8.860654;-7.3492365;-8.738701;-8.690525;-7.58701
ZINC000104371187;-8.671044;-7.104815;-8.673162;-8.306644;-7.485342
ZINC000104373779;-7.307387;-7.1366625;-7.8538013;-8.031395;-7.7981887
ZINC000104373779;-7.307387;-7.1366625;-7.8538013;-8.031395;-7.7981887
ZINC000104463858;-8.846725;-8.902669;-8.181334;-8.6505375;-8.359546
ZINC000104460618;-8.456179;-8.198593;-8.098098;-8.33101;-7.92941
ZINC000104460618;-8.256762;-7.6711183;-8.034238;-8.3016405;-7.8796787
ZINC000104506857;-7.9648447;-8.214117;-8.798357;-8.435022;-7.755449
ZINC000104506857;-8.457428;-8.110883;-9.117405;-8.612209;-8.000665
ZINC000107100255;-7.579839;-8.017623;-8.315247;-8.391038;-7.7693605
ZINC000107100255;-7.8618164;-7.995537;-8.158497;-8.485978;-7.8463054
ZINC000019363105;-8.320119;-7.9120693;-7.559901;-7.098628;-7.216078
ZINC000019363104;-8.087224;-7.9711304;-7.3452673;-7.436525;-7.3342113
ZINC000019790820;-6.906693;-6.3902497;-6.708882;-6.838224;-6.738062
ZINC000019741664;-7.266088;-7.735582;-8.431925;-7.861704;-7.0735097
ZINC000019781950;-8.418278;-7.564383;-9.236122;-8.617416;-7.6395407
ZINC000019781950;-8.150395;-7.4740105;-7.89785;-7.848444;-7.884207
ZINC000019781950;-8.6082115;-7.1258016;-8.297361;-8.519085;-7.885743
ZINC000019792362;-8.212635;-8.002024;-8.106888;-8.30971;-8.042975
ZINC000019792362;-8.514441;-8.068085;-8.308263;-8.397755;-7.7473984
ZINC000019790821;-6.9414816;-6.43133;-6.7724123;-6.863038;-6.771787
ZINC000019741662;-6.682927;-7.8306904;-8.162423;-7.6786485;-7.19348
ZINC000020102502;-7.16656;-7.8622484;-7.674859;-7.3561206;-7.4039903
ZINC000020109699;-6.5656157;-6.578886;-6.8550773;-6.8808503;-6.6503525
ZINC000020109698;-6.384904;-6.621706;-6.6633596;-6.682253;-6.6473665
ZINC000023147526;-8.811078;-8.111108;-8.250429;-8.230737;-8.511032
ZINC000040009570;-7.7965674;-8.189657;-7.9113216;-7.9333935;-7.759425
ZINC000040009570;-8.059187;-7.9893456;-8.074916;-8.022888;-7.724305
ZINC000035361961;-7.8917375;-8.301186;-8.765257;-7.946993;-8.321089
ZINC000035361976;-8.700015;-7.665806;-8.317772;-7.875722;-8.339834
ZINC000035361960;-8.894349;-8.879673;-8.797576;-8.139141;-8.60625
ZINC000252346972;-6.846303;-7.7856483;-7.228328;-7.6567755;-7.9538255
ZINC000252346954;-7.3490467;-7.8739276;-7.371586;-7.7393165;-7.7467585
ZINC000252346956;-7.3458285;-7.994344;-7.7218432;-7.6558723;-8.0639
ZINC000252346955;-7.742099;-8.154152;-7.0140133;-7.6036596;-7.736436
ZINC000299788826;-8.964154;-8.882254;-8.816211;-8.485556;-8.437752
ZINC000299788823;-9.008975;-8.879209;-8.762674;-8.495351;-8.463198
ZINC000248141551;-8.311087;-8.205278;-8.697324;-8.391303;-8.554565
ZINC000248141548;-8.135264;-7.4081144;-8.040213;-8.040005;-8.265171
ZINC000670472116;-7.9815855;-7.204533;-7.648755;-7.440624;-7.906065
ZINC000670472117;-7.980549;-6.998035;-7.2984095;-7.341046;-7.764244
ZINC000024573331;-7.833762;-7.7765255;-7.411577;-7.320035;-7.977027
ZINC000012034789;-7.2821317;-8.093592;-7.620969;-8.151144;-8.290355
ZINC000004827811;-6.734602;-7.07382;-6.8655214;-6.8826447;-6.653168
ZINC000004827808;-6.7525578;-7.0454416;-6.8489113;-6.919333;-6.693669
ZINC000064761083;-9.438672;-9.227695;-8.8197775;-9.236632;-9.041695
ZINC000032824642;-7.919549;-7.9793024;-8.059263;-7.4063334;-8.080072
ZINC000032824644;-7.818554;-7.7310166;-7.7669086;-7.559098;-7.981988
ZINC000008704592;-8.226196;-7.44151;-8.554872;-7.7030034;-8.040676
ZINC000008706166;-8.00164;-7.4713316;-7.8254504;-7.519302;-7.619472
ZINC000008724554;-7.5812206;-7.457885;-7.7370005;-7.322675;-7.473887
ZINC000008725132;-7.7597756;-6.8901544;-7.5705833;-7.046846;-7.177437
ZINC000169677311;-8.882296;-8.876014;-8.99649;-8.84171;-8.836975
ZINC000169677310;-9.144222;-9.32325;-9.406814;-9.203373;-9.16587
ZINC000169681666;-8.035302;-8.125779;-8.161021;-8.152485;-7.626257
ZINC000169681846;-8.897913;-9.134577;-9.275188;-8.942868;-8.945309
ZINC000169681667;-7.741252;-7.9824433;-7.6420803;-7.741319;-7.5323324
ZINC000169681847;-8.626458;-8.670454;-8.811138;-8.616008;-8.583149
ZINC000023171573;-7.4556227;-7.602696;-6.9481277;-7.3197346;-7.30689
ZINC000040033596;-7.4698715;-7.5716205;-7.5677114;-8.321676;-7.1874776
