name;01;02;03;04;05
ZINC000001513417;-7.698141;-8.340453;-7.9636154;-8.407575;-8.005171
ZINC000001513423;-7.4232016;-8.2396145;-8.105842;-8.401349;-7.9221354
ZINC000001513412;-7.928474;-8.111519;-8.058722;-8.282077;-8.094972
ZINC000012875752;-6.9749136;-7.403602;-7.510686;-7.2329564;-6.9651036
ZINC000072301173;-6.7567334;-6.1952252;-6.8502493;-6.739413;-6.6602926
ZINC000035296282;-7.791973;-8.136134;-8.544243;-8.377901;-8.251953
ZINC000035296283;-7.871281;-8.178764;-8.61734;-8.467473;-8.377311
ZINC000001587803;-6.452571;-6.833536;-6.6013556;-6.714068;-6.6844673
ZINC000035397339;-8.187042;-8.357342;-7.9931893;-7.6578007;-7.829165
ZINC000035397440;-7.9102597;-8.073987;-7.442052;-7.4435368;-7.59984
ZINC000035397360;-7.5040956;-7.826075;-7.779568;-7.0769544;-7.419568
ZINC000035397394;-7.255221;-7.119655;-7.1420903;-6.646389;-6.880332
ZINC000035397353;-7.3560724;-7.7296724;-7.6252446;-6.9848475;-7.474411
ZINC000035397502;-6.945214;-7.1263227;-7.434782;-6.7331095;-6.9765882
ZINC000035397608;-7.6085033;-8.016872;-8.1455765;-7.1446304;-7.969692
ZINC000035397657;-6.893689;-7.201491;-7.301172;-6.325185;-6.9145083
ZINC000006251418;-7.316907;-8.05104;-7.378262;-7.8229127;-7.454496
ZINC000247376311;-7.7662444;-8.062349;-7.9035935;-8.576206;-8.232128
ZINC000247376296;-7.8438053;-8.118152;-7.696802;-8.339247;-7.930263
ZINC000000653388;-8.599799;-8.709281;-8.552955;-8.463072;-8.901267
ZINC000089272096;-6.791191;-7.2576084;-7.250971;-6.9018908;-7.4434185
ZINC000245245708;-8.148026;-8.039566;-7.5127454;-7.9918523;-7.8935575
ZINC000089309922;-7.851406;-7.2750044;-7.223107;-7.688945;-7.6434813
ZINC000089323072;-7.047835;-7.424267;-7.2089314;-7.2285166;-7.305225
ZINC000089420391;-7.161625;-7.346715;-7.2832937;-7.359087;-7.374137
ZINC000064472382;-6.615879;-6.5615845;-6.3960166;-6.889436;-6.4965305
ZINC000054294889;-6.7766347;-7.4710584;-7.2568846;-7.1971426;-7.2673535
ZINC000054294792;-7.3944902;-7.725478;-7.480843;-7.302957;-7.472922
ZINC000390822366;-8.001678;-7.8298073;-7.421144;-8.217932;-8.432452
ZINC000089587178;-6.9188204;-6.9973283;-7.1622257;-7.2280936;-7.1576533
ZINC000089587169;-7.3279104;-8.111258;-8.0642605;-7.8873906;-8.119805
ZINC000001560125;-7.7742214;-6.808246;-6.700815;-7.004994;-6.8193607
ZINC000000754382;-8.104748;-8.432982;-7.680542;-8.229967;-8.294409
ZINC000095564733;-8.040619;-7.947363;-7.4469876;-7.691921;-7.5039854
