name;01;02;03;04;05
ZINC000237639899;-8.4768505;-8.344363;-8.4377;-8.622271;-7.7126184
ZINC000237638445;-8.48035;-8.374741;-8.260674;-8.518614;-7.697127
ZINC000237988979;-7.790544;-7.705636;-7.4288244;-7.6269393;-7.837661
ZINC000238012292;-7.7796917;-7.750506;-7.323718;-7.5763392;-7.783793
ZINC000238051961;-9.439606;-9.194872;-8.798872;-9.411728;-9.254585
ZINC000746361379;-8.750868;-8.617157;-8.543704;-8.839235;-8.432829
ZINC000746361376;-8.560702;-8.562337;-8.246669;-8.949845;-8.076496
ZINC000746363620;-7.8448215;-7.872122;-7.979749;-7.8861537;-7.61783
ZINC000746363622;-7.8366036;-7.730904;-7.7465806;-7.8524218;-7.1879454
ZINC000746366697;-7.915247;-7.576095;-7.297101;-8.164919;-7.3728595
ZINC000746366699;-7.9158545;-7.5171895;-7.54687;-8.043643;-7.742318
ZINC000749103799;-9.994773;-9.621203;-9.542644;-9.166514;-9.571815
ZINC000749103797;-10.042914;-9.609883;-9.618608;-9.184247;-9.563999
ZINC000749104655;-8.81259;-8.862807;-8.605247;-8.346503;-8.637862
ZINC000749104708;-8.772209;-8.290201;-8.226772;-8.233516;-8.609358
ZINC000749104657;-8.8677435;-8.9459715;-8.740587;-8.362602;-8.5614195
ZINC000749104707;-8.766614;-8.300024;-8.208017;-8.192338;-8.571677
ZINC000761584477;-7.912468;-7.9167366;-8.024727;-8.3428;-7.8937926
ZINC000761584479;-7.9166336;-7.788285;-8.13181;-8.360517;-7.872726
ZINC000762023962;-6.53574;-7.905956;-7.250776;-7.826991;-7.483097
ZINC000766939826;-7.33976;-7.589926;-7.282531;-7.702254;-7.6266317
ZINC000766939644;-7.4730644;-7.237881;-7.2139826;-7.6712065;-7.670884
ZINC000766939827;-7.303942;-7.497675;-7.4708595;-7.678712;-7.3117604
ZINC000766939828;-7.389424;-7.531174;-7.430715;-7.606822;-7.293541
ZINC000766952824;-8.341831;-8.059359;-7.839411;-7.6301675;-7.710671
ZINC000766952819;-8.502923;-8.151499;-7.8393326;-7.719905;-7.741878
ZINC000766963992;-8.287199;-8.4969635;-8.377791;-7.9872026;-8.4473295
ZINC000426735562;-9.071595;-8.887354;-9.511932;-8.763495;-8.649773
ZINC000426735561;-8.968697;-8.708614;-9.351755;-8.599883;-8.4410515
ZINC000766963991;-8.282613;-8.490514;-8.38069;-7.986179;-8.444117
ZINC000426735560;-8.858869;-9.443546;-9.195578;-8.942537;-9.416163
ZINC000426735563;-8.96324;-9.400638;-9.246187;-8.908102;-9.364397
ZINC000767004016;-7.9833355;-8.17692;-8.585874;-8.173752;-8.22636
ZINC000767004018;-7.9830346;-8.176271;-8.58638;-8.176094;-8.226237
