name;01;02;03;04;05
ZINC000104310314;-8.195473;-8.0996065;-8.299189;-7.457619;-7.5273023
ZINC000104415178;-7.5245113;-7.321744;-7.5527782;-7.69322;-7.677132
ZINC000105607972;-6.7088723;-7.716399;-7.998006;-7.8453245;-7.2707396
ZINC000012850255;-7.424672;-7.643237;-8.383358;-8.235017;-7.6674113
ZINC000023115040;-9.021687;-8.957577;-8.235636;-8.101572;-8.3698225
ZINC000023114557;-8.694654;-8.630483;-8.028082;-8.047567;-8.040958
ZINC000023114558;-8.72798;-8.611788;-7.844451;-7.9173527;-8.055643
ZINC000020599938;-7.3491564;-7.7518682;-7.772301;-7.573699;-7.6711717
ZINC000020599939;-8.047725;-8.245722;-7.959137;-7.8910103;-7.8284564
ZINC000035597210;-9.0082855;-8.2035885;-7.822867;-7.8822527;-8.533634
ZINC000035597209;-8.966373;-8.184253;-7.676426;-7.9886537;-8.436087
ZINC000035597256;-8.318666;-9.27297;-8.06893;-8.736539;-8.263539
ZINC000035597255;-9.25882;-9.279984;-8.235162;-8.760095;-8.475294
ZINC000033334494;-8.112473;-7.888281;-7.7681365;-8.010011;-7.942376
ZINC000091587528;-7.1355095;-7.137029;-7.594698;-7.724846;-7.5752516
ZINC000023269858;-7.6946664;-7.824111;-8.303733;-8.283677;-8.160381
ZINC000000795492;-7.499421;-7.9727216;-7.531681;-7.387161;-8.026096
ZINC000064818034;-8.563353;-8.57602;-8.451595;-7.8988314;-7.8706665
ZINC000096410087;-7.9644384;-7.7592444;-7.6349115;-7.842531;-7.695614
ZINC000096410086;-7.877899;-7.311427;-7.727133;-7.751046;-7.5037484
ZINC000008798901;-8.64106;-7.581445;-7.2096353;-8.145805;-8.18191
ZINC000008798902;-8.074136;-8.311544;-7.853051;-8.732379;-8.395096
ZINC000008798797;-8.546793;-7.903041;-7.3216558;-8.310837;-8.445316
ZINC000008799045;-8.855966;-7.540194;-7.8053207;-8.373524;-8.329004
ZINC000008798844;-8.319266;-7.795086;-7.7153187;-8.501425;-8.561624
ZINC000008799099;-8.005384;-8.766072;-8.511372;-8.600054;-8.366487
ZINC000008799104;-8.831445;-7.744647;-8.044939;-8.227247;-8.489913
ZINC000008798843;-7.9512196;-8.411903;-7.9369917;-8.647343;-8.363021
ZINC000008798845;-7.765429;-8.223147;-7.9359684;-8.8221245;-8.391915
ZINC000008798842;-8.662096;-7.8249087;-7.317752;-8.308083;-8.150012
ZINC000008798853;-8.700305;-7.535042;-7.1179132;-7.878611;-7.8259144
ZINC000008798854;-7.935918;-8.170618;-8.030608;-8.740322;-8.160744
ZINC000008798867;-8.262182;-8.476494;-8.104389;-8.764457;-8.5383
ZINC000008798830;-8.582923;-7.7217703;-7.236328;-8.245769;-8.255669
ZINC000008801000;-8.199298;-8.350111;-8.321763;-8.483597;-8.335494
ZINC000008801014;-8.79686;-7.752403;-7.809326;-8.362605;-8.457942
ZINC000008799046;-8.0118065;-8.490004;-8.419937;-8.81861;-8.363179
ZINC000008798897;-8.6006;-8.067254;-7.552844;-8.57971;-8.402895
ZINC000008801001;-8.7501335;-7.523452;-7.7780976;-7.940154;-8.199818
ZINC000008801015;-8.137903;-8.226317;-8.3385105;-8.811963;-8.537071
