name;01;02;03;04;05
ZINC000012328416;-7.321071;-7.302659;-7.092515;-6.8177376;-7.293812
ZINC000101653084;-7.2646155;-7.3210335;-7.2512608;-7.2828984;-7.0996966
ZINC000034869840;-7.493706;-7.8677273;-7.431605;-7.9382544;-7.224862
ZINC000514288897;-8.029679;-8.369252;-7.82225;-8.187134;-7.863861
ZINC000514288402;-8.03237;-8.556114;-7.7176366;-7.8807015;-7.806143
ZINC000514288402;-7.234994;-7.8424444;-7.7997274;-8.393863;-7.5456276
ZINC000514288402;-7.8501997;-8.372174;-7.58465;-7.7885594;-7.722496
ZINC000026781829;-6.6764135;-7.15135;-7.236394;-7.0708013;-6.9804564
ZINC000026781831;-6.831943;-7.0362954;-7.0843835;-6.9665575;-6.9939938
ZINC000016228330;-6.866824;-7.3284407;-6.9580035;-6.648078;-6.976015
ZINC000096300974;-7.7123117;-7.534113;-7.438574;-8.009936;-8.101425
ZINC000585292767;-6.3882136;-6.0684276;-6.213259;-5.9620895;-6.6043644
ZINC000100958921;-8.928002;-9.013685;-8.791978;-8.847481;-8.851582
ZINC000104090436;-7.06026;-8.060274;-7.9041176;-7.7946486;-7.8485737
ZINC000001087360;-7.7533865;-8.201275;-7.860881;-7.834163;-7.879558
ZINC000001193156;-6.542309;-6.5078793;-6.3158216;-6.6737914;-6.8847833
ZINC000035425803;-6.8511963;-7.9584374;-6.755718;-7.701679;-6.8702483
ZINC000001186251;-6.892326;-7.0204544;-7.393853;-6.6930633;-7.2111163
ZINC000001438728;-7.376128;-7.719226;-7.44356;-7.6268;-7.42392
ZINC000408759564;-7.063737;-6.840695;-7.233569;-6.832144;-6.9599047
ZINC000220975347;-6.2660995;-7.1005545;-6.8793683;-7.006226;-6.978961
ZINC000000863158;-5.549743;-5.36986;-5.511449;-5.550043;-5.7030044
ZINC000000863159;-4.9967933;-5.4327154;-5.3694572;-5.2369494;-5.763406
ZINC000408529893;-7.7806025;-8.166812;-7.8320794;-7.7946167;-7.655957
ZINC000035084764;-7.5201654;-7.765396;-6.877391;-7.553335;-7.289481
ZINC000035084762;-7.2868004;-7.712553;-6.811514;-7.536292;-7.2774043
ZINC000084460235;-8.49306;-8.434234;-7.58337;-8.397543;-8.073299
ZINC000005511862;-7.0989323;-6.9647756;-7.1879373;-7.054978;-6.764018
ZINC000006188954;-7.6363654;-7.678793;-7.88799;-7.710834;-7.944873
ZINC000006240864;-7.01237;-6.72889;-7.086822;-6.6539865;-7.064455
ZINC000408533131;-7.38698;-7.3342123;-8.350519;-8.0209;-7.7384877
ZINC000006526622;-6.776837;-6.527472;-6.867063;-6.4571495;-6.840767
ZINC000032138991;-6.868328;-7.851637;-7.192446;-7.4120216;-7.124071
ZINC000008382061;-7.338268;-7.9155684;-7.7576;-7.8532715;-7.8679733
ZINC000009263219;-7.3636947;-7.549403;-7.123182;-7.4745;-7.4323335
ZINC000041074057;-7.896019;-8.364652;-7.463462;-8.017991;-7.975286
ZINC000041074055;-7.8439054;-8.710186;-7.433234;-8.198194;-7.904563
ZINC000019664407;-7.3502197;-7.6679063;-7.011262;-7.0539894;-7.429136
ZINC000107598052;-6.5336537;-6.9402647;-7.0379686;-6.562469;-6.7260876
ZINC000107758436;-8.500014;-8.741996;-8.5156765;-9.257633;-9.45265
ZINC000108214550;-7.801473;-7.8470044;-7.742177;-7.833214;-7.9486217
ZINC000108894222;-7.176403;-7.719196;-7.539033;-7.6800957;-7.3675094
ZINC000108894218;-7.233292;-7.7614436;-7.556919;-7.7034516;-7.369691
ZINC000109308636;-7.137821;-7.6491413;-7.3745346;-7.5568457;-6.9859657
ZINC000110146252;-7.0425053;-7.2985477;-7.0228686;-7.4864426;-7.240544
ZINC000109306586;-7.7739387;-8.234319;-7.768729;-7.93514;-7.5016556
