name;01;02;03;04;05
ZINC000014976808;-8.700276;-8.663139;-7.996151;-8.602064;-8.438191
ZINC000014987958;-7.664408;-7.095116;-6.4427385;-7.5519743;-7.209798
ZINC000014987961;-7.6853547;-6.7072845;-6.8918505;-7.294993;-6.684387
ZINC000014976478;-8.336017;-8.217346;-8.669484;-8.574352;-7.9655194
ZINC000014976481;-8.072792;-7.6726775;-7.982425;-8.345679;-7.452474
ZINC000014961906;-9.021281;-7.543878;-8.785658;-8.011829;-7.8097906
ZINC000016338891;-7.4694753;-8.512443;-8.2522335;-8.379846;-7.804927
ZINC000016338891;-7.2707596;-8.525759;-7.7559457;-8.192175;-7.7976665
ZINC000032619376;-6.9155626;-6.5000296;-7.264024;-7.032629;-6.5142784
ZINC000104381497;-8.468727;-7.428852;-8.466166;-8.514879;-7.5135684
ZINC000019867287;-7.38009;-6.9506145;-6.9581394;-7.174211;-7.0108843
ZINC000019867290;-7.3812423;-7.071312;-7.08479;-7.0857234;-6.9601483
ZINC000012897643;-7.6996074;-8.617236;-8.045805;-8.614559;-8.039398
ZINC000012924464;-7.357606;-7.15694;-7.7558208;-7.3837614;-7.355557
ZINC000012924464;-7.2928033;-6.8629913;-8.1076975;-7.470626;-7.5241833
ZINC000022925762;-7.581522;-7.651062;-8.622609;-7.647256;-8.185638
ZINC000022925762;-7.740697;-7.6505394;-8.74175;-7.6735334;-8.079597
ZINC000022729925;-7.195442;-6.818824;-7.4100647;-7.6389136;-7.0686855
ZINC000022729925;-7.043254;-6.880158;-7.349274;-7.4530563;-6.95688
ZINC000082157571;-8.581312;-9.362824;-8.8270035;-9.235353;-8.622028
ZINC000082157574;-8.4603;-9.403813;-8.481793;-9.02333;-8.910435
ZINC000089689357;-8.298282;-8.287339;-7.9703455;-8.039333;-8.232304
ZINC000097082007;-7.5892224;-8.084551;-8.120796;-7.5310116;-7.918168
ZINC000097082009;-7.185305;-7.995042;-7.366146;-7.7843723;-7.4400415
ZINC000097082008;-7.917361;-7.7798986;-7.4686756;-8.246594;-7.405126
ZINC000097082006;-7.961211;-8.30489;-7.601514;-8.136465;-7.430913
ZINC000004813652;-6.750906;-6.652489;-6.596287;-6.7514334;-6.8458753
ZINC000091677457;-8.369249;-9.416251;-8.999204;-8.605917;-8.549084
