name;01;02;03;04;05
ZINC000012869618;-7.957825;-8.055435;-8.386395;-7.857652;-8.718758
ZINC000095460074;-9.306103;-8.7319975;-8.130072;-8.623917;-8.243209
ZINC000004754950;-9.453655;-9.841038;-9.092948;-9.591426;-9.4408245
ZINC000001817068;-9.696253;-8.884641;-8.804497;-8.8329935;-9.376869
ZINC000001817067;-9.380137;-9.039589;-8.885321;-9.180253;-9.470747
ZINC000001885482;-8.30089;-9.2454605;-8.436572;-9.007366;-8.768599
ZINC000001885479;-8.659116;-8.529365;-8.699414;-8.903891;-8.413105
ZINC000025480864;-9.260353;-8.500999;-8.132973;-9.024646;-8.850908
ZINC000006616572;-8.503539;-8.407771;-8.291358;-8.338227;-8.734708
ZINC000006616559;-8.604759;-8.42841;-8.277563;-8.324818;-8.674492
ZINC000067341983;-8.367024;-7.9711294;-7.986005;-8.123982;-7.864827
ZINC000032594011;-8.421338;-9.703542;-8.955083;-9.030257;-9.648302
ZINC000032594010;-9.117199;-9.251609;-9.451806;-9.1814995;-9.4832535
ZINC000222124480;-8.54445;-8.421786;-7.4501057;-8.32447;-8.179672
ZINC000011614642;-8.3041115;-8.539762;-8.137848;-8.131379;-8.180489
ZINC000011614643;-8.466823;-8.582024;-8.128861;-8.359918;-8.33194
ZINC000011614641;-8.224376;-8.47728;-8.106251;-8.398875;-8.01835
ZINC000011614644;-8.263025;-8.682356;-8.070439;-8.084114;-8.19808
ZINC000014139469;-7.5034556;-7.391212;-7.4157033;-7.726991;-7.3945956
ZINC000040087451;-8.493563;-9.167357;-9.148532;-8.335268;-8.65586
ZINC000040087450;-8.296659;-9.039568;-8.6884775;-8.122548;-8.306232
ZINC000040087449;-8.753296;-9.170599;-8.949989;-8.566583;-8.568256
ZINC000023609417;-8.898443;-9.279364;-8.227527;-8.790997;-8.8571825
ZINC000004917711;-9.214646;-9.319822;-9.062664;-9.572322;-9.072691
ZINC000004952180;-8.163899;-8.695183;-8.992711;-8.603415;-7.853166
ZINC000004952176;-8.561437;-8.548865;-8.017289;-8.739177;-8.070593
ZINC000004964916;-9.595316;-8.935243;-8.819198;-8.572825;-9.433621
ZINC000004964919;-9.212267;-8.920623;-8.787699;-8.308559;-9.131538
ZINC000245343515;-7.871155;-8.895541;-8.295389;-8.948632;-8.716165
ZINC000245343514;-7.5717583;-8.755876;-8.707127;-9.043843;-8.997151
ZINC000005032651;-8.623483;-8.201781;-8.477329;-8.464956;-8.502312
ZINC000007267478;-8.068873;-8.526421;-8.16354;-8.216999;-8.396056
ZINC000007267477;-8.133823;-8.346498;-8.19374;-8.378349;-8.396938
ZINC000239432935;-8.695867;-8.0528;-7.8220854;-8.439948;-7.9148192
ZINC000239432936;-8.530891;-8.336051;-8.6476145;-8.281985;-8.218676
ZINC000005041942;-7.371792;-8.660516;-8.152073;-8.738735;-8.3144
ZINC000005066628;-9.407326;-8.970082;-8.933024;-8.603798;-9.436153
ZINC000170591395;-7.8220463;-7.643417;-8.342304;-7.9947414;-7.9870377
ZINC000170591394;-8.073692;-6.8441663;-7.873985;-7.9237404;-7.6619635
ZINC000170614591;-8.310666;-8.075688;-8.18844;-8.406445;-7.9454203
ZINC000170614592;-8.511785;-8.175347;-8.243708;-8.494878;-7.903925
ZINC000005121675;-8.371163;-8.767763;-8.318167;-8.342552;-8.962599
ZINC000005121674;-8.385129;-7.7582645;-7.9190903;-8.021371;-8.55599
ZINC000005122407;-9.009036;-8.539058;-7.8511887;-7.8682337;-8.54969
ZINC000009349124;-8.45701;-8.21646;-7.5798283;-7.9201097;-8.464256
ZINC000009349125;-7.9513416;-8.312628;-7.4857583;-7.4603996;-8.230949
ZINC000020575049;-9.181671;-8.698881;-8.194771;-8.943124;-8.931047
