name;01;02;03;04;05
ZINC000303521234;-9.493688;-9.539266;-9.319981;-9.526943;-9.662931
ZINC000237342906;-10.449834;-10.150767;-9.379973;-10.01247;-9.581352
ZINC000025702606;-8.470824;-8.456876;-8.180525;-8.606182;-8.412542
ZINC000025702603;-8.472984;-7.9375744;-8.38164;-8.395218;-8.529863
ZINC000237404349;-9.547475;-10.032088;-9.282327;-8.712693;-8.792035
ZINC000237404218;-8.68923;-9.091269;-8.757497;-8.543377;-8.538133
ZINC000237432328;-9.612887;-8.681625;-8.927399;-8.467203;-9.523176
ZINC000513716379;-8.921595;-9.667244;-8.599853;-8.983048;-9.614239
ZINC000480687064;-9.509826;-9.420848;-9.932019;-9.747018;-9.814247
ZINC000480687062;-9.698349;-9.970946;-9.142786;-9.179514;-9.142925
ZINC000543414830;-9.086927;-9.86471;-8.684636;-9.241331;-8.910508
ZINC000237609735;-9.613623;-10.008913;-8.966502;-9.131808;-8.975942
ZINC000237609769;-9.124435;-9.877715;-8.773524;-8.581733;-8.690372
ZINC000237609573;-8.376057;-8.992798;-8.22326;-8.415322;-8.430236
ZINC000237609540;-8.851544;-9.007843;-8.500307;-8.959646;-8.694448
ZINC000513741240;-9.916956;-10.726196;-10.409005;-10.15804;-9.805356
ZINC000519732643;-9.451013;-9.419778;-9.055565;-9.020876;-9.690679
ZINC000562364562;-10.270921;-10.615791;-8.926472;-10.434535;-10.470237
ZINC000562364563;-10.439152;-10.5932045;-9.088506;-10.522969;-10.525689
ZINC000570005230;-10.30587;-10.216595;-9.455261;-10.061131;-10.063071
ZINC000570005233;-10.259328;-10.004926;-9.763296;-10.57812;-10.263423
ZINC000570005228;-10.730494;-10.273409;-10.382965;-10.357107;-10.109637
ZINC000570005235;-11.01828;-10.729789;-10.242058;-10.497517;-10.324089
ZINC000480715014;-9.754219;-9.318036;-9.68823;-9.443938;-10.034549
ZINC000480715013;-9.589803;-9.23153;-9.729046;-9.418499;-9.958694
ZINC000237721270;-9.8163395;-9.645998;-9.064127;-9.3519945;-8.92651
ZINC000540137789;-9.010912;-9.4382925;-9.272606;-9.980147;-9.058691
ZINC000540137788;-8.935717;-9.361335;-9.050191;-9.912207;-9.233465
ZINC000540140076;-10.213706;-9.852681;-8.992466;-10.264468;-9.948601
ZINC000540140075;-10.62253;-9.998421;-8.877536;-10.2937155;-9.888281
ZINC000540140078;-9.863833;-9.568457;-8.689845;-10.150122;-9.515686
ZINC000540140077;-10.099283;-9.628272;-8.555576;-10.210501;-9.552547
ZINC000540145338;-10.678715;-10.256648;-9.371571;-10.671024;-9.848095
ZINC000540145336;-11.03789;-10.524298;-9.761174;-10.798593;-10.359678
ZINC000540145334;-11.420885;-10.552155;-9.517184;-10.736772;-10.252093
ZINC000540145337;-11.056615;-10.169476;-9.213277;-10.717007;-9.916964
ZINC000237771733;-9.669561;-10.110828;-10.205969;-9.518406;-9.55936
ZINC000237775092;-10.000668;-9.77872;-10.293102;-9.975429;-9.587691
ZINC000540159656;-10.361843;-10.256866;-8.913323;-9.56721;-10.197938
ZINC000540159655;-10.995814;-9.982654;-9.045379;-9.551724;-10.310696
ZINC000540159657;-10.429078;-10.185597;-8.768425;-9.510892;-10.12418
ZINC000540159654;-10.456936;-10.440046;-9.089991;-9.462449;-10.070778
ZINC000487214726;-8.792657;-8.708052;-8.781642;-9.006464;-8.884646
ZINC000482532016;-8.447254;-9.304931;-8.629816;-9.207258;-8.998448
ZINC000482532020;-9.014878;-8.866536;-7.8311863;-8.376653;-8.188173
ZINC000482532012;-8.41748;-9.077607;-8.530817;-9.108209;-8.883311
ZINC000482532009;-9.245841;-8.863617;-7.9262466;-8.368675;-8.186117
