name;01;02;03;04;05
ZINC000309796782;-9.064818;-8.79863;-8.6934595;-8.036369;-9.014002
ZINC000101652914;-9.239359;-8.854542;-8.723771;-9.226795;-8.82524
ZINC000034721439;-7.0268006;-7.3572755;-7.133849;-7.3072386;-7.5716643
ZINC000034881927;-7.8638115;-7.684892;-7.692505;-7.7922306;-7.817122
ZINC000034881929;-7.6734977;-7.3778443;-7.380753;-7.6294394;-7.4872875
ZINC000000831632;-8.318883;-8.3304615;-8.042209;-8.214921;-8.558527
ZINC000100261143;-8.447452;-8.799243;-8.396554;-8.192952;-9.076083
ZINC000104090613;-8.972296;-9.047918;-9.031373;-9.019168;-9.184965
ZINC000104198903;-8.672525;-8.986753;-8.999275;-8.40493;-8.785872
ZINC000104198909;-8.826118;-9.151644;-9.201686;-8.590169;-9.175984
ZINC000001105890;-7.8369226;-8.221145;-7.9126496;-8.084743;-8.263941
ZINC000001278396;-7.5841117;-8.212298;-7.823786;-7.1802464;-7.713607
ZINC000019719766;-8.1983595;-8.276181;-7.943172;-8.607082;-8.247376
ZINC000001630379;-6.424475;-6.1131015;-6.378028;-6.3188367;-6.305865
ZINC000096327369;-9.175974;-8.53849;-8.588181;-8.267355;-8.976254
ZINC000408528497;-7.7825713;-7.8730164;-7.834749;-8.004026;-7.73792
ZINC000408528497;-7.482503;-8.083501;-7.881991;-8.240179;-7.628627
ZINC000408531753;-8.151052;-8.169105;-8.039972;-8.436831;-8.4991045
ZINC000005895242;-7.2850704;-7.262575;-7.552451;-7.5447726;-7.835987
ZINC000005896693;-7.3909717;-7.3032193;-7.9255943;-7.6452246;-7.8572626
ZINC000006331873;-7.690858;-7.111908;-7.164382;-7.7244186;-7.746776
ZINC000408533437;-8.163223;-8.393628;-8.052262;-8.3743;-8.446201
ZINC000408534392;-8.605957;-9.007035;-8.683231;-8.706195;-8.93472
ZINC000408534392;-9.027471;-9.108463;-9.101916;-8.943474;-8.682178
ZINC000408535435;-7.818988;-8.104601;-7.189554;-7.2114534;-7.5484347
ZINC000002310111;-8.17241;-8.704313;-7.905102;-8.477848;-8.019329
ZINC000059305955;-7.436983;-8.389679;-7.814022;-7.9538097;-7.7943487
ZINC000107598322;-7.2181644;-7.808367;-7.5448036;-7.5873566;-7.782257
ZINC000107732788;-8.222828;-7.7903337;-7.4421062;-7.1019745;-7.9351563
ZINC000107972034;-7.084648;-7.6566086;-7.0368648;-7.5684195;-7.1925077
ZINC000108109618;-7.065782;-6.8165035;-7.0355186;-7.174732;-7.220434
ZINC000110029970;-7.3374577;-7.593954;-7.6604896;-7.326453;-7.191246
ZINC000109033828;-7.6759505;-8.152687;-7.414781;-8.052335;-7.691066
ZINC000109283037;-7.2587433;-7.3512783;-7.498159;-7.3453417;-6.9980235
ZINC000408539001;-7.532745;-7.5284095;-7.196493;-7.2892494;-7.5551767
ZINC000006233828;-7.821717;-8.137798;-7.9081817;-8.162665;-7.6920686
ZINC000006450625;-7.858535;-8.528334;-8.136318;-8.588009;-7.9304295
ZINC000033386747;-8.050328;-8.064441;-7.706385;-8.041037;-7.730108
ZINC000033383503;-7.333213;-7.695775;-7.3732104;-7.5129232;-7.76931
ZINC000033655463;-8.178469;-8.168903;-7.7885537;-7.8999033;-8.019889
ZINC000033659109;-6.7008495;-6.962257;-6.9107437;-7.064714;-7.042703
ZINC000033659111;-7.106447;-7.0377192;-6.968269;-7.1883717;-7.319745
ZINC000033655075;-8.934412;-9.226906;-8.239574;-8.898023;-8.840036
ZINC000033700540;-7.491545;-7.8037252;-7.099719;-7.5870414;-7.4449596
ZINC000033700544;-7.6028204;-7.6696005;-7.2038155;-7.574955;-7.486266
ZINC000033656239;-7.7133765;-7.6314087;-7.5553503;-7.5856223;-7.5679097
ZINC000033782951;-7.4237876;-7.1354713;-7.172394;-6.856072;-7.552858
ZINC000034713526;-8.083886;-8.344952;-8.037317;-8.218048;-8.201407
ZINC000034721438;-7.0758348;-7.458066;-7.1842155;-7.3332744;-7.7278967
ZINC000034765931;-7.750501;-7.7446246;-7.4456005;-7.501495;-7.3582687
ZINC000034761740;-7.987856;-8.446015;-7.879523;-8.37535;-7.9501324
ZINC000035387636;-7.761056;-7.628879;-7.269208;-7.6902676;-8.07832
ZINC000107767092;-7.982026;-7.720699;-7.5622616;-7.8621035;-8.147608
ZINC000107934266;-8.183981;-8.525435;-7.7372117;-8.342248;-7.938372
ZINC000107872462;-7.562391;-8.364115;-7.5725994;-7.8610477;-7.3200607
ZINC000108277100;-7.9207444;-7.7798595;-7.8291354;-7.6408143;-7.841676
ZINC000108226748;-7.370827;-7.437138;-7.5577927;-7.272632;-7.723076
ZINC000108277104;-7.6789;-7.3930697;-7.4843264;-7.5073385;-7.543841
ZINC000108265841;-7.8427963;-7.921301;-8.028799;-7.9657154;-7.772292
ZINC000108926934;-8.705791;-8.857756;-8.137459;-8.771463;-8.59632
ZINC000208489504;-7.2336154;-7.251495;-7.0673103;-7.284574;-7.692497
ZINC000208489541;-7.871724;-7.511472;-7.825767;-7.5531473;-7.7992573
ZINC000231575970;-6.6798716;-7.277252;-7.3048186;-7.1570225;-7.296062
ZINC000225763790;-6.9102526;-7.310309;-7.1940966;-7.1865454;-7.1906204
ZINC000012328333;-7.2985225;-7.18365;-7.3650365;-6.7791605;-7.693431
ZINC000111068451;-9.238736;-8.853721;-8.7227125;-9.225818;-8.823597
ZINC000111068456;-9.238736;-8.853721;-8.7227125;-9.225818;-8.823597
ZINC000408550018;-7.44423;-7.4939494;-7.186069;-7.3249354;-7.0190616
ZINC000409099875;-6.773565;-7.8028717;-6.78826;-7.1929116;-7.1113076
ZINC000408552814;-7.3972244;-7.672388;-7.5033975;-7.3383765;-7.17222
ZINC000408553135;-7.288932;-7.843999;-7.6904516;-7.634011;-7.5323057
ZINC000408553387;-6.8891363;-7.532915;-7.248299;-7.3142047;-6.7625465
ZINC000208194613;-7.2683344;-7.777244;-7.478998;-7.669617;-7.661624
ZINC000208194574;-7.375586;-8.027943;-7.551532;-7.754559;-7.704668
ZINC000208449605;-7.3866234;-7.8528314;-7.5942335;-7.7518053;-7.730116
ZINC000216926756;-7.296442;-7.5437555;-6.977525;-7.025454;-7.2315335
ZINC000217029053;-7.900351;-7.6291423;-7.30982;-7.7049828;-7.466576
ZINC000217029091;-7.819016;-7.5544558;-7.407634;-7.7663794;-7.443546
ZINC000219008475;-8.275052;-8.539803;-8.357766;-7.953103;-8.24884
ZINC000219135038;-7.929783;-8.417726;-7.7551713;-7.763669;-8.175664
ZINC000219346412;-7.935017;-8.007519;-7.1896167;-7.8560247;-7.6214423
ZINC000219346506;-8.008298;-7.9816566;-7.2509356;-7.8560123;-7.6519833
ZINC000219355923;-7.6785545;-8.334203;-7.36735;-7.853084;-7.691869
ZINC000219355839;-7.4466166;-8.03934;-7.0166917;-7.632105;-7.334036
ZINC000003850465;-8.490017;-8.523221;-8.32879;-8.341719;-9.217745
ZINC000408598866;-7.5070643;-7.716343;-7.498286;-7.5588937;-7.742081
ZINC000222698020;-7.9182906;-7.746523;-7.1543493;-7.4218454;-7.6892385
ZINC000408604134;-7.275648;-7.4388924;-7.1709924;-7.2798796;-7.546365
ZINC000012375223;-9.239359;-8.854542;-8.723771;-9.226795;-8.82524
ZINC000222943132;-7.128066;-7.7791004;-7.2563543;-7.7785425;-7.592436
ZINC000222943063;-7.0839157;-7.6357265;-7.1154475;-7.889346;-7.370769
ZINC000223642201;-8.349073;-8.197717;-8.471573;-8.15157;-8.170826
ZINC000223649206;-8.26611;-8.073033;-8.405035;-8.24018;-8.250483
ZINC000004027907;-8.049198;-8.184035;-7.993404;-7.960905;-8.036715
ZINC000004821507;-7.420561;-8.002821;-7.116128;-7.820403;-7.765108
ZINC000408767048;-8.186313;-8.349107;-8.302349;-8.476802;-8.088892
ZINC000408769626;-6.670409;-6.9046516;-7.376246;-7.0580707;-7.247843
ZINC000408772503;-6.785901;-7.300817;-7.881265;-7.6257896;-6.9925494
ZINC000408779133;-7.0389013;-7.0087833;-7.3885417;-7.176478;-7.3113265
ZINC000408779533;-6.923935;-7.4764466;-7.0811186;-7.526806;-7.1797786
ZINC000408780163;-6.796074;-7.4728928;-7.7293315;-7.434444;-7.6032267
ZINC000408784627;-7.0323677;-7.556511;-7.895274;-7.510007;-7.742909
ZINC000408787086;-7.3977466;-7.7516966;-7.5067453;-7.978654;-7.368653
ZINC000408786499;-6.953973;-7.059518;-7.532662;-7.38161;-7.26012
ZINC000408802373;-8.973144;-9.764167;-7.975624;-8.325418;-9.006182
ZINC000408807652;-6.5772247;-7.7746477;-7.3117003;-7.7052298;-6.9468465
ZINC000408815359;-8.564896;-9.052604;-8.233619;-8.469097;-8.501381
ZINC000408818038;-7.248283;-7.608108;-7.8869805;-7.966576;-7.4609265
ZINC000408819855;-7.006335;-7.750261;-7.094117;-7.502637;-7.2779155
ZINC000038323576;-8.133594;-8.102414;-7.6446342;-7.9077544;-7.983704
ZINC000408847950;-6.8311067;-7.670278;-7.636631;-7.5142827;-7.459984
ZINC000408856716;-6.8381104;-7.327505;-7.556467;-7.1849213;-7.347365
