name;01;02;03;04;05
ZINC001164858788;-7.399651;-7.866212;-7.47932;-8.0181875;-7.667736
ZINC001164858789;-7.303147;-7.825909;-7.3284717;-7.6715627;-7.4119406
ZINC001164864799;-8.062997;-8.162297;-7.292015;-7.6335278;-7.5673695
ZINC001164864802;-8.044941;-8.180751;-7.2471886;-7.694698;-7.6604652
ZINC001165054222;-7.596218;-8.141455;-8.083984;-7.8418093;-8.330875
ZINC001164864367;-7.7034698;-7.9251704;-7.0272474;-7.7249103;-7.684513
ZINC001164864373;-7.596551;-7.7931156;-7.356679;-7.6661983;-7.1990404
ZINC001164858091;-6.9597054;-6.919664;-6.429625;-6.7002425;-6.709846
ZINC001164858089;-6.6568174;-6.704717;-6.5499663;-6.8401647;-6.3044734
ZINC001164859585;-7.1178083;-7.6085777;-6.759802;-7.3014216;-7.2219357
ZINC001164863979;-7.0504017;-7.1625395;-7.0298095;-6.9870114;-7.3784637
ZINC001164864821;-6.46601;-7.110226;-6.631095;-6.8658543;-6.8815084
ZINC001164863977;-6.9630895;-6.9454637;-6.9693203;-6.915304;-7.2981486
ZINC001165054743;-7.863235;-8.74346;-8.881735;-8.765494;-9.020307
ZINC001164864818;-6.4635;-7.126213;-6.5545835;-6.862282;-6.803027
ZINC001164859587;-7.273236;-7.7793136;-6.8787575;-7.157689;-6.9730825
ZINC001164864823;-6.379117;-6.9265757;-7.069217;-7.0236673;-6.626837
ZINC001164864824;-6.4127073;-6.8871646;-7.117493;-7.014805;-6.6636796
ZINC001164860342;-6.8492203;-6.9903255;-6.840192;-6.9072027;-6.4472275
ZINC001164861026;-7.6204567;-8.163115;-7.735097;-8.073857;-7.7646394
ZINC001164860341;-6.881054;-6.820388;-6.941427;-6.7267547;-6.437387
ZINC001164861027;-7.724724;-8.262308;-7.8249025;-8.208832;-7.964075
ZINC001164856372;-6.8106265;-6.985038;-6.7281666;-6.6124268;-6.355415
ZINC001164856379;-6.913717;-6.7657876;-6.792632;-6.4385834;-6.3851395
ZINC001164863093;-6.9858074;-7.070393;-6.6452045;-6.7121673;-6.805501
ZINC001164863090;-7.006381;-7.1982217;-6.5541162;-6.7997985;-6.793186
ZINC001164858053;-7.0303397;-7.2681804;-6.728203;-6.8254867;-6.907269
ZINC001164861658;-6.652205;-6.826226;-6.3635774;-6.8380723;-6.6475744
ZINC001164861393;-7.1325397;-6.7935705;-6.7356524;-6.7748647;-6.653082
ZINC001164861394;-7.212945;-7.260259;-6.6916895;-7.0046835;-6.895568
ZINC001164858056;-6.8821917;-6.8874006;-6.9388547;-6.80577;-6.844318
ZINC001164861650;-6.698117;-6.4930935;-6.218114;-6.7858315;-6.6888924
ZINC001164976934;-9.132929;-8.538059;-8.219832;-8.174792;-8.014633
ZINC001164995721;-7.8555427;-7.686682;-7.9500766;-7.758125;-8.499603
ZINC001164995719;-8.059285;-7.6606045;-8.15763;-7.7778316;-8.493243
ZINC001164995653;-8.178302;-7.7399254;-7.7965813;-8.256019;-8.757011
ZINC001164993977;-7.7672806;-7.4827156;-7.9698386;-8.1937275;-8.725655
ZINC001164993978;-7.888247;-7.606183;-8.0500345;-8.076183;-8.772358
ZINC001164995655;-8.621143;-7.693531;-8.319755;-7.882042;-8.909022
ZINC001164994586;-8.716848;-7.956538;-8.537394;-8.282833;-9.202923
ZINC001164993263;-7.4302225;-7.214091;-8.084759;-7.6907244;-8.099403
ZINC001164993264;-7.71348;-7.4459233;-7.956133;-8.122514;-8.017489
ZINC001164994587;-8.69829;-8.071466;-8.3524;-8.399416;-8.958708
ZINC001164992849;-8.383549;-7.7064157;-8.027407;-7.826959;-8.510104
ZINC001164992850;-8.346593;-8.125088;-8.216589;-7.554261;-8.889447
ZINC001164995681;-8.99713;-8.525897;-8.763824;-7.991687;-9.250442
ZINC001164995682;-8.943512;-8.104383;-8.659722;-8.2417;-9.013827
ZINC001164997271;-7.980137;-7.682123;-8.312501;-7.7995167;-8.65901
ZINC001164997272;-7.743678;-7.5803795;-8.249948;-7.9249763;-8.968024
ZINC001164996213;-8.7468815;-8.149867;-8.519455;-8.416963;-8.92867
ZINC001164996214;-8.926309;-8.228613;-8.465241;-7.984046;-9.170383
ZINC001164996756;-7.591962;-7.9879813;-8.095097;-7.845216;-8.675374
ZINC001164996758;-7.680351;-8.007473;-8.103167;-8.156971;-8.736228
ZINC001164995926;-7.960552;-8.130485;-8.227866;-8.126454;-8.893009
ZINC001164995925;-8.01453;-8.2504425;-8.39002;-7.8747067;-8.948531
ZINC001164994484;-8.370839;-8.43071;-8.543219;-8.633355;-9.238465
ZINC001164994483;-8.272603;-8.420504;-8.535531;-8.319912;-9.133117
ZINC001164996697;-8.012808;-7.9138594;-7.8837295;-8.2379875;-8.676043
ZINC001164995271;-7.7977247;-7.723381;-8.082134;-7.615761;-8.588618
ZINC001164994905;-8.272186;-8.533295;-8.483707;-7.8779964;-9.178397
ZINC001164995275;-7.92777;-7.410714;-7.7751174;-7.9548483;-8.43605
ZINC001164995356;-7.8759193;-7.789694;-7.9130898;-7.471538;-8.616911
ZINC001164996696;-7.9828997;-8.212174;-8.159711;-7.8995233;-8.816412
ZINC001164994909;-8.302936;-8.413626;-8.167806;-8.166533;-8.880251
ZINC001164995355;-8.024458;-7.570529;-7.6912184;-7.785847;-8.489801
ZINC001164993740;-7.939292;-7.8373356;-8.1410475;-7.931762;-8.765224
ZINC001164997241;-7.3875895;-7.584163;-7.9264407;-8.1503935;-8.563147
ZINC001164994889;-7.9699917;-8.032847;-8.271235;-8.063501;-9.101106
ZINC001164993750;-8.474468;-7.7937455;-8.135249;-8.045403;-8.50382
ZINC001164994006;-7.1227827;-7.6401153;-7.927113;-7.873272;-7.985186
ZINC001164993752;-8.651653;-8.055365;-8.203151;-7.721275;-8.846437
ZINC001164997247;-7.3667088;-7.619248;-7.85754;-7.865907;-8.731229
ZINC001164994005;-6.798178;-6.9543614;-7.731144;-7.427253;-7.8458877
ZINC001164993738;-8.017279;-7.9432592;-8.287265;-8.262021;-8.710424
ZINC001164994886;-8.17191;-8.271595;-8.492747;-8.486496;-8.984322
ZINC001164995002;-8.028237;-8.08321;-7.9152217;-8.159135;-8.648713
ZINC001164994401;-8.190138;-8.004748;-8.150637;-8.247837;-8.689165
ZINC001164994994;-7.8837566;-8.186854;-7.964017;-7.8371124;-8.520477
ZINC001164994402;-8.360391;-7.8724103;-8.240626;-8.174856;-8.962134
ZINC001164998794;-7.9095764;-7.6307325;-8.014652;-8.265178;-8.227529
ZINC001164998793;-8.143879;-7.5380154;-8.248999;-7.9064803;-8.636954
ZINC001164996488;-7.785417;-7.304385;-7.788782;-7.2342873;-8.495142
ZINC001164996490;-7.4776087;-7.0927434;-7.5065956;-7.4162784;-7.8090525
ZINC001164995504;-8.103146;-7.723961;-8.031191;-7.8605766;-8.385957
ZINC001164995507;-8.076872;-7.539542;-8.008162;-7.3797164;-8.477595
ZINC001164995459;-7.4274387;-7.391919;-8.025892;-7.9277086;-8.163069
