name;01;02;03;04;05
ZINC000001510909;-8.487517;-8.181269;-8.263448;-8.405026;-8.193303
ZINC000085876156;-8.58326;-8.791426;-8.431731;-8.765559;-8.976129
ZINC000035213658;-7.009271;-7.1989493;-7.5592136;-7.6845045;-7.608489
ZINC000000640803;-8.143209;-8.944806;-8.163706;-8.5889635;-8.488547
ZINC000000640806;-8.164188;-8.653647;-7.789804;-8.417635;-7.8691883
ZINC000035349246;-9.068296;-8.268952;-7.8910823;-8.88843;-8.175029
ZINC000035349277;-8.619926;-7.6700974;-7.6766024;-8.392129;-7.604185
ZINC000035349278;-8.618238;-8.079118;-7.4940686;-8.408442;-7.746399
ZINC000035349245;-9.243103;-7.8598843;-7.8555956;-8.690857;-8.13947
ZINC000000659509;-8.636182;-8.848301;-8.6086;-8.858317;-8.739013
ZINC000524730717;-8.163242;-7.7903223;-8.815782;-8.60827;-8.036686
ZINC000013073724;-7.5208063;-7.3056564;-6.967716;-6.8035283;-6.97867
ZINC000013073724;-7.429368;-6.984692;-6.3883457;-6.92512;-6.858756
ZINC000013496648;-8.34848;-8.647246;-8.561965;-8.224499;-8.644193
ZINC000033334437;-6.969127;-7.1264043;-7.21614;-7.4933906;-7.0788136
ZINC000033335843;-6.6960526;-6.763334;-6.5681844;-6.6456995;-6.8873057
ZINC000033336066;-6.7552533;-7.2146482;-7.4946876;-7.5290956;-7.382645
ZINC000033336115;-7.424982;-7.9758487;-7.92223;-7.8430166;-7.7577696
ZINC000020231842;-8.071398;-8.082837;-8.157995;-8.184281;-8.337504
ZINC000020231847;-8.094488;-8.324893;-8.45876;-8.221518;-8.33199
ZINC000033349008;-7.2325435;-7.444006;-7.2750583;-7.299751;-7.7313347
ZINC000004802442;-8.071566;-8.3529415;-7.8089056;-8.042571;-7.957763
ZINC000006623709;-7.0399804;-7.228095;-7.102844;-6.505759;-7.124123
ZINC000095276488;-8.963759;-9.104713;-8.3656;-8.835569;-9.08245
ZINC000095276486;-8.758056;-8.890249;-8.113697;-8.368276;-8.905096
ZINC000008691788;-8.195407;-8.61027;-8.776848;-8.1297455;-8.438212
ZINC000097402262;-8.744728;-8.585357;-8.012122;-8.468934;-8.73556
ZINC000097944354;-9.046768;-9.053695;-8.231609;-8.365709;-9.038847
ZINC000100087721;-8.535252;-8.642539;-8.425113;-8.71864;-8.780092
ZINC000100057374;-7.317115;-7.9718976;-7.3248653;-7.9971366;-8.012686
ZINC000100367679;-7.7418165;-8.219469;-8.238068;-8.215229;-8.228534
ZINC000100367679;-8.100833;-8.113421;-8.2931185;-8.261636;-8.200486
ZINC000100399636;-7.3275347;-7.8481975;-7.268345;-7.9168925;-8.03693
ZINC000100498044;-7.959437;-8.155027;-8.011109;-8.438873;-8.368074
ZINC000100502169;-8.520963;-8.681019;-7.950526;-7.830766;-8.498582
ZINC000100508170;-7.7811127;-8.013133;-7.6488266;-7.642443;-8.196847
ZINC000100514130;-7.976766;-7.6137476;-8.3009815;-8.391611;-8.361386
ZINC000100695099;-7.7668433;-8.276172;-7.8175187;-8.466654;-8.371282
ZINC000040034450;-7.5622087;-7.483191;-7.5498157;-8.160198;-7.73436
ZINC000040034450;-7.306151;-7.0625553;-6.917021;-7.5033736;-7.369096
ZINC000102658901;-8.608549;-8.217179;-8.03975;-8.340278;-8.715897
ZINC000001045541;-7.717627;-7.100975;-6.8967795;-7.328976;-7.3474073
ZINC000001045542;-7.424962;-7.0465994;-6.6466265;-7.104511;-6.9324594
ZINC000103646285;-6.57359;-7.097216;-6.8611717;-6.896369;-6.657336
ZINC000023432866;-7.8442845;-8.104617;-7.588573;-7.880272;-7.7018385
ZINC000006924259;-8.022865;-8.4611635;-7.527863;-7.93415;-7.5991893
ZINC000033447067;-6.9347143;-7.5742173;-7.679682;-7.2743964;-7.4623494
ZINC000006995711;-8.744728;-8.585357;-8.012122;-8.468934;-8.73556
ZINC000008971272;-7.3601437;-7.2865715;-7.196631;-7.475613;-7.5895586
ZINC000009014175;-8.185018;-8.8026495;-9.031139;-8.383791;-8.56079
ZINC000009046243;-7.9277105;-8.132652;-7.7851944;-7.943621;-7.8404956
ZINC000000654280;-7.115458;-7.821176;-8.249894;-7.7019954;-7.82685
ZINC000000654474;-7.3670216;-7.736531;-7.706074;-7.4732137;-7.7337236
ZINC000000686745;-8.34508;-8.180296;-8.279765;-8.44661;-8.012139
ZINC000009232359;-7.787495;-7.2057853;-7.4161663;-7.427511;-7.5509987
ZINC000001185795;-7.704874;-7.863414;-8.087605;-7.936643;-7.5887084
ZINC000001195224;-8.876881;-8.751975;-8.245849;-9.0537615;-8.3680935
ZINC000010058949;-7.6190457;-7.9238544;-8.029661;-8.040848;-7.71196
