name;01;02;03;04;05
ZINC000016195425;-7.7790995;-7.0677915;-7.399876;-7.3760037;-7.1412897
ZINC000101627373;-6.0669284;-6.2247705;-6.1209974;-6.5050354;-6.565853
ZINC000000586239;-7.329632;-7.5896664;-7.6000676;-8.22596;-8.00138
ZINC000016227586;-7.581208;-7.1637588;-7.0312486;-7.2660737;-6.984
ZINC000218413276;-8.086781;-7.375639;-8.262761;-7.9630485;-7.540531
ZINC000085409812;-7.0038652;-7.1912704;-7.091394;-7.6456265;-6.9949675
ZINC000085409816;-6.971935;-7.153869;-7.094055;-7.6297946;-6.9487123
ZINC000085409722;-6.928548;-6.9600387;-7.1529527;-7.1522164;-7.1363916
ZINC000085409719;-6.807236;-6.9132457;-6.7978916;-6.8115373;-6.8475847
ZINC000095707839;-4.234583;-3.9941344;-3.977871;-3.877993;-3.9804885
ZINC000095707840;-4.203458;-4.022191;-3.9924035;-3.8918514;-4.0076714
ZINC000038167293;-6.247391;-6.660697;-6.330062;-6.545771;-6.7010303
ZINC000585295307;-7.831725;-7.3883586;-8.075689;-7.912698;-7.4458947
ZINC000104094080;-8.15754;-8.362805;-7.985493;-7.976726;-8.313567
ZINC000104099764;-8.326283;-8.056618;-8.672919;-8.171522;-7.7259693
ZINC000104168698;-6.6853666;-7.374777;-7.4435897;-7.8190026;-7.5248895
ZINC000001072563;-7.2685356;-7.681879;-7.657206;-7.6731486;-7.388628
ZINC000022608255;-6.7392206;-6.6692696;-6.8442354;-7.005843;-7.19287
ZINC000022608259;-6.8056383;-6.760542;-6.8102717;-6.8901324;-7.2235537
ZINC000022608253;-6.7919464;-6.745781;-6.7844276;-6.906819;-7.223917
ZINC000022608257;-6.735796;-6.661829;-6.868202;-6.9846053;-7.184062
ZINC000014611890;-7.388669;-7.124212;-7.333456;-6.8416734;-6.7508073
ZINC000014611889;-7.285816;-6.96013;-7.3155465;-7.260106;-7.071864
ZINC000041074077;-8.6824;-8.895136;-8.472207;-8.823002;-9.409884
ZINC000030883254;-8.35662;-7.9553647;-7.8673086;-8.039618;-8.229795
ZINC000031783708;-7.9957585;-8.018754;-7.445957;-8.115618;-8.25175
ZINC000001613973;-9.220086;-8.967257;-8.795907;-9.083574;-9.083017
ZINC000004104847;-6.911523;-7.2520103;-6.956833;-6.9741797;-6.8954606
ZINC000100040590;-8.419307;-8.846426;-8.83615;-8.006348;-8.688781
ZINC000136081198;-7.9431624;-7.338285;-6.930583;-8.286278;-7.559303
ZINC000136734154;-7.3552127;-7.248618;-6.5631375;-7.273784;-6.651018
ZINC000137365813;-7.24683;-6.8706017;-6.8642755;-7.721406;-7.552998
ZINC000041074079;-9.272245;-9.2279215;-8.585175;-8.73574;-9.677435
ZINC000329042552;-7.8095055;-7.6407056;-7.049322;-7.759905;-7.8184905
ZINC000585294316;-8.874302;-8.2476635;-7.8751154;-8.125977;-8.000272
ZINC000585294318;-8.815782;-8.221955;-8.361885;-8.286643;-8.121424
ZINC000585293703;-8.1057625;-7.5797224;-8.107815;-7.8816857;-8.189155
ZINC000585294303;-8.529531;-8.059193;-7.8814783;-7.476305;-8.037278
ZINC000585294307;-8.513724;-8.159517;-8.021538;-8.137181;-8.6276455
ZINC000585293702;-8.445426;-8.526017;-9.218905;-8.766564;-8.796777
ZINC000585293779;-8.366341;-8.01135;-7.9632034;-7.6875353;-7.7748084
ZINC000585293783;-8.340183;-8.157505;-8.136347;-8.235913;-8.236716
ZINC000585295221;-8.182758;-8.416187;-7.9984393;-7.936211;-8.233275
ZINC000585295145;-8.611048;-8.516811;-8.064237;-8.0623455;-8.09568
ZINC000585295146;-8.22678;-8.249753;-7.782179;-7.966141;-7.965447
ZINC000006588353;-8.741496;-8.510035;-7.666088;-8.952094;-8.752417
ZINC000006588353;-8.09894;-8.154968;-7.439522;-8.224606;-8.010373
ZINC000006960580;-7.634877;-7.754518;-7.4673347;-7.324034;-7.658156
