name;01;02;03;04;05
ZINC001164951998;-8.356949;-8.927732;-8.707762;-8.648437;-8.263977
ZINC001164952191;-8.824367;-9.311434;-9.177266;-9.266712;-8.950973
ZINC001164953746;-8.851048;-9.346288;-9.301891;-9.1546955;-8.743979
ZINC001164861010;-8.045519;-7.857335;-7.363465;-7.386937;-7.2612524
ZINC001164861009;-8.136955;-7.7101684;-7.3458633;-7.5149975;-7.2556005
ZINC001164856572;-8.227982;-8.023183;-7.9405456;-7.8087335;-7.790538
ZINC001164856561;-8.25586;-8.036259;-7.8646526;-7.8445916;-7.668634
ZINC001164955842;-8.371614;-9.142754;-8.725144;-8.800896;-8.347203
ZINC001164955292;-8.605619;-9.185288;-9.28631;-9.034332;-8.6160755
ZINC001164955689;-8.170557;-8.539343;-9.020407;-9.080192;-8.426586
ZINC001164955885;-8.727224;-9.293024;-9.213913;-8.7772455;-8.488364
ZINC001164955267;-8.629009;-9.453656;-9.231462;-8.946869;-8.690738
ZINC001164955259;-8.3384905;-8.993498;-9.243208;-8.49351;-8.257267
ZINC001164956181;-8.291219;-9.342714;-9.203441;-9.137212;-8.554364
ZINC001164955627;-7.9932837;-8.986052;-9.042203;-8.851309;-8.370598
ZINC001164958045;-8.9011965;-9.256635;-8.983644;-8.864374;-8.396623
ZINC000016338724;-7.0015745;-7.5937014;-7.0352387;-7.647163;-7.7888603
ZINC001164773532;-9.735681;-9.313555;-9.021459;-8.514599;-9.213966
ZINC001164773528;-9.802022;-9.410668;-9.167932;-8.522989;-9.121201
ZINC001164773537;-9.758797;-8.938536;-9.210977;-8.17937;-9.111747
ZINC001164773524;-9.940879;-9.275604;-8.989982;-8.4772625;-9.042662
ZINC001164980977;-9.291313;-8.124672;-8.848412;-8.835341;-8.580643
ZINC001164980976;-8.359179;-8.48543;-8.285023;-8.232843;-8.599369
ZINC001164980978;-8.317505;-8.503975;-8.17682;-8.448816;-8.638358
ZINC001164980975;-8.872052;-7.8725915;-8.899067;-8.5243025;-8.145807
ZINC001164978017;-9.018286;-8.08709;-8.292497;-8.566757;-9.01317
ZINC001164978021;-9.25815;-8.617934;-8.429568;-8.277834;-8.710527
ZINC001164978013;-8.787273;-7.7511168;-8.1507;-7.5242763;-8.683243
ZINC001164978019;-8.923197;-8.50027;-8.237137;-8.460558;-8.696763
ZINC001164992633;-8.704134;-8.232525;-8.346382;-8.399034;-8.993756
ZINC001164992629;-8.27219;-7.7544527;-8.314069;-8.13858;-8.643592
ZINC000035826853;-7.9686465;-8.169144;-7.890039;-8.032891;-8.180065
ZINC001164828676;-7.4200883;-7.448686;-7.2868156;-7.395322;-7.919141
ZINC001164828680;-7.8869834;-7.680097;-7.465832;-7.5056887;-7.4667006
ZINC001164735099;-9.249345;-8.44103;-9.015629;-9.134976;-8.542197
ZINC001164735100;-8.996733;-8.671478;-9.097029;-8.980071;-8.735803
ZINC001164735097;-9.005208;-8.813135;-8.878698;-9.162551;-8.827165
ZINC001164735098;-8.864287;-8.496517;-8.571988;-8.866105;-8.851349
ZINC001164792172;-8.794764;-8.331691;-8.462809;-7.8710623;-8.111562
ZINC001164793379;-8.920155;-8.5742855;-8.094791;-8.069376;-8.228216
ZINC001164793814;-9.331822;-8.6855955;-8.535875;-8.149335;-8.411143
ZINC001164793141;-8.234826;-8.852021;-8.406465;-8.459333;-8.138855
ZINC001164793163;-8.772488;-8.687673;-8.380069;-8.116854;-8.051889
ZINC001164792209;-8.914063;-8.455696;-8.082456;-7.867683;-8.107672
ZINC001164791392;-8.79818;-8.485321;-8.503124;-7.849847;-8.139343
ZINC001164791925;-8.759797;-8.277338;-8.158057;-8.081292;-7.9784117
ZINC001164792665;-8.640481;-8.614619;-8.680552;-7.996022;-8.240561
ZINC001164792613;-8.595106;-8.4837675;-8.693928;-8.082135;-8.299285
ZINC001164792542;-8.705402;-8.64808;-8.43067;-8.233813;-8.191921
ZINC001164791962;-8.537994;-8.210297;-8.207968;-8.2306595;-8.050309
ZINC001164791931;-8.746418;-8.839314;-8.403242;-8.179766;-8.1885195
ZINC001164792865;-8.622724;-8.769089;-8.870887;-8.245586;-8.420011
ZINC001164791589;-8.893857;-8.830607;-8.643577;-8.281551;-8.218795
ZINC001164792994;-8.750412;-8.75343;-8.458963;-7.7839336;-7.8362494
ZINC001164792848;-8.576542;-8.718861;-8.607449;-8.303326;-8.192308
ZINC001164796820;-8.909514;-8.837437;-8.550085;-8.063791;-8.1907
ZINC001164796663;-8.7436285;-9.042208;-8.690088;-8.574921;-8.347453
ZINC001164795457;-8.82399;-8.781323;-8.583611;-8.120561;-8.230251
ZINC001164795964;-9.117776;-8.865164;-8.758092;-8.43178;-8.277855
ZINC001164796340;-9.000079;-8.937875;-8.941803;-8.489506;-8.315814
ZINC001164796384;-8.87323;-8.852622;-8.658787;-8.263326;-8.130313
ZINC001164796824;-8.322538;-9.121647;-8.604964;-8.663327;-8.294651
ZINC001164796760;-9.387861;-9.431118;-9.073552;-8.552156;-9.284632
ZINC001164796702;-8.6443;-9.134792;-8.790356;-8.020964;-8.376136
ZINC001164795152;-8.385095;-8.722152;-8.420362;-8.451485;-8.269149
ZINC001164796316;-8.441427;-9.053305;-8.29474;-8.192774;-8.626971
ZINC001164796359;-8.662298;-8.816269;-8.08622;-8.127175;-8.570754
ZINC001164794637;-8.527061;-8.360301;-8.452434;-7.7794137;-8.080684
ZINC001164795296;-9.225027;-8.685087;-8.530797;-8.455604;-8.139313
ZINC001164796323;-8.877676;-8.450356;-8.110411;-8.004217;-8.261101
ZINC001164797071;-8.855871;-8.540205;-8.461004;-8.010857;-7.985766
ZINC001164844269;-9.267232;-8.472343;-8.604548;-8.894376;-8.780812
ZINC001164844268;-9.223156;-8.89653;-8.944534;-8.982593;-9.0068445
ZINC001164842466;-9.44583;-8.770043;-8.572803;-8.860867;-9.011325
ZINC001164842460;-9.52283;-9.263547;-8.936356;-8.983258;-9.211909
ZINC001164844568;-9.157352;-9.175059;-9.171665;-9.055805;-9.11184
ZINC001164842729;-8.913794;-8.66087;-8.623779;-9.065869;-8.756964
ZINC001164844569;-9.186769;-8.838238;-8.81948;-9.174627;-8.906039
ZINC001164842731;-8.867665;-8.990263;-8.863953;-8.939746;-8.864617
ZINC001164844892;-9.297508;-8.698284;-8.6617155;-8.9932785;-8.887983
ZINC001164844894;-9.218325;-9.131939;-9.056502;-9.069521;-9.070509
ZINC001164843678;-9.103283;-8.614983;-8.885615;-9.322721;-9.082083
ZINC001164843681;-9.076575;-8.9500475;-9.225856;-9.205122;-9.264779
