name;01;02;03;04;05
ZINC000020248584;-6.53806;-7.562815;-7.490764;-7.7907248;-7.546327
ZINC000085347774;-8.3287945;-8.473661;-8.66947;-8.37307;-8.055189
ZINC001164768483;-8.64776;-8.497079;-8.047372;-8.061956;-8.028919
ZINC001164768487;-8.8765135;-8.336041;-8.228122;-8.012205;-8.028969
ZINC001164768445;-8.526573;-8.3526;-8.115548;-7.8419065;-7.9824677
ZINC001164768492;-8.849251;-8.240138;-7.997815;-7.872419;-7.9236465
ZINC001164769571;-8.577181;-7.4706354;-8.096795;-7.957421;-8.008799
ZINC001164771920;-8.046748;-7.907293;-7.8184547;-7.516726;-7.511713
ZINC001164771918;-8.614669;-7.7652993;-7.920004;-8.070568;-7.7315226
ZINC001164769568;-8.329788;-8.217752;-7.843088;-7.731228;-7.63372
ZINC001164769553;-8.74563;-7.79799;-8.009424;-8.115577;-7.9441857
ZINC001164769564;-8.38432;-8.344939;-8.164452;-7.9696016;-7.7712173
ZINC001164771921;-8.446959;-7.4600143;-7.970224;-7.936523;-7.798629
ZINC001164771919;-8.194872;-7.976303;-8.080486;-7.764512;-7.6566286
ZINC000031950761;-7.2389135;-7.446885;-7.1266155;-7.2284575;-7.3106184
ZINC001164622617;-7.4110355;-7.0087423;-7.475272;-7.5330734;-7.429534
ZINC001164977396;-7.5965405;-6.7589927;-7.366907;-7.369496;-7.642357
ZINC001164974308;-7.4367757;-6.548936;-7.2232;-7.217457;-7.6573567
ZINC001164974312;-7.0795703;-6.422655;-6.9265056;-6.915172;-7.3830323
ZINC001164974306;-7.281553;-6.8777366;-7.157557;-7.1889987;-7.1739626
ZINC001164977397;-7.618573;-6.8329105;-7.671283;-7.30499;-7.5670986
ZINC001164974310;-6.7718515;-6.588932;-6.421652;-6.3839803;-6.65102
ZINC001164977399;-7.1808705;-6.737937;-7.2195854;-6.942838;-7.3324447
ZINC001164977394;-7.869395;-6.875577;-7.6121535;-7.627059;-7.7997637
ZINC001164974297;-6.9252067;-6.7460213;-7.4310255;-6.899442;-7.307612
ZINC001164974294;-7.2077546;-6.501719;-6.9081163;-7.069808;-7.2788806
ZINC001164980394;-7.092509;-7.023411;-7.298922;-7.1437063;-7.6835976
ZINC001164980987;-7.2841387;-6.500818;-7.1619983;-7.115631;-7.394326
ZINC001164980393;-7.729931;-6.833759;-7.613678;-7.325357;-7.8014297
ZINC001164974291;-6.6394596;-6.0865407;-6.8170443;-6.618205;-7.129136
ZINC001164980391;-7.8944354;-6.8821316;-7.456606;-7.6552515;-8.058679
ZINC001164980988;-6.7691803;-6.3975725;-6.8625493;-6.9347506;-7.248732
ZINC001164974285;-7.0571117;-6.829631;-7.2763543;-7.2539306;-7.6188593
ZINC001164980985;-6.773622;-6.8656297;-6.583362;-6.5649624;-6.7174993
ZINC001164980392;-7.5121346;-6.9926558;-7.3328457;-7.439726;-7.9283485
ZINC001164980986;-7.1732655;-6.8292203;-7.084864;-7.133899;-7.046923
ZINC001164980977;-7.826049;-7.746277;-8.262413;-8.08654;-8.27146
ZINC001164980976;-8.067685;-7.9490438;-7.595569;-7.7263255;-8.404182
ZINC001164980978;-8.118769;-7.981125;-7.5923843;-7.880667;-8.448457
ZINC001164980975;-8.139333;-7.433893;-8.361506;-7.709939;-8.383601
ZINC001164978140;-7.5851965;-8.127984;-7.7954655;-7.6933155;-7.920289
ZINC001164978053;-7.7726874;-7.8222075;-7.920096;-7.7950573;-7.4293213
ZINC001164978703;-7.5304184;-7.6685767;-7.8110757;-7.382056;-7.639184
ZINC001164975690;-7.676842;-7.7189107;-7.7578726;-7.895954;-7.413633
ZINC001164978074;-7.8373256;-7.929884;-7.8794017;-7.886627;-7.7175784
ZINC001164979661;-7.801029;-7.8799944;-7.900654;-7.8197184;-7.5564756
ZINC001164975262;-7.7423778;-7.7033577;-7.7568307;-7.6748776;-7.3147316
ZINC001164973550;-7.296939;-7.683701;-7.1289535;-7.033571;-7.002612
ZINC001164976204;-7.074959;-6.709846;-7.0153856;-6.7167187;-6.505064
ZINC001164974502;-7.6068354;-7.645212;-7.6723633;-7.584389;-7.404813
ZINC001164980389;-7.950523;-7.883523;-7.8585124;-7.730982;-7.5329404
ZINC001164976052;-7.929063;-8.070933;-7.896243;-7.803774;-7.4673758
ZINC001164978662;-8.0094795;-7.9461317;-7.844258;-8.004354;-7.78373
ZINC001164977479;-7.9290266;-8.009961;-7.939642;-7.7348504;-7.702276
ZINC001164979630;-7.687369;-7.3497205;-6.9760523;-7.298513;-7.377105
ZINC001164975137;-7.825701;-7.8224597;-7.0364256;-7.3284736;-7.427129
ZINC001164992049;-8.057867;-7.656333;-7.286661;-7.4845753;-7.522645
ZINC000023454705;-8.670726;-8.126418;-7.8793297;-8.137512;-8.586397
ZINC000009440491;-7.439617;-7.5996027;-7.828195;-7.6146173;-7.9612265
ZINC000089823064;-8.761621;-8.703913;-8.469382;-9.126314;-9.037428
ZINC001164648537;-7.784091;-8.158903;-7.847918;-7.5657544;-7.9572
ZINC001164645317;-6.336907;-6.6545253;-6.8817816;-6.6265163;-6.3176074
ZINC000001555065;-7.971959;-8.057251;-8.192095;-7.6240582;-7.7327585
ZINC000020175950;-7.203405;-7.3154316;-7.5612025;-7.7893524;-7.6571584
ZINC000042202836;-7.567481;-7.312709;-7.0103683;-7.050798;-6.8753414
