name;01;02;03;04;05
ZINC000022023121;-10.3590555;-9.116583;-8.387409;-9.232381;-9.441641
ZINC000005733332;-7.834941;-7.6836443;-7.1095695;-7.622631;-7.944545
ZINC000015973861;-7.6389685;-7.339169;-7.263336;-7.4297366;-7.150865
ZINC000006235995;-8.167436;-7.73398;-7.6545563;-8.076359;-7.873181
ZINC000001760208;-7.639965;-8.32467;-8.116715;-7.5671196;-7.8493977
ZINC000001760206;-7.52177;-7.9402995;-7.837692;-7.508238;-7.9509516
ZINC000001760210;-7.9658866;-8.375041;-8.171763;-7.8632207;-8.360508
ZINC000001802390;-7.544733;-7.5386963;-7.255191;-6.9547772;-6.2675653
ZINC000001802391;-7.3182025;-7.502693;-7.323398;-6.9062357;-6.2423506
ZINC000001816398;-8.272871;-8.449288;-8.202404;-8.019687;-7.691374
ZINC000001811361;-7.6120267;-7.876028;-7.6448135;-7.4627447;-6.8966656
ZINC000001837220;-8.419503;-8.525776;-8.531949;-8.58387;-8.341676
ZINC000001837221;-8.355133;-8.427804;-8.420793;-8.547337;-8.174859
ZINC000006548868;-8.419535;-8.464931;-8.548072;-8.530701;-9.075615
ZINC000095918023;-8.082627;-7.806555;-8.073415;-7.607958;-8.027572
ZINC000004980454;-7.1229324;-8.038944;-7.5666323;-7.58137;-7.6890845
ZINC000006751337;-7.156501;-7.544165;-8.452902;-8.155307;-7.551203
ZINC000096448554;-6.9290643;-8.355486;-7.6728354;-7.394804;-7.5182095
ZINC000006763192;-8.556905;-8.526809;-9.293941;-8.874008;-8.871927
ZINC000006763186;-9.2920265;-8.62571;-9.542468;-8.8891;-9.238343
ZINC000006763179;-7.976331;-8.811205;-8.855078;-8.658465;-9.081871
ZINC000006782008;-8.795609;-8.300798;-7.8966975;-7.7485385;-7.8999486
ZINC000169680978;-8.659538;-8.844319;-8.569693;-8.866343;-8.407892
ZINC000100148677;-8.104088;-8.688007;-8.162852;-8.289708;-8.567052
ZINC000006804507;-9.008917;-8.628306;-9.152533;-8.8990555;-8.937214
ZINC000006804506;-8.997874;-8.426056;-9.136805;-8.920707;-8.788517
ZINC000006811160;-8.131655;-8.478483;-8.707496;-8.238933;-8.786618
ZINC000036347384;-5.7796173;-6.153315;-6.3378487;-5.976639;-6.320478
ZINC000036347393;-7.3794513;-6.3962827;-6.9375305;-6.2837944;-6.769347
ZINC000036347385;-7.0099454;-6.1439614;-7.014324;-6.2038403;-6.742791
ZINC000036347392;-6.404362;-6.0159802;-6.8956046;-6.2163424;-6.2300043
ZINC000036347869;-7.9002223;-6.7633266;-7.625085;-7.1955085;-7.4114714
ZINC000036347870;-7.19861;-6.656037;-7.1203723;-7.3666987;-6.9889874
ZINC000040103368;-7.901298;-7.351524;-8.037271;-7.932623;-7.7068367
ZINC000006877894;-7.747918;-8.028219;-8.620554;-8.068803;-7.837804
ZINC000006877987;-9.173615;-8.716314;-8.65404;-8.619898;-8.339346
ZINC000006877982;-9.005434;-8.427341;-9.074146;-8.596276;-8.391189
ZINC000006877904;-8.319492;-8.522559;-8.595654;-8.460387;-7.983472
ZINC000006877905;-8.157839;-8.558596;-8.502084;-8.617524;-7.9851303
ZINC000006877893;-7.5937996;-8.102026;-8.754179;-8.385174;-8.013927
ZINC000006877989;-8.8268;-8.665557;-8.649302;-8.928775;-8.406564
ZINC000006877984;-9.114103;-8.309355;-8.896051;-8.544058;-8.325405
ZINC000006877903;-8.463242;-8.567822;-8.554833;-8.241663;-7.8477316
ZINC000032074593;-8.596889;-7.6480637;-8.262282;-7.7801385;-8.32085
ZINC000032074591;-8.280935;-7.6058445;-7.3400664;-8.181581;-8.679834
ZINC000043125167;-8.213901;-9.006524;-8.508163;-8.438419;-8.434153
ZINC000043125169;-7.733486;-7.8227882;-8.084253;-7.9664197;-8.208499
ZINC000004995814;-7.3673515;-7.083334;-7.2608423;-7.3097887;-7.10813
ZINC000004995816;-7.3359685;-7.0989556;-7.2671556;-7.295315;-7.13517
ZINC000037243119;-8.24383;-7.945913;-8.256911;-7.7624;-8.152049
ZINC000001920222;-7.741775;-7.732097;-7.8669944;-7.617309;-8.304995
ZINC000009420851;-7.4165463;-6.9996495;-7.0488997;-7.1222286;-7.4767485
ZINC000009420852;-7.143997;-6.939926;-7.061945;-7.002653;-7.0090117
ZINC000002893880;-7.611824;-8.203218;-8.079639;-7.631216;-7.3139277
ZINC000003179004;-7.876837;-7.7102737;-7.7734222;-7.893308;-8.119096
ZINC000003176137;-6.653791;-6.965107;-7.029591;-7.2616963;-7.142261
ZINC000003178526;-8.529257;-7.9821835;-7.8055706;-8.361559;-8.442362
ZINC000003178634;-8.29934;-8.075885;-8.292246;-8.399471;-8.168435
ZINC000004333821;-7.7696486;-7.6876574;-7.7619524;-6.8718023;-7.3203125
ZINC000004333823;-7.745392;-8.0120125;-8.245525;-6.8889513;-7.5730834
ZINC000004333819;-8.217493;-7.211086;-7.5771317;-6.840101;-7.697852
ZINC000004333826;-8.075133;-6.9821186;-7.406109;-6.863929;-7.653959
ZINC000011786079;-8.404913;-8.169992;-7.9109807;-7.8720083;-7.9006586
ZINC000011786080;-8.714339;-8.520364;-7.9928813;-8.161818;-8.2579975
ZINC000137695494;-8.890301;-9.225578;-8.606758;-9.265895;-8.820599
ZINC000005182526;-8.040888;-8.465551;-8.14055;-7.8115892;-8.602469
ZINC000005182538;-7.959013;-8.3835745;-7.912243;-7.879915;-8.718035
ZINC000005182572;-8.325668;-8.502124;-8.344379;-7.6906185;-8.092915
ZINC000005182542;-8.029947;-8.681363;-8.064618;-7.989442;-8.666668
ZINC000005182516;-8.407443;-7.839583;-8.36141;-7.749152;-8.255062
ZINC000005182529;-8.114565;-8.841777;-8.082235;-8.321061;-8.7613945
ZINC000005182570;-8.114643;-8.506005;-8.209932;-7.805089;-8.231396
ZINC000005182491;-7.146604;-7.331893;-6.9893575;-6.84327;-6.9775434
ZINC000005182714;-7.645821;-8.088104;-7.6521964;-7.058451;-7.5273633
ZINC000005182502;-7.7616434;-8.434054;-8.280747;-8.006653;-7.9306293
ZINC000005182736;-7.7278595;-7.8545666;-8.002632;-8.069283;-8.329142
ZINC000005182616;-8.095359;-8.8741;-8.3371725;-7.7675924;-7.8375616
ZINC000005182748;-7.8037796;-7.442768;-7.715426;-7.4337873;-7.9422073
ZINC000005182712;-7.6043644;-8.125915;-8.414225;-7.581454;-7.9262643
ZINC000005182738;-8.104201;-8.087295;-8.688516;-7.9256916;-8.3108015
ZINC000005182621;-7.84985;-9.268819;-8.227991;-8.124698;-8.395497
ZINC000033911926;-8.867985;-8.768452;-9.461261;-9.330633;-8.862747
ZINC000019853721;-6.53662;-5.8884673;-6.410027;-6.8597746;-6.6146336
ZINC000011909397;-7.3399763;-7.312136;-7.6785917;-7.985623;-7.678256
ZINC000004980609;-7.3513556;-8.379382;-8.066534;-7.418608;-7.319492
ZINC000004981138;-7.1266804;-8.370839;-8.015397;-7.340546;-7.3796473
ZINC000011944380;-8.519939;-8.364611;-8.427136;-7.830168;-8.231821
ZINC000011944377;-8.9011135;-8.654091;-8.54829;-7.9796324;-8.174261
ZINC000037523523;-6.8188314;-6.1191373;-6.944487;-6.2003927;-6.6676283
ZINC000037523524;-7.599836;-6.5759983;-6.8536444;-6.268115;-7.0892897
ZINC000005657314;-7.9409256;-7.82533;-7.438719;-7.1351376;-7.8761945
ZINC000012040943;-8.579759;-8.673965;-8.311767;-9.123865;-9.164127
ZINC000019953564;-8.533621;-8.234982;-8.782481;-8.430227;-7.974345
ZINC000006822514;-7.826412;-7.677905;-7.365999;-7.7268243;-7.5275116
ZINC000012076185;-8.58409;-8.518479;-8.53192;-8.522713;-8.362833
ZINC000012076188;-8.801605;-8.222051;-8.3996525;-8.607416;-8.339536
ZINC000012151041;-8.264825;-7.7575054;-7.8700466;-7.773951;-8.161639
ZINC000012150932;-7.969055;-8.039743;-8.228532;-8.096649;-8.449406
ZINC000012152988;-9.130086;-8.547945;-8.229986;-8.661871;-8.440327
ZINC000020230730;-8.132976;-8.076039;-8.334472;-8.584152;-8.444913
ZINC000020233266;-9.021265;-8.877796;-8.34071;-8.805643;-8.744112
ZINC000011840440;-9.189065;-8.39208;-8.028985;-8.688373;-8.389295
ZINC000012211871;-8.304351;-8.65691;-8.197472;-8.657151;-9.03565
ZINC000012217529;-7.8122244;-8.021475;-7.340542;-7.7577777;-7.8077636
ZINC000002557071;-7.900453;-8.135219;-8.062973;-7.9051447;-7.956208
ZINC000012218382;-8.502078;-8.046212;-8.43223;-8.210666;-8.007793
ZINC000015225440;-8.482924;-9.325902;-9.189668;-9.418487;-9.149249
ZINC000002572346;-7.7972603;-8.281428;-7.2781606;-7.3766055;-8.434003
