name;01;02;03;04;05
ZINC000015015847;-7.535866;-7.1440744;-7.6838055;-8.161995;-7.6786304
ZINC000015016687;-7.564251;-7.283641;-7.802085;-8.335418;-7.877076
ZINC000015015848;-7.1469307;-6.943475;-7.4613905;-8.140351;-7.617619
ZINC000015016688;-7.223966;-7.0951037;-7.548884;-8.248105;-7.735935
ZINC000012865402;-8.141484;-7.8686447;-7.7065535;-7.5453596;-7.861706
ZINC000006129522;-9.452468;-8.872591;-9.113324;-8.964161;-8.994797
ZINC000015861651;-8.669621;-7.8861127;-7.568951;-7.5720015;-7.865398
ZINC000015861671;-8.291721;-8.111355;-7.986431;-7.921387;-8.302477
ZINC000015861661;-7.041663;-7.7394934;-7.586904;-6.79381;-7.4062786
ZINC000015861662;-6.902007;-7.935293;-7.480169;-7.020908;-7.282198
ZINC000032943137;-9.3809805;-9.229932;-8.75975;-8.883765;-8.83176
ZINC000004750950;-7.536688;-7.7029405;-7.229045;-7.288989;-7.5384026
ZINC000016639413;-8.424568;-8.643316;-8.840014;-8.348031;-8.798241
ZINC000016639413;-8.848723;-8.490654;-8.787134;-8.565541;-8.629591
ZINC000016639415;-8.785324;-8.577182;-8.885846;-8.543415;-8.818982
ZINC000016639415;-8.510696;-8.675531;-9.013486;-8.418841;-8.560259
ZINC000035840996;-8.2499;-8.233209;-8.721062;-8.626086;-8.315465
ZINC000035841137;-9.674348;-7.5809073;-8.114493;-8.420237;-8.345349
ZINC000035841061;-9.158841;-8.807407;-9.228459;-9.491079;-9.289686
ZINC000035841135;-7.9817796;-8.220222;-8.04125;-8.329969;-7.777753
ZINC000035841085;-9.327601;-9.043453;-9.374826;-9.460541;-9.149792
ZINC000095747895;-7.909944;-7.933241;-7.9936604;-7.7004952;-8.015546
ZINC000006778347;-8.611763;-8.082641;-7.9102306;-7.876118;-8.094773
ZINC000008781586;-8.374063;-8.318395;-7.9868855;-8.141041;-8.733889
ZINC000006778346;-7.8651896;-7.947624;-7.5527306;-7.5284944;-7.836643
ZINC000100450828;-7.7080708;-7.948812;-7.485092;-7.68867;-7.748379
ZINC000100651763;-7.0098143;-6.1839895;-6.6682634;-5.379467;-6.647172
ZINC000014070718;-8.393365;-8.756259;-8.806491;-8.984349;-8.260235
ZINC000014070714;-8.396478;-8.756767;-8.806684;-8.983943;-8.258196
ZINC000014070724;-8.352191;-8.636429;-8.789338;-8.984385;-8.268814
ZINC000014070721;-8.348448;-8.63509;-8.7887125;-8.98597;-8.268388
ZINC000102774356;-7.1597366;-6.8749685;-6.8482237;-6.890484;-7.1747675
ZINC000031040343;-8.44129;-8.04798;-8.272921;-8.079399;-8.271606
ZINC000031040343;-8.295646;-7.8923535;-8.2250595;-8.057335;-8.247622
ZINC000004844292;-8.227369;-7.572923;-7.577361;-7.405871;-7.445535
ZINC000004844293;-7.729199;-7.7528586;-7.487095;-7.1578994;-7.4561286
ZINC000004863279;-8.998633;-8.713177;-9.348846;-8.84912;-8.787676
ZINC000245238523;-8.110685;-8.297159;-8.204359;-8.105321;-8.084113
ZINC000004575688;-7.485115;-7.4781957;-7.2420683;-7.460652;-7.7037945
ZINC000100721382;-8.5241995;-8.131888;-7.191594;-8.282104;-8.215056
ZINC000100722197;-7.8258853;-6.8378897;-6.683842;-7.6323357;-7.1323457
ZINC000009579061;-7.3501844;-8.904458;-8.431755;-8.47363;-8.424325
ZINC000009579062;-7.6667585;-8.379391;-8.309144;-8.469905;-8.452986
ZINC000001552218;-7.981456;-7.7515984;-8.114592;-7.875797;-8.04878
ZINC000024148102;-7.9296055;-7.9135528;-7.6569276;-7.7841477;-7.4805655
ZINC000005163756;-8.472393;-8.488224;-7.9492655;-8.710022;-7.888694
ZINC000005163753;-8.4775915;-8.49725;-7.955646;-8.717685;-7.896733
ZINC000019771508;-7.8132377;-9.137349;-7.8011174;-7.6464734;-7.509218
ZINC000002101296;-9.051466;-9.346157;-8.362283;-8.447714;-8.05377
ZINC000019805809;-7.5613203;-7.862534;-7.790696;-7.885254;-7.453208
ZINC000019805794;-8.974049;-8.597631;-8.944298;-8.485984;-8.4274645
ZINC000019833934;-7.8648543;-8.594095;-8.3314905;-8.15734;-8.487552
ZINC000019848782;-7.9942284;-8.16836;-8.236283;-8.267069;-8.006998
ZINC000019850391;-8.475859;-9.073441;-9.336275;-8.622917;-8.796214
ZINC000036308852;-7.630627;-8.421699;-7.337227;-7.5965657;-7.765577
ZINC000036308833;-7.85023;-7.8147335;-7.1481485;-7.378904;-7.4539495
ZINC000252607660;-7.7628856;-8.39457;-7.747302;-7.892041;-8.030906
ZINC000019861277;-8.27263;-8.719973;-8.637991;-8.354678;-8.4554615
ZINC000036308825;-7.826661;-7.8239145;-7.311733;-7.668277;-7.6348324
ZINC000036346107;-8.446146;-8.275681;-7.7647;-7.8835454;-7.8506575
ZINC000007718827;-8.358753;-9.104515;-8.94709;-8.43102;-9.434022
ZINC000036308854;-8.453194;-8.305004;-7.9353685;-7.501008;-8.225845
ZINC000036308835;-7.6041193;-7.669116;-6.55227;-6.8043494;-7.265981
ZINC000036308827;-7.606736;-7.770483;-6.778426;-7.0687737;-7.438953
ZINC000036346108;-7.737152;-8.294024;-7.7009096;-7.502115;-7.4221478
ZINC000019902749;-8.628434;-8.848042;-8.231237;-8.665916;-8.396002
ZINC000022612075;-8.124544;-9.102531;-8.6922035;-8.02943;-8.3896265
