name;01;02;03;04;05
ZINC000023114859;-7.4032736;-6.9153156;-6.9059815;-7.17008;-6.7819734
ZINC000020294952;-8.443605;-8.161017;-8.452508;-8.419661;-8.6830015
ZINC000020294948;-8.544522;-8.491862;-8.273271;-8.413543;-8.627891
ZINC000020354958;-7.895651;-8.045767;-7.6903124;-7.96177;-7.924638
ZINC000012507937;-7.145313;-7.695495;-6.4258127;-6.7347035;-7.562469
ZINC000012507936;-7.3079014;-7.392617;-6.5683675;-6.5766773;-7.3281617
ZINC000035429046;-7.938883;-6.6825156;-6.542061;-7.10236;-7.1807547
ZINC000020240216;-6.7151737;-6.8073063;-6.8910465;-6.5185976;-7.0041523
ZINC000012595254;-6.9284067;-6.6629906;-6.9986196;-6.937174;-7.2592397
ZINC000012595259;-6.6074944;-6.8372507;-6.559663;-7.2664022;-7.1131344
ZINC000012507939;-7.604479;-7.307516;-7.2468624;-7.108896;-7.964134
ZINC000012507938;-7.6164646;-7.495461;-7.1039424;-6.796596;-7.872448
ZINC000012824587;-8.412071;-8.657615;-8.489672;-8.355398;-8.594436
ZINC000048310573;-7.800996;-7.612322;-7.039522;-7.9732027;-7.440231
ZINC000048310575;-7.695966;-7.8205733;-7.134984;-7.880571;-7.6241097
ZINC000033292392;-7.3862767;-7.8100567;-7.575571;-7.910303;-7.703739
ZINC000064991903;-7.567774;-7.4306703;-6.7271047;-7.583024;-7.546289
ZINC000012321878;-7.547197;-7.269873;-7.4355836;-7.865252;-7.4560657
ZINC000012321877;-7.7777867;-7.355232;-7.632148;-7.858292;-7.5522523
ZINC000065025112;-8.259871;-8.269634;-7.7539186;-7.9980702;-7.7669964
ZINC000065025127;-8.0495205;-7.8479033;-7.749737;-7.83562;-7.7186737
ZINC000065025173;-8.262627;-8.189476;-7.8143396;-8.148987;-7.8161383
ZINC000065061361;-7.52536;-7.169483;-7.907153;-7.9361954;-7.63782
ZINC000065061542;-7.238866;-7.1153955;-7.6152763;-8.042545;-8.074716
ZINC000065061543;-7.2006373;-7.207006;-7.714046;-8.073271;-8.03791
ZINC000036391504;-7.690344;-7.7222195;-7.2896605;-7.9329233;-7.791779
ZINC000036391502;-7.670433;-7.780425;-7.8080225;-8.06806;-7.9130144
ZINC000036391503;-8.123194;-7.996622;-8.092666;-8.112187;-7.9843435
ZINC000023674994;-8.401626;-8.279604;-8.620303;-8.168219;-9.006395
ZINC000021711262;-8.699698;-8.085091;-7.607992;-7.7579737;-8.034415
ZINC000065117556;-7.4380226;-7.3326855;-7.7828693;-7.6955066;-7.16847
ZINC000021807965;-7.197823;-7.5447736;-7.669177;-7.9104104;-7.933805
ZINC000023908506;-7.640485;-7.7244425;-7.753126;-7.641655;-7.9418344
ZINC000524730645;-8.606789;-8.371028;-8.291612;-8.06746;-7.963022
ZINC000524732251;-9.106183;-8.13093;-7.0109553;-8.001746;-7.315368
ZINC000170594495;-6.6378336;-6.7065697;-6.733653;-7.0048018;-6.819789
ZINC000170601552;-8.08224;-7.847034;-7.0597153;-7.525678;-7.463602
ZINC000170601553;-8.19475;-7.798561;-7.0392876;-7.3830037;-7.424535
ZINC000170602678;-8.193453;-8.10917;-8.280726;-7.9346447;-7.8513703
ZINC000170602679;-7.16069;-7.6313314;-7.770565;-7.967093;-7.7333665
ZINC000024536233;-6.878957;-7.130429;-7.3716063;-6.700221;-7.532157
ZINC000095472258;-7.8794765;-7.5511355;-7.929597;-7.4652143;-8.161785
ZINC000095472257;-8.238786;-7.6942897;-7.804758;-7.781117;-8.136263
