name;01;02;03;04;05
ZINC000408636376;-7.771647;-7.6903214;-7.293319;-7.387618;-7.082475
ZINC000012254700;-7.912731;-7.8969426;-7.8529563;-8.121783;-8.246747
ZINC000585101981;-8.250108;-7.646587;-7.093898;-7.521609;-7.6806245
ZINC000012254697;-7.852218;-7.876873;-8.012725;-8.029615;-8.128248
ZINC000585101982;-7.7016973;-7.478477;-7.075446;-7.2495284;-7.131775
ZINC000035442501;-7.2186785;-6.9786572;-7.7795715;-7.406564;-7.8209248
ZINC000585108230;-7.911728;-7.0370693;-7.4278784;-7.0659547;-7.447479
ZINC000585108230;-8.268168;-7.658403;-7.233964;-7.1357894;-7.3083777
ZINC000585108227;-8.254512;-7.988155;-7.3917665;-6.963785;-7.312538
ZINC000585108227;-7.3540645;-7.4131546;-7.115081;-6.804543;-7.4497004
ZINC000585108228;-7.618318;-7.223504;-7.180519;-6.5914044;-7.021324
ZINC000585108228;-8.617353;-7.998469;-7.4352684;-7.1288285;-7.3024592
ZINC000585108229;-8.111549;-7.544859;-7.1201587;-7.1913185;-7.2706738
ZINC000585108229;-7.931089;-7.4424624;-7.3645167;-6.9969616;-7.2564807
ZINC000585108719;-7.0997267;-6.579246;-6.8552833;-7.136712;-6.8548098
ZINC000585108719;-7.8948526;-7.32046;-7.254184;-7.265064;-7.028949
ZINC000022933312;-7.6589756;-7.2718987;-6.734368;-7.17363;-7.564148
ZINC000022933224;-7.7280426;-7.1754446;-7.0331535;-7.551525;-7.320308
ZINC000022933457;-7.007329;-6.9772997;-7.291787;-6.866124;-7.39268
ZINC000022933905;-7.3177648;-6.7556987;-6.826954;-7.0941143;-6.794922
ZINC000022934581;-7.274951;-7.09359;-7.228736;-6.872072;-7.2164145
ZINC000022934850;-6.880958;-7.2446976;-7.330946;-6.873658;-7.3946414
ZINC000022934607;-7.3681626;-7.8438435;-7.293072;-7.1893373;-7.416287
ZINC000022934813;-7.2738976;-7.41412;-7.3013144;-7.2218065;-7.6509285
ZINC000022934914;-6.888441;-7.4566503;-7.6302876;-6.7300854;-7.167537
ZINC000022934714;-7.4859204;-7.0966964;-7.0261416;-7.3036222;-6.8773117
ZINC000022934846;-7.566178;-7.032304;-6.9785404;-7.0631394;-7.354933
ZINC000022934910;-7.390052;-6.77692;-7.213257;-6.7437887;-7.3525133
ZINC000022935105;-7.875797;-7.763932;-7.419916;-7.4922357;-7.856114
ZINC000015708614;-8.355604;-8.269878;-8.710427;-8.112765;-8.142815
ZINC000015708614;-8.835547;-8.69838;-8.663515;-8.282223;-8.57963
ZINC000015708731;-8.239166;-8.493563;-8.489684;-8.215748;-8.479929
ZINC000015708731;-8.188461;-7.984581;-8.555431;-8.079753;-8.596556
ZINC000015708602;-8.376921;-8.433975;-8.520665;-8.123439;-8.096296
