name;01;02;03;04;05
ZINC001467372985;-8.53666;-8.121248;-8.700908;-8.217843;-8.463759
ZINC001519110937;-8.709491;-9.501003;-9.606044;-8.803292;-9.527389
ZINC001519110936;-8.98342;-9.289497;-10.316452;-8.563666;-9.452896
ZINC001542877525;-8.641446;-8.945919;-9.231987;-8.780762;-8.918226
ZINC001557056071;-8.327588;-8.361711;-7.352656;-8.56053;-7.798958
ZINC001557056071;-8.111264;-8.363718;-7.876211;-8.26506;-8.199065
ZINC001478727389;-8.53199;-8.97746;-8.089672;-8.313569;-8.741831
ZINC001557056070;-7.658397;-8.141044;-7.565124;-8.196709;-7.9829535
ZINC001557056070;-8.722441;-8.260059;-7.261557;-8.365657;-8.082786
ZINC001542906193;-8.567079;-8.7963295;-8.133314;-8.641617;-8.452436
ZINC001542906194;-8.223355;-8.9494505;-8.205602;-8.68731;-8.483647
ZINC001542907667;-8.14163;-8.611114;-7.8157487;-8.252294;-7.7671947
ZINC001570420616;-8.65559;-7.8448296;-8.934348;-8.082048;-8.478761
ZINC001478790083;-7.975559;-7.722499;-7.7131968;-8.073208;-7.787425
ZINC001557152745;-9.662023;-9.753302;-9.428885;-9.674568;-9.248861
ZINC001557152744;-9.329004;-10.084599;-9.817096;-9.578541;-9.365575
ZINC001542960705;-9.900382;-9.777509;-9.470354;-9.809051;-9.900332
ZINC001557315255;-8.903358;-8.597446;-8.045081;-7.9718947;-9.226962
ZINC001557315681;-8.780402;-9.024154;-8.667742;-8.979219;-8.818436
ZINC001557315260;-8.937705;-8.420736;-8.2803755;-8.236177;-9.204099
ZINC001557315264;-9.047995;-8.52223;-8.205639;-8.150082;-9.163418
ZINC001557315682;-8.813257;-8.972074;-8.715389;-8.951309;-8.862384
ZINC001557315680;-9.061958;-8.910778;-8.721754;-8.480496;-8.650801
ZINC001557315262;-8.874167;-8.199716;-8.298582;-8.300993;-9.253681
ZINC001557315683;-8.71373;-8.936361;-8.458603;-8.493961;-8.694944
ZINC001557329834;-9.081403;-9.4366665;-8.654536;-9.042279;-8.907905
