name;01;02;03;04;05
ZINC000020245671;-6.4880433;-6.512082;-6.4365907;-6.675241;-6.806116
ZINC000409210509;-7.2838287;-7.7809935;-7.383173;-7.6398935;-8.027418
ZINC000409210511;-7.35222;-7.864271;-7.685279;-7.623058;-8.0436125
ZINC000004918989;-6.1922646;-6.292453;-6.578441;-6.3637667;-6.4407287
ZINC000409231763;-6.7760835;-7.56144;-6.8252244;-7.3131647;-7.450161
ZINC000005218090;-6.0356503;-5.668456;-5.916309;-5.5673513;-5.386952
ZINC000005218088;-6.2879906;-6.2248225;-5.9273443;-5.939574;-5.504482
ZINC000005640071;-5.83178;-5.9213085;-6.1111393;-5.90165;-6.216216
ZINC000005640070;-5.538386;-6.1902246;-6.3350163;-5.6325207;-6.2892113
ZINC000005640067;-5.722294;-6.0431113;-6.21332;-5.7379127;-6.125374
ZINC000005640068;-5.7917056;-5.9852195;-6.1256833;-5.6540504;-6.255633
ZINC000005813495;-8.362426;-7.740513;-8.093765;-7.0451736;-8.510022
ZINC000010113401;-7.3671937;-7.2100406;-7.3242383;-7.299096;-8.024701
ZINC000409391037;-5.944484;-5.8499928;-6.0320525;-6.0007586;-6.0356064
ZINC000409393544;-6.0156198;-5.8821335;-6.1145306;-6.1837873;-6.2190614
ZINC000100137472;-7.2224274;-7.4397807;-7.086645;-7.7161627;-7.444767
ZINC000100137465;-7.2224274;-7.4397807;-7.086645;-7.7161627;-7.444767
ZINC000016038571;-8.96553;-9.662464;-10.0962715;-9.801631;-10.089623
ZINC000103560494;-8.041962;-8.772629;-9.221588;-9.015827;-9.219842
ZINC000006287797;-8.608402;-8.534151;-8.104058;-8.267004;-8.605345
ZINC000006287802;-8.615063;-8.675437;-8.093743;-8.260927;-8.651134
ZINC000006287791;-7.3788176;-7.46928;-7.197019;-7.3001943;-7.263354
ZINC000108497873;-7.1000247;-7.551533;-7.476137;-7.0335283;-7.2492337
ZINC000218305613;-8.390266;-8.423366;-8.89199;-8.4088545;-8.590174
ZINC000010113372;-7.8316383;-8.500044;-8.063419;-8.453835;-8.948981
ZINC000010113347;-7.578833;-7.564687;-7.6188264;-7.4693923;-8.111243
ZINC000010113391;-8.293083;-8.554434;-8.036224;-7.909381;-8.545939
ZINC000008819198;-7.8629184;-6.826954;-7.465321;-7.911936;-7.8617315
ZINC000008819625;-7.541066;-7.3942537;-7.5456476;-7.398745;-7.989321
ZINC000604381675;-7.3308253;-7.2108617;-7.4546604;-7.6266203;-7.288902
ZINC000604381945;-7.5335093;-7.08283;-7.747039;-7.9402966;-7.4262395
ZINC000604382080;-7.6119523;-7.353733;-7.655493;-7.903663;-7.625659
ZINC000009014187;-8.151487;-8.125348;-8.762075;-8.508235;-8.81378
ZINC000001325289;-7.3039865;-7.4527783;-7.707418;-7.3092175;-7.7163434
ZINC000026112568;-7.0790052;-7.709323;-7.247184;-6.966079;-7.259494
ZINC000028207321;-6.343179;-6.4633703;-6.1576996;-6.413194;-6.6893015
ZINC000219434015;-7.6481843;-7.827637;-7.6873503;-7.9253006;-8.108336
ZINC000219442911;-8.059744;-8.395302;-7.909139;-7.977984;-8.505376
ZINC000057316656;-8.924801;-7.9871254;-7.9997993;-8.323743;-8.39474
ZINC000108021340;-7.2106714;-7.7822237;-7.094473;-7.1963673;-7.6331954
ZINC000034878482;-7.200153;-7.4767323;-7.68532;-7.95871;-7.97942
ZINC000035339591;-8.558474;-9.233524;-7.915312;-8.917152;-8.26705
ZINC000044910947;-7.7572994;-7.780684;-7.4975805;-7.084513;-7.9831085
ZINC000107974736;-7.5438027;-7.1696415;-7.229982;-7.689451;-7.4989843
ZINC000208969597;-6.828022;-7.357951;-7.44179;-7.29587;-7.186247
ZINC000219667081;-8.076801;-7.9620886;-7.294453;-7.9917035;-8.310473
ZINC000027530516;-7.2859483;-6.852305;-7.2432284;-7.388992;-7.968068
ZINC000027530514;-7.1835537;-7.016963;-7.9375734;-7.431404;-7.9448357
ZINC000022929692;-7.2737036;-7.5371037;-7.6424303;-7.9128957;-7.7392344
ZINC000022929690;-7.288608;-7.9087534;-7.07617;-8.169751;-7.4165573
ZINC000009311203;-6.8852024;-7.069965;-6.809683;-6.727059;-6.9611716
ZINC000220092647;-6.1568785;-6.889839;-6.7323036;-6.845544;-7.525525
ZINC000101008198;-7.685219;-7.7934747;-7.227564;-7.1478558;-7.454072
ZINC000113832686;-7.952286;-7.4654646;-7.30772;-7.915726;-7.734873
ZINC000103560489;-8.2923975;-8.38558;-8.046818;-8.01995;-8.645114
ZINC000102463896;-7.3899937;-7.6888857;-7.320228;-7.393375;-7.8684087
ZINC000102463905;-7.2418065;-7.8381596;-7.4311595;-7.3750415;-7.8419633
ZINC000010113460;-7.7447214;-7.8061557;-7.6566544;-7.340065;-7.706199
ZINC000108806671;-7.8551064;-7.7592263;-7.491672;-7.2222524;-7.627149
ZINC000013631930;-6.4095163;-6.9246674;-6.6436796;-7.081327;-7.7162247
ZINC000013649881;-7.5100408;-7.1367774;-7.313397;-7.7580514;-8.280571
ZINC000013673275;-6.2626004;-7.0591054;-6.883881;-7.163362;-7.9258833
ZINC000013675582;-6.8174853;-7.513696;-6.933067;-7.293045;-8.060614
ZINC000113939852;-7.121616;-7.0282245;-7.6288795;-7.814666;-7.6026754
ZINC000113946212;-7.8458986;-7.502182;-7.9781055;-7.744376;-7.551984
ZINC000113946189;-7.761312;-7.881485;-7.000263;-6.990564;-7.624957
ZINC000113946186;-7.7927494;-7.90625;-6.9093943;-7.048077;-7.576974
ZINC000113957890;-8.19886;-8.356448;-7.952367;-7.697697;-8.287712
ZINC000222828244;-8.564346;-9.01711;-8.482748;-9.138727;-8.821748
ZINC000033537003;-7.030734;-7.7791634;-7.1887183;-7.619476;-8.0497875
ZINC000033537005;-7.4683075;-7.4630537;-6.9941196;-7.793833;-7.85686
ZINC000033542897;-6.9316754;-7.114175;-6.944711;-7.09849;-7.4024277
ZINC000033542898;-6.559184;-7.396816;-7.3429384;-7.2809286;-7.4011636
ZINC000022230715;-6.5399523;-7.063979;-7.357473;-6.7157917;-7.102453
ZINC000033585603;-6.780885;-6.845956;-6.492153;-7.8089724;-7.2032747
ZINC000033588556;-7.597817;-7.3675084;-7.131317;-7.6102033;-7.647694
ZINC000033581878;-6.9122357;-7.6738334;-7.3225956;-7.665924;-7.4934587
ZINC000033585602;-7.1135974;-6.711013;-6.5238247;-7.826494;-7.248246
ZINC000033585887;-7.4934306;-7.862634;-7.2516274;-8.559946;-7.716063
ZINC000033585888;-7.2562137;-7.691504;-7.3541975;-8.242209;-7.4926476
ZINC000033581874;-6.8853517;-7.8712482;-7.417665;-7.8843284;-7.7241564
ZINC000223106108;-6.8023505;-7.0918107;-6.898021;-6.96716;-7.3924685
ZINC000003020661;-7.80035;-7.544874;-7.6224384;-7.4491777;-7.571209
ZINC000003067181;-7.6125026;-8.117917;-7.7435884;-8.322238;-7.817192
ZINC000003067185;-7.040164;-8.098377;-7.4612455;-7.977278;-7.552317
ZINC000103596475;-7.4609833;-7.8145657;-7.4683366;-7.4028864;-7.705118
ZINC000026112017;-7.1567183;-6.945132;-7.11469;-6.889103;-7.1335783
ZINC000014400810;-6.6878963;-6.4564986;-6.638002;-6.692534;-7.1261063
ZINC000026112574;-6.935849;-7.9287496;-7.2392364;-7.16561;-7.504808
ZINC000062825017;-6.7503624;-6.9730387;-6.801023;-7.2673197;-7.236717
ZINC000062825016;-6.6311064;-7.0653768;-7.13257;-7.0260835;-7.3079324
ZINC000067879095;-8.627609;-7.6131907;-8.118699;-7.917164;-7.795723
ZINC000223485407;-7.140876;-7.344809;-7.6518345;-7.056739;-7.5011616
ZINC000017097459;-7.5438557;-8.0961075;-7.8902354;-8.081653;-8.209752
ZINC000015013794;-5.843951;-5.927251;-5.8842397;-6.194205;-5.9912815
ZINC000017094823;-6.7602205;-7.070768;-6.4570637;-6.5346146;-6.637004
ZINC000017094826;-6.75391;-6.8614373;-6.625242;-6.682696;-6.5339713
ZINC000017094825;-6.256634;-7.0384245;-6.303675;-6.944213;-6.566732
ZINC000017094824;-6.396716;-6.643841;-6.248351;-6.2830825;-6.2502956
ZINC000019643287;-7.0375423;-7.8733172;-7.9627604;-7.9695106;-8.103401
ZINC000020142087;-6.473117;-8.492988;-7.5531063;-7.4268327;-8.204886
ZINC000013670707;-6.775468;-7.0612164;-7.0120325;-7.1929393;-7.7062416
ZINC000408654879;-8.582563;-9.249742;-8.52745;-8.330362;-9.26369
ZINC000408654892;-8.931694;-9.398416;-8.661825;-8.237743;-9.120041
ZINC000408654886;-8.7470665;-9.031036;-8.765031;-8.245043;-9.103556
ZINC000408654889;-8.820762;-9.495495;-8.9946995;-8.405207;-9.365105
ZINC000034897895;-8.002836;-7.1244583;-6.2088447;-7.030401;-6.7479677
ZINC000016163202;-6.33177;-6.4348955;-6.4530153;-6.6104126;-6.4849024
ZINC000016283007;-7.0100384;-7.240551;-7.460252;-7.861059;-6.9875846
