name;01;02;03;04;05
ZINC000009123799;-7.5400424;-7.226122;-7.1020784;-7.6770096;-6.8258247
ZINC000009123797;-7.649312;-7.3801312;-7.000199;-7.489967;-6.6486163
ZINC000013817542;-7.0281053;-7.487521;-7.1148057;-7.401974;-6.718644
ZINC000050875497;-5.622073;-5.598937;-5.4539533;-5.8480144;-5.4223175
ZINC000050875496;-5.7756577;-5.7648864;-5.6283336;-5.9751053;-5.536626
ZINC000050875498;-5.6210175;-5.565799;-5.488303;-5.938189;-5.479605
ZINC000253397959;-6.8972034;-7.103781;-6.6782885;-7.0091343;-6.661977
ZINC000040153182;-7.4542522;-7.6192994;-6.7345095;-6.7006516;-7.829878
ZINC000065097558;-9.105143;-9.128151;-8.535147;-9.249679;-9.032303
ZINC000065097548;-8.618107;-8.636958;-8.113601;-8.901661;-8.708186
ZINC000095455079;-8.359325;-8.029115;-7.9570303;-7.5682077;-7.3583784
ZINC000002970745;-7.213468;-6.6836944;-6.3714104;-6.775215;-7.129457
ZINC000239654173;-7.6784925;-7.2668633;-7.8267565;-7.763443;-7.509428
ZINC000071281972;-7.8317723;-7.2154756;-7.1117225;-7.173401;-7.09352
ZINC000008234409;-5.842369;-5.6055098;-5.476269;-5.975923;-5.577671
ZINC000012371821;-7.5229964;-8.469423;-8.686252;-7.344359;-8.013782
ZINC000003014659;-8.171533;-7.7807374;-7.3652434;-7.7153473;-7.724759
ZINC000003012505;-7.5270634;-8.354532;-7.86249;-8.4023485;-8.691111
ZINC000100937136;-6.3060017;-7.2497625;-6.5825753;-6.754127;-6.8896217
ZINC000016741003;-8.161833;-7.2679315;-7.714223;-8.182517;-6.8896627
ZINC000016741104;-7.1182013;-6.7355886;-7.386244;-7.075137;-6.4671783
ZINC000016741106;-7.3968096;-7.163149;-6.92127;-7.2579865;-6.5488567
ZINC000016741103;-7.3571405;-6.8537498;-7.057783;-7.0554266;-6.417803
ZINC000016741002;-8.117215;-7.290761;-7.689151;-8.200392;-7.175129
ZINC000016741105;-7.495659;-7.2175913;-7.2212706;-7.1375055;-6.410599
ZINC000016741001;-8.245882;-7.6442137;-7.280761;-8.154938;-7.016156
ZINC000040150542;-7.2998443;-7.1056786;-7.7030773;-7.2639728;-7.8030376
ZINC000040150543;-7.2816186;-7.039556;-7.657399;-7.2428284;-7.734224
ZINC000071281970;-7.788823;-7.301736;-7.0802426;-7.212599;-6.9673686
ZINC000252461066;-8.391667;-8.582864;-7.641735;-7.2637796;-8.449145
ZINC000252462864;-6.7979393;-7.2887483;-7.1050973;-6.6393633;-6.523917
ZINC000252462472;-8.170326;-8.254201;-8.339924;-8.592923;-8.546688
ZINC000002133289;-8.913846;-8.7656145;-8.723148;-9.477401;-9.170944
ZINC000252590330;-7.550161;-6.729124;-7.242643;-7.800892;-7.9155846
ZINC000096570038;-8.209506;-8.352853;-7.805629;-8.586756;-8.748654
ZINC000241738528;-8.429531;-8.417409;-8.236187;-8.116929;-8.335477
ZINC000195808358;-7.0477715;-7.2734613;-7.546138;-7.4325714;-7.1136184
ZINC000009581064;-7.319116;-7.02993;-7.308495;-7.348213;-6.7576036
ZINC000008876779;-7.772617;-7.752762;-7.621377;-7.935539;-7.9178104
ZINC000100005971;-8.170326;-8.254201;-8.339924;-8.592923;-8.546688
ZINC000253396311;-8.04037;-7.906464;-7.5091457;-7.3745437;-7.3491163
ZINC000026952167;-8.224524;-7.9393973;-8.293468;-8.442433;-7.667198
ZINC000027023125;-6.2509594;-7.133345;-6.977848;-7.428627;-6.8148623
ZINC000027023120;-6.0357666;-7.0178037;-7.169902;-7.1558228;-6.6183033
ZINC000003295256;-8.292154;-8.039658;-7.6647778;-8.027424;-7.7159796
ZINC000003295253;-8.423811;-7.966649;-7.685895;-8.013314;-7.532069
ZINC000101259350;-8.087215;-6.8957534;-6.4519563;-7.3006997;-7.3075457
ZINC000101259346;-7.6296453;-7.075963;-6.7507234;-7.4368567;-7.460882
ZINC000253412744;-6.342993;-7.007431;-6.555645;-7.237517;-7.1946363
ZINC000253412294;-7.541076;-7.8233676;-7.678462;-7.575076;-7.2269945
ZINC000253413105;-7.4686756;-7.5592384;-6.9066105;-7.0786343;-7.2108674
ZINC000253413634;-7.7347765;-7.846325;-7.393277;-7.5751796;-7.5668926
ZINC000253414182;-6.4344525;-6.9862604;-7.1651926;-7.182955;-7.149747
ZINC000253424783;-7.1773586;-7.266913;-7.318899;-6.9578047;-7.3860645
