name;01;02;03;04;05
ZINC000012258535;-7.645351;-7.317283;-7.94619;-8.466448;-8.004228
ZINC000012258529;-7.470997;-7.4531193;-7.6938505;-8.579619;-8.066081
ZINC000005314712;-7.2485313;-6.879863;-7.0242743;-7.513509;-7.0548897
ZINC000020454867;-7.6172967;-8.383227;-7.4021516;-7.0889425;-7.545729
ZINC000035425552;-7.5308847;-8.357669;-7.898266;-8.322723;-7.8572025
ZINC000408693512;-7.490713;-7.457713;-7.9203587;-8.053998;-8.10381
ZINC000022610137;-8.442846;-7.900439;-7.810165;-8.010356;-7.2902794
ZINC000022610141;-8.492337;-8.179669;-7.7953773;-8.2236805;-7.8483486
ZINC000217403970;-7.947806;-8.847854;-8.374139;-8.6400385;-8.82183
ZINC000073351352;-8.22053;-8.908781;-8.262676;-8.9460335;-8.076472
ZINC000022109841;-7.5100627;-6.0332446;-6.398698;-6.448739;-6.475995
ZINC000022110458;-6.9375796;-5.9795713;-6.430902;-6.1338334;-6.277089
ZINC000585262458;-7.5854473;-7.5258045;-8.079465;-7.5632706;-7.977103
ZINC000016129784;-8.145701;-7.770893;-7.819955;-8.038559;-7.8094854
ZINC000226785524;-7.621812;-6.9802346;-6.671395;-6.8298965;-7.325611
ZINC000015672264;-6.6149035;-7.481434;-7.524038;-7.737442;-7.373808
ZINC000107561188;-7.242416;-7.373735;-6.7822905;-7.851022;-7.605802
ZINC000108153486;-6.804135;-7.4405875;-6.897085;-7.510604;-7.613886
ZINC000108180747;-7.9611654;-8.796668;-7.8189893;-8.324661;-8.409779
ZINC000100234440;-7.74157;-8.247534;-8.0372095;-8.282677;-8.608248
ZINC000100234442;-7.760847;-8.095531;-7.5476847;-8.008783;-8.069321
ZINC000100234433;-7.029564;-7.912361;-7.478879;-7.6978507;-7.720515
ZINC000100234429;-7.2595973;-7.9541025;-7.7331185;-7.9349327;-8.095079
ZINC000139105302;-8.608803;-8.052966;-8.245216;-8.208548;-7.541385
ZINC000139085310;-8.796655;-8.712255;-8.655846;-8.432718;-7.690824
ZINC000139088985;-8.185209;-7.902097;-7.926347;-8.416992;-7.635357
ZINC000139086887;-8.509809;-8.128805;-8.277237;-8.261845;-7.398266
ZINC000139077699;-8.23287;-8.479956;-8.319269;-8.34611;-7.7310076
ZINC000139112498;-8.38223;-7.9060345;-7.7521086;-7.8715963;-7.7447705
ZINC000139112405;-8.42243;-7.976863;-7.7735896;-7.8900104;-7.699739
ZINC000139106522;-8.386559;-7.4778686;-7.922133;-8.150226;-7.2871733
ZINC000214261415;-6.932959;-7.4374332;-6.95657;-7.4634542;-7.5223083
ZINC000260561474;-8.866631;-8.0497265;-8.2267;-8.185756;-8.157536
ZINC000012133037;-8.076773;-7.8768682;-7.6537247;-7.708212;-7.7587624
ZINC000012133030;-7.6884775;-7.821751;-7.2553205;-7.5505123;-7.6503057
ZINC000102957842;-7.904689;-7.636521;-7.8336325;-7.9942665;-8.301207
ZINC000010008781;-7.3743057;-7.300242;-7.314094;-7.101085;-7.2436333
ZINC000013465469;-8.072432;-8.740695;-8.292762;-8.592145;-8.587387
ZINC000035311673;-8.563116;-8.425257;-9.200149;-9.440405;-9.397291
ZINC000013639698;-8.540554;-8.069938;-7.919759;-8.305295;-8.241772
ZINC000013639700;-8.540776;-8.069835;-7.9204397;-8.306365;-8.242041
ZINC000222912884;-7.522994;-8.055447;-7.3964767;-7.364252;-7.6149187
ZINC000028049097;-7.870625;-7.861958;-7.5106583;-7.207023;-7.6518435
ZINC000223000300;-6.6750546;-7.2062373;-7.2259684;-7.771317;-7.2085595
ZINC000223040430;-7.65398;-8.668764;-7.980173;-8.451006;-8.594848
ZINC000223053516;-8.22238;-8.195108;-7.9844403;-7.8550453;-7.3078074
ZINC000223054111;-8.931013;-8.290076;-8.2566185;-8.368811;-7.745128
ZINC000223053575;-8.289137;-8.443561;-8.100275;-8.130238;-7.9248395
