name;01;02;03;04;05
ZINC000048310822;-8.982389;-7.8624125;-7.9530993;-8.10131;-8.071407
ZINC000013555105;-8.757923;-9.210245;-8.771333;-9.776985;-9.21149
ZINC000006183530;-8.377094;-7.9016914;-9.031232;-8.727272;-8.844726
ZINC000006328124;-8.638944;-8.5724535;-8.711137;-8.604743;-8.62679
ZINC000036359417;-7.515853;-8.030594;-7.597889;-7.19143;-7.1139283
ZINC000036359418;-7.6500635;-7.7532463;-7.3930874;-7.4350843;-7.3966713
ZINC000021548838;-9.736914;-9.659984;-8.727771;-9.204112;-9.021722
ZINC000012275896;-9.126963;-9.631415;-9.281974;-9.7924795;-9.998684
ZINC000058161951;-7.9678564;-8.3992;-8.107201;-7.675193;-8.537771
ZINC000058161950;-7.92772;-8.4592;-8.205059;-7.701624;-8.634278
ZINC000002237686;-9.21436;-9.466781;-9.181385;-9.646643;-9.145189
ZINC000098087071;-7.302038;-6.655595;-6.516209;-6.8741446;-7.08361
ZINC000023987879;-7.117435;-7.077004;-7.108461;-7.0955415;-7.1186457
ZINC000022612123;-7.6322145;-7.8491073;-7.6757336;-7.972946;-7.6956406
ZINC000071288922;-7.230712;-7.1380305;-6.6056557;-6.6577926;-6.794831
ZINC000170609160;-7.459722;-8.24486;-8.078665;-7.4703035;-7.1235647
ZINC000065490560;-7.473586;-7.3931384;-7.408211;-7.281727;-8.028986
ZINC000250762930;-6.3731728;-6.2410913;-6.2752733;-6.016157;-6.144355
ZINC000095455058;-9.244397;-8.996562;-8.953888;-8.984486;-8.9838085
ZINC000016741178;-6.8996487;-6.4294624;-6.606701;-6.591291;-6.6189246
ZINC000016741179;-7.322132;-6.249423;-6.98186;-6.782645;-6.288331
ZINC000016741177;-7.0125256;-6.2977;-6.9400845;-6.5523987;-6.5655274
ZINC000071288920;-7.0359206;-6.7725368;-6.5157833;-6.484469;-6.457013
ZINC000022701701;-7.681127;-7.2958965;-7.458246;-7.1647477;-7.825415
ZINC000252617379;-8.020745;-7.845297;-7.3835225;-7.419294;-7.9829946
ZINC000252620387;-8.84104;-8.586368;-8.257898;-8.498709;-8.474079
ZINC000252620386;-8.986976;-8.692482;-8.245256;-8.570148;-8.38755
ZINC000100929521;-10.252735;-10.501175;-9.448261;-10.0698395;-9.122588
ZINC000218485233;-8.567905;-7.9297376;-8.617417;-8.097428;-8.514271
ZINC000100934333;-9.447383;-8.930529;-8.552466;-8.877237;-9.104616
ZINC000252635654;-10.043159;-9.965666;-9.607882;-9.704338;-9.399535
ZINC000252635656;-9.913816;-9.7984295;-9.54527;-9.539202;-9.365722
ZINC000252680088;-6.274642;-6.4618073;-6.126654;-6.040639;-6.110079
ZINC000002278175;-8.272225;-8.361229;-8.554246;-8.519368;-8.791149
ZINC000095447964;-7.889652;-7.4076076;-7.4190083;-7.0858836;-7.2104387
ZINC000018153004;-8.61246;-8.415082;-8.234879;-8.255286;-8.270434
ZINC000012541577;-8.730716;-8.858063;-8.526324;-8.808365;-8.21666
ZINC000100423269;-9.126963;-9.631415;-9.281974;-9.7924795;-9.998684
ZINC000100496370;-9.913816;-9.7984295;-9.54527;-9.539202;-9.365722
ZINC000012342662;-6.259497;-6.8909063;-7.02754;-6.9291553;-6.8618574
ZINC000253395599;-7.1629744;-7.7650757;-7.38461;-7.5245714;-7.610242
