name;01;02;03;04;05
ZINC000012718992;-8.235285;-8.444243;-7.603833;-8.100668;-8.055089
ZINC000012718992;-8.307318;-8.377992;-7.6402636;-8.145847;-8.097024
ZINC000012718992;-8.235285;-8.444243;-7.603833;-8.100668;-8.055089
ZINC000012718993;-8.276276;-8.4563675;-7.642893;-8.152239;-8.051962
ZINC000012718993;-8.17191;-8.4674;-7.4924603;-8.083523;-8.003191
ZINC000012718993;-8.276276;-8.4563675;-7.642893;-8.152239;-8.051962
ZINC000012836196;-8.102483;-8.213749;-7.114312;-7.741817;-7.2947
ZINC000012836193;-7.917588;-8.29058;-7.3382425;-7.8153863;-7.418775
ZINC000012304377;-7.8767595;-7.709894;-7.678282;-7.5913424;-7.6963015
ZINC000012304377;-8.039932;-7.724352;-7.492324;-7.8156557;-7.7645564
ZINC000012304377;-8.145346;-7.687396;-7.5467815;-7.8695383;-7.788084
ZINC000012304377;-8.039932;-7.724352;-7.492324;-7.8156557;-7.7645564
ZINC000012304379;-8.128361;-7.592225;-7.6805387;-7.6723676;-7.677377
ZINC000012304379;-8.127472;-7.7224765;-7.517504;-7.8889284;-7.7439156
ZINC000012304379;-8.029622;-7.7042274;-7.3376;-7.8431654;-7.701644
ZINC000012304379;-8.127472;-7.7224765;-7.517504;-7.8889284;-7.7439156
ZINC000014742187;-9.627846;-8.628808;-8.674534;-8.318462;-8.796754
ZINC000014742187;-8.561438;-8.323751;-8.411981;-7.94999;-8.436484
ZINC000012201029;-9.831316;-10.49017;-9.164483;-9.635156;-9.996869
ZINC000012201023;-9.220638;-10.980259;-9.1143;-10.046566;-9.536488
ZINC000012756348;-9.241618;-8.757087;-9.030992;-8.699085;-9.113209
ZINC000012756344;-9.115718;-8.751181;-8.899445;-8.661049;-9.223656
ZINC000020539447;-8.90377;-8.441255;-8.006798;-8.314998;-8.546586
ZINC000020539445;-8.953427;-8.494987;-8.1212015;-8.340878;-8.647806
ZINC000020999364;-8.276171;-8.017151;-7.5580416;-8.426244;-7.940519
ZINC000022913036;-7.8915854;-7.5277925;-7.268962;-8.473342;-8.235549
ZINC000022913036;-8.461824;-7.293373;-7.0225782;-7.93662;-7.882645
ZINC000022913036;-8.299143;-7.576807;-7.088949;-8.011461;-7.6146855
ZINC000022852409;-7.6838846;-7.5741854;-7.156052;-8.507755;-8.510098
ZINC000022852409;-8.275211;-7.3210726;-6.897364;-7.9349065;-8.140461
ZINC000022852409;-8.117335;-7.607833;-6.960937;-8.031069;-7.8832636
ZINC000022913042;-8.716898;-7.385356;-7.220449;-8.450784;-8.204334
ZINC000022913042;-8.632741;-7.3792734;-7.0611353;-7.6538043;-7.9130993
ZINC000022913042;-8.183585;-7.4450336;-7.4557476;-8.056071;-7.627142
ZINC000023338917;-8.751965;-8.233776;-8.973999;-7.945884;-8.7162
ZINC000023339482;-8.752251;-7.9054174;-7.7367635;-8.359595;-7.8637056
ZINC000023339480;-8.574546;-7.9621344;-7.6712294;-8.27694;-7.8951902
ZINC000065060067;-8.275431;-8.671883;-8.373307;-8.211343;-7.8962846
ZINC000049550283;-8.803174;-8.501785;-8.324091;-9.076254;-8.668352
ZINC000065293322;-8.899415;-8.675596;-8.328241;-8.523017;-8.8676405
ZINC000065293322;-8.426994;-8.979122;-8.109585;-8.397402;-8.782629
ZINC000065293321;-8.623751;-8.811071;-8.372978;-8.733103;-8.836983
ZINC000065293321;-8.8017845;-8.820345;-7.9161158;-8.403762;-8.711152
ZINC000012434152;-8.638762;-9.152585;-8.440803;-8.722628;-8.631023
ZINC000012434152;-8.631576;-8.85536;-8.705595;-8.635296;-8.766803
ZINC000012434153;-8.57056;-8.922663;-8.087094;-8.556125;-8.565976
ZINC000012434153;-8.514091;-8.862797;-8.451666;-8.9672165;-8.862359
ZINC000252469965;-7.991545;-8.697768;-8.160097;-8.380513;-8.573522
ZINC000252469965;-8.063855;-8.60906;-8.502094;-8.515726;-8.411421
ZINC000002205522;-9.177655;-8.678911;-8.425601;-8.656094;-8.904219
ZINC000002205522;-9.095549;-8.702021;-8.479383;-8.636884;-8.878605
ZINC000012444373;-9.074858;-8.307161;-8.638987;-8.859914;-9.376565
ZINC000002328240;-9.707728;-9.088269;-9.067114;-9.25461;-9.247097
ZINC000002328240;-9.634963;-9.095648;-9.106779;-9.222724;-9.216283
ZINC000011664465;-9.150589;-8.632724;-9.022067;-8.2447405;-8.636223
ZINC000055073868;-7.5421267;-7.9733944;-7.9164076;-7.70308;-7.701112
ZINC000055073871;-7.498535;-7.976433;-7.870883;-7.7002754;-7.755941
ZINC000008608705;-7.5345893;-7.0314145;-6.55062;-7.0045786;-7.1648097
ZINC000008608705;-7.8455987;-7.03384;-6.9290204;-7.1811385;-7.2046456
ZINC000225306027;-8.302569;-8.48219;-8.155687;-8.194486;-8.463045
ZINC000225306027;-7.3868446;-8.909264;-8.892823;-8.752146;-8.480267
ZINC000102405664;-8.603178;-8.399613;-8.282149;-8.555726;-8.28155
ZINC000002434908;-9.165836;-8.353077;-8.317319;-8.362589;-8.69324
ZINC000002434908;-9.118179;-8.352954;-8.36299;-8.328985;-8.679209
ZINC000019219447;-8.584435;-8.009075;-7.835703;-8.3643055;-8.719632
ZINC000019219447;-8.578889;-8.014629;-7.8222528;-8.351513;-8.699886
ZINC000019219447;-8.789198;-8.1984;-8.059574;-8.434003;-8.62351
ZINC000019219455;-8.736791;-8.296525;-8.047115;-8.478088;-8.656093
ZINC000019219455;-8.82901;-8.301668;-8.092224;-8.521043;-8.699801
ZINC000019219455;-8.495124;-8.1447525;-7.819591;-8.384846;-8.72419
ZINC000033048285;-8.918425;-8.980804;-8.651748;-8.229258;-8.1172695
ZINC000013879964;-8.552003;-9.54281;-8.091933;-8.843349;-8.338174
ZINC000012444371;-8.660651;-7.891614;-8.795687;-8.88105;-8.984334
ZINC000011753921;-8.561773;-9.098513;-8.742933;-8.689652;-8.875507
ZINC000023338363;-8.733538;-8.227415;-8.061345;-8.074655;-8.378202
ZINC000023338365;-8.911399;-8.396683;-8.327538;-8.406457;-8.504781
ZINC000023373102;-8.144062;-7.793168;-7.52151;-8.54343;-8.540777
ZINC000023373102;-8.689354;-7.508009;-7.314679;-7.9996243;-8.208498
ZINC000023373102;-8.521251;-7.8279657;-7.3474064;-8.051617;-7.9408054
ZINC000023373104;-8.99312;-7.6433115;-7.4646297;-8.517155;-8.500925
ZINC000023373104;-8.930973;-7.5964212;-7.3065553;-7.7204485;-8.225588
ZINC000023373104;-8.460785;-7.67915;-7.7270427;-8.082331;-7.949784
ZINC000011820396;-8.431393;-7.886192;-7.4410486;-7.620929;-7.8679094
ZINC000011820396;-8.84841;-8.535606;-7.8242517;-7.9871726;-8.511099
ZINC000011820396;-9.004593;-8.455003;-7.955413;-8.0267105;-8.517828
ZINC000011820395;-8.28594;-7.91177;-7.347781;-7.498573;-7.889957
ZINC000011820395;-8.95519;-8.430964;-7.964345;-8.016552;-8.557817
ZINC000011820395;-8.835592;-8.493234;-7.869522;-7.911458;-8.543649
ZINC000011820459;-8.831946;-8.783127;-7.1644883;-8.519541;-8.446502
ZINC000011820460;-8.430686;-8.685792;-8.727418;-8.313034;-8.678507
ZINC000011839210;-9.207748;-8.970352;-8.3667965;-8.327227;-8.545506
ZINC000011839212;-9.559309;-9.138636;-8.775673;-8.693641;-8.789163
ZINC000095423242;-8.327703;-8.148407;-8.907072;-8.056825;-8.365673
ZINC000095423242;-8.409213;-8.287839;-8.826481;-8.059363;-8.374417
ZINC000011843883;-8.239012;-9.970745;-9.377032;-8.5538025;-8.447657
ZINC000011843882;-8.036423;-9.298797;-8.827595;-8.352791;-8.083343
ZINC000095446137;-7.9344273;-8.207401;-7.7880664;-8.176507;-8.219997
ZINC000012298695;-7.562987;-7.8153048;-7.6607246;-7.7765536;-7.8919277
ZINC000012612742;-9.044843;-8.741499;-8.155653;-8.056947;-8.762883
ZINC000012298696;-7.0953364;-7.7224016;-7.2052217;-7.7806053;-7.8634386
ZINC000095458241;-8.871954;-8.964545;-8.050348;-8.803332;-8.235105
ZINC000011874003;-8.742439;-8.551891;-8.273048;-8.128082;-7.622141
ZINC000020599137;-8.069988;-8.303203;-7.9880023;-8.428253;-8.253149
ZINC000011874002;-8.517253;-9.338529;-8.520492;-8.15701;-8.195005
ZINC000020599138;-8.170271;-8.1601925;-7.9992023;-8.427398;-8.506504
ZINC000011878585;-8.221601;-8.262631;-8.415821;-7.786752;-7.6912584
ZINC000012750599;-8.419825;-7.897047;-8.315541;-7.7384577;-7.836325
ZINC000012750599;-8.466435;-8.23164;-8.1152115;-8.077382;-7.8856225
ZINC000012750604;-7.5499706;-7.96838;-8.19504;-7.7304587;-7.8706675
ZINC000012750604;-7.7524133;-8.266944;-7.954827;-8.103983;-7.9052486
ZINC000095945441;-8.8039055;-7.8887053;-8.572855;-8.862264;-9.459719
ZINC000095945441;-8.245891;-8.009674;-8.8708315;-8.663204;-9.008869
ZINC000095945439;-9.156743;-8.66895;-8.629822;-8.6843605;-9.14111
ZINC000095945439;-9.16071;-8.620955;-8.900997;-8.765069;-9.274489
ZINC000011932866;-8.903316;-8.918041;-8.891034;-9.191597;-8.558339
ZINC000011932867;-8.6668215;-8.87665;-8.772511;-9.342109;-9.010075
ZINC000095983697;-8.5791645;-8.247602;-7.7207437;-8.0913725;-7.733306
ZINC000011936134;-8.204121;-8.391515;-9.116098;-9.236083;-8.824271
ZINC000011936711;-8.545015;-8.588759;-7.885028;-8.425282;-8.347151
ZINC000011936712;-8.879662;-8.594748;-8.522761;-9.103147;-8.734495
ZINC000011954361;-7.847411;-7.4890156;-7.6371584;-7.1224875;-7.777723
ZINC000011954356;-7.8308873;-7.380872;-7.5361366;-7.0310307;-7.6197386
ZINC000020905892;-8.368948;-10.152853;-8.079975;-8.545529;-8.260922
ZINC000020905895;-8.68209;-9.736219;-8.134086;-8.487655;-8.721475
ZINC000012053017;-8.444353;-8.056226;-8.012025;-7.8745117;-8.29611
ZINC000012053014;-8.302909;-8.224115;-7.952665;-7.902684;-8.278045
ZINC000012054620;-8.213435;-8.131951;-7.766324;-8.530041;-8.463392
ZINC000012054620;-8.637487;-8.18238;-8.149493;-8.541288;-8.564852
ZINC000012054620;-8.213435;-8.131951;-7.766324;-8.530041;-8.463392
ZINC000012054617;-8.642983;-8.1936865;-8.232646;-8.549548;-8.595423
ZINC000012054617;-8.349565;-8.205376;-7.8281717;-8.598621;-8.50749
ZINC000012054617;-8.642983;-8.1936865;-8.232646;-8.549548;-8.595423
ZINC000012056999;-8.142558;-8.826552;-8.311669;-8.090485;-8.532133
ZINC000012057000;-8.291044;-7.959749;-7.8420486;-7.72461;-7.801306
ZINC000065210935;-8.914322;-9.4570675;-8.559742;-9.271745;-8.925796
ZINC000065210935;-8.732976;-9.323256;-8.497896;-9.094177;-8.744967
ZINC000012434389;-8.426473;-8.800846;-8.792569;-8.522368;-8.702915
ZINC000014534317;-9.879444;-8.908421;-8.998596;-8.320788;-8.438405
ZINC000014542764;-8.607994;-9.205487;-9.160166;-8.756201;-8.733981
ZINC000014742186;-9.658314;-8.677866;-8.497242;-8.374025;-8.796824
ZINC000014742186;-8.628668;-8.51318;-8.253452;-8.129001;-8.628543
ZINC000230251632;-8.770697;-8.823097;-9.223721;-9.13962;-9.145431
ZINC000230251632;-9.0074835;-9.248047;-9.202845;-9.348293;-9.092865
ZINC000230251643;-8.863017;-8.609215;-9.252322;-8.637265;-9.347672
ZINC000230251643;-9.272078;-8.525577;-9.084687;-9.269109;-9.580035
ZINC000014747068;-9.053032;-8.642681;-9.093115;-8.277666;-8.355545
ZINC000014746575;-9.262564;-9.23552;-8.714092;-8.076963;-8.430359
ZINC000057948782;-8.5784;-9.202099;-8.516829;-8.642962;-8.591045
ZINC000014753906;-9.2667465;-8.940251;-9.1910715;-8.409201;-8.4514675
ZINC000014753906;-9.25786;-8.775541;-9.067017;-8.32387;-8.302978
ZINC000014753906;-8.873902;-9.149107;-9.115981;-8.780617;-8.674995
ZINC000014753904;-9.351309;-9.031826;-8.802223;-8.005754;-8.193779
ZINC000014753904;-9.214456;-8.896047;-9.293978;-8.457258;-8.423651
ZINC000014753904;-8.983531;-9.284987;-9.026459;-8.757277;-8.717525
ZINC000012718382;-8.504464;-8.349468;-8.061877;-7.887659;-7.998411
ZINC000012718381;-8.608832;-8.429543;-8.3514595;-8.048249;-8.232738
ZINC000012704569;-8.5281925;-7.9723396;-7.917948;-8.089155;-8.253784
ZINC000012594093;-8.42823;-7.954556;-8.265541;-8.237201;-8.13555
ZINC000012585069;-8.478589;-8.3450575;-8.745651;-8.597372;-8.119001
ZINC000012704576;-8.404884;-7.9242077;-7.6488256;-7.957608;-8.011694
ZINC000012585077;-8.083796;-8.127457;-7.4044228;-7.696371;-7.920261
ZINC000012594099;-8.371458;-8.0654955;-6.812238;-7.561202;-7.688838
ZINC000012432579;-8.198397;-9.165782;-8.383948;-8.675055;-8.596423
ZINC000012708823;-8.031492;-8.004377;-8.201055;-8.09661;-7.577914
ZINC000012708815;-8.372928;-8.608273;-9.272469;-8.350688;-8.105137
ZINC000012432580;-7.995549;-8.389135;-7.8989425;-8.3832445;-8.06299
ZINC000012588355;-8.043801;-7.5681705;-7.676476;-7.8906245;-8.105394
ZINC000012594102;-8.326365;-7.9682126;-7.888262;-7.548273;-7.797422
ZINC000012594098;-8.4317875;-8.016452;-8.105702;-7.68659;-8.051108
ZINC000012588360;-7.515746;-7.5598536;-7.2746115;-7.77522;-8.055991
ZINC000014961398;-8.517422;-8.340402;-8.164449;-9.256802;-8.347026
ZINC000014961393;-8.059764;-8.229171;-7.7586412;-7.8544483;-8.198784
ZINC000014990946;-10.490515;-10.629449;-9.360507;-9.726797;-9.529041
ZINC000014990946;-9.095246;-10.056707;-9.089157;-9.33749;-9.911192
ZINC000014990943;-9.549738;-9.954319;-9.045648;-9.186086;-9.879099
ZINC000014990943;-10.39263;-10.711503;-9.491073;-9.798001;-9.461642
ZINC000014991900;-7.6864924;-8.158776;-8.245508;-7.4748163;-7.8471303
ZINC000012456961;-7.4693794;-5.7613187;-6.6878586;-6.373548;-6.910391
ZINC000012456959;-7.949523;-6.2247353;-7.2055535;-6.536217;-7.2268705
ZINC000015064653;-9.26387;-10.331514;-9.256198;-9.89255;-9.047095
