name;01;02;03;04;05
ZINC000022735785;-8.134688;-8.402311;-7.8798757;-8.958597;-8.348994
ZINC000022735855;-9.180428;-8.541646;-7.847105;-8.632769;-8.607782
ZINC000022735852;-8.524473;-8.482323;-8.333341;-8.937304;-8.653407
ZINC000022735782;-8.697101;-8.332912;-7.893722;-8.92544;-8.341742
ZINC000012433486;-8.153549;-7.9311;-7.7062926;-7.695485;-7.7850394
ZINC000048262205;-7.802582;-7.6304946;-7.6310687;-7.3383746;-7.7464705
ZINC000048356387;-8.458371;-8.145157;-8.171017;-8.618021;-8.417688
ZINC000048356388;-8.447889;-8.210758;-8.118747;-8.526199;-8.387529
ZINC000009135738;-8.340726;-8.388491;-8.150763;-8.26442;-8.442406
ZINC000009135737;-8.387894;-8.386028;-8.029387;-8.225729;-8.228754
ZINC000022664988;-8.587506;-9.29101;-8.500043;-8.591371;-8.362412
ZINC000022664993;-9.277737;-9.162715;-8.112073;-8.745638;-8.455629
ZINC000049421002;-8.425146;-8.724412;-8.351135;-8.220627;-8.003428
ZINC000049421001;-8.862881;-8.247292;-8.114563;-8.109244;-7.82148
ZINC000065211546;-7.1698446;-7.6170197;-7.265916;-8.068171;-7.7425375
ZINC000009135437;-8.416775;-8.159113;-7.8576064;-8.310349;-8.145701
ZINC000065273109;-8.73591;-8.296543;-8.038317;-8.274685;-8.108829
ZINC000065273108;-8.825154;-8.356174;-8.143745;-8.345257;-8.135641
ZINC000002965896;-6.3707423;-6.6805925;-6.533645;-6.605261;-6.5495105
ZINC000002965900;-6.7427344;-6.8753686;-6.6119647;-7.321481;-7.089279
ZINC000002965897;-6.642611;-7.256605;-6.3239503;-6.654951;-7.0111623
ZINC000002965901;-6.7068334;-7.659829;-6.603312;-6.985483;-7.273929
ZINC000016914805;-7.0584955;-6.9385037;-7.895672;-7.4138646;-7.431341
ZINC000016914810;-7.8751817;-6.8472357;-7.455758;-7.060023;-7.69928
ZINC000022418635;-7.683614;-7.359094;-8.07138;-8.037133;-7.3463755
ZINC000022418638;-7.855491;-7.649768;-8.077707;-8.287964;-7.7617106
ZINC000022589520;-8.545258;-8.256545;-8.172544;-8.588005;-8.191803
ZINC000022589526;-8.740405;-8.466982;-8.113982;-8.494274;-7.985727
ZINC000008819515;-7.671483;-7.1162744;-7.1545916;-7.1229463;-7.443602
ZINC000009138088;-8.868855;-8.78541;-8.567215;-8.868081;-9.162317
ZINC000009138090;-8.831889;-8.827367;-8.627784;-8.977294;-9.121398
ZINC000009165278;-8.692938;-8.222893;-8.54927;-8.362984;-8.819004
ZINC000009135436;-8.4989;-8.1272;-7.6706977;-8.217453;-8.128879
ZINC000009135667;-8.867814;-7.6642957;-8.361205;-7.8988047;-8.265941
ZINC000009135527;-8.636799;-7.5285897;-7.8822103;-7.7112117;-8.133799
ZINC000009135570;-8.324453;-7.7374606;-8.024951;-7.4079933;-7.74273
ZINC000012644808;-7.431788;-8.340241;-7.7356915;-7.4967127;-8.134623
ZINC000022589082;-7.952958;-8.158363;-7.0690117;-7.993442;-8.097775
ZINC000022418614;-7.863244;-8.668716;-8.025347;-8.151244;-7.9360094
ZINC000009060005;-7.838221;-8.204062;-7.9543757;-7.409808;-7.868738
ZINC000604403897;-8.410421;-7.969146;-8.346791;-8.292934;-8.622193
ZINC000022589076;-7.949817;-8.248309;-7.628299;-7.862377;-8.010432
ZINC000022418612;-8.000801;-8.597833;-7.8397136;-8.205505;-8.062378
ZINC000022734860;-8.447799;-8.990611;-7.924896;-8.711112;-8.413397
ZINC000022734863;-8.050584;-8.917703;-8.333782;-8.665936;-8.440935
ZINC000006900300;-7.3558426;-7.043657;-7.6125646;-7.126603;-7.1882563
ZINC000002350375;-7.3842516;-7.2745256;-7.2588854;-6.619452;-7.103348
ZINC000100095591;-9.586614;-10.0501795;-9.31085;-9.552387;-10.164282
ZINC000009135494;-9.162829;-7.9731536;-8.371959;-8.026691;-8.411748
ZINC000009135499;-8.223103;-7.6835575;-8.059339;-7.736652;-8.2104
ZINC000009135493;-9.431707;-8.154138;-8.348632;-7.8588;-8.5418215
ZINC000013007865;-9.688557;-8.285026;-8.269959;-8.197876;-8.710268
ZINC000013008055;-9.237502;-7.7298;-8.350836;-8.230917;-8.588314
ZINC000013008034;-9.18949;-8.680364;-8.463811;-8.460089;-8.855592
ZINC000013008053;-9.3358;-7.850229;-8.251431;-8.270297;-8.587203
ZINC000013008101;-9.046034;-8.563044;-8.212128;-8.357249;-8.654902
ZINC000013007848;-9.6883135;-8.998332;-9.0355215;-9.127523;-9.170204
ZINC000013007871;-8.593664;-7.72353;-8.077105;-7.931683;-8.515133
ZINC000013007966;-8.907107;-7.892011;-8.037638;-7.8026547;-8.079893
ZINC000013007915;-9.047982;-7.5966406;-7.9552836;-8.021952;-8.476654
ZINC000013007866;-9.5835705;-8.051239;-8.399523;-8.150972;-8.756737
ZINC000013007868;-8.723376;-7.945098;-7.9390697;-7.945697;-8.446796
ZINC000013007850;-9.678868;-8.89214;-9.094219;-9.079197;-9.252213
ZINC000013007913;-9.12584;-7.7180414;-7.890861;-8.066559;-8.433314
ZINC000013008037;-9.124319;-8.417797;-8.671598;-8.463528;-8.872641
ZINC000013007968;-8.802716;-7.791794;-8.072216;-7.692257;-8.072426
ZINC000013008104;-8.812729;-8.315051;-8.249714;-8.299603;-8.70392
ZINC000009252062;-6.9028006;-7.0692477;-7.950079;-7.351622;-7.9151444
ZINC000013894844;-8.644038;-7.7520223;-8.12462;-8.2065115;-8.010156
ZINC000004330820;-9.5862;-8.945684;-8.879483;-8.930488;-9.160548
ZINC000004330828;-9.648108;-8.904817;-9.143473;-8.931324;-9.221771
