name;01;02;03;04;05
ZINC000409203549;-8.314772;-8.048222;-7.935852;-7.8833;-7.996166
ZINC000409209443;-8.619989;-8.214076;-8.371704;-8.321311;-8.742718
ZINC000034720873;-7.797603;-7.9733763;-7.780488;-8.334435;-8.409722
ZINC000409219623;-10.216075;-10.473198;-10.116671;-9.583874;-10.45588
ZINC000409225286;-9.74194;-9.44179;-9.3602495;-9.816328;-9.869897
ZINC000409226212;-9.824863;-9.488766;-9.514602;-9.856725;-10.256889
ZINC000015879923;-8.513691;-8.462057;-7.5166883;-8.325806;-8.147749
ZINC000409300033;-8.555185;-8.493262;-8.233602;-8.350232;-8.607191
ZINC000409308396;-6.907499;-6.4629846;-7.173075;-7.13114;-6.8873234
ZINC000409307193;-7.634784;-7.476507;-6.916415;-7.357825;-7.460397
ZINC000409328982;-6.015485;-5.9840484;-5.7963915;-6.1128736;-6.249858
ZINC000101317013;-6.4950085;-7.515166;-6.7942414;-6.907344;-7.023532
ZINC000101317011;-6.8171215;-7.242868;-7.1075487;-7.0009427;-6.8221264
ZINC000409340853;-7.9846034;-8.489686;-7.913215;-7.777066;-7.7350664
ZINC000409340856;-7.651254;-8.22348;-7.810226;-7.90717;-7.82269
ZINC000409335139;-6.6709547;-6.2302504;-6.1747446;-6.428623;-6.4089556
ZINC000409362708;-7.083196;-7.421693;-7.103969;-7.2780175;-7.3523865
ZINC000409362704;-6.676669;-7.4409914;-7.130649;-7.1320605;-7.174402
ZINC000409356562;-7.4383655;-7.969157;-7.440526;-7.4204073;-7.431553
ZINC000409356560;-7.3724723;-7.8338823;-7.4863544;-7.5599303;-7.570796
ZINC000409359483;-7.388374;-8.068407;-7.655191;-7.6125684;-7.872075
ZINC000409359480;-7.468384;-8.094796;-7.6014137;-7.5386415;-7.850252
ZINC000409360473;-7.0203333;-7.789498;-8.094376;-8.137365;-7.401553
ZINC000409374109;-6.6634765;-6.078513;-5.9543543;-5.88361;-5.878353
ZINC000408691995;-7.5448346;-7.056998;-7.0712132;-6.9121847;-7.4262514
ZINC000408692458;-7.0143223;-6.8156834;-7.0689964;-6.6963;-7.255164
ZINC000409410177;-7.5527616;-7.596169;-7.367399;-7.5212417;-7.4784513
ZINC000409410176;-7.8100014;-7.572414;-7.5078106;-7.9494457;-7.670265
ZINC000409404101;-7.451831;-7.216802;-6.9680166;-7.225909;-7.5439878
ZINC000409416090;-8.061965;-8.300033;-7.4173064;-7.713308;-7.622554
ZINC000100260664;-9.353384;-9.230755;-8.959273;-9.294499;-9.655401
ZINC000100530599;-8.016648;-8.048717;-7.9877853;-8.47559;-8.647779
ZINC000408721333;-9.741201;-8.943618;-9.445505;-9.344963;-9.497713
ZINC000408721254;-9.17387;-8.172686;-8.749944;-8.528683;-8.873855
ZINC000408731745;-7.327651;-7.1796083;-6.3917723;-6.9865885;-6.8673987
ZINC000008665753;-7.692336;-7.094063;-7.736192;-7.859703;-8.380671
ZINC000408734728;-8.896312;-8.4372425;-8.488272;-9.580748;-8.486115
ZINC000223479525;-8.218754;-8.65382;-8.0143795;-8.018361;-8.371465
ZINC000008856212;-10.29622;-10.235343;-9.824895;-10.579944;-10.115872
ZINC000585292747;-7.7094455;-7.9171352;-7.7110524;-8.033949;-7.7063575
ZINC000008872821;-9.714761;-9.691502;-9.1579485;-9.987538;-9.800102
ZINC000585292748;-7.556474;-8.354615;-8.224246;-8.501624;-8.298738
ZINC000408748699;-8.348742;-7.869929;-7.5296383;-8.246828;-8.371836
