name;01;02;03;04;05
ZINC001164863392;-7.1551824;-6.209199;-7.1661253;-6.299375;-6.6290383
ZINC001164958190;-7.8219037;-8.793507;-8.555979;-8.89555;-7.9719405
ZINC001164963188;-7.780238;-7.508713;-7.333989;-7.7551146;-7.1782207
ZINC001164868440;-8.033026;-8.126495;-8.162444;-7.282114;-8.242949
ZINC001164868438;-8.232668;-7.707242;-7.6008925;-7.5733595;-8.100594
ZINC001164868442;-8.008088;-7.6999245;-7.5808597;-7.899482;-8.181354
ZINC001164868441;-7.891337;-7.82838;-7.476944;-7.7964964;-8.164081
ZINC001164866587;-7.4461365;-7.5961294;-7.109599;-7.4604387;-8.232708
ZINC001164866589;-7.983538;-7.785338;-7.440774;-7.6972613;-8.475253
ZINC001164866586;-7.668092;-7.6576333;-6.9950366;-7.272088;-8.027819
ZINC001164866588;-7.936485;-8.120205;-7.9173255;-7.756965;-8.461158
ZINC001164967796;-7.4833302;-7.1476617;-6.891019;-6.0893183;-6.952482
ZINC001164967796;-7.2607093;-6.964616;-7.0611796;-6.025133;-6.9293113
ZINC001164812268;-7.0922823;-7.0106964;-7.2014236;-6.6164265;-7.231158
ZINC001164812271;-7.068108;-7.027505;-6.971863;-6.7296085;-7.2367144
ZINC001164812266;-7.4793186;-6.999949;-7.209216;-6.348767;-7.400635
ZINC001164812273;-7.05616;-7.1267366;-7.4306006;-6.5849867;-7.459698
ZINC001164808459;-7.6294894;-7.2148457;-6.435214;-6.795806;-7.012509
ZINC001164808457;-7.2843657;-7.2524605;-6.659546;-6.8722105;-7.278556
ZINC001164808458;-7.786065;-7.3625226;-7.1169643;-6.7860937;-7.6060944
ZINC001164808460;-7.4862947;-6.958726;-6.7861896;-6.3960285;-7.36246
ZINC001164979165;-7.8500657;-7.3332205;-7.849345;-7.820965;-7.751828
ZINC001164979160;-8.511739;-7.6506443;-7.932203;-7.636984;-8.156125
ZINC001164979167;-8.236091;-7.2342596;-7.647402;-7.6303263;-8.022626
ZINC001164979163;-7.773059;-6.6937823;-6.883085;-7.803267;-7.2644978
ZINC001164976427;-8.751566;-7.7028675;-8.102133;-7.871971;-8.001108
ZINC001164976430;-7.9337435;-6.8956943;-7.784498;-7.7025037;-7.6802044
ZINC001164976432;-8.76995;-7.033552;-7.9688354;-7.7185125;-7.8911757
ZINC001164976428;-7.785177;-7.145496;-7.2343335;-8.069567;-7.581588
ZINC001164976290;-7.5944123;-7.534733;-6.862277;-8.012203;-7.212737
ZINC001164976294;-7.333182;-8.393951;-7.231972;-7.7589746;-7.544595
ZINC001164976302;-7.9793453;-8.038438;-7.4732203;-7.959972;-7.475236
ZINC001164976298;-7.5374794;-8.4600115;-7.4748516;-7.7629094;-7.626964
ZINC001164865780;-9.059308;-8.415861;-8.534429;-8.010666;-9.133383
ZINC001164865779;-9.048176;-7.9042077;-8.170815;-8.207876;-8.872903
ZINC001164865781;-8.790754;-8.161972;-8.263325;-8.307855;-9.017177
ZINC001164865778;-8.818286;-8.883963;-9.385283;-8.199458;-8.952546
ZINC001164972798;-8.931204;-9.043895;-8.7358055;-8.542728;-8.631901
ZINC001164972794;-8.284591;-8.294697;-8.878941;-8.38613;-8.605719
ZINC001164972777;-8.512854;-8.616995;-8.381821;-8.340581;-8.308281
ZINC001164972790;-8.622363;-8.647619;-8.664106;-8.38126;-8.68187
ZINC001164711191;-8.321246;-8.358578;-8.615904;-7.4767;-8.345006
ZINC001164711194;-8.174154;-8.5534725;-8.824659;-7.5174036;-7.9670787
ZINC001164711649;-8.064482;-8.769678;-8.556403;-7.630481;-7.6254683
ZINC001164711653;-7.8463173;-8.284177;-7.409852;-7.5608873;-7.767529
ZINC001164710791;-8.548569;-7.658917;-8.456353;-7.5865765;-8.14378
ZINC001164710832;-7.8203115;-8.027658;-6.541128;-6.881382;-7.7494392
ZINC001164710833;-8.112115;-8.469938;-8.464344;-7.3067923;-7.727081
ZINC001164710790;-8.307487;-8.222703;-8.23739;-7.78045;-7.7380943
ZINC001164768989;-8.672941;-8.757886;-8.089002;-8.811792;-9.235994
ZINC001164771388;-6.9774923;-7.858694;-6.903893;-7.047586;-7.388126
ZINC001164768984;-8.853036;-8.250659;-8.104486;-8.000898;-8.49907
ZINC001164768994;-8.786236;-7.951087;-7.8852763;-7.820427;-8.455797
ZINC001164771386;-7.6061363;-8.477466;-7.677825;-7.6927733;-7.043356
ZINC001164768991;-8.64101;-8.796444;-8.083638;-8.744007;-9.147287
ZINC001164771389;-7.928843;-7.276451;-7.150436;-7.466996;-6.9749866
ZINC001164771387;-7.7570615;-8.398741;-7.339445;-7.5725775;-7.255561
ZINC001164816729;-7.8217497;-8.491817;-8.003641;-7.504477;-8.6144905
ZINC001164816730;-7.916164;-8.620452;-7.969232;-7.5139227;-8.553989
ZINC001164816732;-8.051487;-7.9198847;-7.6128;-7.3297033;-8.016967
ZINC001164816731;-7.9990053;-7.8117256;-7.609451;-7.3218064;-8.010487
ZINC001164869722;-8.954305;-9.639113;-9.173144;-9.313057;-9.737316
ZINC001164869717;-9.710979;-9.898433;-9.676651;-9.211799;-9.516267
ZINC001164869723;-9.161755;-9.797438;-9.028368;-9.117137;-9.678015
ZINC001164869720;-9.317814;-9.642;-8.910858;-9.060136;-9.615738
ZINC001164820100;-8.106724;-8.044804;-7.5258493;-6.9818044;-7.3663087
ZINC001164820115;-8.099152;-7.3391123;-7.2729235;-6.927676;-7.249853
ZINC001164820112;-8.296485;-8.034521;-7.487529;-6.8609176;-7.3034616
