name;01;02;03;04;05
ZINC000012701468;-8.634165;-8.409759;-7.676991;-7.9918847;-7.8309665
ZINC000012191702;-8.89588;-9.126261;-8.631056;-9.558636;-9.003474
ZINC000012701474;-8.157573;-8.261149;-7.823033;-8.041786;-7.889546
ZINC000020271019;-7.836755;-8.842439;-8.561864;-8.38525;-8.399288
ZINC000020535793;-8.253285;-7.88197;-7.3933973;-8.310815;-8.181468
ZINC000020535790;-7.5440164;-8.078121;-7.3462834;-8.331057;-8.142734
ZINC000020351447;-8.493066;-8.705016;-8.922636;-8.759687;-8.857135
ZINC000035422002;-9.303213;-9.820524;-9.669975;-9.080876;-8.801707
ZINC000015961448;-8.222228;-7.796124;-7.57727;-7.77651;-7.762718
ZINC000012190252;-9.526562;-9.234591;-9.110031;-8.705577;-9.139306
ZINC000020455125;-8.760413;-8.6340275;-8.1549835;-8.307273;-8.55288
ZINC000012190253;-8.819111;-9.187317;-8.863931;-8.738926;-8.679998
ZINC000020454736;-7.7589006;-7.7710133;-8.160369;-8.062456;-7.9090223
ZINC000020454734;-8.477699;-7.8024464;-8.211429;-8.053513;-7.806702
ZINC000020455122;-8.815916;-8.776651;-8.232345;-8.498093;-8.676131
ZINC000022918877;-8.423859;-8.365446;-8.811976;-8.916728;-8.84474
ZINC000022919453;-9.31714;-8.943163;-8.495735;-8.838409;-8.677023
ZINC000022919458;-9.394853;-8.735976;-8.203175;-8.765026;-8.600087
ZINC000012592296;-9.619017;-9.838264;-8.310798;-8.729065;-9.053423
ZINC000012575330;-9.16738;-9.639362;-8.216406;-8.9200535;-9.04657
ZINC000012474758;-9.537372;-9.749024;-8.756957;-8.731387;-8.767415
ZINC000012314177;-8.342215;-8.268172;-9.086903;-7.972621;-8.429933
ZINC000023145865;-9.609803;-8.754164;-9.195547;-9.029585;-9.121304
ZINC000012467233;-8.758441;-8.616421;-8.141018;-8.284093;-8.79537
ZINC000012467239;-8.447354;-8.69665;-8.056743;-8.224804;-8.8053875
ZINC000012385854;-8.246466;-8.460251;-7.551396;-7.380959;-7.6049337
ZINC000012441962;-8.238316;-7.6452994;-7.6307774;-7.214346;-7.0949883
ZINC000012708788;-8.444481;-8.127001;-7.8660417;-8.318241;-8.453719
ZINC000012708777;-8.681879;-8.130522;-8.096571;-8.337285;-8.486036
ZINC000012385853;-8.278155;-8.55629;-7.7392235;-7.378848;-7.7240624
ZINC000012441965;-7.5287848;-7.28646;-7.5188055;-7.1774807;-7.107809
ZINC000012318479;-8.670973;-9.36947;-8.340186;-8.398272;-8.085394
ZINC000012318478;-8.90844;-9.471526;-8.183231;-8.4779215;-7.9551725
ZINC000012192845;-8.538713;-8.153088;-7.8890257;-7.945204;-8.19693
ZINC000012305376;-8.10089;-8.054611;-7.4977064;-8.035905;-8.247495
ZINC000012305375;-8.170333;-8.154163;-7.6362133;-8.08204;-8.352093
ZINC000012192835;-8.698704;-8.07898;-8.013922;-7.944439;-8.258607
ZINC000012453589;-8.606773;-8.189793;-7.993023;-8.030683;-7.65907
ZINC000012453591;-8.054369;-7.9363503;-7.865936;-8.00146;-7.679637
ZINC000020782536;-8.581232;-8.114962;-7.997753;-8.576642;-8.091836
ZINC000012298800;-7.235821;-7.9332857;-7.6046286;-7.74576;-7.369895
ZINC000012298799;-8.037234;-8.131366;-7.6984825;-7.765808;-7.3914523
ZINC000020782532;-8.819421;-8.172227;-7.7349167;-8.732358;-8.029135
ZINC000023338119;-8.172721;-8.496645;-7.835491;-8.081104;-7.957287
ZINC000023338117;-8.221087;-8.549016;-7.6011405;-7.979496;-7.7040462
ZINC000023352482;-9.228327;-9.23609;-9.679195;-9.04685;-9.214605
ZINC000023354108;-9.511467;-9.095559;-10.026048;-9.27192;-9.501294
ZINC000023358148;-7.979747;-8.338331;-7.788368;-7.9167414;-8.145044
ZINC000023358146;-8.113543;-8.207087;-7.8330865;-7.8740683;-8.074639
ZINC000023359732;-7.8630686;-8.084426;-7.6889696;-8.097488;-7.919654
