name;01;02;03;04;05
ZINC001165054127;-8.603535;-9.190935;-8.558164;-8.223781;-7.7802324
ZINC001165054126;-9.190027;-9.88727;-8.547287;-8.031129;-8.023065
ZINC001164617899;-8.404971;-8.4341755;-8.014968;-8.896914;-8.66903
ZINC001164617904;-7.9339814;-9.179902;-7.9693766;-8.957429;-8.627825
ZINC001164617903;-8.638346;-8.235935;-7.646608;-8.199549;-8.556383
ZINC001164618173;-8.77271;-8.649376;-8.339876;-8.064613;-8.265277
ZINC001164952921;-9.733887;-9.951748;-10.350258;-9.853539;-9.946104
ZINC001164614743;-8.18711;-9.05191;-8.186691;-8.410349;-9.033035
ZINC001164614740;-8.194199;-8.8642025;-7.7267065;-8.052033;-8.468316
ZINC001164614735;-7.935074;-8.367296;-8.56664;-8.610575;-8.6443615
ZINC001164614732;-8.758383;-8.404338;-8.225791;-8.622827;-9.112356
ZINC001164960614;-8.808765;-8.470839;-8.286029;-9.267233;-8.637545
ZINC001164960613;-8.5646515;-8.98332;-8.943693;-9.199177;-8.476943
ZINC001164960615;-8.487249;-8.076962;-8.1456995;-9.442202;-8.622841
ZINC001164960616;-8.890157;-8.9280405;-8.869255;-9.420057;-8.562713
ZINC001164617991;-6.5996723;-6.3905864;-6.424534;-6.839311;-7.12703
ZINC001164763820;-8.168659;-8.921124;-8.650676;-8.866426;-8.616771
ZINC001164758635;-8.946609;-9.05265;-9.802456;-9.367269;-9.12986
ZINC001164961485;-8.151951;-7.058639;-7.5532475;-7.4331813;-7.1516237
ZINC001164966929;-8.031373;-8.20028;-7.6485977;-7.1889143;-7.8944416
ZINC001164966929;-8.328627;-8.068556;-7.587181;-7.7261715;-7.879491
ZINC001164713812;-8.771802;-9.493367;-8.649866;-9.516587;-9.71852
ZINC001164715349;-8.527744;-9.716904;-8.753359;-9.264796;-9.634296
ZINC001164714956;-8.434397;-9.653786;-9.373063;-9.458593;-9.574459
ZINC001164713809;-9.252635;-9.782217;-8.941088;-10.2018;-9.888124
ZINC001164712720;-8.2352085;-8.144007;-7.6018124;-7.24935;-8.035815
ZINC001164712718;-8.370893;-8.830905;-8.512681;-7.5322275;-8.190776
ZINC001164710321;-8.074967;-8.686103;-8.592793;-7.828603;-7.807685
ZINC001164710321;-8.256128;-8.252101;-7.8742285;-7.4055443;-7.7826023
ZINC001164710321;-8.155734;-8.510164;-8.46358;-7.6677938;-7.906738
ZINC001164710323;-8.201192;-8.521932;-7.487075;-7.2744236;-7.5718875
ZINC001164710323;-8.482983;-8.558632;-8.222851;-7.6605163;-7.555623
ZINC001164710323;-8.116402;-8.442023;-7.260583;-7.192362;-7.604252
ZINC001164864580;-8.928044;-9.085204;-8.984735;-8.780877;-8.957917
ZINC001164864580;-8.853555;-8.589173;-8.3973675;-8.412542;-9.0465975
ZINC001164864578;-8.838939;-9.307659;-9.085097;-8.748155;-8.892294
ZINC001164864578;-8.771286;-9.024775;-8.471765;-8.587166;-9.18973
ZINC001164864582;-8.403342;-9.185743;-8.518711;-8.516222;-9.233424
ZINC001164864582;-8.856524;-9.193743;-9.012272;-8.69773;-8.873709
ZINC001164864576;-8.75763;-8.84035;-8.439362;-8.558084;-8.891001
ZINC001164864576;-8.79164;-8.405373;-8.578708;-8.412525;-8.998756
ZINC001164769927;-9.142582;-9.243925;-8.351567;-8.788918;-9.041557
ZINC001164769927;-9.154368;-9.644258;-8.850281;-9.12151;-9.379961
ZINC001164769927;-9.117704;-9.6422825;-8.8712225;-9.14443;-9.364927
ZINC001164769924;-9.506152;-9.174943;-8.6782055;-9.190346;-9.108779
ZINC001164769924;-9.23977;-9.125981;-8.953007;-9.317652;-9.26813
ZINC001164769924;-9.218464;-9.116067;-8.914361;-9.268211;-9.27405
ZINC001164769926;-8.452805;-9.434242;-9.069978;-8.598804;-8.560199
ZINC001164769926;-8.204866;-9.425736;-9.160095;-8.561854;-8.706129
ZINC001164769926;-8.465061;-9.548723;-9.109993;-8.623349;-8.69314
ZINC001164814396;-8.692923;-8.606534;-8.371586;-7.6686125;-7.981024
ZINC001164814396;-8.755718;-8.692911;-8.643044;-7.879464;-8.225578
ZINC001164814396;-8.463069;-8.173266;-8.90313;-7.9969583;-7.8319817
ZINC001164814396;-8.72222;-8.085222;-8.554705;-7.854021;-7.7299495
ZINC001164814398;-8.532514;-8.2460575;-8.4190445;-7.575637;-7.6749086
ZINC001164814398;-9.022622;-8.731364;-8.3392515;-8.312892;-8.26389
ZINC001164814398;-9.095422;-8.910151;-8.940157;-8.280375;-8.259983
ZINC001164814398;-9.022622;-8.731364;-8.3392515;-8.312892;-8.26389
ZINC001164814400;-8.475715;-8.600946;-8.259922;-8.346163;-8.427574
ZINC001164814400;-8.097494;-8.258977;-8.659346;-8.028903;-8.279423
ZINC001164814400;-8.609051;-8.606697;-8.698299;-8.317208;-7.942553
ZINC001164814400;-8.576962;-8.583565;-7.984273;-7.971996;-8.0212
ZINC001164769925;-8.9397545;-8.440429;-8.795454;-8.339109;-8.34606
