name;01;02;03;04;05
ZINC001165054127;-8.290347;-9.008388;-8.542432;-8.36446;-8.165499
ZINC001165054126;-8.403869;-9.152568;-8.276241;-8.198106;-7.988968
ZINC001164952921;-9.960727;-9.881183;-10.192312;-9.843303;-9.984205
ZINC001164616351;-7.0139294;-7.0245533;-7.040186;-7.443129;-7.0754604
ZINC001164761465;-9.52167;-9.576284;-8.470729;-8.289119;-9.039859
ZINC001164761469;-9.400181;-9.473113;-8.644719;-8.307056;-9.074783
ZINC001164761477;-9.557731;-9.550067;-8.516017;-8.183639;-9.164828
ZINC001164761473;-9.772834;-9.732961;-8.537039;-8.414502;-9.145495
ZINC001164763721;-8.603826;-9.140976;-9.02409;-9.551711;-9.169278
ZINC001164759457;-10.00487;-9.978622;-9.7801695;-9.857185;-10.044666
ZINC001164961485;-8.343759;-7.08662;-7.417374;-7.3124657;-7.357769
ZINC001164965268;-8.910854;-9.382274;-8.369747;-9.189233;-9.229732
ZINC001164968184;-9.547221;-9.094466;-8.760958;-9.027455;-8.870386
ZINC001164975236;-9.383216;-9.700303;-8.486099;-8.773998;-9.034525
ZINC001164975234;-9.681396;-10.019559;-8.598163;-9.113931;-9.102076
ZINC001164712720;-8.541381;-8.361134;-8.331356;-7.3452864;-7.6910577
ZINC001164712718;-8.416121;-8.22514;-8.159203;-7.4550033;-8.1347275
ZINC001164710321;-8.215554;-8.41273;-8.115568;-7.57224;-7.7759614
ZINC001164710323;-8.367176;-8.680419;-8.429963;-7.751159;-7.525091
ZINC001164985734;-9.025441;-8.443771;-7.7534394;-8.473694;-8.503429
ZINC001164985727;-8.307777;-7.8387856;-7.741063;-8.103029;-8.207153
ZINC001164985730;-8.162305;-7.9743323;-8.05609;-7.567072;-8.676914
ZINC001164985737;-8.860307;-8.658106;-7.8218565;-8.413398;-8.840827
ZINC001164769927;-9.500977;-9.403542;-8.530834;-9.049158;-9.045918
ZINC001164769924;-8.640729;-8.850041;-8.129876;-8.27281;-9.195569
ZINC001164769926;-9.245831;-8.862892;-8.896139;-8.397711;-8.2619915
ZINC001164769925;-9.304377;-9.183626;-9.091846;-8.689597;-8.509912
ZINC001164980559;-8.114287;-7.704489;-8.182342;-8.014488;-8.172149
ZINC001164980561;-7.9625683;-7.5191965;-7.7827163;-7.8946934;-7.648034
ZINC001164980565;-8.064824;-7.9583187;-7.8788724;-7.884182;-7.7058873
ZINC001164980563;-7.8250427;-7.7027993;-8.175069;-7.5914936;-7.8574667
ZINC001164711737;-8.96406;-9.060757;-8.821555;-8.650367;-8.795391
ZINC001164711736;-9.142412;-9.387073;-9.139089;-8.669355;-8.69117
ZINC001164634537;-10.106361;-10.696459;-9.970785;-9.976118;-10.522517
ZINC001164998801;-9.568527;-9.636558;-9.54188;-9.521859;-9.7153425
ZINC001164998802;-9.073008;-9.602045;-9.644197;-9.261332;-9.801723
ZINC001165004488;-8.567937;-8.4082985;-8.462971;-8.057827;-8.279865
ZINC001165004487;-8.633621;-8.408688;-8.348743;-7.6509814;-8.082431
ZINC001164815136;-7.873817;-7.9132147;-8.310345;-8.06129;-8.591521
ZINC001164815138;-8.578054;-8.501347;-8.934419;-7.924056;-8.842346
ZINC001164815137;-7.863675;-8.2802105;-8.502713;-7.948573;-8.571256
ZINC001164815139;-8.299534;-8.633143;-8.366153;-8.0112915;-8.883643
ZINC001164646336;-8.894282;-9.857159;-8.726852;-8.5701475;-8.590477
ZINC001164646335;-8.9074955;-9.541366;-8.591639;-8.626852;-8.582672
ZINC001164646338;-8.887515;-9.651915;-8.493764;-8.582359;-8.860071
ZINC001164646337;-8.922381;-9.351821;-8.700218;-8.344103;-8.523964
ZINC001164831924;-7.784142;-8.242233;-8.254464;-8.409759;-8.053875
ZINC001164831923;-7.7757163;-8.255012;-8.877683;-8.176376;-8.381211
