name;01;02;03;04;05
ZINC001164952433;-8.9574795;-9.571615;-9.707088;-9.339386;-9.176507
ZINC001164955889;-8.154704;-9.523889;-9.517239;-9.047344;-9.054461
ZINC001164960641;-8.947254;-9.125;-9.348238;-8.661676;-8.525636
ZINC001164866557;-8.980921;-8.369969;-8.633188;-8.173552;-8.891908
ZINC001164866554;-8.807619;-8.177123;-9.063725;-8.331534;-8.704115
ZINC001164866556;-8.591767;-8.206272;-8.956535;-8.496878;-8.826884
ZINC001164866555;-8.555009;-8.3020935;-9.12459;-8.1358595;-8.634257
ZINC001164961204;-9.259061;-8.383066;-9.287319;-8.540598;-8.722396
ZINC001164959624;-8.873101;-8.298437;-8.82938;-8.758065;-8.094334
ZINC001164962520;-7.99768;-7.6165857;-8.365908;-8.274541;-7.6892657
ZINC001164964901;-7.875408;-7.771532;-8.174896;-8.007455;-8.015077
ZINC001164964898;-8.217754;-8.370712;-8.714787;-8.314359;-8.152378
ZINC001164964882;-8.53663;-8.7035675;-9.237379;-8.616351;-8.455223
ZINC001164620236;-7.3911824;-8.211116;-8.028452;-7.9659276;-7.896215
ZINC001164620231;-7.732442;-7.507824;-8.237281;-7.5351324;-7.9346976
ZINC001164620226;-7.43429;-8.468974;-8.630337;-7.967953;-7.947368
ZINC001164620240;-7.9233932;-7.940434;-7.839547;-7.9995437;-7.97678
ZINC001164959986;-8.18397;-7.7486324;-8.781795;-8.161601;-8.097124
ZINC001164966272;-7.8942814;-7.9287233;-8.871843;-8.1123705;-8.272283
ZINC001164869484;-8.868011;-8.721016;-8.805886;-8.595528;-8.629204
ZINC001164869487;-8.521053;-8.54666;-8.6388445;-8.504523;-8.778664
ZINC001164869485;-8.945226;-8.627892;-9.303806;-8.428237;-8.929592
ZINC001164869486;-8.667889;-8.81453;-8.665562;-8.762467;-8.77155
ZINC001164869436;-9.032435;-9.025485;-9.020292;-9.253759;-9.6415825
ZINC001164868626;-8.017452;-8.647271;-8.083253;-8.590589;-8.73786
ZINC001164869442;-9.290559;-8.890379;-9.024766;-9.191282;-9.572465
ZINC001164868625;-8.29531;-8.237861;-8.559204;-8.108848;-8.70045
ZINC001164868627;-8.6792145;-8.314591;-7.9568872;-8.737232;-8.877627
ZINC001164869439;-9.200219;-9.692434;-9.931182;-9.252401;-9.644096
ZINC001164869433;-9.007113;-9.043361;-8.693083;-9.368135;-9.23716
ZINC001164868624;-8.09765;-8.722414;-8.127584;-8.502055;-8.43137
ZINC001164869483;-8.882702;-8.466343;-8.567991;-8.252197;-9.0298815
ZINC001164869479;-8.7300415;-8.312081;-9.020475;-8.258155;-8.687523
ZINC001164869480;-8.604068;-8.499986;-9.172932;-8.099143;-8.803672
ZINC001164869482;-8.476036;-8.413314;-8.855089;-8.474535;-8.85711
ZINC001164813100;-8.058335;-8.168829;-8.159721;-7.794658;-8.139163
ZINC001164813099;-8.133405;-7.862071;-8.007908;-8.035673;-8.044706
ZINC001164813097;-8.018472;-7.722023;-8.002598;-8.021177;-8.180534
ZINC001164813098;-7.712682;-7.944997;-7.909049;-7.797986;-8.136127
ZINC001164805874;-8.062433;-7.8707356;-7.9573307;-8.223439;-8.014604
ZINC001164805873;-7.481703;-7.6946726;-8.118581;-7.8785315;-8.226427
ZINC001164805876;-7.929162;-7.661259;-8.205036;-8.103932;-8.285992
ZINC001164805875;-7.8773155;-8.069913;-8.0836315;-7.893285;-8.105245
ZINC001164806379;-7.741243;-7.947294;-7.303851;-7.694477;-7.633383
ZINC001164805894;-9.2858;-8.647815;-8.877983;-8.116252;-8.888377
ZINC001164806377;-7.8978357;-7.865496;-7.367846;-7.4829082;-7.776246
ZINC001164805893;-8.994249;-8.963919;-8.771901;-8.105767;-8.770123
ZINC001164806380;-7.6956286;-7.4031506;-7.317359;-6.9164395;-7.05475
ZINC001164805896;-9.043449;-8.72651;-8.743496;-8.125971;-8.36611
ZINC001164806378;-7.903476;-7.538063;-7.23758;-7.3632917;-7.8843327
ZINC001164805895;-9.011809;-8.790931;-8.365711;-8.206036;-8.598214
ZINC001164710247;-7.6416817;-8.213479;-9.210526;-7.530739;-8.044026
ZINC001164710238;-7.514122;-7.85493;-7.6085386;-7.3699083;-8.043151
ZINC001164807970;-7.8601255;-7.710358;-8.152141;-7.9099617;-8.031557
ZINC001164807967;-7.9686794;-7.9541874;-8.029819;-8.137713;-7.9368515
ZINC001164807968;-7.814848;-8.193921;-8.104895;-7.8677177;-8.042525
ZINC001164807965;-7.510517;-7.789669;-8.00568;-7.817027;-8.015835
ZINC001164711020;-9.4447775;-9.568902;-9.381921;-8.7894945;-8.757516
ZINC001164711019;-9.14342;-8.906147;-8.0749655;-8.687019;-8.848857
ZINC001164711526;-7.861604;-8.404528;-8.879293;-7.285618;-8.46164
ZINC001164711525;-7.743629;-8.006199;-7.4168873;-7.161261;-8.234691
ZINC001164711117;-8.841028;-8.948626;-8.410138;-8.368929;-8.431864
ZINC001164711120;-8.8206625;-9.382573;-9.4087105;-8.694641;-8.631093
ZINC001164986438;-9.1746235;-8.347893;-8.755911;-8.753952;-8.618135
ZINC001164986437;-7.4952006;-7.8624516;-7.542213;-8.755333;-7.792317
ZINC001164986440;-8.314504;-7.5969596;-8.341183;-8.739333;-8.252626
ZINC001164986434;-8.287117;-8.028789;-8.06691;-8.708314;-8.277315
ZINC001164971932;-8.349947;-8.301987;-8.477861;-8.308388;-8.406775
ZINC001164714106;-8.776949;-9.1119585;-8.299442;-8.492937;-9.182626
ZINC001164971931;-8.859101;-8.409996;-8.430391;-8.602084;-8.629465
ZINC001164719440;-8.364428;-8.771639;-7.5338774;-8.157372;-8.725698
ZINC001164714112;-8.572357;-9.297264;-9.72037;-8.88751;-9.154737
ZINC001164971933;-8.181146;-8.136611;-8.03039;-8.433023;-8.272724
ZINC001164971930;-7.753626;-7.89484;-7.4484987;-8.527891;-7.9701605
ZINC001164719441;-8.434707;-9.250903;-9.193046;-8.587139;-8.672542
ZINC001164714938;-7.546796;-8.795647;-9.055872;-7.6100817;-8.190975
ZINC001164714937;-7.5195513;-8.19669;-7.4903555;-7.212036;-7.993594
ZINC001164866965;-9.731824;-10.374706;-10.235534;-9.733093;-10.199202
ZINC001164866962;-9.417379;-9.906241;-9.954617;-9.93502;-10.500045
ZINC001164866963;-9.506581;-10.166398;-9.421183;-9.872715;-10.270517
ZINC001164866964;-9.661551;-10.280653;-9.621725;-9.847328;-10.321364
ZINC001164715556;-9.386315;-8.922195;-9.343445;-8.341524;-8.610179
ZINC001164715558;-8.827008;-8.520287;-8.334724;-8.197376;-8.613745
ZINC001164713601;-8.822702;-9.046047;-9.565315;-8.5121765;-8.98689
ZINC001164713602;-8.3114605;-8.86587;-8.545414;-8.425636;-8.635397
ZINC001164710854;-8.611937;-8.254998;-8.98783;-7.67249;-7.756091
ZINC001164710855;-8.567235;-8.0680685;-9.051995;-7.704374;-8.166233
ZINC001164985041;-9.109446;-9.061083;-8.830566;-9.100523;-9.10414
ZINC001164985045;-8.546019;-8.472433;-8.861495;-9.09807;-8.933893
ZINC001164985039;-8.132391;-8.514953;-8.689676;-9.023766;-8.5975895
ZINC001164985043;-8.629158;-8.689358;-8.6155615;-9.181787;-9.193473
ZINC001164764846;-8.947109;-8.37286;-8.486701;-8.875041;-8.819088
ZINC001164764840;-9.13356;-7.789471;-8.150139;-8.2229185;-7.9767866
ZINC001164713888;-8.138868;-8.242124;-7.3606577;-7.450318;-8.807854
ZINC001164713891;-8.39018;-8.917808;-9.244916;-8.012192;-8.678676
ZINC001164764850;-8.834825;-8.585744;-8.353827;-8.230881;-8.198753
ZINC001164764843;-8.656005;-8.525351;-8.385101;-8.532309;-8.7983265
ZINC001164879014;-8.916178;-9.232689;-9.311752;-9.670638;-10.029672
ZINC001164879016;-8.779259;-9.335555;-8.701045;-9.389489;-9.517886
ZINC001164879020;-8.98036;-9.403804;-8.776678;-9.322283;-9.566953
ZINC001164879018;-9.157898;-9.64735;-9.682575;-9.234875;-9.430573
ZINC001164815092;-6.5529284;-6.959841;-7.0976467;-6.3712816;-6.9914665
ZINC001164815091;-6.4523535;-6.759971;-6.5077343;-6.2412887;-6.9900723
ZINC001164815089;-6.3728266;-6.841786;-6.8063393;-6.3238673;-7.224242
ZINC001164815090;-6.385338;-7.0833855;-6.860253;-6.325098;-7.1866565
ZINC001164773371;-9.363405;-9.119143;-8.953964;-8.826045;-9.011482
ZINC001164773372;-9.608988;-9.60121;-9.366904;-9.062866;-9.0201845
ZINC001164773370;-8.88455;-9.731887;-8.849575;-8.813651;-9.254071
ZINC001164773373;-9.573511;-10.044889;-9.501624;-9.519147;-9.414171
