name;01;02;03;04;05
ZINC001164758306;-8.424193;-8.187406;-8.19101;-8.329516;-8.42425
ZINC001164758308;-7.747408;-7.8461466;-8.133743;-8.319945;-8.554404
ZINC001164758307;-7.9738803;-7.437762;-8.290207;-8.257789;-8.28159
ZINC001164758310;-7.5602694;-7.6904383;-7.8377724;-8.386088;-7.8970375
ZINC001164758998;-7.7109213;-7.8105216;-7.8674326;-8.19108;-8.012337
ZINC001164758327;-8.098295;-8.070787;-8.3284855;-8.283186;-8.778456
ZINC001164758995;-8.504449;-8.06562;-8.119669;-7.979846;-8.509417
ZINC001164758329;-7.811042;-7.671419;-8.046681;-8.131058;-8.541601
ZINC001164758330;-7.828853;-7.792278;-8.040656;-8.358271;-8.301331
ZINC001164758996;-7.993761;-7.8887544;-8.2716465;-8.249134;-8.473654
ZINC001164758997;-7.5773816;-8.094074;-8.291773;-8.22547;-8.633965
ZINC001164758331;-8.750382;-7.7713714;-8.263933;-8.117449;-8.512954
ZINC000015014954;-8.650216;-8.145464;-8.138876;-8.369637;-8.397488
ZINC000012573115;-10.002327;-10.670326;-10.63563;-10.231804;-10.119262
ZINC001164957510;-7.6788077;-8.213023;-8.622771;-8.122435;-8.350175
ZINC001164957509;-7.892547;-8.570692;-8.513515;-8.284746;-8.394356
ZINC001164957511;-7.898573;-8.570291;-8.314149;-8.148996;-8.344023
ZINC001164957512;-7.8863416;-7.855366;-8.089943;-8.090496;-7.9692383
ZINC001164956712;-7.8535213;-7.6992354;-8.287582;-8.254207;-8.383902
ZINC001164960227;-7.7295666;-8.58914;-8.3538265;-8.099586;-8.290941
ZINC001164956711;-7.867461;-7.9840107;-8.661475;-8.269459;-8.622541
ZINC001164956713;-8.314633;-8.228779;-8.4492;-8.26041;-8.537818
ZINC001164960225;-7.407365;-8.211493;-8.467897;-8.089199;-8.319906
ZINC001164960222;-7.841014;-8.643171;-8.495822;-8.273024;-8.302442
ZINC001164956714;-7.826245;-8.065269;-8.399548;-8.091036;-8.404888
ZINC001164960219;-7.757504;-8.014042;-7.9278445;-8.172615;-7.964063
ZINC001164769645;-7.778019;-7.9713793;-8.353295;-8.761358;-8.682326
ZINC001164769647;-8.281368;-8.2807455;-8.054225;-8.234989;-8.636791
ZINC001164769639;-7.9648747;-7.707115;-7.834071;-7.7911987;-8.115378
ZINC001164769643;-8.538136;-7.5124874;-7.5821466;-8.059606;-7.830081
ZINC001164774784;-8.563467;-8.511101;-8.31603;-8.541551;-8.594489
ZINC001164774787;-8.354233;-7.846131;-8.146401;-8.219961;-8.042907
ZINC001164774785;-7.9726167;-8.13422;-8.033475;-8.041496;-8.319201
ZINC001164774786;-8.216661;-7.8469005;-8.56391;-8.57645;-8.639694
ZINC001164774601;-7.294787;-7.1726665;-7.4255767;-7.449383;-7.0999002
ZINC001164774602;-7.8532743;-8.06944;-8.805941;-8.792759;-8.780503
ZINC001164774600;-8.431908;-8.16024;-8.228914;-8.072935;-8.040391
ZINC001164774603;-8.269007;-8.451903;-8.336551;-8.136489;-8.578417
ZINC000028365892;-8.60003;-9.177607;-8.481848;-8.760933;-8.477957
ZINC001164963159;-7.41131;-7.6769743;-7.464725;-7.262377;-7.744353
ZINC001164963150;-7.1369896;-7.862646;-7.7063074;-7.4244223;-7.254096
ZINC001164963165;-7.752188;-7.9946613;-7.8496695;-7.9805017;-7.5832987
ZINC001164963155;-7.132721;-8.18849;-7.6999936;-7.6736126;-7.8682833
ZINC001164965229;-7.617177;-7.941619;-7.564762;-7.604824;-8.039189
ZINC001164965225;-6.7240157;-7.6232133;-7.3860316;-6.623932;-7.1182165
ZINC001164965222;-7.7923927;-8.306269;-8.027522;-8.116135;-7.691878
ZINC001164965232;-7.110703;-8.450827;-7.7159195;-7.88669;-8.001378
ZINC001164964470;-7.316877;-8.006525;-7.7696853;-7.4559174;-7.138482
ZINC001164964476;-7.4357424;-8.065675;-7.8481402;-7.46161;-7.738957
ZINC001164964465;-7.6503177;-8.030845;-7.8866234;-8.062679;-7.5713496
ZINC001164964472;-7.2371693;-8.343337;-7.7412124;-7.6433353;-7.751872
ZINC000040976841;-7.9347005;-7.7773676;-7.7912674;-8.015456;-8.068011
ZINC000045496532;-8.478908;-7.7432623;-7.957436;-8.194659;-7.90578
ZINC000021327165;-8.248825;-8.570976;-8.295644;-8.163944;-8.626881
ZINC001164987974;-8.734263;-8.402042;-8.777323;-8.559822;-8.549912
ZINC001164987980;-9.333045;-9.258795;-9.563997;-8.479559;-8.96747
ZINC001164987977;-8.754232;-8.727466;-9.143477;-8.469027;-8.364589
ZINC001164987971;-9.204855;-9.019991;-8.58861;-8.967634;-9.046897
ZINC001164982931;-9.210596;-9.082816;-8.694201;-8.916861;-9.04429
ZINC001164982935;-8.694831;-8.839274;-9.233419;-8.538665;-8.188983
ZINC001164982937;-8.816364;-9.609443;-9.078178;-8.449011;-8.522702
ZINC001164982933;-8.716078;-8.9123;-9.107723;-8.454462;-8.350422
ZINC001164991732;-8.7064495;-8.717783;-8.864673;-8.657942;-8.720954
ZINC001164991730;-8.5772705;-8.739857;-8.269329;-8.66557;-8.396442
ZINC001164992752;-8.113445;-8.131516;-8.277225;-8.14089;-8.14471
ZINC001164992746;-8.715924;-8.506154;-7.7338977;-8.60465;-8.76611
ZINC001164991734;-8.726912;-9.0411;-9.311988;-8.661194;-8.483416
ZINC001164992750;-8.432776;-8.556296;-8.281451;-8.409385;-8.429243
ZINC001164991733;-8.296424;-8.517734;-8.784024;-8.244783;-8.399876
ZINC001164992754;-8.523012;-8.956298;-9.012798;-8.429252;-8.377016
ZINC001164987873;-8.147711;-8.109017;-8.703813;-8.335787;-8.04783
ZINC001164987879;-9.163972;-8.682346;-8.554359;-8.760283;-8.740919
ZINC001164987870;-8.878752;-8.349079;-8.805359;-8.824381;-8.626684
ZINC001164987876;-8.215331;-8.591681;-8.152943;-8.081203;-8.401607
ZINC001164988055;-7.7412815;-7.445065;-7.7844934;-7.625081;-7.9131365
ZINC001164988052;-7.8170295;-7.768231;-7.897201;-8.149842;-7.9862604
ZINC001164990490;-8.342923;-9.28612;-8.687377;-8.287297;-8.3198
ZINC001164990489;-7.8384705;-8.622417;-8.765675;-8.742931;-8.3377905
ZINC001164988053;-7.572885;-7.508013;-8.221998;-7.7064776;-7.6557565
ZINC001164988054;-8.190462;-8.084633;-7.814595;-7.4183702;-7.4292984
ZINC001164990488;-8.293559;-9.078929;-8.5471945;-8.760035;-8.346682
