name;01;02;03;04;05
ZINC001164952433;-9.081451;-9.274897;-9.199201;-9.322642;-9.136896
ZINC001164955889;-8.359903;-9.357777;-9.179665;-8.920718;-8.954535
ZINC001164614118;-7.781143;-7.591584;-7.6840706;-8.3129425;-7.5592403
ZINC001164613848;-6.7407417;-6.5668592;-6.9934893;-7.2773485;-7.0431995
ZINC001164614914;-8.03926;-7.4787607;-7.9751487;-8.809444;-8.041185
ZINC001164614130;-8.049233;-7.4278746;-7.8273015;-8.090144;-7.8949804
ZINC001164960641;-8.976043;-9.018009;-9.099125;-8.702048;-8.491391
ZINC001164613779;-7.764052;-7.619727;-7.8276215;-8.254466;-7.8079257
ZINC001164616434;-6.6453066;-6.649971;-7.034761;-7.172082;-7.023451
ZINC001164617898;-8.066759;-8.0207;-7.7767305;-8.762986;-8.335855
ZINC001164616467;-8.640636;-8.056686;-8.100723;-8.797521;-8.413377
ZINC001164618856;-8.41344;-7.5491023;-7.792982;-8.491802;-8.250913
ZINC001164866557;-8.968099;-8.633618;-8.601742;-8.291668;-8.579186
ZINC001164866554;-8.702856;-8.256197;-9.126381;-8.457787;-8.633999
ZINC001164866556;-8.459856;-8.365661;-9.102662;-8.12393;-8.544047
ZINC001164866555;-8.673143;-8.883103;-8.59597;-8.342064;-8.783513
ZINC001164961204;-9.606275;-8.471951;-8.525549;-8.9026;-8.859049
ZINC001164959624;-9.490605;-8.551519;-8.970065;-8.87145;-8.515629
ZINC001164962520;-7.6860847;-7.889409;-8.547743;-8.409924;-7.8662663
ZINC001164964901;-7.768525;-7.884972;-8.17175;-8.061063;-8.1838045
ZINC001164964898;-8.530299;-8.59351;-8.749517;-8.440196;-8.539195
ZINC001164964882;-8.90847;-8.857846;-9.147993;-8.894596;-8.762577
ZINC001164620236;-7.6158943;-7.8296194;-8.019588;-7.6477036;-7.9071226
ZINC001164620231;-7.8113933;-7.7931457;-8.009894;-7.5090814;-7.728694
ZINC001164620226;-7.86842;-7.6326933;-7.9331417;-7.729399;-7.75231
ZINC001164620240;-7.5741415;-8.44904;-8.6104145;-7.9936967;-7.9459095
ZINC001164959986;-8.375255;-8.001747;-8.396895;-8.008094;-7.7711096
ZINC001164966272;-8.500891;-8.094011;-8.642379;-8.164099;-8.028664
ZINC001164869484;-9.030685;-8.464329;-9.336713;-8.812913;-9.002222
ZINC001164869487;-8.593226;-8.047525;-7.948643;-8.193583;-8.066664
ZINC001164869485;-8.287048;-8.126515;-7.9504137;-8.267139;-8.369879
ZINC001164869486;-8.729587;-8.488109;-9.248139;-8.396928;-8.984119
ZINC001164869436;-9.296334;-9.560652;-9.515755;-9.580722;-9.592624
ZINC001164868626;-8.181476;-8.315205;-8.522072;-8.097813;-8.702393
ZINC001164869442;-9.41888;-9.2378;-9.291285;-9.535456;-9.599455
ZINC001164868625;-8.018245;-8.581952;-8.009617;-8.559167;-8.75016
ZINC001164868627;-8.162886;-8.659369;-8.002196;-8.603959;-8.354116
ZINC001164869439;-9.09996;-9.490633;-9.294497;-8.914675;-9.68456
ZINC001164869433;-9.402877;-9.192381;-9.298435;-9.039127;-9.440703
ZINC001164868624;-8.153788;-8.175339;-8.47736;-8.517411;-8.721563
ZINC001164869483;-8.891358;-8.3131485;-9.047215;-8.343366;-8.690906
ZINC001164869479;-8.739442;-8.326065;-9.065895;-8.448866;-8.726046
ZINC001164869480;-8.425498;-8.444885;-8.893052;-8.423966;-8.919609
ZINC001164869482;-8.54829;-8.558582;-9.105918;-8.118977;-8.742287
ZINC001164813100;-7.9789343;-8.303674;-8.000939;-7.9840474;-8.276705
ZINC001164813099;-7.7557282;-7.8145776;-8.096869;-7.616466;-7.75084
