name;01;02;03;04;05
ZINC000409205211;-7.043551;-7.3878913;-7.509487;-7.679286;-7.1821394
ZINC000409205208;-7.190967;-7.382007;-7.7989793;-7.738064;-6.980094
ZINC000257310011;-7.768449;-8.179188;-7.639172;-7.531964;-8.059355
ZINC000409213788;-7.961764;-8.758912;-8.83768;-8.369411;-8.137443
ZINC000409229925;-6.404405;-6.9252887;-6.136381;-6.764823;-6.5856304
ZINC000409226554;-8.393199;-8.775606;-7.6854305;-8.181299;-8.34651
ZINC000408634387;-9.163343;-8.989818;-8.2977295;-9.303314;-8.74429
ZINC000409228753;-7.1773105;-7.9187126;-8.214927;-7.529008;-7.7925205
ZINC000409220756;-6.5128613;-7.302558;-7.2749543;-6.952082;-7.4610205
ZINC000409222243;-6.6212115;-6.8343306;-6.801811;-6.809521;-6.6325693
ZINC000409236527;-6.1280255;-7.0460615;-6.393641;-6.372612;-6.4939165
ZINC000409238593;-6.386805;-7.38373;-6.9574227;-6.863325;-7.3422685
ZINC000409239342;-6.3449683;-6.9349375;-6.5221114;-6.39006;-6.525338
ZINC000409240718;-6.394821;-7.2604103;-6.9325027;-6.8109937;-7.0282116
ZINC000409240824;-7.7892003;-7.342628;-8.0987015;-7.7219486;-7.5710354
ZINC000409231224;-6.4059896;-6.8966746;-6.8798203;-6.3974657;-6.6213026
ZINC000409231203;-7.3705025;-7.8072963;-8.193248;-7.4940047;-7.9490705
ZINC000409233801;-6.25156;-6.7202044;-6.7418203;-6.661978;-6.687955
ZINC000409235577;-6.554058;-7.5407605;-6.9813423;-7.3273997;-7.1477804
ZINC000409245207;-7.1305394;-7.3030324;-7.2752447;-7.5398726;-6.687173
ZINC000409248276;-7.161027;-7.504669;-7.420392;-7.1226583;-7.145319
ZINC000409242002;-6.471611;-6.956623;-7.055741;-6.424223;-6.676591
ZINC000409243538;-6.7448034;-7.237808;-7.3706865;-7.178236;-7.3359227
ZINC000409255310;-8.737833;-8.983824;-7.972244;-8.241824;-8.28744
