name;01;02;03;04;05
ZINC001164862385;-6.9054637;-6.926744;-6.3374467;-6.3424473;-6.3096724
ZINC001164862389;-6.4781275;-7.3707533;-6.2536564;-6.4045877;-6.114772
ZINC001165054394;-8.461784;-9.088284;-8.173619;-8.216417;-8.493751
ZINC001164861684;-8.477142;-8.439507;-8.484586;-9.058828;-8.596045
ZINC001164861695;-8.814095;-8.841315;-8.601359;-9.105511;-8.431816
ZINC001164856474;-9.080681;-9.453975;-9.2731905;-9.152077;-9.200474
ZINC001164954073;-8.669492;-8.800752;-8.601471;-8.599082;-8.440533
ZINC001164856475;-9.376409;-9.761999;-9.29785;-9.423237;-9.174125
ZINC001164951694;-8.625252;-8.9338045;-8.857519;-8.562403;-8.243654
ZINC001164858081;-8.56453;-8.314066;-8.034316;-8.238972;-7.90186
ZINC001164858082;-8.634712;-7.9452167;-7.882365;-8.34507;-7.9858017
ZINC001164955490;-9.04259;-9.388351;-9.250676;-9.490011;-9.03265
ZINC001164955658;-9.584277;-9.616003;-9.675896;-9.648232;-9.334469
ZINC001164614768;-7.91115;-7.024845;-7.5925946;-7.9943423;-7.8995867
ZINC001164613769;-8.4686365;-7.848975;-8.246521;-8.625527;-8.496904
ZINC001164613714;-7.268306;-7.2126794;-7.450573;-7.743535;-7.5419807
ZINC001164616541;-7.8977857;-7.8067694;-8.280089;-8.757251;-8.062402
ZINC001164759202;-8.3826685;-8.902919;-8.89905;-9.475919;-8.768995
ZINC001164759499;-8.134041;-8.352444;-9.094349;-8.472085;-8.120676
ZINC001164758913;-8.337963;-7.9139094;-8.643885;-8.734811;-7.666929
ZINC001164758644;-8.662759;-8.962204;-9.088012;-9.047213;-8.954796
ZINC001164760465;-8.05178;-8.883404;-8.915123;-9.091178;-9.117473
ZINC001164960538;-9.390108;-8.411801;-9.3093195;-9.065069;-8.755129
ZINC001164962324;-9.4912405;-8.600421;-8.855702;-8.803818;-8.951015
ZINC001164964281;-8.597356;-8.92969;-9.4875145;-8.882082;-8.418813
ZINC001164962226;-9.1716795;-8.56661;-9.261215;-8.604397;-8.561404
ZINC001164964721;-9.635687;-8.587906;-9.525728;-8.996333;-8.817311
ZINC001164960649;-8.279994;-8.099048;-8.637879;-8.498965;-8.295595
ZINC001164959968;-8.832087;-9.054995;-9.508947;-9.123132;-8.91677
ZINC001164625910;-7.419351;-7.855978;-7.664483;-6.9786344;-6.8336987
ZINC001164625907;-7.428603;-7.238054;-7.706176;-7.000977;-7.455819
ZINC001164625913;-7.3616343;-7.0790935;-7.42544;-7.2865906;-7.3522468
ZINC001164625918;-7.3009686;-7.2645726;-7.3195434;-7.301545;-6.9992404
ZINC001164966066;-8.597408;-8.739874;-9.155649;-8.533504;-8.704427
ZINC001164867321;-8.363703;-8.780913;-8.584922;-8.52728;-9.412907
ZINC001164867319;-8.423791;-8.908887;-9.0218525;-8.3475065;-9.370036
ZINC001164867320;-8.289343;-8.532421;-8.248594;-8.431676;-9.489017
ZINC001164867318;-8.600662;-8.398442;-8.293711;-8.499124;-9.290684
ZINC001164710760;-8.473847;-8.79294;-8.96171;-7.9618526;-8.098886
ZINC001164710759;-8.222346;-8.562351;-8.462015;-7.96856;-8.218829
ZINC001164710708;-9.145393;-8.843493;-9.081771;-8.251705;-8.367021
ZINC001164710711;-9.389437;-9.199447;-9.657881;-8.20838;-8.208788
ZINC001164711021;-8.731539;-8.815532;-8.682949;-7.6342907;-8.336364
ZINC001164711022;-8.536116;-8.70669;-8.123441;-7.7490425;-8.493361
ZINC001164711534;-8.664984;-8.6309185;-8.144302;-7.87794;-8.503378
ZINC001164711535;-8.513559;-8.823567;-8.949781;-7.7107286;-8.408161
ZINC001164867427;-9.341824;-9.566124;-9.430719;-8.741438;-9.435655
ZINC001164710580;-8.374618;-7.715086;-8.1423645;-7.610787;-8.011644
ZINC001164867429;-8.989342;-9.54435;-8.771749;-9.0040455;-9.472847
ZINC001164867431;-9.356277;-9.292069;-9.259155;-9.135051;-9.641781
ZINC001164710578;-8.262654;-7.9079423;-8.955386;-7.7324514;-8.021216
ZINC001164867425;-9.299097;-9.314509;-8.711419;-9.153301;-9.333372
ZINC001164810500;-8.1025305;-8.323324;-8.080017;-7.776875;-8.377575
ZINC001164810504;-7.633816;-8.236718;-8.002567;-7.1646247;-8.243133
ZINC001164810498;-8.014734;-8.560044;-7.8417597;-7.580723;-8.5532255
ZINC000734843356;-8.443945;-7.8701835;-7.654208;-7.7326293;-7.638214
ZINC000734843357;-8.10077;-8.156316;-7.910701;-8.282199;-7.997632
ZINC001164810502;-7.822423;-8.416151;-7.8469725;-7.62824;-8.553413
ZINC000734843353;-8.49945;-7.9839406;-7.4405746;-7.977004;-7.739101
ZINC000734843355;-8.294163;-7.812396;-7.9955254;-8.181097;-7.982803
ZINC001164984348;-8.868395;-8.752029;-8.756617;-8.591099;-8.695184
ZINC001164982146;-9.179018;-8.686773;-9.394608;-9.119157;-8.815748
ZINC001164984352;-8.947849;-8.983982;-9.170048;-8.823818;-8.503394
ZINC001164982158;-9.377637;-8.8571005;-9.134881;-9.240549;-8.998566
ZINC001164984346;-8.702303;-8.380025;-8.825609;-8.608953;-8.6708145
ZINC001164982162;-9.536158;-8.918811;-9.586647;-9.3389635;-9.173018
ZINC001164984350;-9.139561;-9.089733;-9.042469;-8.683468;-8.762765
ZINC001164982182;-9.549515;-9.185504;-9.674818;-9.283747;-9.026924
ZINC001164719528;-8.435432;-8.831948;-8.947437;-7.85884;-8.019264
ZINC001164719526;-8.137371;-8.730262;-8.489367;-8.130674;-8.179849
ZINC001164714188;-8.398241;-9.030674;-8.835505;-7.705435;-8.381188
ZINC001164718009;-9.222921;-9.055668;-9.537415;-8.093043;-8.147982
ZINC001164719084;-8.549923;-8.534042;-8.593417;-8.2155905;-8.463741
