name;01;02;03;04;05
ZINC000020351286;-8.348349;-8.535569;-8.297476;-8.401245;-8.229291
ZINC000020351283;-8.029959;-8.164169;-8.297089;-8.492592;-8.254039
ZINC000020114413;-7.939804;-7.815304;-7.9681273;-7.8892307;-7.7058043
ZINC000020114385;-8.087631;-8.237862;-7.851333;-7.937858;-7.9583344
ZINC000012597600;-8.220698;-7.7586937;-8.056766;-7.598589;-7.723264
ZINC000012597603;-8.718774;-8.2410145;-8.477933;-8.066769;-7.48347
ZINC000010056358;-7.695658;-7.630194;-7.220585;-7.2722855;-7.4720783
ZINC000012300982;-8.041227;-8.535963;-8.104263;-7.506219;-7.146564
ZINC000012464065;-8.421214;-8.0461445;-8.30097;-7.6139197;-7.630149
ZINC000012300984;-7.73536;-7.837893;-7.647341;-7.5697784;-7.3657646
ZINC000012464063;-8.527315;-8.388011;-8.176809;-7.767382;-7.3148217
ZINC000017307026;-7.9558444;-6.578747;-6.387117;-7.0534205;-7.047459
ZINC000017307030;-7.9424286;-6.65436;-6.5705743;-7.1592727;-7.3032246
ZINC000009137992;-8.917164;-9.143489;-8.333792;-8.659257;-8.70269
ZINC000049421014;-8.373985;-8.390332;-7.7674932;-7.996912;-8.282926
ZINC000049421013;-8.466607;-9.064209;-8.337376;-8.022326;-8.080395
ZINC000065138908;-8.7804365;-8.85125;-8.124681;-8.030624;-8.625246
ZINC000065135964;-8.767746;-8.7151575;-8.135746;-8.171825;-8.149794
ZINC000065256188;-9.188643;-9.184528;-9.07213;-8.635934;-8.461505
ZINC000065256189;-9.185251;-9.182964;-9.073006;-8.631401;-8.460892
ZINC000065257014;-8.024696;-8.464681;-7.4481797;-7.503665;-7.959149
ZINC000065257023;-8.322887;-8.631295;-8.1627865;-8.064361;-8.0974655
ZINC000065257028;-8.224167;-8.662953;-7.767026;-7.8419333;-8.136651
ZINC000065257016;-8.173445;-8.206623;-7.4703455;-7.650776;-8.104811
ZINC000065257015;-8.28981;-8.832293;-8.084206;-7.709811;-7.88378
ZINC000065257027;-8.233931;-8.509208;-8.136281;-8.04008;-7.7676034
ZINC000065256351;-8.452489;-8.868849;-8.828592;-7.6633115;-8.465037
ZINC000065257024;-8.481792;-8.594311;-7.715151;-8.061405;-8.43601
ZINC000065256352;-8.476955;-8.900175;-8.829731;-7.690345;-8.454797
ZINC000065257013;-8.068441;-8.277702;-7.889433;-7.725766;-7.5624723
ZINC000524730656;-9.264499;-8.518622;-8.390245;-7.9376802;-8.5718355
ZINC000524731628;-8.516755;-8.967037;-9.264741;-8.353961;-8.750282
ZINC000065298418;-8.262668;-8.454417;-7.9008665;-7.488695;-7.7974896
ZINC000065298109;-7.9023237;-7.4444404;-7.7255707;-7.8512526;-7.7168684
ZINC000065298282;-8.677644;-8.0957365;-7.6142592;-7.7699428;-7.6983814
ZINC000065298223;-7.8712754;-7.880932;-7.831669;-7.546289;-8.010005
ZINC000065298131;-8.131225;-7.8428917;-7.906248;-7.9390225;-7.982703
ZINC000065298279;-8.658503;-8.147474;-8.06515;-7.7554855;-7.911042
ZINC000065298111;-7.662332;-7.8445444;-7.907912;-8.079079;-8.136595
ZINC000065298134;-8.001172;-8.291519;-8.111842;-8.211916;-8.365451
ZINC000065298422;-8.276901;-8.266029;-7.290298;-7.294345;-7.512073
ZINC000065298226;-7.9901695;-7.5856214;-7.5409923;-7.477502;-7.70081
ZINC000012633155;-7.570689;-7.7197447;-7.2647185;-6.952494;-6.975827
ZINC000012633154;-7.7654943;-7.760387;-7.2653465;-7.0849767;-7.443246
ZINC000016838220;-7.8449144;-7.722367;-7.9764204;-7.7492743;-7.779345
ZINC000016838218;-7.5390177;-7.7995915;-7.7389116;-7.781077;-7.5756145
ZINC000089960829;-8.434887;-8.290688;-8.627108;-8.406477;-8.483368
ZINC000089960830;-8.432929;-7.871053;-8.258747;-8.258108;-7.850736
ZINC000017112908;-6.8696346;-6.862044;-6.857997;-6.8095975;-6.6953316
ZINC000017112905;-6.9654408;-6.87628;-7.0934005;-6.8551636;-6.672025
ZINC000002074909;-7.8980713;-8.132498;-6.750106;-7.6137247;-7.7830453
ZINC000096449028;-8.063248;-7.694076;-8.272941;-7.768024;-8.2307625
ZINC000096449029;-7.701337;-8.098835;-8.299076;-8.192697;-7.821642
ZINC000012434896;-8.017811;-8.167051;-7.8799562;-7.8519135;-7.8338943
ZINC000025702019;-8.145392;-7.199122;-7.383534;-7.686634;-7.4499855
ZINC000025702024;-7.989697;-7.287037;-7.4266453;-7.849446;-7.5168114
ZINC000009137995;-8.930807;-8.788148;-8.257172;-8.3918705;-8.723124
