name;01;02;03;04;05
ZINC000012467441;-7.7394233;-7.377142;-7.809127;-7.4250402;-7.425948
ZINC000012300010;-8.477791;-8.722868;-8.309714;-8.090338;-8.6198435
ZINC000012300012;-8.582343;-8.733545;-8.263745;-8.131998;-8.593691
ZINC000012596854;-7.4309244;-7.5320954;-6.4123673;-7.4203277;-7.658287
ZINC000022909914;-9.609467;-8.939067;-9.034357;-9.822235;-8.980588
ZINC000012703875;-8.309968;-7.822545;-7.8236012;-7.762099;-8.01761
ZINC000012596850;-7.897464;-7.727207;-6.9041023;-7.4843903;-7.8101926
ZINC000012703867;-8.115309;-7.9211845;-7.8033633;-7.709036;-7.9807396
ZINC000012320310;-7.9032626;-8.162185;-7.960453;-8.071136;-7.597619
ZINC000012320309;-8.519206;-8.322563;-8.063652;-7.998082;-7.603497
ZINC000020996805;-9.24661;-8.6934805;-8.935723;-9.102386;-8.5416565
ZINC000020996807;-9.2269945;-9.572569;-8.944172;-9.192368;-9.134189
ZINC000012436310;-8.869208;-8.287542;-7.757961;-7.7512803;-8.012369
ZINC000004990721;-8.019454;-8.481321;-7.5172234;-8.558138;-7.7062206
ZINC000012594669;-9.422581;-9.255312;-9.213162;-9.270727;-9.238658
ZINC000022920003;-9.286615;-9.875256;-9.317644;-9.298842;-9.08731
ZINC000022919998;-9.853634;-9.020348;-9.410709;-9.402675;-8.488678
ZINC000012193837;-9.130667;-9.990121;-8.454522;-9.416355;-9.12578
ZINC000012193827;-9.256494;-10.304241;-8.6636715;-8.9191265;-9.130701
ZINC000023153321;-9.600521;-8.9163475;-9.302653;-9.339346;-9.113932
ZINC000012193240;-8.896838;-8.886639;-8.55653;-8.608939;-8.946703
ZINC000012193231;-9.106718;-8.86075;-8.555961;-8.599994;-8.959708
ZINC000012716475;-8.818992;-8.406996;-8.361812;-8.658154;-8.699679
ZINC000012716472;-9.034328;-8.3253355;-8.449101;-8.678819;-8.748198
ZINC000012711760;-9.281448;-9.136704;-8.803621;-9.165053;-8.372475
ZINC000012432586;-7.9670086;-8.948542;-8.326047;-8.237757;-8.008073
ZINC000012711765;-9.434282;-9.428573;-9.357119;-8.679173;-8.897655
ZINC000012432585;-8.331757;-9.030554;-8.346945;-8.248245;-7.8385854
ZINC000012714021;-7.9366035;-7.90413;-7.907398;-8.510178;-8.121348
ZINC000012714015;-8.677811;-8.113342;-8.033813;-8.533466;-8.155298
ZINC000012203531;-9.485585;-9.822927;-9.156698;-9.740027;-9.523805
ZINC000012299243;-8.6612835;-8.63034;-8.578052;-8.648927;-8.522252
ZINC000023360801;-10.395318;-10.280536;-9.89103;-9.76205;-9.764091
ZINC000023360803;-10.159682;-10.409365;-9.60602;-9.914673;-9.903072
ZINC000012299242;-8.713032;-8.508964;-8.553406;-8.530253;-8.490866
ZINC000012436311;-8.463939;-8.517845;-7.8185844;-7.574614;-8.122784
ZINC000012594674;-9.34302;-9.015419;-9.450616;-9.10333;-9.472
ZINC000007002041;-8.943542;-9.238463;-9.129155;-9.27218;-10.145095
ZINC000007010011;-8.591958;-7.569125;-7.370739;-7.435331;-8.46791
ZINC000007010014;-8.267471;-7.8463154;-7.4412327;-7.7778864;-8.357411
ZINC000012466972;-8.890354;-8.805597;-8.51473;-8.70797;-8.596216
ZINC000012466975;-8.708021;-8.835684;-8.273448;-8.507942;-8.436255
ZINC000009300503;-9.380654;-10.0533285;-9.087056;-9.067416;-9.04051
ZINC000252522976;-10.655052;-9.665497;-11.024005;-10.095371;-10.5235815
ZINC000252522977;-10.627484;-9.882945;-10.939711;-10.181604;-10.381912
ZINC000035457858;-8.570716;-9.122329;-8.87418;-8.647095;-8.250272
ZINC000020906522;-10.244261;-9.455932;-9.475968;-9.363482;-9.843991
ZINC000020906520;-10.149185;-9.06876;-9.32506;-9.824919;-8.99232
ZINC000012281440;-8.397639;-8.712471;-8.068259;-8.356262;-7.9336123
ZINC000012281441;-8.580733;-9.612593;-8.640473;-8.645276;-8.383467
ZINC000012303453;-9.470826;-9.836275;-8.535663;-8.742354;-8.66363
ZINC000012922631;-7.962987;-8.213737;-8.595735;-8.566793;-8.348776
ZINC000012711220;-8.570432;-8.139586;-8.432228;-8.272504;-8.613929
ZINC000011873366;-8.724647;-7.79165;-7.9320784;-8.451437;-7.5148783
ZINC000012711223;-8.904015;-8.412931;-8.321278;-8.727631;-8.569002
ZINC000253398855;-9.468837;-8.876731;-9.441176;-9.473323;-9.022806
ZINC000012590075;-8.787452;-8.555511;-8.168702;-8.666767;-8.5498905
ZINC000012308077;-9.108222;-9.13829;-8.714159;-8.52116;-8.76432
ZINC000012719063;-8.733908;-7.97466;-8.289818;-8.0211115;-7.7950172
ZINC000012301937;-8.566063;-7.637888;-8.338667;-8.245567;-7.945785
ZINC000014112739;-8.67537;-9.049516;-9.220499;-8.821722;-8.901001
ZINC000014112742;-8.678215;-9.089575;-9.297441;-8.80807;-8.852743
ZINC000012532890;-9.233268;-8.677852;-8.95386;-9.179434;-8.053085
ZINC000012533928;-9.551889;-8.646674;-8.441149;-9.016593;-8.009259
ZINC000012304861;-8.164295;-8.8438015;-7.5456705;-7.875619;-7.8073835
ZINC000020912481;-10.103579;-9.958942;-9.457342;-9.231445;-9.448499
ZINC000020912477;-9.937832;-9.160808;-9.771329;-9.329082;-8.457493
ZINC000011663482;-9.289705;-8.854253;-9.061769;-8.879441;-8.529388
ZINC000011664406;-9.175317;-8.950691;-7.815609;-9.304524;-8.293318
ZINC000011703707;-8.583955;-8.388778;-8.653948;-8.21085;-8.111798
ZINC000011703694;-7.8310084;-8.495359;-8.355524;-8.262973;-8.153574
ZINC000011717151;-8.512643;-9.700506;-9.265614;-9.010249;-9.0307865
ZINC000011717140;-9.32851;-9.808006;-9.216933;-9.00437;-8.920326
ZINC000011771081;-8.421192;-7.4686885;-7.73658;-8.349401;-7.9187427
ZINC000011773450;-8.637385;-8.376392;-8.415539;-9.472979;-8.378656
ZINC000011773456;-8.147861;-8.244276;-8.552631;-8.239334;-8.191313
ZINC000012457806;-8.015661;-8.343056;-8.3218565;-8.5200205;-8.123722
ZINC000012457805;-8.589172;-8.306876;-8.460777;-8.44688;-8.066347
ZINC000020240742;-8.641508;-9.250305;-8.818095;-8.413874;-8.458212
ZINC000011815492;-8.0379715;-7.94758;-7.488657;-7.5602193;-8.08515
ZINC000011815490;-7.979717;-7.7882695;-7.224374;-7.5041223;-7.8256817
ZINC000011817043;-9.165102;-9.124043;-8.412469;-8.466274;-8.647865
ZINC000011816860;-8.507166;-8.457514;-8.049035;-8.319119;-8.089024
ZINC000011816861;-7.832243;-8.165254;-7.9625297;-8.343882;-8.044351
ZINC000011817030;-7.588427;-7.60756;-7.1978946;-7.6612124;-7.2596073
ZINC000011817042;-9.904367;-9.992213;-10.001075;-9.592335;-9.399104
ZINC000011817381;-8.274892;-8.81568;-8.304732;-8.106585;-7.652728
ZINC000011817958;-8.923574;-8.688119;-8.417056;-8.856264;-8.7156315
ZINC000011820385;-8.555758;-8.46806;-8.514707;-8.59017;-8.653707
ZINC000011820558;-8.219806;-8.649701;-8.557904;-9.303849;-8.355215
ZINC000011838937;-8.825752;-8.115162;-8.202525;-8.238252;-8.457634
ZINC000011838934;-8.861382;-8.083599;-8.009781;-8.1787615;-8.194841
ZINC000011840751;-7.741868;-8.369086;-8.4866705;-8.643845;-8.27656
ZINC000011840749;-8.500368;-8.61956;-8.774267;-8.799581;-8.220347
ZINC000011841518;-8.729977;-7.8950725;-7.859789;-8.131545;-8.100141
ZINC000011841520;-8.70173;-7.915456;-8.051052;-8.202914;-8.357748
ZINC000011842275;-9.207815;-8.564633;-8.2655;-8.682532;-8.691216
ZINC000011842752;-8.605065;-8.565432;-8.905904;-9.102375;-8.941327
ZINC000011844072;-8.628672;-8.473507;-7.9457192;-8.150736;-7.980715
ZINC000011844073;-8.764547;-8.4591675;-7.6735067;-7.914852;-7.8967957
ZINC000011873659;-7.2692747;-8.101815;-7.8990717;-7.9898543;-7.5723267
ZINC000011873660;-7.7931886;-8.293103;-8.020049;-7.8991513;-7.5755544
ZINC000011874010;-9.782648;-9.988176;-9.015669;-9.120437;-9.130238
ZINC000011879503;-8.190432;-9.461235;-8.344809;-8.584774;-9.004449
ZINC000011879502;-9.0285425;-9.712748;-8.99774;-8.819651;-8.888775
ZINC000011879704;-9.249458;-8.667552;-8.953556;-8.620236;-9.533994
ZINC000011933144;-8.83637;-9.866778;-8.875862;-8.53346;-9.322572
ZINC000011933143;-9.194049;-9.741592;-8.934406;-8.520123;-9.736457
ZINC000011933164;-8.467856;-9.245072;-9.8719635;-9.628905;-9.361697
ZINC000011933211;-8.519882;-9.387721;-9.348528;-8.77501;-9.203459
ZINC000011933165;-8.554106;-9.388216;-9.414877;-9.532489;-9.223659
ZINC000011933210;-7.985299;-9.185067;-8.620832;-8.419618;-7.976415
ZINC000011933934;-7.5819016;-8.264278;-8.085592;-8.250259;-8.301111
ZINC000011933933;-8.133321;-8.369453;-8.445578;-8.390022;-8.290633
ZINC000011934834;-8.633113;-8.8386345;-9.337428;-8.877318;-8.926801
ZINC000011934835;-8.353092;-8.963268;-9.274598;-9.467939;-9.11067
ZINC000011936106;-9.302945;-9.483137;-9.025034;-8.540045;-8.487453
ZINC000011949685;-9.305472;-7.925659;-8.861779;-8.6945;-8.389963
ZINC000011949692;-8.66731;-7.893736;-8.750364;-8.705698;-8.422078
ZINC000011954850;-8.975929;-8.423483;-8.523617;-8.778257;-8.5830965
ZINC000011958436;-9.602033;-9.496442;-9.143775;-9.146856;-9.110813
ZINC000011958442;-8.639894;-9.224111;-8.44525;-8.918575;-9.059655
ZINC000011958636;-9.094095;-8.57969;-8.519949;-8.261167;-8.744453
ZINC000011958640;-8.710821;-8.523243;-9.029383;-8.012574;-8.136195
ZINC000011970868;-9.470176;-8.472118;-8.584776;-8.28091;-9.090073
ZINC000011970859;-9.297302;-8.995574;-8.630708;-8.512778;-8.560353
ZINC000011978083;-8.364399;-8.937744;-8.795611;-8.598952;-8.41094
ZINC000011978097;-8.593881;-9.3382635;-8.743708;-8.735887;-8.446774
ZINC000011999110;-9.040689;-8.648804;-8.2722225;-8.801846;-8.719874
ZINC000011999111;-9.054584;-8.630599;-8.374099;-8.48874;-8.508835
ZINC000012000987;-7.513079;-8.257285;-8.306225;-8.48732;-7.9151077
ZINC000012000982;-7.956464;-8.401814;-8.570469;-8.692313;-7.6782227
ZINC000012003206;-9.3245945;-8.73816;-8.986168;-8.729612;-8.577097
ZINC000012021314;-8.975282;-9.100103;-8.692146;-8.785359;-8.964375
ZINC000012026917;-8.806114;-8.520924;-8.120802;-8.58797;-8.25434
ZINC000012026922;-8.75096;-9.090937;-8.651059;-8.849501;-8.706064
ZINC000012028137;-9.234258;-9.560263;-9.496628;-9.937034;-9.894588
ZINC000012028135;-8.886171;-9.807267;-9.026009;-9.599294;-9.996499
