name;01;02;03;04;05
ZINC000020327470;-7.131216;-7.5991864;-7.5152674;-7.471899;-7.208626
ZINC000020327475;-6.171368;-7.293967;-6.9262915;-7.111485;-7.3328457
ZINC000020363755;-7.665427;-7.7289996;-7.4078717;-7.517111;-7.541469
ZINC000020363753;-7.41523;-7.1469173;-7.387606;-7.2098703;-7.5565267
ZINC000016838199;-8.456833;-8.109373;-7.9444256;-8.06182;-8.263983
ZINC000016838196;-8.4839;-8.209171;-7.808502;-8.171053;-8.202991
ZINC000019794014;-8.242916;-8.769571;-8.027653;-7.802552;-7.8521924
ZINC000019794016;-8.310985;-8.416931;-8.3024645;-7.870179;-7.742363
ZINC000019794022;-7.782356;-8.254546;-8.710402;-7.835471;-8.067268
ZINC000020439842;-7.667964;-7.55888;-7.751727;-7.6508408;-7.592701
ZINC000012459707;-8.889773;-8.75635;-8.466772;-8.064508;-7.9454207
ZINC000012459708;-8.6610985;-8.12362;-8.468203;-7.822646;-8.131238
ZINC000022936641;-7.8808775;-7.904805;-7.382311;-8.38145;-8.097549
ZINC000022936638;-7.780432;-7.5166364;-7.4318075;-8.189926;-8.038764
ZINC000023073886;-7.921732;-7.7693634;-7.662697;-7.7062173;-8.047386
ZINC000012581662;-9.060656;-8.95068;-8.369667;-8.408828;-9.080118
ZINC000020601533;-8.473108;-7.5936875;-7.972733;-7.742364;-8.300192
ZINC000020601534;-8.761009;-7.8052855;-7.8500805;-7.9382033;-8.317461
ZINC000012581670;-8.312943;-8.538275;-8.038702;-7.9394636;-8.627917
ZINC000065060096;-8.271064;-8.236587;-8.41403;-8.053984;-7.8824954
ZINC000002439843;-7.6822186;-7.6341724;-7.1315985;-7.471878;-8.223156
ZINC000023612919;-7.82823;-7.4924235;-7.8704443;-7.4442225;-7.8806367
ZINC000049421012;-9.225299;-8.499536;-8.460492;-8.425413;-8.299274
ZINC000049421011;-8.807935;-8.97428;-8.670072;-8.572025;-8.459516
ZINC000065257012;-9.053448;-8.299425;-8.170969;-8.105066;-8.118468
ZINC000065257011;-8.626439;-8.75881;-8.412804;-8.243015;-8.26013
ZINC000524730058;-7.9196444;-8.352571;-9.277306;-8.0622835;-8.288445
