name;01;02;03;04;05
ZINC000012717039;-7.8877153;-7.713347;-8.082988;-8.011797;-7.9671607
ZINC000012200587;-9.321887;-8.318817;-8.241449;-8.046495;-8.900114
ZINC000012200587;-8.958612;-8.589376;-8.313593;-7.910741;-8.77406
ZINC000012200587;-9.321887;-8.318817;-8.241449;-8.046495;-8.900114
ZINC000012200580;-9.668777;-8.455073;-8.707313;-8.107835;-9.340712
ZINC000012200580;-9.8810625;-8.714401;-8.30368;-8.258684;-8.880268
ZINC000012200580;-9.087366;-8.99764;-8.31952;-8.275316;-8.561583
ZINC000020293526;-10.200902;-10.119346;-10.124265;-10.5063715;-9.925155
ZINC000020293522;-10.854914;-9.753461;-9.632347;-10.087946;-9.884523
ZINC000020322267;-9.657285;-9.175906;-9.274706;-9.179302;-9.411638
ZINC000020322267;-9.419306;-8.59288;-8.631689;-8.686118;-9.072866
ZINC000012049266;-9.151197;-9.114324;-7.887629;-8.294111;-8.517646
ZINC000012710442;-8.021776;-8.627052;-8.283636;-7.8752246;-8.363239
ZINC000012710438;-7.9031434;-8.550976;-8.147559;-8.157503;-8.447242
ZINC000012128304;-9.639261;-8.803864;-9.50855;-8.51371;-8.321338
ZINC000012128310;-8.859021;-8.141366;-8.983091;-8.124653;-8.131352
ZINC000012155502;-8.694412;-8.811114;-8.605014;-8.839567;-8.852372
ZINC000012155500;-9.972746;-9.248368;-9.26632;-9.081901;-8.932821
ZINC000017318141;-8.877225;-9.24054;-9.206972;-9.428948;-9.477343
ZINC000023338121;-9.768468;-9.345726;-9.405389;-8.96225;-9.8982525
ZINC000023339060;-8.738607;-8.945077;-9.0937195;-8.4286375;-8.387318
ZINC000023339060;-8.927464;-9.252005;-8.804748;-8.98823;-8.905567
ZINC000023339060;-8.403765;-8.978218;-8.739133;-8.80133;-8.765814
ZINC000023339060;-8.927464;-9.252005;-8.804748;-8.98823;-8.905567
ZINC000023339058;-9.366136;-9.023165;-9.362219;-9.384678;-8.983481
ZINC000023339058;-8.942047;-9.049632;-9.166284;-9.095583;-9.065956
ZINC000023339058;-8.942055;-9.049663;-9.16626;-9.095634;-9.065958
ZINC000023339058;-8.384659;-9.017253;-8.88586;-8.675064;-8.839582
ZINC000065060113;-8.951468;-9.138487;-8.979094;-9.249651;-9.138361
ZINC000020600968;-10.683144;-9.918936;-10.250712;-9.8107605;-9.989413
ZINC000020600967;-10.502391;-9.772713;-10.331461;-10.041981;-10.3473
ZINC000013130159;-9.480213;-9.5109415;-8.4570465;-9.764457;-9.232608
ZINC000065289699;-9.204302;-8.849808;-8.902437;-8.7266;-9.217282
ZINC000065289699;-9.305246;-9.108781;-9.02999;-8.860649;-9.226275
ZINC000012303694;-9.2241535;-9.084275;-8.225058;-9.041393;-8.856746
ZINC000012303694;-9.445208;-9.470332;-8.614918;-8.65063;-9.34358
ZINC000012706187;-9.254113;-9.565799;-9.307825;-9.059959;-9.714069
ZINC000012303695;-9.37277;-9.071267;-8.529161;-9.212299;-8.551906
ZINC000012303695;-9.651649;-9.45101;-8.587387;-8.423397;-9.09313
ZINC000024828931;-8.682092;-9.125274;-9.033616;-9.35802;-9.276101
ZINC000015002657;-8.310466;-8.818137;-8.533463;-8.281528;-8.365294
ZINC000252624950;-7.8074245;-7.7782154;-7.3470697;-8.081923;-7.8032436
ZINC000252624950;-8.224623;-8.63181;-7.1427093;-7.7862215;-7.8726425
ZINC000252624950;-8.089443;-8.988806;-7.850996;-7.5521502;-7.8653
ZINC000096792294;-8.214939;-8.345295;-8.295454;-8.0664835;-9.568368
ZINC000096792295;-8.964478;-8.758295;-8.380195;-8.116375;-9.237169
ZINC000011662756;-9.005639;-8.841789;-9.30382;-9.086773;-9.23936
ZINC000011662757;-8.886232;-9.174906;-9.501202;-9.326091;-9.2606125
ZINC000100073728;-9.369488;-8.921223;-8.963381;-9.116126;-8.786219
ZINC000012704792;-8.879473;-8.585291;-8.093662;-8.616158;-8.444411
ZINC000055037081;-8.182291;-8.833159;-8.73848;-7.920918;-8.926358
ZINC000055037081;-8.864781;-8.752752;-8.593067;-8.175824;-8.973546
ZINC000012706862;-8.668907;-9.128318;-8.252644;-8.176455;-8.946605
ZINC000012706858;-8.407216;-8.899778;-8.180582;-8.632684;-8.940839
ZINC000020599080;-10.147453;-9.663049;-9.6138;-9.636177;-9.903232
ZINC000012595196;-9.404705;-8.777781;-8.812863;-8.806816;-9.102088
ZINC000012595196;-8.921809;-8.761628;-8.688129;-9.176607;-8.437683
ZINC000012595196;-9.344134;-8.538491;-8.587157;-8.678873;-8.831234
ZINC000012595196;-9.310258;-8.558209;-8.68824;-8.605174;-8.173757
ZINC000012595201;-9.175146;-8.407545;-8.431817;-8.724276;-8.049399
ZINC000012595201;-9.486373;-8.2589245;-8.215669;-8.853191;-8.533965
ZINC000012595201;-8.586599;-8.508693;-8.387559;-8.589148;-8.221856
ZINC000012595201;-9.175146;-8.407545;-8.431817;-8.724276;-8.049399
ZINC000020599079;-10.140903;-9.892694;-9.199573;-9.639984;-9.297495
ZINC000012301865;-9.921649;-8.682394;-8.8778715;-9.309704;-9.532012
ZINC000012301865;-9.377066;-8.933158;-9.408055;-8.602277;-9.253937
ZINC000012301865;-9.912206;-8.971792;-9.557375;-9.376396;-9.22457
ZINC000253487152;-8.928693;-8.611337;-8.303054;-9.092716;-9.149975
ZINC000253487152;-8.776736;-8.871825;-8.904573;-9.039864;-9.170037
ZINC000253487150;-8.67567;-9.033874;-8.744844;-9.244511;-9.182137
ZINC000253487150;-8.4274845;-8.326382;-8.639719;-8.9567795;-9.096598
ZINC000253487151;-8.762503;-8.601378;-8.573377;-8.933692;-9.014618
ZINC000253487151;-8.829914;-8.738475;-8.847974;-9.10615;-9.29763
ZINC000012301864;-9.932688;-9.273182;-9.596845;-9.233021;-9.816177
ZINC000012301864;-9.587752;-8.815601;-8.982867;-9.271623;-9.583531
ZINC000012301864;-9.698874;-9.29254;-9.525506;-9.47018;-9.5372095
ZINC000012317515;-8.967527;-8.973315;-8.183446;-9.01637;-8.931027
ZINC000012317514;-8.891808;-8.863838;-7.9297876;-9.267301;-9.127347
ZINC000019327724;-8.728164;-8.956641;-8.6778;-9.774097;-9.339031
ZINC000019327724;-8.264538;-8.514521;-8.465897;-8.8647;-9.194746
ZINC000019327724;-8.675023;-9.06159;-8.8432665;-9.195748;-9.16904
ZINC000012710250;-9.381164;-9.145989;-8.788608;-9.329841;-9.42561
ZINC000012710254;-9.809546;-9.043873;-8.765218;-8.755625;-9.2290325
