name;01;02;03;04;05
ZINC000019805107;-7.816866;-7.978864;-7.5461426;-7.6676884;-7.33038
ZINC000019371672;-7.8115234;-7.4872622;-7.273209;-7.541023;-7.2543144
ZINC000019371672;-8.395873;-7.861386;-7.6705985;-7.2035255;-7.889897
ZINC000019371672;-7.890032;-7.831377;-7.616033;-7.7963943;-7.929745
ZINC000019852674;-8.824849;-9.289656;-8.522276;-9.111816;-8.73312
ZINC000020079540;-8.856494;-8.595187;-8.229268;-8.6846485;-8.211814
ZINC000022066510;-7.6409435;-7.5778055;-7.644395;-7.639271;-7.6175995
ZINC000022066510;-7.863732;-7.9525385;-8.075406;-7.386767;-7.686882
ZINC000022066510;-7.9915743;-8.061469;-7.5341606;-7.471075;-7.7033525
ZINC000022454243;-7.9604316;-7.981166;-7.815789;-7.777749;-7.9982214
ZINC000022454243;-7.9797277;-7.570187;-7.466486;-7.673165;-7.4777
ZINC000022454243;-7.780427;-7.5873804;-7.637026;-7.9045305;-7.91049
ZINC000059211785;-8.351364;-8.589171;-7.5457935;-8.133643;-7.7333136
ZINC000035927729;-8.565803;-8.913792;-8.524083;-8.727905;-8.330424
ZINC000055252588;-7.7062836;-7.5060415;-7.9686494;-7.4870133;-7.2222495
ZINC000055252588;-7.376084;-7.6302314;-7.6793118;-7.4685993;-7.179111
ZINC000012431922;-8.816051;-9.048663;-8.828706;-8.403372;-8.587465
ZINC000012431923;-9.342304;-9.361981;-9.684107;-9.104617;-9.1077385
ZINC000014929512;-9.543528;-8.554115;-8.816869;-8.961025;-8.24444
ZINC000014929512;-8.846611;-8.675186;-8.724401;-9.545669;-7.8797407
ZINC000012856681;-9.317594;-9.6631565;-8.804608;-9.389515;-8.896556
ZINC000024774296;-8.239973;-7.3862095;-8.057488;-8.233855;-7.3658295
ZINC000024774296;-7.8633785;-7.6592546;-7.9582434;-7.856035;-7.566257
ZINC000238899655;-7.3529363;-7.0827336;-6.975339;-7.664073;-7.6057835
ZINC000238899658;-7.0506244;-6.990578;-6.9046593;-7.5463033;-7.4629464
ZINC000002896317;-7.961329;-7.416209;-8.283812;-8.184924;-8.170234
ZINC000010058911;-9.189894;-9.107613;-8.933884;-8.5610075;-9.036458
ZINC000095681703;-3.7472332;-3.6565523;-3.1551614;-3.3156269;-3.5986588
ZINC000017045527;-7.497395;-7.761348;-7.674829;-7.749901;-7.610288
ZINC000012569108;-7.921095;-8.598291;-8.545063;-8.379872;-8.580038
ZINC000012569108;-8.571631;-8.455845;-8.541998;-8.54958;-8.63437
ZINC000055271639;-8.754307;-8.165785;-8.861933;-8.57918;-8.534342
ZINC000008453890;-5.737149;-5.811994;-5.297607;-6.0217433;-5.156929
ZINC000008618089;-7.0018263;-6.591774;-7.240436;-7.137491;-7.384275
ZINC000008618093;-7.4866576;-6.829565;-6.8363957;-7.1256356;-7.37274
ZINC000247654071;-9.646748;-9.486549;-8.975569;-9.526365;-9.289879
ZINC000012711680;-9.194321;-8.327386;-9.009206;-8.814262;-8.040251
ZINC000096585589;-9.42967;-9.395269;-9.234396;-9.215429;-8.980227
ZINC000012711683;-9.162688;-8.780691;-9.183299;-9.319107;-8.229284
ZINC000252694454;-7.799856;-8.237622;-8.022823;-8.135621;-8.084811
ZINC000252694656;-7.8948364;-8.52143;-8.530593;-8.869274;-8.472901
ZINC000035363872;-9.227396;-8.341096;-8.812369;-8.104834;-8.662502
ZINC000035363873;-8.479925;-8.587858;-8.49655;-8.344057;-8.777905
ZINC000100076995;-8.557744;-9.064371;-9.002051;-9.164619;-8.840514
ZINC000036248930;-7.91059;-7.1932945;-6.6147804;-6.9339504;-6.7367554
ZINC000036301586;-8.2373295;-7.93391;-7.5473113;-7.532577;-8.153686
ZINC000012569109;-8.50056;-8.31283;-8.68514;-8.444985;-8.604692
ZINC000012569109;-7.7025166;-8.574176;-8.531981;-8.115234;-8.48838
ZINC000055132137;-8.617827;-8.086668;-8.899789;-8.608264;-8.354077
ZINC000055225997;-9.168915;-8.203027;-9.763532;-9.118705;-8.321724
ZINC000055225997;-8.784221;-8.528649;-9.058243;-8.933633;-8.570847
ZINC000055132134;-9.126913;-7.8148136;-9.390676;-8.792934;-8.112786
ZINC000055225993;-8.592676;-8.493395;-9.438381;-8.962689;-8.531736
ZINC000055225993;-9.157974;-8.403789;-9.457544;-9.10411;-8.376084
ZINC000036345931;-8.3365345;-7.1168437;-7.111434;-7.1555424;-7.7791452
ZINC000036308856;-7.7781973;-8.684358;-7.2782555;-8.202756;-7.863964
ZINC000036308857;-8.320642;-8.861738;-7.2270713;-8.324094;-7.9492903
ZINC000036304775;-8.535364;-7.713118;-7.732815;-7.6984205;-8.015581
ZINC000036308418;-7.9305806;-7.624716;-7.570085;-7.3550787;-7.8270655
ZINC000036308422;-7.421419;-7.5550904;-7.245124;-7.5769534;-7.8890877
ZINC000036345869;-8.311949;-7.737904;-7.504951;-7.668265;-7.8919735
ZINC000036345932;-7.7917004;-7.3141084;-6.8010683;-6.8909655;-7.5636706
ZINC000102845443;-7.5430107;-7.196062;-7.9405794;-7.1083646;-6.915312
ZINC000036345870;-8.451905;-7.5503955;-7.5356445;-7.8246484;-7.836647
ZINC000036304778;-8.562804;-7.490009;-7.682313;-7.9200106;-7.9721284
ZINC000013134916;-8.242973;-8.007635;-7.5980268;-8.270115;-8.2987795
ZINC000103297082;-8.009102;-7.6437883;-7.903711;-7.385625;-7.0898514
ZINC000019229499;-9.093321;-9.362582;-8.6004095;-8.86921;-8.642878
ZINC000019229501;-8.788055;-8.841075;-8.640643;-8.411555;-8.547028
ZINC000328596496;-8.772147;-8.384135;-9.039194;-8.5855055;-9.097387
ZINC000079024410;-8.480037;-8.474344;-8.126796;-8.2312355;-7.9712753
ZINC000079024410;-7.8699646;-8.171462;-7.963629;-8.295708;-7.9748006
ZINC000079024405;-7.9166226;-8.25629;-8.400376;-8.224308;-8.096167
ZINC000079024405;-7.6064095;-8.492804;-7.932513;-7.989487;-8.024565
ZINC000019690965;-8.468562;-8.460635;-8.036806;-8.400056;-8.681722
ZINC000013895645;-8.332255;-8.52773;-8.351509;-8.301627;-7.7749796
ZINC000012476453;-8.62829;-8.3873415;-9.517422;-8.256289;-8.07373
ZINC000012476448;-8.993099;-8.607769;-9.468423;-8.4532585;-8.135137
ZINC000019805100;-8.546619;-8.831042;-8.312241;-8.170857;-8.306373
ZINC000019820534;-7.9584126;-8.542163;-8.217758;-7.8720837;-8.34309
ZINC000020057562;-8.180501;-7.703471;-8.082123;-8.703866;-7.670578
ZINC000020111962;-7.065438;-7.474571;-7.369524;-6.972655;-7.3391075
ZINC000020111962;-7.889317;-7.9431953;-7.4436345;-7.038531;-7.459044
ZINC000020111965;-7.9178734;-7.787246;-7.3723135;-7.4829006;-7.124335
ZINC000020111965;-6.9639945;-7.212204;-7.248547;-7.0938945;-7.3670726
ZINC000100152895;-8.198717;-8.636672;-8.5584;-8.345299;-8.3952675
ZINC000100152895;-8.385845;-8.294519;-8.417802;-8.428094;-8.739232
ZINC000020538283;-9.42331;-8.600121;-9.081261;-8.896175;-8.553881
ZINC000020538283;-9.901495;-8.398852;-9.088867;-8.91362;-8.722267
ZINC000082051424;-8.491202;-8.648556;-8.866492;-8.755201;-8.62057
ZINC000012885716;-8.174782;-8.573497;-7.9107423;-7.691797;-8.371626
ZINC000082051426;-8.601812;-8.54407;-7.834267;-8.339225;-8.387233
ZINC000055271637;-8.987319;-8.305607;-8.963963;-8.613249;-8.406857
ZINC000020191283;-8.293086;-8.594186;-8.359019;-8.074173;-8.109933
ZINC000023753215;-9.270227;-8.87296;-8.645291;-8.700337;-8.784054
ZINC000023983039;-7.9994655;-8.3091755;-7.7267027;-7.6964383;-8.109674
ZINC000012809819;-8.613143;-7.9732885;-8.02723;-7.858376;-7.1626
ZINC000012809819;-7.5919676;-8.633372;-7.8680077;-8.417166;-8.04692
ZINC000012809828;-7.7175074;-8.255092;-7.895723;-7.938882;-7.807575
ZINC000012809828;-8.841786;-7.1748037;-8.075449;-8.05255;-7.5112014
ZINC000004928446;-8.79895;-8.8134985;-7.857521;-8.19686;-8.426902
ZINC000032829548;-8.384226;-9.128396;-8.548602;-8.765395;-9.053376
ZINC000032829904;-8.460254;-9.166726;-8.826981;-9.047428;-9.10935
ZINC000230110762;-8.562239;-8.286813;-7.1090355;-8.41289;-8.044024
ZINC000107352948;-7.139289;-7.787472;-7.580507;-7.2553473;-7.1449013
ZINC000004082415;-7.6763515;-8.545062;-8.280742;-8.291667;-8.267929
ZINC000014929514;-9.022887;-8.519091;-8.483867;-9.273652;-8.321636
ZINC000014929514;-9.264477;-8.3250065;-8.556757;-8.72173;-8.339716
ZINC000105002810;-8.053447;-8.204368;-7.665077;-8.432691;-8.054266
ZINC000105003586;-7.920745;-7.552862;-7.6035433;-7.6378336;-7.9600363
ZINC000008740046;-7.623744;-7.939952;-7.8568316;-8.34876;-7.9410844
ZINC000008740467;-6.7153287;-8.349687;-8.815161;-8.633201;-8.195924
ZINC000008764306;-7.6208453;-8.207513;-7.68412;-7.386388;-7.8885307
ZINC000008791137;-8.741748;-8.907802;-8.837265;-8.690863;-8.941328
ZINC000020827697;-8.84232;-8.458019;-9.127692;-8.697159;-8.962039
ZINC000020827697;-8.847582;-8.4551735;-9.128272;-8.6961565;-8.962229
ZINC000008934312;-9.362085;-7.9984865;-8.114175;-7.5177803;-8.5786705
ZINC000015085765;-7.5945077;-7.6880007;-7.6980944;-7.8046503;-7.882955
ZINC000022937240;-9.475208;-9.0371685;-8.159847;-8.863977;-8.498215
ZINC000022937243;-9.508136;-8.831923;-8.69048;-9.24303;-8.717147
ZINC000009170664;-8.820023;-8.775865;-8.727622;-8.756146;-9.370094
ZINC000009170658;-8.892148;-8.875427;-8.692286;-8.7305;-9.258651
ZINC000009273095;-8.200631;-8.767568;-8.120436;-8.540501;-8.912362
ZINC000022787686;-9.235365;-8.964425;-8.696377;-8.970215;-8.879668
ZINC000089368961;-8.001528;-7.7803655;-7.847902;-8.275544;-8.034487
ZINC000089368961;-7.8983173;-8.311654;-7.6915035;-8.286612;-8.184457
ZINC000089368959;-7.7914715;-8.141222;-8.174849;-8.133826;-8.046804
ZINC000089368959;-8.018544;-8.133817;-7.765389;-8.282709;-7.915089
ZINC000107352944;-6.64275;-7.7438517;-7.3185816;-7.0175996;-6.753461
ZINC000015659422;-9.022552;-8.480761;-8.037187;-7.9748044;-8.096063
ZINC000108520513;-6.8143535;-7.9725246;-7.745079;-6.97528;-6.608024
ZINC000108520508;-7.488628;-7.8267064;-8.164348;-7.5587115;-6.976983
ZINC000010101568;-8.388283;-7.6782846;-8.341586;-8.353028;-7.842314
ZINC000010101568;-7.483843;-8.491299;-7.7979093;-8.539439;-8.261246
ZINC000010101571;-8.054153;-8.77483;-8.2335825;-8.2434635;-8.035279
ZINC000010101571;-8.704624;-7.8877707;-7.9815135;-8.463919;-7.746779
ZINC000022938514;-8.755275;-8.5772915;-7.940564;-8.169329;-8.677409
ZINC000022938510;-8.088033;-8.525494;-7.81808;-7.890086;-7.924095
ZINC000036167769;-7.938795;-7.0052648;-6.6682105;-7.6397505;-7.264983
ZINC000016193404;-7.264899;-7.227814;-7.107532;-7.145408;-7.1755834
ZINC000012281547;-8.343946;-8.276012;-8.14479;-8.210006;-7.89267
ZINC000012281548;-8.317046;-8.280371;-8.200472;-8.360547;-7.8218164
ZINC000016426710;-8.576925;-8.374616;-7.969236;-8.588422;-8.774542
ZINC000104985107;-8.403605;-7.881079;-7.569172;-7.6180887;-8.2716875
ZINC000104985103;-8.185576;-7.876873;-7.9104524;-7.498323;-7.9884753
ZINC000104983182;-8.16969;-7.515763;-7.0416675;-7.350061;-8.151787
ZINC000104983179;-7.9390116;-7.5506964;-7.340211;-7.2106667;-7.926572
ZINC000104999497;-8.614564;-7.638126;-7.087067;-7.581875;-7.160838
ZINC000104983237;-7.739164;-7.459258;-7.334495;-7.333034;-7.7453175
ZINC000012878808;-9.267283;-8.680042;-8.75646;-8.728358;-8.708454
ZINC000012878808;-9.2699;-8.704018;-8.782617;-8.68329;-8.7132015
ZINC000025076700;-7.1860094;-7.3324013;-7.4465427;-7.439552;-7.67052
ZINC000012241585;-9.313454;-8.822399;-7.8677034;-8.772851;-8.51552
ZINC000012654630;-7.9850216;-7.8976216;-8.302807;-7.577772;-7.4874744
ZINC000012662011;-7.707862;-7.8799663;-7.0629463;-8.015595;-7.9091587
ZINC000012896946;-8.127998;-8.086956;-7.27709;-7.8894086;-7.942836
ZINC000012874013;-7.9511886;-8.194615;-8.436669;-8.318398;-8.010312
ZINC000072324081;-8.438095;-8.665226;-8.270845;-7.991619;-8.269206
ZINC000061992873;-7.850853;-8.059022;-8.0462475;-7.7082233;-8.03011
ZINC000072324082;-8.133337;-8.087754;-7.996334;-7.8715234;-8.001422
ZINC000061992874;-7.623047;-7.801299;-7.714799;-7.6915846;-7.5872154
ZINC000020685843;-8.63773;-8.875265;-8.8964615;-8.586541;-8.936266
ZINC000020685843;-8.671182;-8.86124;-8.65466;-8.841041;-8.618434
ZINC000012369841;-7.803734;-8.523323;-7.5908346;-8.744051;-8.271858
ZINC000018087471;-7.1698856;-7.2984405;-7.815977;-6.7883883;-6.751928
ZINC000018175364;-7.7102766;-7.3202286;-7.7303143;-7.225928;-6.947375
ZINC000013582750;-8.35229;-9.167353;-8.470898;-8.209141;-8.468851
ZINC000013582750;-8.209294;-9.107262;-8.448908;-8.157643;-8.494465
ZINC000033027216;-8.473466;-8.971023;-7.918506;-8.684135;-8.864877
ZINC000036207783;-7.8997507;-7.9565268;-7.514736;-7.7341805;-7.924147
ZINC000036207783;-8.016393;-8.100338;-7.644252;-7.571322;-7.871453
ZINC000036315996;-8.949266;-7.6686883;-7.953103;-7.7967997;-8.405595
ZINC000036306318;-8.826418;-7.8663344;-7.9212017;-7.829898;-8.500916
ZINC000036146711;-8.335624;-7.656644;-7.258882;-7.36509;-7.794935
ZINC000036146710;-8.091344;-7.3197827;-6.9625344;-7.6622505;-7.653384
ZINC000036306320;-8.54728;-7.730953;-7.758601;-7.913526;-8.168244
ZINC000036315997;-8.531706;-7.6931725;-7.7079086;-7.853914;-8.007479
ZINC000036207784;-8.113762;-7.7839603;-7.475417;-7.7833476;-7.3225675
ZINC000036207784;-7.591241;-8.07467;-7.1412325;-7.8454885;-7.4173183
ZINC000096429685;-8.928006;-9.143046;-9.111812;-8.832569;-9.045794
ZINC000061991149;-7.182513;-8.551812;-9.0766535;-8.835499;-8.451593
ZINC000055072893;-9.059957;-8.853052;-9.6937275;-9.258177;-8.7914715
ZINC000055072889;-8.649132;-7.9670515;-9.261107;-8.90377;-8.337006
ZINC000083877862;-6.815999;-7.7746387;-7.2540927;-7.3029633;-6.9882407
ZINC000083877864;-7.2368016;-8.12551;-7.2577744;-7.245573;-7.1179953
ZINC000011786900;-6.921502;-7.274031;-7.313568;-7.524322;-7.8345785
ZINC000011821045;-10.256644;-8.97581;-9.879126;-9.32696;-9.2592125
ZINC000011821044;-9.88903;-8.951047;-9.536112;-8.998452;-9.363115
ZINC000011909999;-9.430101;-8.566248;-7.6725154;-9.071566;-8.701641
ZINC000012053268;-7.9632354;-8.230031;-8.323819;-8.330194;-8.6610365
ZINC000014983189;-8.201929;-8.173303;-8.371298;-8.05713;-7.8638134
ZINC000014980408;-8.489186;-8.796878;-9.232015;-8.66032;-8.540163
ZINC000015076348;-9.087467;-9.23241;-8.904711;-8.91307;-8.873802
ZINC000014980411;-9.147928;-9.103944;-9.660026;-8.832977;-8.291937
ZINC000015076350;-9.781904;-9.555897;-9.819056;-9.562786;-9.366803
ZINC000229428342;-8.645031;-8.602234;-8.338346;-7.8836393;-8.039678
ZINC000229428342;-7.9911103;-8.29431;-8.391234;-8.350002;-8.10596
ZINC000229428328;-7.9641194;-8.257397;-7.9816723;-8.114041;-7.901307
ZINC000229428328;-7.698577;-8.335033;-8.29867;-7.6502066;-7.874071
ZINC000022215445;-6.5794086;-6.8996873;-7.2916;-6.4330864;-6.6393943
