name;01;02;03;04;05
ZINC000020840406;-7.199135;-7.7052975;-7.3348384;-7.278958;-7.345443
ZINC000020840409;-7.057715;-7.8207517;-7.0789356;-7.242426;-7.2947125
ZINC000020329108;-8.188098;-8.407385;-8.619476;-8.5050745;-8.338923
ZINC000020329101;-8.635164;-8.772494;-8.872553;-8.394618;-8.735046
ZINC000020395182;-7.1294823;-7.572432;-7.5441446;-7.8567047;-7.3112264
ZINC000020431988;-6.8269877;-6.081246;-6.345645;-6.2381988;-6.394826
ZINC000020431986;-6.946119;-6.4320807;-6.5167522;-6.574995;-6.433128
ZINC000019792870;-7.619192;-8.242329;-8.221464;-7.4892926;-7.867195
ZINC000019792868;-7.6004543;-8.4591675;-8.056455;-7.6056266;-8.153331
ZINC000011275458;-7.221897;-6.8244743;-6.751109;-6.794229;-7.004052
ZINC000011275458;-7.3389587;-7.30114;-7.4624076;-7.2312107;-7.442743
ZINC000011275455;-7.273257;-6.9323707;-6.787638;-6.693193;-7.088145
ZINC000011275455;-7.537455;-7.4417725;-7.3313384;-7.260397;-7.570976
ZINC000012328846;-7.7845173;-7.24519;-7.4813437;-7.6593776;-8.231815
ZINC000012328846;-7.540085;-7.3805103;-7.657598;-7.9389095;-8.370291
ZINC000017251576;-6.7381268;-7.2694025;-7.0602856;-7.443248;-7.440466
ZINC000033286683;-7.123569;-7.4952226;-7.3934383;-7.641258;-7.307102
ZINC000023279928;-7.449286;-7.6427994;-7.5387673;-7.132087;-7.505134
ZINC000023279928;-7.321537;-7.599224;-7.5640955;-7.3521624;-7.4494486
ZINC000033305848;-7.8030987;-8.627439;-7.9158216;-8.016617;-7.9131722
ZINC000033313370;-8.104751;-8.263487;-8.308927;-8.23701;-8.432702
ZINC000033332248;-8.178563;-8.4542675;-8.142741;-8.177287;-8.503518
ZINC000033334146;-8.228485;-8.224726;-7.829254;-8.348383;-8.31179
ZINC000033332810;-7.123101;-7.605623;-7.1192846;-7.7084217;-7.3422675
ZINC000033333070;-7.145882;-7.344621;-7.1747975;-7.510354;-7.051298
ZINC000033333057;-7.9300947;-7.749238;-7.6814528;-7.9837418;-7.589546
ZINC000033333118;-6.983615;-7.280732;-7.2524123;-7.1272073;-7.2781706
ZINC000036569538;-8.592966;-8.230502;-8.667697;-8.473465;-8.654532
ZINC000036569538;-8.471439;-9.162695;-8.705906;-8.482862;-9.21777
ZINC000033334455;-8.338039;-8.197052;-8.286488;-8.311036;-7.9721785
ZINC000033335841;-7.306386;-7.4193645;-7.454125;-7.566548;-7.4735093
ZINC000036584548;-8.484311;-9.351297;-8.653951;-8.315156;-8.842158
ZINC000036585267;-8.338016;-8.450875;-8.570565;-8.244425;-8.40292
ZINC000036585267;-8.854359;-9.154428;-8.758892;-8.28331;-8.943691
ZINC000020763638;-7.9542427;-8.0877495;-8.265815;-8.30884;-8.190023
ZINC000033343247;-8.570812;-8.245623;-7.7998314;-7.8527813;-8.462368
ZINC000033343385;-9.202362;-9.332938;-8.544599;-8.891892;-9.158256
ZINC000098086993;-6.8498917;-7.3777413;-7.29966;-7.2098136;-6.9053593
ZINC000000640817;-8.687638;-8.677727;-8.44533;-8.6392145;-8.654044
ZINC000058085643;-9.029118;-8.643428;-8.889265;-8.351039;-8.146653
ZINC000012444970;-8.415461;-8.379835;-8.154976;-8.744993;-8.745822
ZINC000012444973;-8.557033;-8.499526;-8.192145;-8.835611;-8.799935
ZINC000024527566;-7.4605217;-6.8815575;-7.5633755;-7.1115565;-7.056867
ZINC000024527566;-6.84525;-6.9843545;-6.9205694;-7.024783;-6.9687595
ZINC000024527563;-7.1388583;-7.251357;-7.3900537;-7.064415;-7.239949
ZINC000024527563;-7.1155534;-7.067918;-7.4582686;-7.114618;-7.2163224
ZINC000020763293;-8.325812;-8.952439;-8.84306;-8.040434;-8.970116
ZINC000020763293;-8.008481;-8.012124;-8.484691;-8.492807;-8.350205
ZINC000008387476;-8.435267;-8.342115;-7.872978;-8.334972;-8.704435
ZINC000008398194;-8.555993;-8.030611;-8.006342;-8.480807;-8.210118
ZINC000002131421;-7.764339;-7.75947;-7.60202;-7.7676907;-7.962771
ZINC000002200155;-8.775404;-9.126646;-8.984254;-8.583511;-8.876062
ZINC000002200158;-8.905435;-9.158433;-8.789106;-8.776632;-8.966446
ZINC000002201168;-9.406518;-9.521605;-9.054624;-8.76678;-9.30668
ZINC000002201171;-8.334071;-8.778361;-8.4828415;-8.790146;-8.781233
ZINC000252617731;-8.555993;-8.030611;-8.006342;-8.480807;-8.210118
ZINC000218427246;-7.9204707;-8.161701;-7.9815993;-8.25555;-7.4644737
ZINC000252635709;-8.77816;-7.8187575;-8.019073;-7.97604;-8.437261
ZINC000002240270;-6.503698;-6.8938932;-6.5728106;-6.475923;-6.6605334
ZINC000027520695;-7.65267;-7.643972;-7.418103;-8.219002;-7.4935503
ZINC000027521231;-8.079029;-7.8699207;-7.7394233;-7.7155747;-7.7835503
ZINC000000858026;-7.61845;-7.953974;-7.9568815;-8.008976;-8.049976
ZINC000008914477;-8.726346;-8.334759;-8.2424345;-7.964053;-8.372243
ZINC000001182376;-8.003001;-7.813117;-7.742474;-7.96463;-7.6643734
ZINC000100057371;-7.301647;-7.783146;-7.2650948;-7.8965197;-8.002655
ZINC000001237466;-8.228485;-8.224726;-7.829254;-8.348383;-8.31179
ZINC000001251163;-7.0331445;-7.1422224;-7.172552;-7.1273503;-7.138164
ZINC000001273117;-7.2497244;-7.614505;-7.31641;-7.7676816;-7.350788
ZINC000001276125;-7.169318;-7.5751657;-7.3574276;-7.6804914;-7.2916274
ZINC000001310318;-7.859616;-7.6709185;-7.5648007;-7.9326115;-7.5478616
ZINC000001306294;-7.145882;-7.344621;-7.1747975;-7.510354;-7.051298
ZINC000001310317;-7.859616;-7.6709185;-7.5648007;-7.9326115;-7.5478616
ZINC000100148593;-7.6565886;-8.15568;-7.8622503;-7.7035484;-7.896223
ZINC000100157971;-7.4072146;-7.707326;-7.4302874;-7.304555;-7.6474075
ZINC000018173764;-9.512277;-8.458828;-8.891472;-9.465992;-9.540157
ZINC000001789674;-7.2634926;-7.674861;-7.5354314;-7.7491503;-7.458025
ZINC000001874271;-7.411847;-7.384636;-7.4358287;-7.782607;-7.2367935
ZINC000002307008;-7.5899425;-7.404776;-7.602117;-7.8606915;-7.53677
ZINC000002308971;-7.545873;-7.475171;-7.624564;-7.887015;-8.154872
ZINC000002371170;-7.3448906;-7.8985014;-7.94807;-7.6854334;-7.700345
ZINC000002397147;-7.517645;-7.7506537;-7.358638;-7.614499;-7.7624817
ZINC000009191545;-7.8526235;-7.846518;-7.4945126;-8.331226;-8.155394
ZINC000002604116;-7.398286;-7.8395233;-8.195442;-7.703284;-7.865995
ZINC000101112582;-7.9124584;-8.107632;-7.9743176;-8.472228;-8.283545
ZINC000101112492;-8.463238;-8.490153;-8.35399;-8.934818;-8.739453
ZINC000101112399;-7.801615;-8.142493;-7.9798055;-8.408665;-8.393347
ZINC000101114414;-8.239563;-8.350345;-8.589084;-8.704222;-8.648207
ZINC000101114200;-7.5815954;-8.030505;-7.9793816;-8.554218;-8.019657
ZINC000101114211;-8.15962;-8.681152;-8.729944;-8.844874;-8.894707
ZINC000002801215;-8.611229;-8.400174;-8.436048;-8.531273;-8.318825
ZINC000100502016;-8.383645;-8.616358;-8.847883;-8.842236;-8.913065
ZINC000101148485;-8.09985;-8.490744;-8.444043;-8.353674;-8.459443
ZINC000100500786;-7.801615;-8.142493;-7.9798055;-8.408665;-8.393347
ZINC000100502623;-8.15962;-8.681152;-8.729944;-8.844874;-8.894707
ZINC000100535687;-8.463238;-8.490153;-8.35399;-8.934818;-8.739453
ZINC000100535535;-7.9124584;-8.107632;-7.9743176;-8.472228;-8.283545
ZINC000000827349;-9.195284;-9.519441;-8.986908;-9.495888;-9.63137
ZINC000035268935;-8.2483225;-8.255563;-7.8634186;-8.148415;-8.46142
ZINC000020763349;-8.710935;-9.227864;-8.933935;-8.112723;-9.030034
ZINC000020763349;-8.246886;-8.396725;-8.837357;-8.461256;-8.464856
ZINC000013687593;-8.66002;-8.8311;-8.467193;-9.021378;-9.112992
ZINC000008453944;-6.690841;-7.2333484;-6.923914;-6.6814265;-7.0474663
ZINC000009233516;-9.188031;-9.122446;-8.895074;-8.677306;-8.840574
ZINC000008817223;-7.31724;-7.6030374;-7.263368;-7.7899284;-7.394477
ZINC000033334289;-8.197848;-8.324278;-8.358378;-8.513907;-7.8531785
ZINC000008914574;-7.515622;-7.610184;-7.6359415;-8.060205;-7.579152
ZINC000009012840;-7.7361164;-7.5660267;-7.9160166;-8.203515;-7.452724
ZINC000002411951;-8.503859;-8.778279;-8.844668;-8.481499;-9.059263
ZINC000002411950;-8.380778;-8.562414;-8.822576;-8.2936735;-8.657005
ZINC000002419074;-7.9430695;-8.383574;-8.031732;-7.7350254;-7.9681783
ZINC000011868498;-7.572134;-7.8430963;-7.954426;-7.8868794;-7.9444294
ZINC000011869508;-7.950095;-8.600929;-8.097547;-8.238979;-8.416969
ZINC000011869535;-7.7996745;-8.735331;-8.179939;-7.908851;-8.455162
ZINC000011869533;-7.680035;-8.773962;-8.128334;-8.067407;-8.3875675
ZINC000011869513;-7.6791067;-8.874757;-8.084377;-8.144848;-8.410912
ZINC000011868501;-7.656741;-8.19772;-8.071631;-8.094096;-7.975787
ZINC000002437344;-8.710978;-8.628441;-8.955998;-8.456907;-8.919016
ZINC000002437346;-8.543106;-8.964166;-8.973538;-8.53072;-8.924867
