name;01;02;03;04;05
ZINC000023075883;-8.107735;-8.208357;-8.294137;-7.9172454;-7.6849136
ZINC000004536547;-7.396501;-6.4726562;-4.804854;-6.19533;-5.028467
ZINC000004536545;-7.2127433;-6.435197;-5.1544037;-6.0513225;-5.114248
ZINC000004536541;-6.281519;-6.045276;-4.008627;-6.662188;-4.8212395
ZINC000009915523;-6.7705946;-6.62584;-7.7056637;-7.2424526;-6.9343057
ZINC000012547317;-7.4936914;-7.743948;-7.3617125;-7.78539;-7.44886
ZINC000012547318;-7.498974;-7.8209352;-7.011745;-7.7111025;-7.418564
ZINC000022628444;-6.6062393;-6.7373524;-6.411422;-6.960256;-7.4217315
ZINC000022628441;-7.47478;-7.1562757;-6.637681;-6.335536;-7.3833227
ZINC000023248899;-8.333851;-8.445461;-7.4559126;-7.9645596;-8.338492
ZINC000022610737;-6.5321946;-7.420398;-7.6813097;-6.6102595;-7.1627946
ZINC000022610764;-7.5681524;-7.225297;-5.8792768;-6.7185364;-7.0921674
ZINC000022610674;-6.3167195;-7.620717;-7.7826276;-6.9372597;-7.3316817
ZINC000022610677;-6.942552;-7.1977787;-5.889467;-6.776525;-6.867622
ZINC000022610684;-7.2339845;-7.1551285;-5.8628635;-6.4524775;-6.7800193
ZINC000022610680;-6.3671656;-7.197413;-7.181159;-6.394824;-7.041256
ZINC000022610740;-7.5697722;-6.8319244;-5.716061;-6.2948956;-6.348699
ZINC000022610762;-6.729883;-7.343073;-7.529849;-6.821392;-7.260069
ZINC000239309552;-9.679844;-7.797817;-7.699741;-8.084733;-8.959936
ZINC000239309554;-9.691692;-7.9077897;-8.066904;-7.8764076;-9.04804
ZINC000239309555;-8.595949;-7.2635984;-7.5433035;-7.6391444;-7.8543844
ZINC000239309553;-9.130206;-7.8518763;-7.5775375;-7.701175;-8.152937
ZINC000241774042;-7.820442;-7.1356554;-5.939618;-7.5175877;-7.5186033
ZINC000241774043;-8.177196;-8.004186;-6.453297;-7.818128;-7.464586
ZINC000009283994;-6.957631;-6.611748;-7.014368;-6.981338;-7.0464053
ZINC000009283993;-7.121931;-6.5710497;-6.5896964;-6.6162934;-7.243881
ZINC000245253628;-6.435704;-6.705859;-6.533293;-6.1233788;-6.6898775
ZINC000245253630;-5.7357635;-6.754466;-6.389494;-5.6662297;-6.7122173
ZINC000096023873;-6.877775;-6.8722076;-6.945138;-6.9130483;-6.7277646
ZINC000031413909;-7.246797;-7.230324;-6.827737;-7.8473263;-7.648848
ZINC000031413914;-8.243795;-6.740871;-7.174264;-8.180568;-7.8167863
ZINC000248322521;-8.373063;-7.124174;-6.467784;-6.841924;-6.9844346
ZINC000248322519;-8.15321;-6.8118396;-6.4975724;-6.9382977;-7.1574483
ZINC000012580567;-7.5735745;-7.964806;-7.397238;-8.055992;-7.6602135
ZINC000012580560;-7.5096025;-7.6916413;-7.6879396;-8.203138;-7.7134266
ZINC000012659550;-6.379611;-5.4700084;-5.7126513;-5.679254;-5.534388
ZINC000012660674;-6.315474;-6.6871576;-6.361499;-5.4172897;-6.022819
